Web Search interest: nicholas+c.+handy
Worldwide 2004 - present

Interest over time
Week,nicholas+c.+handy
2005-03-27 - 2005-04-02,30
2005-04-03 - 2005-04-09,30
2005-04-10 - 2005-04-16,30
2005-04-17 - 2005-04-23,30
2005-04-24 - 2005-04-30,31
2005-05-01 - 2005-05-07,31
2005-05-08 - 2005-05-14,31
2005-05-15 - 2005-05-21,29
2005-05-22 - 2005-05-28,28
2005-05-29 - 2005-06-04,30
2005-06-05 - 2005-06-11,31
2005-06-12 - 2005-06-18,30
2005-06-19 - 2005-06-25,30
2005-06-26 - 2005-07-02,30
2005-07-03 - 2005-07-09,30
2005-07-10 - 2005-07-16,31
2005-07-17 - 2005-07-23,31
2005-07-24 - 2005-07-30,30
2005-07-31 - 2005-08-06,30
2005-08-07 - 2005-08-13,31
2005-08-14 - 2005-08-20,31
2005-08-21 - 2005-08-27,31
2005-08-28 - 2005-09-03,29
2005-09-04 - 2005-09-10,30
2005-09-11 - 2005-09-17,31
2005-09-18 - 2005-09-24,30
2005-09-25 - 2005-10-01,30
2005-10-02 - 2005-10-08,29
2005-10-09 - 2005-10-15,30
2005-10-16 - 2005-10-22,30
2005-10-23 - 2005-10-29,30
2005-10-30 - 2005-11-05,30
2005-11-06 - 2005-11-12,30
2005-11-13 - 2005-11-19,29
2005-11-20 - 2005-11-26,29
2005-11-27 - 2005-12-03,31
2005-12-04 - 2005-12-10,36
2005-12-11 - 2005-12-17,34
2005-12-18 - 2005-12-24,32
2005-12-25 - 2005-12-31,30
2006-01-01 - 2006-01-07,31
2006-01-08 - 2006-01-14,30
2006-01-15 - 2006-01-21,30
2006-01-22 - 2006-01-28,29
2006-01-29 - 2006-02-04,30
2006-02-05 - 2006-02-11,29
2006-02-12 - 2006-02-18,28
2006-02-19 - 2006-02-25,28
2006-02-26 - 2006-03-04,28
2006-03-05 - 2006-03-11,29
2006-03-12 - 2006-03-18,29
2006-03-19 - 2006-03-25,28
2006-03-26 - 2006-04-01,28
2006-04-02 - 2006-04-08,30
2006-04-09 - 2006-04-15,28
2006-04-16 - 2006-04-22,27
2006-04-23 - 2006-04-29,27
2006-04-30 - 2006-05-06,27
2006-05-07 - 2006-05-13,26
2006-05-14 - 2006-05-20,28
2006-05-21 - 2006-05-27,28
2006-05-28 - 2006-06-03,27
2006-06-04 - 2006-06-10,27
2006-06-11 - 2006-06-17,26
2006-06-18 - 2006-06-24,27
2006-06-25 - 2006-07-01,27
2006-07-02 - 2006-07-08,27
2006-07-09 - 2006-07-15,29
2006-07-16 - 2006-07-22,27
2006-07-23 - 2006-07-29,28
2006-07-30 - 2006-08-05,28
2006-08-06 - 2006-08-12,29
2006-08-13 - 2006-08-19,28
2006-08-20 - 2006-08-26,28
2006-08-27 - 2006-09-02,28
2006-09-03 - 2006-09-09,27
2006-09-10 - 2006-09-16,27
2006-09-17 - 2006-09-23,27
2006-09-24 - 2006-09-30,27
2006-10-01 - 2006-10-07,27
2006-10-08 - 2006-10-14,27
2006-10-15 - 2006-10-21,27
2006-10-22 - 2006-10-28,28
2006-10-29 - 2006-11-04,29
2006-11-05 - 2006-11-11,27
2006-11-12 - 2006-11-18,28
2006-11-19 - 2006-11-25,27
2006-11-26 - 2006-12-02,28
2006-12-03 - 2006-12-09,31
2006-12-10 - 2006-12-16,29
2006-12-17 - 2006-12-23,28
2006-12-24 - 2006-12-30,28
2006-12-31 - 2007-01-06,29
2007-01-07 - 2007-01-13,28
2007-01-14 - 2007-01-20,27
2007-01-21 - 2007-01-27,26
2007-01-28 - 2007-02-03,27
2007-02-04 - 2007-02-10,26
2007-02-11 - 2007-02-17,26
2007-02-18 - 2007-02-24,27
2007-02-25 - 2007-03-03,26
2007-03-04 - 2007-03-10,25
2007-03-11 - 2007-03-17,25
2007-03-18 - 2007-03-24,26
2007-03-25 - 2007-03-31,25
2007-04-01 - 2007-04-07,24
2007-04-08 - 2007-04-14,25
2007-04-15 - 2007-04-21,24
2007-04-22 - 2007-04-28,24
2007-04-29 - 2007-05-05,25
2007-05-06 - 2007-05-12,26
2007-05-13 - 2007-05-19,25
2007-05-20 - 2007-05-26,24
2007-05-27 - 2007-06-02,25
2007-06-03 - 2007-06-09,24
2007-06-10 - 2007-06-16,25
2007-06-17 - 2007-06-23,25
2007-06-24 - 2007-06-30,25
2007-07-01 - 2007-07-07,26
2007-07-08 - 2007-07-14,25
2007-07-15 - 2007-07-21,25
2007-07-22 - 2007-07-28,26
2007-07-29 - 2007-08-04,25
2007-08-05 - 2007-08-11,25
2007-08-12 - 2007-08-18,25
2007-08-19 - 2007-08-25,25
2007-08-26 - 2007-09-01,25
2007-09-02 - 2007-09-08,25
2007-09-09 - 2007-09-15,25
2007-09-16 - 2007-09-22,24
2007-09-23 - 2007-09-29,25
2007-09-30 - 2007-10-06,24
2007-10-07 - 2007-10-13,24
2007-10-14 - 2007-10-20,24
2007-10-21 - 2007-10-27,24
2007-10-28 - 2007-11-03,25
2007-11-04 - 2007-11-10,26
2007-11-11 - 2007-11-17,26
2007-11-18 - 2007-11-24,26
2007-11-25 - 2007-12-01,26
2007-12-02 - 2007-12-08,28
2007-12-09 - 2007-12-15,27
2007-12-16 - 2007-12-22,27
2007-12-23 - 2007-12-29,26
2007-12-30 - 2008-01-05,26
2008-01-06 - 2008-01-12,26
2008-01-13 - 2008-01-19,25
2008-01-20 - 2008-01-26,24
2008-01-27 - 2008-02-02,25
2008-02-03 - 2008-02-09,25
2008-02-10 - 2008-02-16,25
2008-02-17 - 2008-02-23,24
2008-02-24 - 2008-03-01,24
2008-03-02 - 2008-03-08,24
2008-03-09 - 2008-03-15,24
2008-03-16 - 2008-03-22,24
2008-03-23 - 2008-03-29,24
2008-03-30 - 2008-04-05,24
2008-04-06 - 2008-04-12,23
2008-04-13 - 2008-04-19,24
2008-04-20 - 2008-04-26,24
2008-04-27 - 2008-05-03,22
2008-05-04 - 2008-05-10,22
2008-05-11 - 2008-05-17,22
2008-05-18 - 2008-05-24,22
2008-05-25 - 2008-05-31,22
2008-06-01 - 2008-06-07,23
2008-06-08 - 2008-06-14,23
2008-06-15 - 2008-06-21,23
2008-06-22 - 2008-06-28,23
2008-06-29 - 2008-07-05,22
2008-07-06 - 2008-07-12,24
2008-07-13 - 2008-07-19,24
2008-07-20 - 2008-07-26,23
2008-07-27 - 2008-08-02,23
2008-08-03 - 2008-08-09,23
2008-08-10 - 2008-08-16,23
2008-08-17 - 2008-08-23,23
2008-08-24 - 2008-08-30,23
2008-08-31 - 2008-09-06,23
2008-09-07 - 2008-09-13,23
2008-09-14 - 2008-09-20,23
2008-09-21 - 2008-09-27,23
2008-09-28 - 2008-10-04,23
2008-10-05 - 2008-10-11,22
2008-10-12 - 2008-10-18,22
2008-10-19 - 2008-10-25,22
2008-10-26 - 2008-11-01,22
2008-11-02 - 2008-11-08,23
2008-11-09 - 2008-11-15,23
2008-11-16 - 2008-11-22,23
2008-11-23 - 2008-11-29,23
2008-11-30 - 2008-12-06,26
2008-12-07 - 2008-12-13,24
2008-12-14 - 2008-12-20,24
2008-12-21 - 2008-12-27,23
2008-12-28 - 2009-01-03,23
2009-01-04 - 2009-01-10,23
2009-01-11 - 2009-01-17,22
2009-01-18 - 2009-01-24,22
2009-01-25 - 2009-01-31,22
2009-02-01 - 2009-02-07,23
2009-02-08 - 2009-02-14,22
2009-02-15 - 2009-02-21,22
2009-02-22 - 2009-02-28,22
2009-03-01 - 2009-03-07,21
2009-03-08 - 2009-03-14,22
2009-03-15 - 2009-03-21,22
2009-03-22 - 2009-03-28,22
2009-03-29 - 2009-04-04,21
2009-04-05 - 2009-04-11,20
2009-04-12 - 2009-04-18,20
2009-04-19 - 2009-04-25,21
2009-04-26 - 2009-05-02,21
2009-05-03 - 2009-05-09,22
2009-05-10 - 2009-05-16,21
2009-05-17 - 2009-05-23,20
2009-05-24 - 2009-05-30,21
2009-05-31 - 2009-06-06,20
2009-06-07 - 2009-06-13,20
2009-06-14 - 2009-06-20,21
2009-06-21 - 2009-06-27,21
2009-06-28 - 2009-07-04,20
2009-07-05 - 2009-07-11,21
2009-07-12 - 2009-07-18,21
2009-07-19 - 2009-07-25,21
2009-07-26 - 2009-08-01,20
2009-08-02 - 2009-08-08,21
2009-08-09 - 2009-08-15,21
2009-08-16 - 2009-08-22,20
2009-08-23 - 2009-08-29,21
2009-08-30 - 2009-09-05,21
2009-09-06 - 2009-09-12,21
2009-09-13 - 2009-09-19,22
2009-09-20 - 2009-09-26,21
2009-09-27 - 2009-10-03,20
2009-10-04 - 2009-10-10,21
2009-10-11 - 2009-10-17,21
2009-10-18 - 2009-10-24,21
2009-10-25 - 2009-10-31,21
2009-11-01 - 2009-11-07,21
2009-11-08 - 2009-11-14,22
2009-11-15 - 2009-11-21,22
2009-11-22 - 2009-11-28,22
2009-11-29 - 2009-12-05,23
2009-12-06 - 2009-12-12,23
2009-12-13 - 2009-12-19,23
2009-12-20 - 2009-12-26,22
2009-12-27 - 2010-01-02,22
2010-01-03 - 2010-01-09,22
2010-01-10 - 2010-01-16,22
2010-01-17 - 2010-01-23,23
2010-01-24 - 2010-01-30,21
2010-01-31 - 2010-02-06,22
2010-02-07 - 2010-02-13,21
2010-02-14 - 2010-02-20,22
2010-02-21 - 2010-02-27,21
2010-02-28 - 2010-03-06,21
2010-03-07 - 2010-03-13,21
2010-03-14 - 2010-03-20,21
2010-03-21 - 2010-03-27,21
2010-03-28 - 2010-04-03,21
2010-04-04 - 2010-04-10,20
2010-04-11 - 2010-04-17,20
2010-04-18 - 2010-04-24,20
2010-04-25 - 2010-05-01,20
2010-05-02 - 2010-05-08,21
2010-05-09 - 2010-05-15,20
2010-05-16 - 2010-05-22,20
2010-05-23 - 2010-05-29,19
2010-05-30 - 2010-06-05,19
2010-06-06 - 2010-06-12,19
2010-06-13 - 2010-06-19,19
2010-06-20 - 2010-06-26,19
2010-06-27 - 2010-07-03,18
2010-07-04 - 2010-07-10,19
2010-07-11 - 2010-07-17,19
2010-07-18 - 2010-07-24,20
2010-07-25 - 2010-07-31,20
2010-08-01 - 2010-08-07,20
2010-08-08 - 2010-08-14,20
2010-08-15 - 2010-08-21,20
2010-08-22 - 2010-08-28,20
2010-08-29 - 2010-09-04,19
2010-09-05 - 2010-09-11,20
2010-09-12 - 2010-09-18,20
2010-09-19 - 2010-09-25,19
2010-09-26 - 2010-10-02,19
2010-10-03 - 2010-10-09,19
2010-10-10 - 2010-10-16,19
2010-10-17 - 2010-10-23,19
2010-10-24 - 2010-10-30,19
2010-10-31 - 2010-11-06,20
2010-11-07 - 2010-11-13,20
2010-11-14 - 2010-11-20,20
2010-11-21 - 2010-11-27,20
2010-11-28 - 2010-12-04,21
2010-12-05 - 2010-12-11,23
2010-12-12 - 2010-12-18,22
2010-12-19 - 2010-12-25,20
2010-12-26 - 2011-01-01,20
2011-01-02 - 2011-01-08,20
2011-01-09 - 2011-01-15,20
2011-01-16 - 2011-01-22,19
2011-01-23 - 2011-01-29,19
2011-01-30 - 2011-02-05,19
2011-02-06 - 2011-02-12,19
2011-02-13 - 2011-02-19,19
2011-02-20 - 2011-02-26,19
2011-02-27 - 2011-03-05,18
2011-03-06 - 2011-03-12,18
2011-03-13 - 2011-03-19,18
2011-03-20 - 2011-03-26,18
2011-03-27 - 2011-04-02,18
2011-04-03 - 2011-04-09,18
2011-04-10 - 2011-04-16,18
2011-04-17 - 2011-04-23,18
2011-04-24 - 2011-04-30,17
2011-05-01 - 2011-05-07,17
2011-05-08 - 2011-05-14,17
2011-05-15 - 2011-05-21,18
2011-05-22 - 2011-05-28,18
2011-05-29 - 2011-06-04,18
2011-06-05 - 2011-06-11,18
2011-06-12 - 2011-06-18,17
2011-06-19 - 2011-06-25,18
2011-06-26 - 2011-07-02,17
2011-07-03 - 2011-07-09,18
2011-07-10 - 2011-07-16,18
2011-07-17 - 2011-07-23,18
2011-07-24 - 2011-07-30,18
2011-07-31 - 2011-08-06,18
2011-08-07 - 2011-08-13,18
2011-08-14 - 2011-08-20,18
2011-08-21 - 2011-08-27,17
2011-08-28 - 2011-09-03,18
2011-09-04 - 2011-09-10,17
2011-09-11 - 2011-09-17,18
2011-09-18 - 2011-09-24,18
2011-09-25 - 2011-10-01,17
2011-10-02 - 2011-10-08,18
2011-10-09 - 2011-10-15,18
2011-10-16 - 2011-10-22,18
2011-10-23 - 2011-10-29,18
2011-10-30 - 2011-11-05,18
2011-11-06 - 2011-11-12,18
2011-11-13 - 2011-11-19,18
2011-11-20 - 2011-11-26,17
2011-11-27 - 2011-12-03,18
2011-12-04 - 2011-12-10,20
2011-12-11 - 2011-12-17,19
2011-12-18 - 2011-12-24,18
2011-12-25 - 2011-12-31,18
2012-01-01 - 2012-01-07,18
2012-01-08 - 2012-01-14,18
2012-01-15 - 2012-01-21,17
2012-01-22 - 2012-01-28,18
2012-01-29 - 2012-02-04,17
2012-02-05 - 2012-02-11,17
2012-02-12 - 2012-02-18,17
2012-02-19 - 2012-02-25,17
2012-02-26 - 2012-03-03,17
2012-03-04 - 2012-03-10,16
2012-03-11 - 2012-03-17,16
2012-03-18 - 2012-03-24,16
2012-03-25 - 2012-03-31,17
2012-04-01 - 2012-04-07,16
2012-04-08 - 2012-04-14,17
2012-04-15 - 2012-04-21,17
2012-04-22 - 2012-04-28,17
2012-04-29 - 2012-05-05,17
2012-05-06 - 2012-05-12,17
2012-05-13 - 2012-05-19,16
2012-05-20 - 2012-05-26,15
2012-05-27 - 2012-06-02,16
2012-06-03 - 2012-06-09,17
2012-06-10 - 2012-06-16,17
2012-06-17 - 2012-06-23,17
2012-06-24 - 2012-06-30,16
2012-07-01 - 2012-07-07,16
2012-07-08 - 2012-07-14,17
2012-07-15 - 2012-07-21,17
2012-07-22 - 2012-07-28,16
2012-07-29 - 2012-08-04,16
2012-08-05 - 2012-08-11,16
2012-08-12 - 2012-08-18,16
2012-08-19 - 2012-08-25,17
2012-08-26 - 2012-09-01,17
2012-09-02 - 2012-09-08,17
2012-09-09 - 2012-09-15,17
2012-09-16 - 2012-09-22,17
2012-09-23 - 2012-09-29,17
2012-09-30 - 2012-10-06,17
2012-10-07 - 2012-10-13,16
2012-10-14 - 2012-10-20,16
2012-10-21 - 2012-10-27,17
2012-10-28 - 2012-11-03,16
2012-11-04 - 2012-11-10,18
2012-11-11 - 2012-11-17,17
2012-11-18 - 2012-11-24,17
2012-11-25 - 2012-12-01,18
2012-12-02 - 2012-12-08,20
2012-12-09 - 2012-12-15,18
2012-12-16 - 2012-12-22,18
2012-12-23 - 2012-12-29,18
2012-12-30 - 2013-01-05,17
2013-01-06 - 2013-01-12,18
2013-01-13 - 2013-01-19,18
2013-01-20 - 2013-01-26,17
2013-01-27 - 2013-02-02,18
2013-02-03 - 2013-02-09,18
2013-02-10 - 2013-02-16,18
2013-02-17 - 2013-02-23,18
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,18
2013-03-10 - 2013-03-16,17
2013-03-17 - 2013-03-23,17
2013-03-24 - 2013-03-30,17
2013-03-31 - 2013-04-06,17
2013-04-07 - 2013-04-13,16
2013-04-14 - 2013-04-20,16
2013-04-21 - 2013-04-27,16
2013-04-28 - 2013-05-04,16
2013-05-05 - 2013-05-11,16
2013-05-12 - 2013-05-18,16
2013-05-19 - 2013-05-25,16
2013-05-26 - 2013-06-01,16
2013-06-02 - 2013-06-08,17
2013-06-09 - 2013-06-15,17
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,17
2013-06-30 - 2013-07-06,16
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,17
2013-07-21 - 2013-07-27,16
2013-07-28 - 2013-08-03,16
2013-08-04 - 2013-08-10,17
2013-08-11 - 2013-08-17,16
2013-08-18 - 2013-08-24,17
2013-08-25 - 2013-08-31,16
2013-09-01 - 2013-09-07,16
2013-09-08 - 2013-09-14,16
2013-09-15 - 2013-09-21,17
2013-09-22 - 2013-09-28,16
2013-09-29 - 2013-10-05,16
2013-10-06 - 2013-10-12,17
2013-10-13 - 2013-10-19,16
2013-10-20 - 2013-10-26,17
2013-10-27 - 2013-11-02,17
2013-11-03 - 2013-11-09,17
2013-11-10 - 2013-11-16,17
2013-11-17 - 2013-11-23,18
2013-11-24 - 2013-11-30,17
2013-12-01 - 2013-12-07,19
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,18
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,17
2014-01-12 - 2014-01-18,19
2014-01-19 - 2014-01-25,17
2014-01-26 - 2014-02-01,17
2014-02-02 - 2014-02-08,17
2014-02-09 - 2014-02-15,16
2014-02-16 - 2014-02-22,16
2014-02-23 - 2014-03-01,16
2014-03-02 - 2014-03-08,16
2014-03-09 - 2014-03-15,15
2014-03-16 - 2014-03-22,15
2014-03-23 - 2014-03-29,15
2014-03-30 - 2014-04-05,15
2014-04-06 - 2014-04-12,15
2014-04-13 - 2014-04-19,15
2014-04-20 - 2014-04-26,16
2014-04-27 - 2014-05-03,16
2014-05-04 - 2014-05-10,16
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,15
2014-06-01 - 2014-06-07,15
2014-06-08 - 2014-06-14,15
2014-06-15 - 2014-06-21,15
2014-06-22 - 2014-06-28,15
2014-06-29 - 2014-07-05,15
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,17
2014-07-20 - 2014-07-26,16
2014-07-27 - 2014-08-02,16
2014-08-03 - 2014-08-09,16
2014-08-10 - 2014-08-16,16
2014-08-17 - 2014-08-23,17
2014-08-24 - 2014-08-30,16
2014-08-31 - 2014-09-06,16
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,16
2014-09-21 - 2014-09-27,17
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,18
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,17
2014-10-26 - 2014-11-01,17
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,16
2014-11-16 - 2014-11-22,17
2014-11-23 - 2014-11-29,16
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,18
2014-12-14 - 2014-12-20,17
2014-12-21 - 2014-12-27,17
2014-12-28 - 2015-01-03,16
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,17
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,16
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,16
2015-03-08 - 2015-03-14,16
2015-03-15 - 2015-03-21,16
2015-03-22 - 2015-03-28,15
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,16
2015-04-12 - 2015-04-18,16
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,16
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,16
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,15
2015-08-02 - 2015-08-08,15
2015-08-09 - 2015-08-15,16
2015-08-16 - 2015-08-22,16
2015-08-23 - 2015-08-29,16
2015-08-30 - 2015-09-05,16
2015-09-06 - 2015-09-12,16
2015-09-13 - 2015-09-19,16
2015-09-20 - 2015-09-26,16
2015-09-27 - 2015-10-03,16
2015-10-04 - 2015-10-10,16
2015-10-11 - 2015-10-17,16
2015-10-18 - 2015-10-24,16
2015-10-25 - 2015-10-31,16
2015-11-01 - 2015-11-07,16
2015-11-08 - 2015-11-14,16
2015-11-15 - 2015-11-21,16
2015-11-22 - 2015-11-28,15
2015-11-29 - 2015-12-05,18
2015-12-06 - 2015-12-12,18
2015-12-13 - 2015-12-19,17
2015-12-20 - 2015-12-26,17
2015-12-27 - 2016-01-02,16
2016-01-03 - 2016-01-09,17
2016-01-10 - 2016-01-16,16
2016-01-17 - 2016-01-23,16
2016-01-24 - 2016-01-30,16
2016-01-31 - 2016-02-06,16
2016-02-07 - 2016-02-13,16
2016-02-14 - 2016-02-20,16
2016-02-21 - 2016-02-27,16
2016-02-28 - 2016-03-05,15
2016-03-06 - 2016-03-12,16
2016-03-13 - 2016-03-19,15
2016-03-20 - 2016-03-26,15
2016-03-27 - 2016-04-02,15
2016-04-03 - 2016-04-09,15
2016-04-10 - 2016-04-16,15
2016-04-17 - 2016-04-23,15
2016-04-24 - 2016-04-30,15
2016-05-01 - 2016-05-07,15
2016-05-08 - 2016-05-14,15
2016-05-15 - 2016-05-21,15
2016-05-22 - 2016-05-28,15
2016-05-29 - 2016-06-04,15
2016-06-05 - 2016-06-11,15
2016-06-12 - 2016-06-18,15
2016-06-19 - 2016-06-25,15
2016-06-26 - 2016-07-02,15


Top regions for nicholas+c.+handy
Region,nicholas+c.+handy
Germany,100
Austria,80
Switzerland,34
United States,17
Philippines,17
Singapore,14
United Kingdom,14
Australia,13
Canada,12
Ireland,12
New Zealand,12
Serbia,11
Italy,11
Bulgaria,9
Portugal,9
Denmark,9
South Africa,8
Hong Kong,8
Hungary,8
Czech Republic,8
Norway,7
Netherlands,7
Malaysia,7
Mexico,6
Indonesia,6
Spain,6
United Arab Emirates,6
Belgium,5
Brazil,5
Argentina,5
Romania,5
Sweden,5
India,5
Greece,5
Chile,4
Poland,4
Finland,4
Israel,4
Pakistan,4
Peru,4
South Korea,4
Colombia,3
Venezuela,3
France,3
Taiwan,3
Thailand,2
Turkey,2
Ukraine,2
Vietnam,2
Russia,2
Japan,1


Top cities for nicholas+c.+handy
City,nicholas+c.+handy
Dortmund (Germany),100
Leipzig (Germany),97
Essen (Germany),97
Cologne (Germany),96
Dresden (Germany),93
Berlin (Germany),92
Dusseldorf (Germany),92
Nuremberg (Germany),90
Hanover (Germany),89
Bremen (Germany),88
Hamburg (Germany),88
Stuttgart (Germany),87
Munich (Germany),82
Vienna (Austria),74
Frankfurt (Germany),66



Top searches for nicholas+c.+handy
nicholas sparks,100
samsung handy,80
nicholas hoult,50
nokia handy,45
st nicholas,40
nicholas cage,40
handy vertrag,40
sony handy,35
handy test,30
handy man,30
android handy,25
o2,20
o2 handy,20
handy manny,20
google handy,20
handy ohne vertrag,20
lg handy,20
handy vergleich,20
htc handy,20
handy kaufen,15
sony ericsson,15
handy orten,15
prepaid handy,15
telekom,15
handy tarife,15
saint nicholas,15
nicholas sparks movies,10
handy reparatur,10
st. nicholas,10
handy spiele,10
handy games,10
handy mit vertrag,10
nicholas ii,10
handy deutschland,10
jennifer lawrence,10
nicholas sparks books,10
handy aufladen,10
c. ronaldo,10
jack handy,10
nicholas david,5
siemens handy,5
outdoor handy,5
handy flatrate,5
michael c. hall,5
dual sim handy,5
nicholas flamel,5
paul nicholas,5
nicolas cage,5
inside handy,5
nicholas sparks quotes,5



Rising searches for nicholas+c.+handy
android handy,Breakout
handy manny,Breakout
nicholas hoult,Breakout
google handy,+3,150%
lg handy,+350%
nicholas sparks,+300%
handy man,+200%
samsung handy,+160%
st nicholas,+110%
nicholas cage,+50%



