Web Search interest: george+sawatzky
Worldwide 2004 - present

Interest over time
Week,george+sawatzky
Colombia,7
India,7
Venezuela,6
Indonesia,5
Turkey,4
Thailand,2
Russia,2
Japan,1


Top cities for george+sawatzky
City,george+sawatzky
Prince George (Canada),100
St. George (United States),86
Sydney (Australia),7
Salt Lake City (United States),5
Washington (United States),3
Vancouver (Canada),3
Brisbane (Australia),3
Toronto (Canada),3
Manchester (United Kingdom),2
New York (United States),2
London (United Kingdom),2
Melbourne (Australia),2
Houston (United States),2
Los Angeles (United States),2
Chicago (United States),2



Top searches for george+sawatzky
st george,100
george washington,60
george clooney,50
george bush,45
prince george,30
george michael,30
asda,25
asda george,25
king george,20
george martin,20
lake george,20
george harrison,20
george strait,15
paul george,15
curious george,15
george foreman,15
george mason,15
george best,15
george orwell,15
george brown,15
george lopez,10
george w bush,10
george zimmerman,10
george carlin,10
boy george,10
st george bank,10
george washington university,10
george jones,10
george lucas,10
saint george,10
st george utah,10
george rr martin,10
george ezra,10
george foreman grill,5
george mason university,5
george soros,5
george will,5
george clinton,5
george town,5
george jung,5
george benson,5
george brown college,5
george washington carver,5
1984 george orwell,5
george w. bush,5
george at asda,5
lake george ny,5
george hill,5
george clothing,5
george vi,5



Rising searches for george+sawatzky
asda,+950%
asda george,+900%
curious george,+200%
george clooney,+200%
george lopez,+200%
st george,+190%
paul george,+140%
george best,+120%
prince george,+100%
george strait,+60%



