Web Search interest: stephen+e.+harris
Worldwide 2004 - present

Interest over time
Week,stephen+e.+harris
2006-12-31 - 2007-01-06,54
2007-01-07 - 2007-01-13,55
2007-01-14 - 2007-01-20,55
2007-01-21 - 2007-01-27,56
2007-01-28 - 2007-02-03,55
2007-02-04 - 2007-02-10,55
2007-02-11 - 2007-02-17,53
2007-02-18 - 2007-02-24,55
2007-02-25 - 2007-03-03,53
2007-03-04 - 2007-03-10,53
2007-03-11 - 2007-03-17,53
2007-03-18 - 2007-03-24,54
2007-03-25 - 2007-03-31,53
2007-04-01 - 2007-04-07,53
2007-04-08 - 2007-04-14,55
2007-04-15 - 2007-04-21,56
2007-04-22 - 2007-04-28,58
2007-04-29 - 2007-05-05,57
2007-05-06 - 2007-05-12,54
2007-05-13 - 2007-05-19,55
2007-05-20 - 2007-05-26,53
2007-05-27 - 2007-06-02,51
2007-06-03 - 2007-06-09,54
2007-06-10 - 2007-06-16,51
2007-06-17 - 2007-06-23,51
2007-06-24 - 2007-06-30,51
2007-07-01 - 2007-07-07,49
2007-07-08 - 2007-07-14,53
2007-07-15 - 2007-07-21,53
2007-07-22 - 2007-07-28,53
2007-07-29 - 2007-08-04,52
2007-08-05 - 2007-08-11,53
2007-08-12 - 2007-08-18,55
2007-08-19 - 2007-08-25,52
2007-08-26 - 2007-09-01,51
2007-09-02 - 2007-09-08,50
2007-09-09 - 2007-09-15,52
2007-09-16 - 2007-09-22,53
2007-09-23 - 2007-09-29,53
2007-09-30 - 2007-10-06,52
2007-10-07 - 2007-10-13,53
2007-10-14 - 2007-10-20,58
2007-10-21 - 2007-10-27,56
2007-10-28 - 2007-11-03,55
2007-11-04 - 2007-11-10,52
2007-11-11 - 2007-11-17,52
2007-11-18 - 2007-11-24,52
2007-11-25 - 2007-12-01,58
2007-12-02 - 2007-12-08,58
2007-12-09 - 2007-12-15,50
2007-12-16 - 2007-12-22,49
2007-12-23 - 2007-12-29,43
2007-12-30 - 2008-01-05,50
2008-01-06 - 2008-01-12,53
2008-01-13 - 2008-01-19,52
2008-01-20 - 2008-01-26,51
2008-01-27 - 2008-02-02,52
2008-02-03 - 2008-02-09,51
2008-02-10 - 2008-02-16,53
2008-02-17 - 2008-02-23,52
2008-02-24 - 2008-03-01,52
2008-03-02 - 2008-03-08,52
2008-03-09 - 2008-03-15,51
2008-03-16 - 2008-03-22,48
2008-03-23 - 2008-03-29,52
2008-03-30 - 2008-04-05,53
2008-04-06 - 2008-04-12,51
2008-04-13 - 2008-04-19,51
2008-04-20 - 2008-04-26,54
2008-04-27 - 2008-05-03,53
2008-05-04 - 2008-05-10,51
2008-05-11 - 2008-05-17,50
2008-05-18 - 2008-05-24,50
2008-05-25 - 2008-05-31,48
2008-06-01 - 2008-06-07,48
2008-06-08 - 2008-06-14,47
2008-06-15 - 2008-06-21,48
2008-06-22 - 2008-06-28,50
2008-06-29 - 2008-07-05,46
2008-07-06 - 2008-07-12,49
2008-07-13 - 2008-07-19,51
2008-07-20 - 2008-07-26,50
2008-07-27 - 2008-08-02,49
2008-08-03 - 2008-08-09,50
2008-08-10 - 2008-08-16,49
2008-08-17 - 2008-08-23,48
2008-08-24 - 2008-08-30,47
2008-08-31 - 2008-09-06,46
2008-09-07 - 2008-09-13,51
2008-09-14 - 2008-09-20,50
2008-09-21 - 2008-09-27,50
2008-09-28 - 2008-10-04,50
2008-10-05 - 2008-10-11,51
2008-10-12 - 2008-10-18,53
2008-10-19 - 2008-10-25,52
2008-10-26 - 2008-11-01,51
2008-11-02 - 2008-11-08,50
2008-11-09 - 2008-11-15,51
2008-11-16 - 2008-11-22,49
2008-11-23 - 2008-11-29,45
2008-11-30 - 2008-12-06,52
2008-12-07 - 2008-12-13,50
2008-12-14 - 2008-12-20,46
2008-12-21 - 2008-12-27,39
2008-12-28 - 2009-01-03,45
2009-01-04 - 2009-01-10,52
2009-01-11 - 2009-01-17,51
2009-01-18 - 2009-01-24,49
2009-01-25 - 2009-01-31,49
2009-02-01 - 2009-02-07,49
2009-02-08 - 2009-02-14,50
2009-02-15 - 2009-02-21,50
2009-02-22 - 2009-02-28,51
2009-03-01 - 2009-03-07,49
2009-03-08 - 2009-03-14,49
2009-03-15 - 2009-03-21,49
2009-03-22 - 2009-03-28,49
2009-03-29 - 2009-04-04,49
2009-04-05 - 2009-04-11,49
2009-04-12 - 2009-04-18,50
2009-04-19 - 2009-04-25,57
2009-04-26 - 2009-05-02,51
2009-05-03 - 2009-05-09,50
2009-05-10 - 2009-05-16,49
2009-05-17 - 2009-05-23,49
2009-05-24 - 2009-05-30,46
2009-05-31 - 2009-06-06,47
2009-06-07 - 2009-06-13,51
2009-06-14 - 2009-06-20,48
2009-06-21 - 2009-06-27,48
2009-06-28 - 2009-07-04,46
2009-07-05 - 2009-07-11,49
2009-07-12 - 2009-07-18,50
2009-07-19 - 2009-07-25,53
2009-07-26 - 2009-08-01,55
2009-08-02 - 2009-08-08,52
2009-08-09 - 2009-08-15,54
2009-08-16 - 2009-08-22,52
2009-08-23 - 2009-08-29,51
2009-08-30 - 2009-09-05,48
2009-09-06 - 2009-09-12,49
2009-09-13 - 2009-09-19,49
2009-09-20 - 2009-09-26,52
2009-09-27 - 2009-10-03,48
2009-10-04 - 2009-10-10,50
2009-10-11 - 2009-10-17,100
2009-10-18 - 2009-10-24,56
2009-10-25 - 2009-10-31,50
2009-11-01 - 2009-11-07,49
2009-11-08 - 2009-11-14,51
2009-11-15 - 2009-11-21,55
2009-11-22 - 2009-11-28,44
2009-11-29 - 2009-12-05,48
2009-12-06 - 2009-12-12,47
2009-12-13 - 2009-12-19,46
2009-12-20 - 2009-12-26,40
2009-12-27 - 2010-01-02,45
2010-01-03 - 2010-01-09,51
2010-01-10 - 2010-01-16,49
2010-01-17 - 2010-01-23,49
2010-01-24 - 2010-01-30,50
2010-01-31 - 2010-02-06,51
2010-02-07 - 2010-02-13,60
2010-02-14 - 2010-02-20,53
2010-02-21 - 2010-02-27,50
2010-02-28 - 2010-03-06,49
2010-03-07 - 2010-03-13,48
2010-03-14 - 2010-03-20,46
2010-03-21 - 2010-03-27,48
2010-03-28 - 2010-04-03,48
2010-04-04 - 2010-04-10,48
2010-04-11 - 2010-04-17,50
2010-04-18 - 2010-04-24,48
2010-04-25 - 2010-05-01,60
2010-05-02 - 2010-05-08,54
2010-05-09 - 2010-05-15,52
2010-05-16 - 2010-05-22,50
2010-05-23 - 2010-05-29,49
2010-05-30 - 2010-06-05,50
2010-06-06 - 2010-06-12,59
2010-06-13 - 2010-06-19,48
2010-06-20 - 2010-06-26,47
2010-06-27 - 2010-07-03,47
2010-07-04 - 2010-07-10,50
2010-07-11 - 2010-07-17,55
2010-07-18 - 2010-07-24,49
2010-07-25 - 2010-07-31,49
2010-08-01 - 2010-08-07,48
2010-08-08 - 2010-08-14,50
2010-08-15 - 2010-08-21,51
2010-08-22 - 2010-08-28,49
2010-08-29 - 2010-09-04,54
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,50
2010-09-19 - 2010-09-25,52
2010-09-26 - 2010-10-02,52
2010-10-03 - 2010-10-09,50
2010-10-10 - 2010-10-16,48
2010-10-17 - 2010-10-23,49
2010-10-24 - 2010-10-30,48
2010-10-31 - 2010-11-06,53
2010-11-07 - 2010-11-13,48
2010-11-14 - 2010-11-20,48
2010-11-21 - 2010-11-27,43
2010-11-28 - 2010-12-04,45
2010-12-05 - 2010-12-11,45
2010-12-12 - 2010-12-18,45
2010-12-19 - 2010-12-25,42
2010-12-26 - 2011-01-01,73
2011-01-02 - 2011-01-08,52
2011-01-09 - 2011-01-15,48
2011-01-16 - 2011-01-22,48
2011-01-23 - 2011-01-29,45
2011-01-30 - 2011-02-05,46
2011-02-06 - 2011-02-12,46
2011-02-13 - 2011-02-19,45
2011-02-20 - 2011-02-26,46
2011-02-27 - 2011-03-05,47
2011-03-06 - 2011-03-12,45
2011-03-13 - 2011-03-19,42
2011-03-20 - 2011-03-26,47
2011-03-27 - 2011-04-02,46
2011-04-03 - 2011-04-09,49
2011-04-10 - 2011-04-16,49
2011-04-17 - 2011-04-23,48
2011-04-24 - 2011-04-30,47
2011-05-01 - 2011-05-07,48
2011-05-08 - 2011-05-14,45
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,46
2011-05-29 - 2011-06-04,46
2011-06-05 - 2011-06-11,47
2011-06-12 - 2011-06-18,62
2011-06-19 - 2011-06-25,52
2011-06-26 - 2011-07-02,46
2011-07-03 - 2011-07-09,44
2011-07-10 - 2011-07-16,48
2011-07-17 - 2011-07-23,48
2011-07-24 - 2011-07-30,52
2011-07-31 - 2011-08-06,50
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,47
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,46
2011-09-04 - 2011-09-10,45
2011-09-11 - 2011-09-17,45
2011-09-18 - 2011-09-24,47
2011-09-25 - 2011-10-01,47
2011-10-02 - 2011-10-08,46
2011-10-09 - 2011-10-15,48
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,50
2011-10-30 - 2011-11-05,51
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,49
2011-11-20 - 2011-11-26,44
2011-11-27 - 2011-12-03,48
2011-12-04 - 2011-12-10,47
2011-12-11 - 2011-12-17,47
2011-12-18 - 2011-12-24,44
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,50
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,46
2012-02-05 - 2012-02-11,46
2012-02-12 - 2012-02-18,48
2012-02-19 - 2012-02-25,47
2012-02-26 - 2012-03-03,45
2012-03-04 - 2012-03-10,45
2012-03-11 - 2012-03-17,44
2012-03-18 - 2012-03-24,45
2012-03-25 - 2012-03-31,44
2012-04-01 - 2012-04-07,50
2012-04-08 - 2012-04-14,46
2012-04-15 - 2012-04-21,46
2012-04-22 - 2012-04-28,47
2012-04-29 - 2012-05-05,49
2012-05-06 - 2012-05-12,46
2012-05-13 - 2012-05-19,45
2012-05-20 - 2012-05-26,46
2012-05-27 - 2012-06-02,45
2012-06-03 - 2012-06-09,50
2012-06-10 - 2012-06-16,47
2012-06-17 - 2012-06-23,44
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,45
2012-07-08 - 2012-07-14,45
2012-07-15 - 2012-07-21,49
2012-07-22 - 2012-07-28,46
2012-07-29 - 2012-08-04,44
2012-08-05 - 2012-08-11,46
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,46
2012-08-26 - 2012-09-01,47
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,46
2012-09-16 - 2012-09-22,48
2012-09-23 - 2012-09-29,46
2012-09-30 - 2012-10-06,47
2012-10-07 - 2012-10-13,47
2012-10-14 - 2012-10-20,46
2012-10-21 - 2012-10-27,50
2012-10-28 - 2012-11-03,50
2012-11-04 - 2012-11-10,49
2012-11-11 - 2012-11-17,47
2012-11-18 - 2012-11-24,42
2012-11-25 - 2012-12-01,47
2012-12-02 - 2012-12-08,49
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,44
2012-12-23 - 2012-12-29,43
2012-12-30 - 2013-01-05,54
2013-01-06 - 2013-01-12,49
2013-01-13 - 2013-01-19,47
2013-01-20 - 2013-01-26,47
2013-01-27 - 2013-02-02,48
2013-02-03 - 2013-02-09,45
2013-02-10 - 2013-02-16,47
2013-02-17 - 2013-02-23,44
2013-02-24 - 2013-03-02,47
2013-03-03 - 2013-03-09,44
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,51
2013-03-31 - 2013-04-06,56
2013-04-07 - 2013-04-13,47
2013-04-14 - 2013-04-20,56
2013-04-21 - 2013-04-27,49
2013-04-28 - 2013-05-04,51
2013-05-05 - 2013-05-11,50
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,44
2013-05-26 - 2013-06-01,45
2013-06-02 - 2013-06-08,45
2013-06-09 - 2013-06-15,45
2013-06-16 - 2013-06-22,45
2013-06-23 - 2013-06-29,44
2013-06-30 - 2013-07-06,44
2013-07-07 - 2013-07-13,46
2013-07-14 - 2013-07-20,47
2013-07-21 - 2013-07-27,45
2013-07-28 - 2013-08-03,46
2013-08-04 - 2013-08-10,49
2013-08-11 - 2013-08-17,46
2013-08-18 - 2013-08-24,47
2013-08-25 - 2013-08-31,49
2013-09-01 - 2013-09-07,46
2013-09-08 - 2013-09-14,44
2013-09-15 - 2013-09-21,46
2013-09-22 - 2013-09-28,48
2013-09-29 - 2013-10-05,44
2013-10-06 - 2013-10-12,44
2013-10-13 - 2013-10-19,45
2013-10-20 - 2013-10-26,45
2013-10-27 - 2013-11-02,47
2013-11-03 - 2013-11-09,46
2013-11-10 - 2013-11-16,45
2013-11-17 - 2013-11-23,45
2013-11-24 - 2013-11-30,40
2013-12-01 - 2013-12-07,45
2013-12-08 - 2013-12-14,45
2013-12-15 - 2013-12-21,43
2013-12-22 - 2013-12-28,42
2013-12-29 - 2014-01-04,45
2014-01-05 - 2014-01-11,47
2014-01-12 - 2014-01-18,46
2014-01-19 - 2014-01-25,44
2014-01-26 - 2014-02-01,47
2014-02-02 - 2014-02-08,44
2014-02-09 - 2014-02-15,43
2014-02-16 - 2014-02-22,44
2014-02-23 - 2014-03-01,43
2014-03-02 - 2014-03-08,43
2014-03-09 - 2014-03-15,42
2014-03-16 - 2014-03-22,44
2014-03-23 - 2014-03-29,46
2014-03-30 - 2014-04-05,45
2014-04-06 - 2014-04-12,50
2014-04-13 - 2014-04-19,47
2014-04-20 - 2014-04-26,52
2014-04-27 - 2014-05-03,51
2014-05-04 - 2014-05-10,50
2014-05-11 - 2014-05-17,52
2014-05-18 - 2014-05-24,49
2014-05-25 - 2014-05-31,48
2014-06-01 - 2014-06-07,51
2014-06-08 - 2014-06-14,49
2014-06-15 - 2014-06-21,47
2014-06-22 - 2014-06-28,49
2014-06-29 - 2014-07-05,61
2014-07-06 - 2014-07-12,49
2014-07-13 - 2014-07-19,46
2014-07-20 - 2014-07-26,46
2014-07-27 - 2014-08-02,52
2014-08-03 - 2014-08-09,49
2014-08-10 - 2014-08-16,47
2014-08-17 - 2014-08-23,50
2014-08-24 - 2014-08-30,47
2014-08-31 - 2014-09-06,46
2014-09-07 - 2014-09-13,49
2014-09-14 - 2014-09-20,45
2014-09-21 - 2014-09-27,45
2014-09-28 - 2014-10-04,46
2014-10-05 - 2014-10-11,61
2014-10-12 - 2014-10-18,51
2014-10-19 - 2014-10-25,49
2014-10-26 - 2014-11-01,51
2014-11-02 - 2014-11-08,51
2014-11-09 - 2014-11-15,49
2014-11-16 - 2014-11-22,51
2014-11-23 - 2014-11-29,49
2014-11-30 - 2014-12-06,52
2014-12-07 - 2014-12-13,50
2014-12-14 - 2014-12-20,56
2014-12-21 - 2014-12-27,50
2014-12-28 - 2015-01-03,53
2015-01-04 - 2015-01-10,57
2015-01-11 - 2015-01-17,57
2015-01-18 - 2015-01-24,56
2015-01-25 - 2015-01-31,54
2015-02-01 - 2015-02-07,53
2015-02-08 - 2015-02-14,56
2015-02-15 - 2015-02-21,63
2015-02-22 - 2015-02-28,78
2015-03-01 - 2015-03-07,54
2015-03-08 - 2015-03-14,53
2015-03-15 - 2015-03-21,51
2015-03-22 - 2015-03-28,53
2015-03-29 - 2015-04-04,55
2015-04-05 - 2015-04-11,51
2015-04-12 - 2015-04-18,50
2015-04-19 - 2015-04-25,50
2015-04-26 - 2015-05-02,55
2015-05-03 - 2015-05-09,54
2015-05-10 - 2015-05-16,52
2015-05-17 - 2015-05-23,62
2015-05-24 - 2015-05-30,64
2015-05-31 - 2015-06-06,57
2015-06-07 - 2015-06-13,61
2015-06-14 - 2015-06-20,65
2015-06-21 - 2015-06-27,52
2015-06-28 - 2015-07-04,50
2015-07-05 - 2015-07-11,47
2015-07-12 - 2015-07-18,48
2015-07-19 - 2015-07-25,50
2015-07-26 - 2015-08-01,48
2015-08-02 - 2015-08-08,48
2015-08-09 - 2015-08-15,52
2015-08-16 - 2015-08-22,54
2015-08-23 - 2015-08-29,53
2015-08-30 - 2015-09-05,50
2015-09-06 - 2015-09-12,57
2015-09-13 - 2015-09-19,52
2015-09-20 - 2015-09-26,52
2015-09-27 - 2015-10-03,50
2015-10-04 - 2015-10-10,50
2015-10-11 - 2015-10-17,53
2015-10-18 - 2015-10-24,51
2015-10-25 - 2015-10-31,51
2015-11-01 - 2015-11-07,52
2015-11-08 - 2015-11-14,48
2015-11-15 - 2015-11-21,48
2015-11-22 - 2015-11-28,47
2015-11-29 - 2015-12-05,57
2015-12-06 - 2015-12-12,55
2015-12-13 - 2015-12-19,53
2015-12-20 - 2015-12-26,51
2015-12-27 - 2016-01-02,53
2016-01-03 - 2016-01-09,54
2016-01-10 - 2016-01-16,51
2016-01-17 - 2016-01-23,54
2016-01-24 - 2016-01-30,51
2016-01-31 - 2016-02-06,50
2016-02-07 - 2016-02-13,53
2016-02-14 - 2016-02-20,55
2016-02-21 - 2016-02-27,50
2016-02-28 - 2016-03-05,59
2016-03-06 - 2016-03-12,50
2016-03-13 - 2016-03-19,55
2016-03-20 - 2016-03-26,50
2016-03-27 - 2016-04-02,48
2016-04-03 - 2016-04-09,48
2016-04-10 - 2016-04-16,55
2016-04-17 - 2016-04-23,52
2016-04-24 - 2016-04-30,58
2016-05-01 - 2016-05-07,51
2016-05-08 - 2016-05-14,55
2016-05-15 - 2016-05-21,52
2016-05-22 - 2016-05-28,52
2016-05-29 - 2016-06-04,67
2016-06-05 - 2016-06-11,64
2016-06-12 - 2016-06-18,65
2016-06-19 - 2016-06-25,59
2016-06-26 - 2016-07-02,49


Top regions for stephen+e.+harris
Region,stephen+e.+harris
United States,100
Australia,82
United Kingdom,76
Ireland,75
New Zealand,70
Canada,68
Philippines,49
Singapore,43
South Africa,37
Norway,30
Hong Kong,29
Nigeria,27
Indonesia,26
Denmark,26
Sweden,25
Austria,25
Hungary,25
Germany,24
Malaysia,23
Switzerland,23
Mexico,22
Chile,22
Czech Republic,22
Netherlands,21
Finland,21
United Arab Emirates,20
Portugal,19
Belgium,19
Spain,19
Italy,18
Ecuador,18
Argentina,18
Peru,17
Croatia,17
Poland,17
Colombia,17
Greece,16
France,15
Brazil,15
Venezuela,15
India,15
Romania,13
Pakistan,13
Israel,11
South Korea,11
Taiwan,9
Turkey,9
Thailand,4
Russia,4
Vietnam,4
Japan,3


Top cities for stephen+e.+harris
City,stephen+e.+harris
Houston (United States),100
Charlotte (United States),72
Austin (United States),47
Washington (United States),47
Chicago (United States),46
Phoenix (United States),45
New York (United States),38
Philadelphia (United States),37
Boston (United States),37
Atlanta (United States),37
Dallas (United States),35
San Francisco (United States),33
Sydney (Australia),33
Los Angeles (United States),33
Melbourne (Australia),32



Top searches for stephen+e.+harris
calvin harris,100
stephen hawking,90
stephen king,85
stephen curry,60
harris county,55
harris teeter,40
neil patrick harris,35
stephen colbert,30
harris bank,25
stephen fry,20
stephen amell,15
bmo harris,15
stephen james,10
rolf harris,10
e. coli,10
taylor swift,10
sam harris,10
ed harris,10
calvin harris summer,10
harris j,10
richard harris,10
stephen a smith,10
crystal harris,10
stephen harper,10
charlaine harris,5
emmylou harris,5
bmo harris bank,5
chris harris,5
harris scarfe,5
stephen covey,5
stephen king books,5
stephen lynch,5
stephen merchant,5
harris county clerk,5
it stephen king,5
robert harris,5
danneel harris,5
steve harris,5
stephen f austin,5
stephen moyer,5
phil harris,5
harris county jail,5
stephen chow,5
stephen jackson,5
stephen collins,5
eric harris,5
stephen gately,5
stephen hill,5
stephen baldwin,5
stephen king movies,5



Rising searches for stephen+e.+harris
bmo harris,Breakout
calvin harris,Breakout
stephen amell,Breakout
stephen curry,Breakout
stephen colbert,+2,400%
neil patrick harris,+1,550%
stephen fry,+400%
harris teeter,+250%
stephen hawking,+200%
harris bank,+110%



