Web Search interest: barbara+liskov
Worldwide 2004 - present

Interest over time
Week,barbara+liskov
2012-12-02 - 2012-12-08,59
2012-12-09 - 2012-12-15,57
2012-12-16 - 2012-12-22,49
2012-12-23 - 2012-12-29,50
2012-12-30 - 2013-01-05,53
2013-01-06 - 2013-01-12,53
2013-01-13 - 2013-01-19,51
2013-01-20 - 2013-01-26,55
2013-01-27 - 2013-02-02,51
2013-02-03 - 2013-02-09,50
2013-02-10 - 2013-02-16,49
2013-02-17 - 2013-02-23,51
2013-02-24 - 2013-03-02,52
2013-03-03 - 2013-03-09,49
2013-03-10 - 2013-03-16,49
2013-03-17 - 2013-03-23,50
2013-03-24 - 2013-03-30,49
2013-03-31 - 2013-04-06,50
2013-04-07 - 2013-04-13,50
2013-04-14 - 2013-04-20,48
2013-04-21 - 2013-04-27,49
2013-04-28 - 2013-05-04,53
2013-05-05 - 2013-05-11,50
2013-05-12 - 2013-05-18,53
2013-05-19 - 2013-05-25,52
2013-05-26 - 2013-06-01,60
2013-06-02 - 2013-06-08,50
2013-06-09 - 2013-06-15,48
2013-06-16 - 2013-06-22,49
2013-06-23 - 2013-06-29,52
2013-06-30 - 2013-07-06,54
2013-07-07 - 2013-07-13,51
2013-07-14 - 2013-07-20,52
2013-07-21 - 2013-07-27,51
2013-07-28 - 2013-08-03,53
2013-08-04 - 2013-08-10,53
2013-08-11 - 2013-08-17,58
2013-08-18 - 2013-08-24,55
2013-08-25 - 2013-08-31,50
2013-09-01 - 2013-09-07,52
2013-09-08 - 2013-09-14,53
2013-09-15 - 2013-09-21,54
2013-09-22 - 2013-09-28,54
2013-09-29 - 2013-10-05,58
2013-10-06 - 2013-10-12,52
2013-10-13 - 2013-10-19,51
2013-10-20 - 2013-10-26,50
2013-10-27 - 2013-11-02,54
2013-11-03 - 2013-11-09,56
2013-11-10 - 2013-11-16,48
2013-11-17 - 2013-11-23,52
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,63
2013-12-08 - 2013-12-14,54
2013-12-15 - 2013-12-21,74
2013-12-22 - 2013-12-28,53
2013-12-29 - 2014-01-04,60
2014-01-05 - 2014-01-11,55
2014-01-12 - 2014-01-18,53
2014-01-19 - 2014-01-25,52
2014-01-26 - 2014-02-01,52
2014-02-02 - 2014-02-08,54
2014-02-09 - 2014-02-15,55
2014-02-16 - 2014-02-22,53
2014-02-23 - 2014-03-01,49
2014-03-02 - 2014-03-08,51
2014-03-09 - 2014-03-15,49
2014-03-16 - 2014-03-22,49
2014-03-23 - 2014-03-29,50
2014-03-30 - 2014-04-05,49
2014-04-06 - 2014-04-12,54
2014-04-13 - 2014-04-19,49
2014-04-20 - 2014-04-26,48
2014-04-27 - 2014-05-03,47
2014-05-04 - 2014-05-10,50
2014-05-11 - 2014-05-17,64
2014-05-18 - 2014-05-24,60
2014-05-25 - 2014-05-31,78
2014-06-01 - 2014-06-07,51
2014-06-08 - 2014-06-14,47
2014-06-15 - 2014-06-21,46
2014-06-22 - 2014-06-28,48
2014-06-29 - 2014-07-05,48
2014-07-06 - 2014-07-12,48
2014-07-13 - 2014-07-19,47
2014-07-20 - 2014-07-26,52
2014-07-27 - 2014-08-02,52
2014-08-03 - 2014-08-09,52
2014-08-10 - 2014-08-16,45
2014-08-17 - 2014-08-23,46
2014-08-24 - 2014-08-30,46
2014-08-31 - 2014-09-06,47
2014-09-07 - 2014-09-13,47
2014-09-14 - 2014-09-20,48
2014-09-21 - 2014-09-27,48
2014-09-28 - 2014-10-04,48
2014-10-05 - 2014-10-11,47
2014-10-12 - 2014-10-18,45
2014-10-19 - 2014-10-25,47
2014-10-26 - 2014-11-01,52
2014-11-02 - 2014-11-08,46
2014-11-09 - 2014-11-15,50
2014-11-16 - 2014-11-22,53
2014-11-23 - 2014-11-29,45
2014-11-30 - 2014-12-06,53
2014-12-07 - 2014-12-13,46
2014-12-14 - 2014-12-20,50
2014-12-21 - 2014-12-27,44
2014-12-28 - 2015-01-03,47
2015-01-04 - 2015-01-10,49
2015-01-11 - 2015-01-17,47
2015-01-18 - 2015-01-24,48
2015-01-25 - 2015-01-31,47
2015-02-01 - 2015-02-07,48
2015-02-08 - 2015-02-14,49
2015-02-15 - 2015-02-21,47
2015-02-22 - 2015-02-28,47
2015-03-01 - 2015-03-07,52
2015-03-08 - 2015-03-14,47
2015-03-15 - 2015-03-21,47
2015-03-22 - 2015-03-28,47
2015-03-29 - 2015-04-04,48
2015-04-05 - 2015-04-11,49
2015-04-12 - 2015-04-18,46
2015-04-19 - 2015-04-25,47
2015-04-26 - 2015-05-02,46
2015-05-03 - 2015-05-09,48
2015-05-10 - 2015-05-16,47
2015-05-17 - 2015-05-23,52
2015-05-24 - 2015-05-30,47
2015-05-31 - 2015-06-06,46
2015-06-07 - 2015-06-13,46
2015-06-14 - 2015-06-20,46
2015-06-21 - 2015-06-27,47
2015-06-28 - 2015-07-04,47
2015-07-05 - 2015-07-11,48
2015-07-12 - 2015-07-18,47
2015-07-19 - 2015-07-25,45
2015-07-26 - 2015-08-01,45
2015-08-02 - 2015-08-08,46
2015-08-09 - 2015-08-15,62
2015-08-16 - 2015-08-22,47
2015-08-23 - 2015-08-29,45
2015-08-30 - 2015-09-05,47
2015-09-06 - 2015-09-12,48
2015-09-13 - 2015-09-19,46
2015-09-20 - 2015-09-26,48
2015-09-27 - 2015-10-03,48
2015-10-04 - 2015-10-10,49
2015-10-11 - 2015-10-17,48
2015-10-18 - 2015-10-24,48
2015-10-25 - 2015-10-31,46
2015-11-01 - 2015-11-07,46
2015-11-08 - 2015-11-14,45
2015-11-15 - 2015-11-21,44
2015-11-22 - 2015-11-28,43
2015-11-29 - 2015-12-05,52
2015-12-06 - 2015-12-12,46
2015-12-13 - 2015-12-19,52
2015-12-20 - 2015-12-26,45
2015-12-27 - 2016-01-02,47
2016-01-03 - 2016-01-09,46
2016-01-10 - 2016-01-16,47
2016-01-17 - 2016-01-23,48
2016-01-24 - 2016-01-30,49
2016-01-31 - 2016-02-06,48
2016-02-07 - 2016-02-13,50
2016-02-14 - 2016-02-20,47
2016-02-21 - 2016-02-27,49
2016-02-28 - 2016-03-05,47
2016-03-06 - 2016-03-12,47
2016-03-13 - 2016-03-19,47
2016-03-20 - 2016-03-26,48
2016-03-27 - 2016-04-02,48
2016-04-03 - 2016-04-09,46
2016-04-10 - 2016-04-16,45
2016-04-17 - 2016-04-23,45
2016-04-24 - 2016-04-30,45
2016-05-01 - 2016-05-07,46
2016-05-08 - 2016-05-14,48
2016-05-15 - 2016-05-21,51
2016-05-22 - 2016-05-28,47
2016-05-29 - 2016-06-04,48
2016-06-05 - 2016-06-11,45
2016-06-12 - 2016-06-18,47
2016-06-19 - 2016-06-25,45
2016-06-26 - 2016-07-02,45


Top regions for barbara+liskov
Region,barbara+liskov
Austria,100
Slovenia,97
Venezuela,91
United States,75
Poland,70
Switzerland,68
Italy,68
Hungary,55
Germany,51
Croatia,50
Brazil,47
Guatemala,41
Costa Rica,40
Chile,38
Mexico,37
Portugal,36
Spain,33
Belgium,32
Canada,31
Argentina,31
Netherlands,27
Ecuador,27
Bolivia,26
Peru,26
Ireland,25
France,25
Slovakia,25
Colombia,24
United Kingdom,24
New Zealand,24
Australia,21
Czech Republic,19
Denmark,19
Serbia,17
Sweden,16
Norway,14
Philippines,14
South Africa,14
Greece,12
Singapore,11
Romania,11
Finland,10
Turkey,9
Israel,8
Malaysia,7
India,6
Indonesia,5
Russia,3
Japan,2


Top cities for barbara+liskov
City,barbara+liskov
Santa Barbara (United States),100
Goleta (United States),76
Los Angeles (United States),2
San Francisco (United States),1
San Diego (United States),1
Caracas (Venezuela),1
Vienna (Austria),1
Milan (Italy),1
Warsaw (Poland),1
Rome (Italy),1
Munich (Germany),0
Washington (United States),0
Budapest (Hungary),0
New York (United States),0
San Luis Obispo (United States),0



Top searches for barbara+liskov
santa barbara,100
barbara palvin,10
santa barbara ca,5
barbara mori,5
barbara walters,5
santa barbara california,5
barbara streisand,5
barbara evans,5
doña barbara,5
ana barbara,5
hotel santa barbara,5
santa barbara county,5
santa barbara craigslist,5
barbara eden,0
barbara berlusconi,0
barbara bush,0
weather santa barbara,0
santa barbara hotels,0
st barbara,0
uc santa barbara,0
barbara ann,0
santa barbara airlines,0
barbara schöneberger,0
lady barbara,0
barbara bach,0
barbara boxer,0
black barbara,0
barbra streisand,0
barbara hershey,0
barbara stanwyck,0
barbara windsor,0
barbara rossi,0
santa barbara news,0
barbara paz,0
santa barbara bank,0
barbara gordon,0
santa barbara bowl,0
dona barbara,0
barbara jordan,0
mission santa barbara,0
barbara bermudo,0
santa barbara restaurants,0
barbara kruger,0
barbara corcoran,0
barbara meier,0
santa barbara airport,0
barbara kingsolver,0
santa barbara zoo,0
barbara borges,0
barbara moore,0



Rising searches for barbara+liskov
barbara palvin,Breakout
santa barbara craigslist,Breakout
barbara berlusconi,+1,700%
barbara evans,+1,600%
doña barbara,+300%
weather santa barbara,+150%
santa barbara ca,+90%
st barbara,+80%
barbara walters,+50%
barbara eden,+40%



