Web Search interest: harald+zur+hausen
Worldwide 2004 - present

Interest over time
Week,harald+zur+hausen
2009-05-10 - 2009-05-16,70
2009-05-17 - 2009-05-23,62
2009-05-24 - 2009-05-30,67
2009-05-31 - 2009-06-06,63
2009-06-07 - 2009-06-13,65
2009-06-14 - 2009-06-20,68
2009-06-21 - 2009-06-27,66
2009-06-28 - 2009-07-04,61
2009-07-05 - 2009-07-11,63
2009-07-12 - 2009-07-18,62
2009-07-19 - 2009-07-25,62
2009-07-26 - 2009-08-01,59
2009-08-02 - 2009-08-08,61
2009-08-09 - 2009-08-15,64
2009-08-16 - 2009-08-22,63
2009-08-23 - 2009-08-29,64
2009-08-30 - 2009-09-05,64
2009-09-06 - 2009-09-12,64
2009-09-13 - 2009-09-19,66
2009-09-20 - 2009-09-26,69
2009-09-27 - 2009-10-03,65
2009-10-04 - 2009-10-10,61
2009-10-11 - 2009-10-17,60
2009-10-18 - 2009-10-24,59
2009-10-25 - 2009-10-31,61
2009-11-01 - 2009-11-07,62
2009-11-08 - 2009-11-14,63
2009-11-15 - 2009-11-21,62
2009-11-22 - 2009-11-28,63
2009-11-29 - 2009-12-05,61
2009-12-06 - 2009-12-12,59
2009-12-13 - 2009-12-19,57
2009-12-20 - 2009-12-26,46
2009-12-27 - 2010-01-02,48
2010-01-03 - 2010-01-09,57
2010-01-10 - 2010-01-16,63
2010-01-17 - 2010-01-23,61
2010-01-24 - 2010-01-30,60
2010-01-31 - 2010-02-06,60
2010-02-07 - 2010-02-13,59
2010-02-14 - 2010-02-20,58
2010-02-21 - 2010-02-27,61
2010-02-28 - 2010-03-06,62
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,60
2010-03-21 - 2010-03-27,59
2010-03-28 - 2010-04-03,54
2010-04-04 - 2010-04-10,58
2010-04-11 - 2010-04-17,66
2010-04-18 - 2010-04-24,63
2010-04-25 - 2010-05-01,64
2010-05-02 - 2010-05-08,71
2010-05-09 - 2010-05-15,63
2010-05-16 - 2010-05-22,64
2010-05-23 - 2010-05-29,59
2010-05-30 - 2010-06-05,61
2010-06-06 - 2010-06-12,62
2010-06-13 - 2010-06-19,62
2010-06-20 - 2010-06-26,61
2010-06-27 - 2010-07-03,56
2010-07-04 - 2010-07-10,57
2010-07-11 - 2010-07-17,56
2010-07-18 - 2010-07-24,58
2010-07-25 - 2010-07-31,57
2010-08-01 - 2010-08-07,57
2010-08-08 - 2010-08-14,57
2010-08-15 - 2010-08-21,59
2010-08-22 - 2010-08-28,58
2010-08-29 - 2010-09-04,57
2010-09-05 - 2010-09-11,57
2010-09-12 - 2010-09-18,58
2010-09-19 - 2010-09-25,56
2010-09-26 - 2010-10-02,57
2010-10-03 - 2010-10-09,55
2010-10-10 - 2010-10-16,53
2010-10-17 - 2010-10-23,54
2010-10-24 - 2010-10-30,55
2010-10-31 - 2010-11-06,56
2010-11-07 - 2010-11-13,57
2010-11-14 - 2010-11-20,57
2010-11-21 - 2010-11-27,57
2010-11-28 - 2010-12-04,53
2010-12-05 - 2010-12-11,54
2010-12-12 - 2010-12-18,54
2010-12-19 - 2010-12-25,46
2010-12-26 - 2011-01-01,41
2011-01-02 - 2011-01-08,51
2011-01-09 - 2011-01-15,56
2011-01-16 - 2011-01-22,57
2011-01-23 - 2011-01-29,56
2011-01-30 - 2011-02-05,55
2011-02-06 - 2011-02-12,55
2011-02-13 - 2011-02-19,56
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,53
2011-03-06 - 2011-03-12,52
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,56
2011-03-27 - 2011-04-02,57
2011-04-03 - 2011-04-09,56
2011-04-10 - 2011-04-16,57
2011-04-17 - 2011-04-23,48
2011-04-24 - 2011-04-30,54
2011-05-01 - 2011-05-07,61
2011-05-08 - 2011-05-14,62
2011-05-15 - 2011-05-21,62
2011-05-22 - 2011-05-28,61
2011-05-29 - 2011-06-04,56
2011-06-05 - 2011-06-11,58
2011-06-12 - 2011-06-18,54
2011-06-19 - 2011-06-25,56
2011-06-26 - 2011-07-02,55
2011-07-03 - 2011-07-09,55
2011-07-10 - 2011-07-16,54
2011-07-17 - 2011-07-23,54
2011-07-24 - 2011-07-30,53
2011-07-31 - 2011-08-06,51
2011-08-07 - 2011-08-13,53
2011-08-14 - 2011-08-20,53
2011-08-21 - 2011-08-27,52
2011-08-28 - 2011-09-03,52
2011-09-04 - 2011-09-10,53
2011-09-11 - 2011-09-17,56
2011-09-18 - 2011-09-24,54
2011-09-25 - 2011-10-01,52
2011-10-02 - 2011-10-08,50
2011-10-09 - 2011-10-15,51
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,54
2011-11-06 - 2011-11-12,54
2011-11-13 - 2011-11-19,54
2011-11-20 - 2011-11-26,53
2011-11-27 - 2011-12-03,52
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,53
2011-12-18 - 2011-12-24,47
2011-12-25 - 2011-12-31,41
2012-01-01 - 2012-01-07,53
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,54
2012-01-22 - 2012-01-28,53
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,51
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,51
2012-02-26 - 2012-03-03,54
2012-03-04 - 2012-03-10,53
2012-03-11 - 2012-03-17,51
2012-03-18 - 2012-03-24,53
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,48
2012-04-08 - 2012-04-14,52
2012-04-15 - 2012-04-21,59
2012-04-22 - 2012-04-28,57
2012-04-29 - 2012-05-05,55
2012-05-06 - 2012-05-12,58
2012-05-13 - 2012-05-19,52
2012-05-20 - 2012-05-26,54
2012-05-27 - 2012-06-02,52
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,55
2012-06-17 - 2012-06-23,52
2012-06-24 - 2012-06-30,54
2012-07-01 - 2012-07-07,56
2012-07-08 - 2012-07-14,54
2012-07-15 - 2012-07-21,55
2012-07-22 - 2012-07-28,51
2012-07-29 - 2012-08-04,51
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,52
2012-08-19 - 2012-08-25,54
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,53
2012-09-09 - 2012-09-15,52
2012-09-16 - 2012-09-22,52
2012-09-23 - 2012-09-29,51
2012-09-30 - 2012-10-06,47
2012-10-07 - 2012-10-13,49
2012-10-14 - 2012-10-20,47
2012-10-21 - 2012-10-27,48
2012-10-28 - 2012-11-03,46
2012-11-04 - 2012-11-10,49
2012-11-11 - 2012-11-17,49
2012-11-18 - 2012-11-24,49
2012-11-25 - 2012-12-01,49
2012-12-02 - 2012-12-08,48
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,46
2012-12-23 - 2012-12-29,36
2012-12-30 - 2013-01-05,41
2013-01-06 - 2013-01-12,48
2013-01-13 - 2013-01-19,49
2013-01-20 - 2013-01-26,49
2013-01-27 - 2013-02-02,49
2013-02-03 - 2013-02-09,48
2013-02-10 - 2013-02-16,47
2013-02-17 - 2013-02-23,50
2013-02-24 - 2013-03-02,49
2013-03-03 - 2013-03-09,48
2013-03-10 - 2013-03-16,50
2013-03-17 - 2013-03-23,50
2013-03-24 - 2013-03-30,47
2013-03-31 - 2013-04-06,49
2013-04-07 - 2013-04-13,54
2013-04-14 - 2013-04-20,52
2013-04-21 - 2013-04-27,53
2013-04-28 - 2013-05-04,52
2013-05-05 - 2013-05-11,51
2013-05-12 - 2013-05-18,52
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,52
2013-06-02 - 2013-06-08,50
2013-06-09 - 2013-06-15,51
2013-06-16 - 2013-06-22,48
2013-06-23 - 2013-06-29,52
2013-06-30 - 2013-07-06,52
2013-07-07 - 2013-07-13,48
2013-07-14 - 2013-07-20,47
2013-07-21 - 2013-07-27,46
2013-07-28 - 2013-08-03,48
2013-08-04 - 2013-08-10,49
2013-08-11 - 2013-08-17,47
2013-08-18 - 2013-08-24,49
2013-08-25 - 2013-08-31,49
2013-09-01 - 2013-09-07,49
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,49
2013-09-22 - 2013-09-28,49
2013-09-29 - 2013-10-05,43
2013-10-06 - 2013-10-12,46
2013-10-13 - 2013-10-19,47
2013-10-20 - 2013-10-26,45
2013-10-27 - 2013-11-02,44
2013-11-03 - 2013-11-09,47
2013-11-10 - 2013-11-16,47
2013-11-17 - 2013-11-23,47
2013-11-24 - 2013-11-30,46
2013-12-01 - 2013-12-07,46
2013-12-08 - 2013-12-14,47
2013-12-15 - 2013-12-21,45
2013-12-22 - 2013-12-28,34
2013-12-29 - 2014-01-04,39
2014-01-05 - 2014-01-11,48
2014-01-12 - 2014-01-18,49
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,47
2014-02-02 - 2014-02-08,47
2014-02-09 - 2014-02-15,46
2014-02-16 - 2014-02-22,45
2014-02-23 - 2014-03-01,44
2014-03-02 - 2014-03-08,45
2014-03-09 - 2014-03-15,46
2014-03-16 - 2014-03-22,48
2014-03-23 - 2014-03-29,48
2014-03-30 - 2014-04-05,46
2014-04-06 - 2014-04-12,49
2014-04-13 - 2014-04-19,45
2014-04-20 - 2014-04-26,47
2014-04-27 - 2014-05-03,54
2014-05-04 - 2014-05-10,57
2014-05-11 - 2014-05-17,55
2014-05-18 - 2014-05-24,55
2014-05-25 - 2014-05-31,54
2014-06-01 - 2014-06-07,54
2014-06-08 - 2014-06-14,49
2014-06-15 - 2014-06-21,49
2014-06-22 - 2014-06-28,51
2014-06-29 - 2014-07-05,53
2014-07-06 - 2014-07-12,53
2014-07-13 - 2014-07-19,50
2014-07-20 - 2014-07-26,53
2014-07-27 - 2014-08-02,50
2014-08-03 - 2014-08-09,49
2014-08-10 - 2014-08-16,49
2014-08-17 - 2014-08-23,50
2014-08-24 - 2014-08-30,48
2014-08-31 - 2014-09-06,48
2014-09-07 - 2014-09-13,50
2014-09-14 - 2014-09-20,50
2014-09-21 - 2014-09-27,48
2014-09-28 - 2014-10-04,46
2014-10-05 - 2014-10-11,49
2014-10-12 - 2014-10-18,48
2014-10-19 - 2014-10-25,47
2014-10-26 - 2014-11-01,46
2014-11-02 - 2014-11-08,48
2014-11-09 - 2014-11-15,49
2014-11-16 - 2014-11-22,49
2014-11-23 - 2014-11-29,47
2014-11-30 - 2014-12-06,46
2014-12-07 - 2014-12-13,48
2014-12-14 - 2014-12-20,47
2014-12-21 - 2014-12-27,37
2014-12-28 - 2015-01-03,39
2015-01-04 - 2015-01-10,47
2015-01-11 - 2015-01-17,51
2015-01-18 - 2015-01-24,50
2015-01-25 - 2015-01-31,48
2015-02-01 - 2015-02-07,47
2015-02-08 - 2015-02-14,47
2015-02-15 - 2015-02-21,48
2015-02-22 - 2015-02-28,49
2015-03-01 - 2015-03-07,49
2015-03-08 - 2015-03-14,48
2015-03-15 - 2015-03-21,49
2015-03-22 - 2015-03-28,48
2015-03-29 - 2015-04-04,46
2015-04-05 - 2015-04-11,47
2015-04-12 - 2015-04-18,51
2015-04-19 - 2015-04-25,52
2015-04-26 - 2015-05-02,54
2015-05-03 - 2015-05-09,55
2015-05-10 - 2015-05-16,51
2015-05-17 - 2015-05-23,53
2015-05-24 - 2015-05-30,52
2015-05-31 - 2015-06-06,50
2015-06-07 - 2015-06-13,52
2015-06-14 - 2015-06-20,53
2015-06-21 - 2015-06-27,52
2015-06-28 - 2015-07-04,49
2015-07-05 - 2015-07-11,50
2015-07-12 - 2015-07-18,50
2015-07-19 - 2015-07-25,49
2015-07-26 - 2015-08-01,48
2015-08-02 - 2015-08-08,48
2015-08-09 - 2015-08-15,51
2015-08-16 - 2015-08-22,49
2015-08-23 - 2015-08-29,49
2015-08-30 - 2015-09-05,49
2015-09-06 - 2015-09-12,48
2015-09-13 - 2015-09-19,52
2015-09-20 - 2015-09-26,48
2015-09-27 - 2015-10-03,46
2015-10-04 - 2015-10-10,48
2015-10-11 - 2015-10-17,47
2015-10-18 - 2015-10-24,45
2015-10-25 - 2015-10-31,45
2015-11-01 - 2015-11-07,46
2015-11-08 - 2015-11-14,47
2015-11-15 - 2015-11-21,46
2015-11-22 - 2015-11-28,45
2015-11-29 - 2015-12-05,44
2015-12-06 - 2015-12-12,46
2015-12-13 - 2015-12-19,47
2015-12-20 - 2015-12-26,39
2015-12-27 - 2016-01-02,38
2016-01-03 - 2016-01-09,45
2016-01-10 - 2016-01-16,49
2016-01-17 - 2016-01-23,49
2016-01-24 - 2016-01-30,46
2016-01-31 - 2016-02-06,45
2016-02-07 - 2016-02-13,46
2016-02-14 - 2016-02-20,47
2016-02-21 - 2016-02-27,47
2016-02-28 - 2016-03-05,47
2016-03-06 - 2016-03-12,48
2016-03-13 - 2016-03-19,48
2016-03-20 - 2016-03-26,45
2016-03-27 - 2016-04-02,46
2016-04-03 - 2016-04-09,50
2016-04-10 - 2016-04-16,52
2016-04-17 - 2016-04-23,51
2016-04-24 - 2016-04-30,54
2016-05-01 - 2016-05-07,47
2016-05-08 - 2016-05-14,49
2016-05-15 - 2016-05-21,49
2016-05-22 - 2016-05-28,49
2016-05-29 - 2016-06-04,53
2016-06-05 - 2016-06-11,51
2016-06-12 - 2016-06-18,51
2016-06-19 - 2016-06-25,48
2016-06-26 - 2016-07-02,46


Top regions for harald+zur+hausen
Region,harald+zur+hausen
Germany,100
Austria,81
Denmark,80
Switzerland,43
Norway,28
Sweden,11
Finland,5
Netherlands,3
Belgium,3
Italy,1
Poland,1
United Kingdom,1
Spain,1
France,1
Argentina,1
Brazil,1


Top cities for harald+zur+hausen
City,harald+zur+hausen
Halle (Germany),100
Erfurt (Germany),99
Leipzig (Germany),93
Dresden (Germany),93
Kassel (Germany),90
Würzburg (Germany),89
Bonn (Germany),87
Münster (Germany),87
Oldenburg (Germany),85
Osnabrück (Germany),84
Nuremberg (Germany),84
Mainz (Germany),83
Hanover (Germany),82
Kiel (Germany),81
Bremen (Germany),81



Top searches for harald+zur+hausen
harald nyborg,100
zur geburt,60
geburt,60
sprüche,60
glückwünsche,50
zur zeit,30
harald schmidt,20
zur verfügung,20
glückwünsche zur geburt,20
glückwünsche zur hochzeit,20
hotel zur post,15
zur linde,15
sprüche zur hochzeit,15
gedichte,15
sprüche zur geburt,15
zur rose,10
harald glööckler,10
jem og fix,5
haus zur miete,5
gasthof zur post,5
gedichte zur hochzeit,5
silvan,5
biltema,5
spruch zur geburt,5
wünsche zur hochzeit,5
spruch zur hochzeit,5
apotheke zur rose,5
geldgeschenke,5
wohnungen zur miete,5
hotel zur linde,5
zur bleiche,5
glückwünsche zur taufe,5
geschenke zur geburt,5
harald lesch,5
glückwunsch zur geburt,5
sprüche zur taufe,5
geldgeschenke zur hochzeit,5
harald schmidt show,5
harald juhnke,5
sprüche zur konfirmation,5
zur verfügung stellen,5
kong harald,5
wünsche zur geburt,5
gedichte zur geburt,5
geschenke zur hochzeit,5
thansen,5
biss zur mittagsstunde,5
glückwünsche zur konfirmation,5
häuser zur miete,5
zur kenntnis,0



Rising searches for harald+zur+hausen
harald glööckler,+3,150%
zur rose,+250%
harald nyborg,+110%
zur verfügung,+90%
geburt,+60%
sprüche zur hochzeit,+60%
zur geburt,+60%
sprüche,+50%
sprüche zur geburt,+50%
zur linde,+40%



