Web Search interest: carol+w.+greider
Worldwide 2004 - present

Interest over time
Week,carol+w.+greider
2009-06-07 - 2009-06-13,44
2009-06-14 - 2009-06-20,42
2009-06-21 - 2009-06-27,41
2009-06-28 - 2009-07-04,39
2009-07-05 - 2009-07-11,41
2009-07-12 - 2009-07-18,43
2009-07-19 - 2009-07-25,44
2009-07-26 - 2009-08-01,43
2009-08-02 - 2009-08-08,43
2009-08-09 - 2009-08-15,42
2009-08-16 - 2009-08-22,42
2009-08-23 - 2009-08-29,44
2009-08-30 - 2009-09-05,42
2009-09-06 - 2009-09-12,41
2009-09-13 - 2009-09-19,44
2009-09-20 - 2009-09-26,44
2009-09-27 - 2009-10-03,42
2009-10-04 - 2009-10-10,45
2009-10-11 - 2009-10-17,44
2009-10-18 - 2009-10-24,45
2009-10-25 - 2009-10-31,45
2009-11-01 - 2009-11-07,55
2009-11-08 - 2009-11-14,59
2009-11-15 - 2009-11-21,59
2009-11-22 - 2009-11-28,58
2009-11-29 - 2009-12-05,67
2009-12-06 - 2009-12-12,72
2009-12-13 - 2009-12-19,75
2009-12-20 - 2009-12-26,73
2009-12-27 - 2010-01-02,49
2010-01-03 - 2010-01-09,46
2010-01-10 - 2010-01-16,44
2010-01-17 - 2010-01-23,42
2010-01-24 - 2010-01-30,43
2010-01-31 - 2010-02-06,41
2010-02-07 - 2010-02-13,40
2010-02-14 - 2010-02-20,40
2010-02-21 - 2010-02-27,41
2010-02-28 - 2010-03-06,41
2010-03-07 - 2010-03-13,40
2010-03-14 - 2010-03-20,40
2010-03-21 - 2010-03-27,43
2010-03-28 - 2010-04-03,40
2010-04-04 - 2010-04-10,41
2010-04-11 - 2010-04-17,40
2010-04-18 - 2010-04-24,40
2010-04-25 - 2010-05-01,42
2010-05-02 - 2010-05-08,40
2010-05-09 - 2010-05-15,41
2010-05-16 - 2010-05-22,40
2010-05-23 - 2010-05-29,40
2010-05-30 - 2010-06-05,39
2010-06-06 - 2010-06-12,41
2010-06-13 - 2010-06-19,40
2010-06-20 - 2010-06-26,39
2010-06-27 - 2010-07-03,38
2010-07-04 - 2010-07-10,38
2010-07-11 - 2010-07-17,39
2010-07-18 - 2010-07-24,42
2010-07-25 - 2010-07-31,40
2010-08-01 - 2010-08-07,40
2010-08-08 - 2010-08-14,39
2010-08-15 - 2010-08-21,38
2010-08-22 - 2010-08-28,38
2010-08-29 - 2010-09-04,37
2010-09-05 - 2010-09-11,38
2010-09-12 - 2010-09-18,38
2010-09-19 - 2010-09-25,38
2010-09-26 - 2010-10-02,39
2010-10-03 - 2010-10-09,40
2010-10-10 - 2010-10-16,40
2010-10-17 - 2010-10-23,41
2010-10-24 - 2010-10-30,41
2010-10-31 - 2010-11-06,43
2010-11-07 - 2010-11-13,47
2010-11-14 - 2010-11-20,48
2010-11-21 - 2010-11-27,47
2010-11-28 - 2010-12-04,55
2010-12-05 - 2010-12-11,61
2010-12-12 - 2010-12-18,65
2010-12-19 - 2010-12-25,70
2010-12-26 - 2011-01-01,46
2011-01-02 - 2011-01-08,41
2011-01-09 - 2011-01-15,40
2011-01-16 - 2011-01-22,38
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,38
2011-02-06 - 2011-02-12,38
2011-02-13 - 2011-02-19,37
2011-02-20 - 2011-02-26,37
2011-02-27 - 2011-03-05,38
2011-03-06 - 2011-03-12,36
2011-03-13 - 2011-03-19,35
2011-03-20 - 2011-03-26,38
2011-03-27 - 2011-04-02,36
2011-04-03 - 2011-04-09,37
2011-04-10 - 2011-04-16,36
2011-04-17 - 2011-04-23,37
2011-04-24 - 2011-04-30,39
2011-05-01 - 2011-05-07,36
2011-05-08 - 2011-05-14,36
2011-05-15 - 2011-05-21,36
2011-05-22 - 2011-05-28,36
2011-05-29 - 2011-06-04,35
2011-06-05 - 2011-06-11,42
2011-06-12 - 2011-06-18,36
2011-06-19 - 2011-06-25,35
2011-06-26 - 2011-07-02,34
2011-07-03 - 2011-07-09,34
2011-07-10 - 2011-07-16,36
2011-07-17 - 2011-07-23,37
2011-07-24 - 2011-07-30,36
2011-07-31 - 2011-08-06,36
2011-08-07 - 2011-08-13,36
2011-08-14 - 2011-08-20,37
2011-08-21 - 2011-08-27,37
2011-08-28 - 2011-09-03,36
2011-09-04 - 2011-09-10,39
2011-09-11 - 2011-09-17,37
2011-09-18 - 2011-09-24,36
2011-09-25 - 2011-10-01,37
2011-10-02 - 2011-10-08,35
2011-10-09 - 2011-10-15,36
2011-10-16 - 2011-10-22,37
2011-10-23 - 2011-10-29,41
2011-10-30 - 2011-11-05,41
2011-11-06 - 2011-11-12,59
2011-11-13 - 2011-11-19,47
2011-11-20 - 2011-11-26,44
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,55
2011-12-11 - 2011-12-17,58
2011-12-18 - 2011-12-24,62
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,37
2012-01-08 - 2012-01-14,37
2012-01-15 - 2012-01-21,38
2012-01-22 - 2012-01-28,37
2012-01-29 - 2012-02-04,35
2012-02-05 - 2012-02-11,36
2012-02-12 - 2012-02-18,35
2012-02-19 - 2012-02-25,34
2012-02-26 - 2012-03-03,35
2012-03-04 - 2012-03-10,34
2012-03-11 - 2012-03-17,34
2012-03-18 - 2012-03-24,33
2012-03-25 - 2012-03-31,33
2012-04-01 - 2012-04-07,35
2012-04-08 - 2012-04-14,36
2012-04-15 - 2012-04-21,34
2012-04-22 - 2012-04-28,37
2012-04-29 - 2012-05-05,36
2012-05-06 - 2012-05-12,39
2012-05-13 - 2012-05-19,37
2012-05-20 - 2012-05-26,37
2012-05-27 - 2012-06-02,34
2012-06-03 - 2012-06-09,37
2012-06-10 - 2012-06-16,35
2012-06-17 - 2012-06-23,45
2012-06-24 - 2012-06-30,36
2012-07-01 - 2012-07-07,33
2012-07-08 - 2012-07-14,36
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,37
2012-07-29 - 2012-08-04,36
2012-08-05 - 2012-08-11,35
2012-08-12 - 2012-08-18,37
2012-08-19 - 2012-08-25,37
2012-08-26 - 2012-09-01,38
2012-09-02 - 2012-09-08,37
2012-09-09 - 2012-09-15,37
2012-09-16 - 2012-09-22,37
2012-09-23 - 2012-09-29,38
2012-09-30 - 2012-10-06,38
2012-10-07 - 2012-10-13,35
2012-10-14 - 2012-10-20,36
2012-10-21 - 2012-10-27,36
2012-10-28 - 2012-11-03,36
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,41
2012-11-18 - 2012-11-24,39
2012-11-25 - 2012-12-01,45
2012-12-02 - 2012-12-08,51
2012-12-09 - 2012-12-15,54
2012-12-16 - 2012-12-22,57
2012-12-23 - 2012-12-29,50
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,33
2013-01-20 - 2013-01-26,32
2013-01-27 - 2013-02-02,33
2013-02-03 - 2013-02-09,33
2013-02-10 - 2013-02-16,33
2013-02-17 - 2013-02-23,32
2013-02-24 - 2013-03-02,34
2013-03-03 - 2013-03-09,34
2013-03-10 - 2013-03-16,35
2013-03-17 - 2013-03-23,35
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,40
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,35
2013-04-28 - 2013-05-04,33
2013-05-05 - 2013-05-11,34
2013-05-12 - 2013-05-18,32
2013-05-19 - 2013-05-25,33
2013-05-26 - 2013-06-01,33
2013-06-02 - 2013-06-08,34
2013-06-09 - 2013-06-15,32
2013-06-16 - 2013-06-22,32
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,33
2013-07-14 - 2013-07-20,36
2013-07-21 - 2013-07-27,36
2013-07-28 - 2013-08-03,35
2013-08-04 - 2013-08-10,37
2013-08-11 - 2013-08-17,36
2013-08-18 - 2013-08-24,38
2013-08-25 - 2013-08-31,35
2013-09-01 - 2013-09-07,37
2013-09-08 - 2013-09-14,36
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,35
2013-09-29 - 2013-10-05,37
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,36
2013-10-20 - 2013-10-26,38
2013-10-27 - 2013-11-02,41
2013-11-03 - 2013-11-09,46
2013-11-10 - 2013-11-16,51
2013-11-17 - 2013-11-23,46
2013-11-24 - 2013-11-30,45
2013-12-01 - 2013-12-07,50
2013-12-08 - 2013-12-14,89
2013-12-15 - 2013-12-21,68
2013-12-22 - 2013-12-28,57
2013-12-29 - 2014-01-04,37
2014-01-05 - 2014-01-11,36
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,33
2014-01-26 - 2014-02-01,35
2014-02-02 - 2014-02-08,33
2014-02-09 - 2014-02-15,33
2014-02-16 - 2014-02-22,32
2014-02-23 - 2014-03-01,33
2014-03-02 - 2014-03-08,32
2014-03-09 - 2014-03-15,33
2014-03-16 - 2014-03-22,34
2014-03-23 - 2014-03-29,33
2014-03-30 - 2014-04-05,33
2014-04-06 - 2014-04-12,33
2014-04-13 - 2014-04-19,31
2014-04-20 - 2014-04-26,33
2014-04-27 - 2014-05-03,32
2014-05-04 - 2014-05-10,32
2014-05-11 - 2014-05-17,31
2014-05-18 - 2014-05-24,33
2014-05-25 - 2014-05-31,31
2014-06-01 - 2014-06-07,33
2014-06-08 - 2014-06-14,32
2014-06-15 - 2014-06-21,31
2014-06-22 - 2014-06-28,32
2014-06-29 - 2014-07-05,32
2014-07-06 - 2014-07-12,34
2014-07-13 - 2014-07-19,33
2014-07-20 - 2014-07-26,35
2014-07-27 - 2014-08-02,33
2014-08-03 - 2014-08-09,31
2014-08-10 - 2014-08-16,32
2014-08-17 - 2014-08-23,32
2014-08-24 - 2014-08-30,31
2014-08-31 - 2014-09-06,32
2014-09-07 - 2014-09-13,31
2014-09-14 - 2014-09-20,32
2014-09-21 - 2014-09-27,31
2014-09-28 - 2014-10-04,33
2014-10-05 - 2014-10-11,35
2014-10-12 - 2014-10-18,35
2014-10-19 - 2014-10-25,35
2014-10-26 - 2014-11-01,38
2014-11-02 - 2014-11-08,39
2014-11-09 - 2014-11-15,57
2014-11-16 - 2014-11-22,42
2014-11-23 - 2014-11-29,38
2014-11-30 - 2014-12-06,47
2014-12-07 - 2014-12-13,51
2014-12-14 - 2014-12-20,54
2014-12-21 - 2014-12-27,55
2014-12-28 - 2015-01-03,34
2015-01-04 - 2015-01-10,32
2015-01-11 - 2015-01-17,31
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,30
2015-02-01 - 2015-02-07,31
2015-02-08 - 2015-02-14,30
2015-02-15 - 2015-02-21,36
2015-02-22 - 2015-02-28,32
2015-03-01 - 2015-03-07,30
2015-03-08 - 2015-03-14,33
2015-03-15 - 2015-03-21,30
2015-03-22 - 2015-03-28,30
2015-03-29 - 2015-04-04,30
2015-04-05 - 2015-04-11,31
2015-04-12 - 2015-04-18,35
2015-04-19 - 2015-04-25,30
2015-04-26 - 2015-05-02,32
2015-05-03 - 2015-05-09,31
2015-05-10 - 2015-05-16,32
2015-05-17 - 2015-05-23,32
2015-05-24 - 2015-05-30,30
2015-05-31 - 2015-06-06,31
2015-06-07 - 2015-06-13,32
2015-06-14 - 2015-06-20,29
2015-06-21 - 2015-06-27,29
2015-06-28 - 2015-07-04,32
2015-07-05 - 2015-07-11,32
2015-07-12 - 2015-07-18,30
2015-07-19 - 2015-07-25,32
2015-07-26 - 2015-08-01,32
2015-08-02 - 2015-08-08,31
2015-08-09 - 2015-08-15,32
2015-08-16 - 2015-08-22,33
2015-08-23 - 2015-08-29,32
2015-08-30 - 2015-09-05,31
2015-09-06 - 2015-09-12,29
2015-09-13 - 2015-09-19,35
2015-09-20 - 2015-09-26,35
2015-09-27 - 2015-10-03,34
2015-10-04 - 2015-10-10,33
2015-10-11 - 2015-10-17,32
2015-10-18 - 2015-10-24,35
2015-10-25 - 2015-10-31,34
2015-11-01 - 2015-11-07,35
2015-11-08 - 2015-11-14,39
2015-11-15 - 2015-11-21,39
2015-11-22 - 2015-11-28,40
2015-11-29 - 2015-12-05,48
2015-12-06 - 2015-12-12,56
2015-12-13 - 2015-12-19,60
2015-12-20 - 2015-12-26,67
2015-12-27 - 2016-01-02,46
2016-01-03 - 2016-01-09,44
2016-01-10 - 2016-01-16,48
2016-01-17 - 2016-01-23,43
2016-01-24 - 2016-01-30,39
2016-01-31 - 2016-02-06,41
2016-02-07 - 2016-02-13,36
2016-02-14 - 2016-02-20,37
2016-02-21 - 2016-02-27,38
2016-02-28 - 2016-03-05,41
2016-03-06 - 2016-03-12,36
2016-03-13 - 2016-03-19,40
2016-03-20 - 2016-03-26,37
2016-03-27 - 2016-04-02,34
2016-04-03 - 2016-04-09,34
2016-04-10 - 2016-04-16,33
2016-04-17 - 2016-04-23,31
2016-04-24 - 2016-04-30,33
2016-05-01 - 2016-05-07,32
2016-05-08 - 2016-05-14,31
2016-05-15 - 2016-05-21,30
2016-05-22 - 2016-05-28,30
2016-05-29 - 2016-06-04,30
2016-06-05 - 2016-06-11,29
2016-06-12 - 2016-06-18,29
2016-06-19 - 2016-06-25,28
2016-06-26 - 2016-07-02,26


Top regions for carol+w.+greider
Region,carol+w.+greider
Brazil,100
United States,88
Dominican Republic,62
Romania,59
United Kingdom,52
Canada,49
Ireland,42
Australia,33
New Zealand,29
Nigeria,28
Philippines,28
Hong Kong,27
South Africa,27
Switzerland,23
Poland,22
Singapore,22
Taiwan,20
Germany,20
Chile,19
Netherlands,19
Norway,18
Spain,17
Denmark,17
Italy,17
Austria,17
Portugal,17
Peru,15
Sweden,15
Czech Republic,14
Mexico,13
United Arab Emirates,13
Colombia,13
Belgium,12
South Korea,12
Argentina,12
India,12
Greece,12
Malaysia,11
Hungary,11
Venezuela,10
Finland,10
France,9
Israel,8
Indonesia,6
Thailand,4
Turkey,4
Russia,4
Vietnam,3
Japan,3


Top cities for carol+w.+greider
City,carol+w.+greider
Chicago (United States),100
Phoenix (United States),90
Denver (United States),57
Los Angeles (United States),52
Washington (United States),51
New York (United States),47
Bucharest (Romania),45
Houston (United States),40
Dallas (United States),40
Seattle (United States),40
San Francisco (United States),39
Atlanta (United States),36
São Paulo (Brazil),0
Rio de Janeiro (Brazil),0
Belo Horizonte (Brazil),0



Top searches for carol+w.+greider
christmas carol,100
a christmas carol,45
carol miranda,25
carol dias,25
carol burnett,25
carol stream,20
george w. bush,20
the christmas carol,20
carol vorderman,20
carol movie,15
carol castro,15
carol nakamura,15
carol king,10
carol walking dead,10
carol portaluppi,10
carol ann susi,10
carol ann duffy,10
carol stream il,10
carol kirkwood,10
joyce carol oates,10
oticas carol,5
carol alt,5
carol channing,5
carol davila,5
carol wright,5
oh carol,5
christmas carol lyrics,5
michael w. smith,5
carol narizinho,5
christmas carol movie,5
carol belli,5
carol burnett show,5
carol mcgiffin,5
charles dickens,5
christmas songs,5
christmas carol songs,5
carol muniz,5
carol goldnerova,5
carol cox,5
carol vega,5
carol celico,5
carol jones,5
scrooge,5
mc carol,5
christmas carols,5
carol kane,5
carol trailer,5
carol portaluppi fotos,5



Rising searches for carol+w.+greider
carol ann susi,Breakout
carol dias,Breakout
carol miranda,Breakout
carol nakamura,Breakout
carol portaluppi,Breakout
carol walking dead,Breakout
carol castro,+350%
carol movie,+250%
carol burnett,+200%
carol stream,+150%



