Web Search interest: john+gurdon
Worldwide 2004 - present

Interest over time
Week,john+gurdon
2005-01-23 - 2005-01-29,72
2005-01-30 - 2005-02-05,74
2005-02-06 - 2005-02-12,76
2005-02-13 - 2005-02-19,75
2005-02-20 - 2005-02-26,76
2005-02-27 - 2005-03-05,76
2005-03-06 - 2005-03-12,72
2005-03-13 - 2005-03-19,71
2005-03-20 - 2005-03-26,72
2005-03-27 - 2005-04-02,80
2005-04-03 - 2005-04-09,95
2005-04-10 - 2005-04-16,77
2005-04-17 - 2005-04-23,78
2005-04-24 - 2005-04-30,76
2005-05-01 - 2005-05-07,75
2005-05-08 - 2005-05-14,72
2005-05-15 - 2005-05-21,70
2005-05-22 - 2005-05-28,71
2005-05-29 - 2005-06-04,66
2005-06-05 - 2005-06-11,67
2005-06-12 - 2005-06-18,66
2005-06-19 - 2005-06-25,65
2005-06-26 - 2005-07-02,67
2005-07-03 - 2005-07-09,62
2005-07-10 - 2005-07-16,64
2005-07-17 - 2005-07-23,71
2005-07-24 - 2005-07-30,66
2005-07-31 - 2005-08-06,66
2005-08-07 - 2005-08-13,65
2005-08-14 - 2005-08-20,67
2005-08-21 - 2005-08-27,67
2005-08-28 - 2005-09-03,64
2005-09-04 - 2005-09-10,66
2005-09-11 - 2005-09-17,69
2005-09-18 - 2005-09-24,68
2005-09-25 - 2005-10-01,68
2005-10-02 - 2005-10-08,69
2005-10-09 - 2005-10-15,69
2005-10-16 - 2005-10-22,68
2005-10-23 - 2005-10-29,67
2005-10-30 - 2005-11-05,71
2005-11-06 - 2005-11-12,70
2005-11-13 - 2005-11-19,69
2005-11-20 - 2005-11-26,64
2005-11-27 - 2005-12-03,71
2005-12-04 - 2005-12-10,78
2005-12-11 - 2005-12-17,72
2005-12-18 - 2005-12-24,69
2005-12-25 - 2005-12-31,63
2006-01-01 - 2006-01-07,67
2006-01-08 - 2006-01-14,67
2006-01-15 - 2006-01-21,66
2006-01-22 - 2006-01-28,67
2006-01-29 - 2006-02-04,69
2006-02-05 - 2006-02-11,67
2006-02-12 - 2006-02-18,65
2006-02-19 - 2006-02-25,65
2006-02-26 - 2006-03-04,67
2006-03-05 - 2006-03-11,67
2006-03-12 - 2006-03-18,65
2006-03-19 - 2006-03-25,65
2006-03-26 - 2006-04-01,65
2006-04-02 - 2006-04-08,65
2006-04-09 - 2006-04-15,65
2006-04-16 - 2006-04-22,64
2006-04-23 - 2006-04-29,65
2006-04-30 - 2006-05-06,68
2006-05-07 - 2006-05-13,65
2006-05-14 - 2006-05-20,63
2006-05-21 - 2006-05-27,63
2006-05-28 - 2006-06-03,59
2006-06-04 - 2006-06-10,60
2006-06-11 - 2006-06-17,59
2006-06-18 - 2006-06-24,59
2006-06-25 - 2006-07-01,57
2006-07-02 - 2006-07-08,58
2006-07-09 - 2006-07-15,60
2006-07-16 - 2006-07-22,59
2006-07-23 - 2006-07-29,61
2006-07-30 - 2006-08-05,61
2006-08-06 - 2006-08-12,61
2006-08-13 - 2006-08-19,65
2006-08-20 - 2006-08-26,63
2006-08-27 - 2006-09-02,67
2006-09-03 - 2006-09-09,62
2006-09-10 - 2006-09-16,65
2006-09-17 - 2006-09-23,65
2006-09-24 - 2006-09-30,64
2006-10-01 - 2006-10-07,63
2006-10-08 - 2006-10-14,63
2006-10-15 - 2006-10-21,64
2006-10-22 - 2006-10-28,64
2006-10-29 - 2006-11-04,69
2006-11-05 - 2006-11-11,66
2006-11-12 - 2006-11-18,66
2006-11-19 - 2006-11-25,59
2006-11-26 - 2006-12-02,64
2006-12-03 - 2006-12-09,65
2006-12-10 - 2006-12-16,63
2006-12-17 - 2006-12-23,58
2006-12-24 - 2006-12-30,58
2006-12-31 - 2007-01-06,63
2007-01-07 - 2007-01-13,60
2007-01-14 - 2007-01-20,59
2007-01-21 - 2007-01-27,61
2007-01-28 - 2007-02-03,61
2007-02-04 - 2007-02-10,61
2007-02-11 - 2007-02-17,63
2007-02-18 - 2007-02-24,63
2007-02-25 - 2007-03-03,61
2007-03-04 - 2007-03-10,62
2007-03-11 - 2007-03-17,59
2007-03-18 - 2007-03-24,61
2007-03-25 - 2007-03-31,61
2007-04-01 - 2007-04-07,62
2007-04-08 - 2007-04-14,60
2007-04-15 - 2007-04-21,59
2007-04-22 - 2007-04-28,60
2007-04-29 - 2007-05-05,63
2007-05-06 - 2007-05-12,59
2007-05-13 - 2007-05-19,61
2007-05-20 - 2007-05-26,59
2007-05-27 - 2007-06-02,57
2007-06-03 - 2007-06-09,59
2007-06-10 - 2007-06-16,57
2007-06-17 - 2007-06-23,56
2007-06-24 - 2007-06-30,57
2007-07-01 - 2007-07-07,59
2007-07-08 - 2007-07-14,59
2007-07-15 - 2007-07-21,59
2007-07-22 - 2007-07-28,58
2007-07-29 - 2007-08-04,56
2007-08-05 - 2007-08-11,56
2007-08-12 - 2007-08-18,59
2007-08-19 - 2007-08-25,57
2007-08-26 - 2007-09-01,56
2007-09-02 - 2007-09-08,55
2007-09-09 - 2007-09-15,57
2007-09-16 - 2007-09-22,59
2007-09-23 - 2007-09-29,60
2007-09-30 - 2007-10-06,57
2007-10-07 - 2007-10-13,59
2007-10-14 - 2007-10-20,59
2007-10-21 - 2007-10-27,59
2007-10-28 - 2007-11-03,59
2007-11-04 - 2007-11-10,59
2007-11-11 - 2007-11-17,60
2007-11-18 - 2007-11-24,60
2007-11-25 - 2007-12-01,65
2007-12-02 - 2007-12-08,67
2007-12-09 - 2007-12-15,61
2007-12-16 - 2007-12-22,59
2007-12-23 - 2007-12-29,56
2007-12-30 - 2008-01-05,61
2008-01-06 - 2008-01-12,61
2008-01-13 - 2008-01-19,59
2008-01-20 - 2008-01-26,60
2008-01-27 - 2008-02-02,65
2008-02-03 - 2008-02-09,66
2008-02-10 - 2008-02-16,61
2008-02-17 - 2008-02-23,60
2008-02-24 - 2008-03-01,60
2008-03-02 - 2008-03-08,59
2008-03-09 - 2008-03-15,57
2008-03-16 - 2008-03-22,59
2008-03-23 - 2008-03-29,58
2008-03-30 - 2008-04-05,59
2008-04-06 - 2008-04-12,58
2008-04-13 - 2008-04-19,60
2008-04-20 - 2008-04-26,60
2008-04-27 - 2008-05-03,59
2008-05-04 - 2008-05-10,58
2008-05-11 - 2008-05-17,58
2008-05-18 - 2008-05-24,56
2008-05-25 - 2008-05-31,53
2008-06-01 - 2008-06-07,54
2008-06-08 - 2008-06-14,53
2008-06-15 - 2008-06-21,53
2008-06-22 - 2008-06-28,54
2008-06-29 - 2008-07-05,52
2008-07-06 - 2008-07-12,55
2008-07-13 - 2008-07-19,55
2008-07-20 - 2008-07-26,56
2008-07-27 - 2008-08-02,56
2008-08-03 - 2008-08-09,59
2008-08-10 - 2008-08-16,57
2008-08-17 - 2008-08-23,55
2008-08-24 - 2008-08-30,60
2008-08-31 - 2008-09-06,62
2008-09-07 - 2008-09-13,59
2008-09-14 - 2008-09-20,57
2008-09-21 - 2008-09-27,59
2008-09-28 - 2008-10-04,60
2008-10-05 - 2008-10-11,58
2008-10-12 - 2008-10-18,61
2008-10-19 - 2008-10-25,61
2008-10-26 - 2008-11-01,61
2008-11-02 - 2008-11-08,67
2008-11-09 - 2008-11-15,58
2008-11-16 - 2008-11-22,57
2008-11-23 - 2008-11-29,53
2008-11-30 - 2008-12-06,57
2008-12-07 - 2008-12-13,60
2008-12-14 - 2008-12-20,56
2008-12-21 - 2008-12-27,56
2008-12-28 - 2009-01-03,64
2009-01-04 - 2009-01-10,67
2009-01-11 - 2009-01-17,56
2009-01-18 - 2009-01-24,56
2009-01-25 - 2009-01-31,58
2009-02-01 - 2009-02-07,54
2009-02-08 - 2009-02-14,53
2009-02-15 - 2009-02-21,52
2009-02-22 - 2009-02-28,54
2009-03-01 - 2009-03-07,52
2009-03-08 - 2009-03-14,55
2009-03-15 - 2009-03-21,53
2009-03-22 - 2009-03-28,54
2009-03-29 - 2009-04-04,54
2009-04-05 - 2009-04-11,54
2009-04-12 - 2009-04-18,54
2009-04-19 - 2009-04-25,54
2009-04-26 - 2009-05-02,54
2009-05-03 - 2009-05-09,55
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,53
2009-05-24 - 2009-05-30,53
2009-05-31 - 2009-06-06,52
2009-06-07 - 2009-06-13,51
2009-06-14 - 2009-06-20,51
2009-06-21 - 2009-06-27,52
2009-06-28 - 2009-07-04,50
2009-07-05 - 2009-07-11,53
2009-07-12 - 2009-07-18,52
2009-07-19 - 2009-07-25,51
2009-07-26 - 2009-08-01,50
2009-08-02 - 2009-08-08,59
2009-08-09 - 2009-08-15,55
2009-08-16 - 2009-08-22,52
2009-08-23 - 2009-08-29,53
2009-08-30 - 2009-09-05,52
2009-09-06 - 2009-09-12,53
2009-09-13 - 2009-09-19,52
2009-09-20 - 2009-09-26,56
2009-09-27 - 2009-10-03,53
2009-10-04 - 2009-10-10,52
2009-10-11 - 2009-10-17,54
2009-10-18 - 2009-10-24,53
2009-10-25 - 2009-10-31,54
2009-11-01 - 2009-11-07,54
2009-11-08 - 2009-11-14,57
2009-11-15 - 2009-11-21,58
2009-11-22 - 2009-11-28,54
2009-11-29 - 2009-12-05,56
2009-12-06 - 2009-12-12,59
2009-12-13 - 2009-12-19,56
2009-12-20 - 2009-12-26,52
2009-12-27 - 2010-01-02,56
2010-01-03 - 2010-01-09,54
2010-01-10 - 2010-01-16,55
2010-01-17 - 2010-01-23,56
2010-01-24 - 2010-01-30,60
2010-01-31 - 2010-02-06,68
2010-02-07 - 2010-02-13,67
2010-02-14 - 2010-02-20,59
2010-02-21 - 2010-02-27,59
2010-02-28 - 2010-03-06,58
2010-03-07 - 2010-03-13,57
2010-03-14 - 2010-03-20,54
2010-03-21 - 2010-03-27,56
2010-03-28 - 2010-04-03,57
2010-04-04 - 2010-04-10,56
2010-04-11 - 2010-04-17,56
2010-04-18 - 2010-04-24,55
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,57
2010-05-09 - 2010-05-15,55
2010-05-16 - 2010-05-22,55
2010-05-23 - 2010-05-29,53
2010-05-30 - 2010-06-05,55
2010-06-06 - 2010-06-12,54
2010-06-13 - 2010-06-19,50
2010-06-20 - 2010-06-26,52
2010-06-27 - 2010-07-03,50
2010-07-04 - 2010-07-10,50
2010-07-11 - 2010-07-17,53
2010-07-18 - 2010-07-24,53
2010-07-25 - 2010-07-31,53
2010-08-01 - 2010-08-07,52
2010-08-08 - 2010-08-14,52
2010-08-15 - 2010-08-21,52
2010-08-22 - 2010-08-28,53
2010-08-29 - 2010-09-04,53
2010-09-05 - 2010-09-11,54
2010-09-12 - 2010-09-18,54
2010-09-19 - 2010-09-25,53
2010-09-26 - 2010-10-02,52
2010-10-03 - 2010-10-09,64
2010-10-10 - 2010-10-16,55
2010-10-17 - 2010-10-23,54
2010-10-24 - 2010-10-30,56
2010-10-31 - 2010-11-06,58
2010-11-07 - 2010-11-13,54
2010-11-14 - 2010-11-20,56
2010-11-21 - 2010-11-27,55
2010-11-28 - 2010-12-04,56
2010-12-05 - 2010-12-11,67
2010-12-12 - 2010-12-18,56
2010-12-19 - 2010-12-25,52
2010-12-26 - 2011-01-01,58
2011-01-02 - 2011-01-08,58
2011-01-09 - 2011-01-15,56
2011-01-16 - 2011-01-22,58
2011-01-23 - 2011-01-29,52
2011-01-30 - 2011-02-05,54
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,51
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,57
2011-03-06 - 2011-03-12,51
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,52
2011-04-03 - 2011-04-09,53
2011-04-10 - 2011-04-16,51
2011-04-17 - 2011-04-23,52
2011-04-24 - 2011-04-30,61
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,50
2011-05-29 - 2011-06-04,48
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,48
2011-06-19 - 2011-06-25,50
2011-06-26 - 2011-07-02,48
2011-07-03 - 2011-07-09,47
2011-07-10 - 2011-07-16,49
2011-07-17 - 2011-07-23,49
2011-07-24 - 2011-07-30,48
2011-07-31 - 2011-08-06,47
2011-08-07 - 2011-08-13,47
2011-08-14 - 2011-08-20,48
2011-08-21 - 2011-08-27,47
2011-08-28 - 2011-09-03,48
2011-09-04 - 2011-09-10,48
2011-09-11 - 2011-09-17,48
2011-09-18 - 2011-09-24,49
2011-09-25 - 2011-10-01,48
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,49
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,50
2011-10-30 - 2011-11-05,50
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,50
2011-11-20 - 2011-11-26,48
2011-11-27 - 2011-12-03,51
2011-12-04 - 2011-12-10,53
2011-12-11 - 2011-12-17,50
2011-12-18 - 2011-12-24,48
2011-12-25 - 2011-12-31,50
2012-01-01 - 2012-01-07,50
2012-01-08 - 2012-01-14,50
2012-01-15 - 2012-01-21,49
2012-01-22 - 2012-01-28,50
2012-01-29 - 2012-02-04,49
2012-02-05 - 2012-02-11,49
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,50
2012-02-26 - 2012-03-03,52
2012-03-04 - 2012-03-10,55
2012-03-11 - 2012-03-17,55
2012-03-18 - 2012-03-24,54
2012-03-25 - 2012-03-31,50
2012-04-01 - 2012-04-07,52
2012-04-08 - 2012-04-14,49
2012-04-15 - 2012-04-21,49
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,52
2012-05-06 - 2012-05-12,52
2012-05-13 - 2012-05-19,52
2012-05-20 - 2012-05-26,53
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,51
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,49
2012-06-24 - 2012-06-30,49
2012-07-01 - 2012-07-07,46
2012-07-08 - 2012-07-14,49
2012-07-15 - 2012-07-21,50
2012-07-22 - 2012-07-28,48
2012-07-29 - 2012-08-04,49
2012-08-05 - 2012-08-11,49
2012-08-12 - 2012-08-18,52
2012-08-19 - 2012-08-25,49
2012-08-26 - 2012-09-01,49
2012-09-02 - 2012-09-08,51
2012-09-09 - 2012-09-15,52
2012-09-16 - 2012-09-22,52
2012-09-23 - 2012-09-29,52
2012-09-30 - 2012-10-06,48
2012-10-07 - 2012-10-13,50
2012-10-14 - 2012-10-20,48
2012-10-21 - 2012-10-27,49
2012-10-28 - 2012-11-03,48
2012-11-04 - 2012-11-10,49
2012-11-11 - 2012-11-17,51
2012-11-18 - 2012-11-24,48
2012-11-25 - 2012-12-01,49
2012-12-02 - 2012-12-08,52
2012-12-09 - 2012-12-15,51
2012-12-16 - 2012-12-22,48
2012-12-23 - 2012-12-29,52
2012-12-30 - 2013-01-05,51
2013-01-06 - 2013-01-12,48
2013-01-13 - 2013-01-19,48
2013-01-20 - 2013-01-26,49
2013-01-27 - 2013-02-02,47
2013-02-03 - 2013-02-09,48
2013-02-10 - 2013-02-16,49
2013-02-17 - 2013-02-23,47
2013-02-24 - 2013-03-02,48
2013-03-03 - 2013-03-09,47
2013-03-10 - 2013-03-16,48
2013-03-17 - 2013-03-23,49
2013-03-24 - 2013-03-30,49
2013-03-31 - 2013-04-06,49
2013-04-07 - 2013-04-13,49
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,49
2013-04-28 - 2013-05-04,49
2013-05-05 - 2013-05-11,47
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,47
2013-05-26 - 2013-06-01,46
2013-06-02 - 2013-06-08,46
2013-06-09 - 2013-06-15,45
2013-06-16 - 2013-06-22,47
2013-06-23 - 2013-06-29,46
2013-06-30 - 2013-07-06,45
2013-07-07 - 2013-07-13,46
2013-07-14 - 2013-07-20,46
2013-07-21 - 2013-07-27,46
2013-07-28 - 2013-08-03,46
2013-08-04 - 2013-08-10,47
2013-08-11 - 2013-08-17,47
2013-08-18 - 2013-08-24,49
2013-08-25 - 2013-08-31,47
2013-09-01 - 2013-09-07,50
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,49
2013-09-22 - 2013-09-28,47
2013-09-29 - 2013-10-05,48
2013-10-06 - 2013-10-12,48
2013-10-13 - 2013-10-19,48
2013-10-20 - 2013-10-26,48
2013-10-27 - 2013-11-02,49
2013-11-03 - 2013-11-09,51
2013-11-10 - 2013-11-16,51
2013-11-17 - 2013-11-23,55
2013-11-24 - 2013-11-30,51
2013-12-01 - 2013-12-07,51
2013-12-08 - 2013-12-14,52
2013-12-15 - 2013-12-21,51
2013-12-22 - 2013-12-28,53
2013-12-29 - 2014-01-04,54
2014-01-05 - 2014-01-11,50
2014-01-12 - 2014-01-18,48
2014-01-19 - 2014-01-25,47
2014-01-26 - 2014-02-01,50
2014-02-02 - 2014-02-08,48
2014-02-09 - 2014-02-15,48
2014-02-16 - 2014-02-22,48
2014-02-23 - 2014-03-01,51
2014-03-02 - 2014-03-08,53
2014-03-09 - 2014-03-15,47
2014-03-16 - 2014-03-22,47
2014-03-23 - 2014-03-29,49
2014-03-30 - 2014-04-05,47
2014-04-06 - 2014-04-12,52
2014-04-13 - 2014-04-19,49
2014-04-20 - 2014-04-26,51
2014-04-27 - 2014-05-03,53
2014-05-04 - 2014-05-10,49
2014-05-11 - 2014-05-17,48
2014-05-18 - 2014-05-24,48
2014-05-25 - 2014-05-31,47
2014-06-01 - 2014-06-07,47
2014-06-08 - 2014-06-14,46
2014-06-15 - 2014-06-21,46
2014-06-22 - 2014-06-28,46
2014-06-29 - 2014-07-05,44
2014-07-06 - 2014-07-12,45
2014-07-13 - 2014-07-19,46
2014-07-20 - 2014-07-26,48
2014-07-27 - 2014-08-02,47
2014-08-03 - 2014-08-09,57
2014-08-10 - 2014-08-16,47
2014-08-17 - 2014-08-23,48
2014-08-24 - 2014-08-30,47
2014-08-31 - 2014-09-06,46
2014-09-07 - 2014-09-13,45
2014-09-14 - 2014-09-20,47
2014-09-21 - 2014-09-27,48
2014-09-28 - 2014-10-04,47
2014-10-05 - 2014-10-11,48
2014-10-12 - 2014-10-18,47
2014-10-19 - 2014-10-25,49
2014-10-26 - 2014-11-01,51
2014-11-02 - 2014-11-08,53
2014-11-09 - 2014-11-15,51
2014-11-16 - 2014-11-22,50
2014-11-23 - 2014-11-29,50
2014-11-30 - 2014-12-06,48
2014-12-07 - 2014-12-13,51
2014-12-14 - 2014-12-20,47
2014-12-21 - 2014-12-27,50
2014-12-28 - 2015-01-03,52
2015-01-04 - 2015-01-10,47
2015-01-11 - 2015-01-17,51
2015-01-18 - 2015-01-24,49
2015-01-25 - 2015-01-31,48
2015-02-01 - 2015-02-07,48
2015-02-08 - 2015-02-14,50
2015-02-15 - 2015-02-21,49
2015-02-22 - 2015-02-28,53
2015-03-01 - 2015-03-07,49
2015-03-08 - 2015-03-14,51
2015-03-15 - 2015-03-21,47
2015-03-22 - 2015-03-28,47
2015-03-29 - 2015-04-04,49
2015-04-05 - 2015-04-11,48
2015-04-12 - 2015-04-18,45
2015-04-19 - 2015-04-25,46
2015-04-26 - 2015-05-02,46
2015-05-03 - 2015-05-09,46
2015-05-10 - 2015-05-16,46
2015-05-17 - 2015-05-23,45
2015-05-24 - 2015-05-30,49
2015-05-31 - 2015-06-06,47
2015-06-07 - 2015-06-13,45
2015-06-14 - 2015-06-20,46
2015-06-21 - 2015-06-27,45
2015-06-28 - 2015-07-04,45
2015-07-05 - 2015-07-11,46
2015-07-12 - 2015-07-18,47
2015-07-19 - 2015-07-25,48
2015-07-26 - 2015-08-01,47
2015-08-02 - 2015-08-08,46
2015-08-09 - 2015-08-15,47
2015-08-16 - 2015-08-22,47
2015-08-23 - 2015-08-29,49
2015-08-30 - 2015-09-05,48
2015-09-06 - 2015-09-12,46
2015-09-13 - 2015-09-19,46
2015-09-20 - 2015-09-26,51
2015-09-27 - 2015-10-03,47
2015-10-04 - 2015-10-10,47
2015-10-11 - 2015-10-17,47
2015-10-18 - 2015-10-24,48
2015-10-25 - 2015-10-31,48
2015-11-01 - 2015-11-07,50
2015-11-08 - 2015-11-14,51
2015-11-15 - 2015-11-21,50
2015-11-22 - 2015-11-28,50
2015-11-29 - 2015-12-05,47
2015-12-06 - 2015-12-12,51
2015-12-13 - 2015-12-19,49
2015-12-20 - 2015-12-26,50
2015-12-27 - 2016-01-02,53
2016-01-03 - 2016-01-09,49
2016-01-10 - 2016-01-16,48
2016-01-17 - 2016-01-23,47
2016-01-24 - 2016-01-30,47
2016-01-31 - 2016-02-06,49
2016-02-07 - 2016-02-13,48
2016-02-14 - 2016-02-20,46
2016-02-21 - 2016-02-27,47
2016-02-28 - 2016-03-05,49
2016-03-06 - 2016-03-12,47
2016-03-13 - 2016-03-19,46
2016-03-20 - 2016-03-26,46
2016-03-27 - 2016-04-02,47
2016-04-03 - 2016-04-09,47
2016-04-10 - 2016-04-16,46
2016-04-17 - 2016-04-23,47
2016-04-24 - 2016-04-30,47
2016-05-01 - 2016-05-07,46
2016-05-08 - 2016-05-14,43
2016-05-15 - 2016-05-21,44
2016-05-22 - 2016-05-28,42
2016-05-29 - 2016-06-04,42
2016-06-05 - 2016-06-11,42
2016-06-12 - 2016-06-18,41
2016-06-19 - 2016-06-25,43
2016-06-26 - 2016-07-02,45


Top regions for john+gurdon
Region,john+gurdon
United Kingdom,100
Ireland,67
United States,65
Canada,59
Australia,55
New Zealand,54
Kenya,38
South Africa,37
Philippines,36
Nigeria,32
Norway,29
Denmark,26
Singapore,26
Sweden,25
Netherlands,24
Hong Kong,18
Switzerland,17
Austria,17
United Arab Emirates,17
Belgium,16
Pakistan,16
Germany,15
Mexico,15
Czech Republic,15
Finland,14
Hungary,14
Chile,14
Portugal,14
India,14
Italy,14
Argentina,14
Croatia,13
Malaysia,13
Spain,13
Greece,13
France,13
Romania,12
Colombia,11
Brazil,11
Indonesia,11
Poland,11
Peru,10
Israel,8
Venezuela,8
South Korea,7
Turkey,6
Taiwan,5
Thailand,4
Vietnam,3
Russia,3
Japan,2


Top cities for john+gurdon
City,john+gurdon
Edinburgh (United Kingdom),100
Manchester (United Kingdom),82
London (United Kingdom),79
Birmingham (United Kingdom),75
Washington (United States),67
Boston (United States),66
New York (United States),61
Chicago (United States),59
Dublin (Ireland),57
Seattle (United States),57
Atlanta (United States),54
San Francisco (United States),54
Los Angeles (United States),52
Dallas (United States),51
Toronto (Canada),50



Top searches for john+gurdon
john john,100
john lewis,10
john deere,5
john cena,5
john lennon,0
john mayer,0
elton john,0
john legend,0
john wayne,0
john travolta,0
john kennedy,0
john green,0
john carter,0
john smith,0
john adams,0
john lewis uk,0
dear john,0
john f kennedy,0
wwe,0
john williams,0
john wick,0
john brown,0
john oliver,0
john locke,0
john henry,0
john abraham,0
john denver,0
john mccain,0
john hopkins,0
debenhams,0
john wall,0
john hancock,0
john newman,0
john terry,0
john stamos,0
next,0
olivia newton john,0
john holmes,0
john edwards,0
john kerry,0
argos,0
john stewart,0
john deer,0
john cusack,0
john nash,0
john mayer lyrics,0
marks and spencer,0
imagine john lennon,0
papa john,0
john snow,0



Rising searches for john+gurdon
john legend,+1,050%
dear john,+850%
john cena,+600%
wwe,+450%
john carter,+400%
john green,+200%
john lewis,+170%
john travolta,+150%
john lewis uk,+110%
john deere,+60%



