Web Search interest: dan+ariely
Worldwide 2004 - present

Interest over time
Week,dan+ariely
2005-05-22 - 2005-05-28,20
2005-05-29 - 2005-06-04,21
2005-06-05 - 2005-06-11,20
2005-06-12 - 2005-06-18,20
2005-06-19 - 2005-06-25,20
2005-06-26 - 2005-07-02,20
2005-07-03 - 2005-07-09,19
2005-07-10 - 2005-07-16,19
2005-07-17 - 2005-07-23,20
2005-07-24 - 2005-07-30,20
2005-07-31 - 2005-08-06,21
2005-08-07 - 2005-08-13,22
2005-08-14 - 2005-08-20,21
2005-08-21 - 2005-08-27,21
2005-08-28 - 2005-09-03,20
2005-09-04 - 2005-09-10,20
2005-09-11 - 2005-09-17,20
2005-09-18 - 2005-09-24,20
2005-09-25 - 2005-10-01,20
2005-10-02 - 2005-10-08,20
2005-10-09 - 2005-10-15,20
2005-10-16 - 2005-10-22,21
2005-10-23 - 2005-10-29,20
2005-10-30 - 2005-11-05,19
2005-11-06 - 2005-11-12,19
2005-11-13 - 2005-11-19,20
2005-11-20 - 2005-11-26,19
2005-11-27 - 2005-12-03,20
2005-12-04 - 2005-12-10,20
2005-12-11 - 2005-12-17,20
2005-12-18 - 2005-12-24,21
2005-12-25 - 2005-12-31,20
2006-01-01 - 2006-01-07,20
2006-01-08 - 2006-01-14,20
2006-01-15 - 2006-01-21,20
2006-01-22 - 2006-01-28,20
2006-01-29 - 2006-02-04,20
2006-02-05 - 2006-02-11,20
2006-02-12 - 2006-02-18,21
2006-02-19 - 2006-02-25,20
2006-02-26 - 2006-03-04,22
2006-03-05 - 2006-03-11,21
2006-03-12 - 2006-03-18,21
2006-03-19 - 2006-03-25,21
2006-03-26 - 2006-04-01,21
2006-04-02 - 2006-04-08,21
2006-04-09 - 2006-04-15,21
2006-04-16 - 2006-04-22,21
2006-04-23 - 2006-04-29,21
2006-04-30 - 2006-05-06,21
2006-05-07 - 2006-05-13,21
2006-05-14 - 2006-05-20,23
2006-05-21 - 2006-05-27,23
2006-05-28 - 2006-06-03,21
2006-06-04 - 2006-06-10,20
2006-06-11 - 2006-06-17,20
2006-06-18 - 2006-06-24,20
2006-06-25 - 2006-07-01,18
2006-07-02 - 2006-07-08,17
2006-07-09 - 2006-07-15,19
2006-07-16 - 2006-07-22,19
2006-07-23 - 2006-07-29,20
2006-07-30 - 2006-08-05,19
2006-08-06 - 2006-08-12,19
2006-08-13 - 2006-08-19,19
2006-08-20 - 2006-08-26,19
2006-08-27 - 2006-09-02,18
2006-09-03 - 2006-09-09,18
2006-09-10 - 2006-09-16,18
2006-09-17 - 2006-09-23,18
2006-09-24 - 2006-09-30,19
2006-10-01 - 2006-10-07,19
2006-10-08 - 2006-10-14,19
2006-10-15 - 2006-10-21,18
2006-10-22 - 2006-10-28,17
2006-10-29 - 2006-11-04,18
2006-11-05 - 2006-11-11,19
2006-11-12 - 2006-11-18,18
2006-11-19 - 2006-11-25,17
2006-11-26 - 2006-12-02,18
2006-12-03 - 2006-12-09,18
2006-12-10 - 2006-12-16,18
2006-12-17 - 2006-12-23,18
2006-12-24 - 2006-12-30,16
2006-12-31 - 2007-01-06,17
2007-01-07 - 2007-01-13,18
2007-01-14 - 2007-01-20,17
2007-01-21 - 2007-01-27,18
2007-01-28 - 2007-02-03,18
2007-02-04 - 2007-02-10,18
2007-02-11 - 2007-02-17,18
2007-02-18 - 2007-02-24,17
2007-02-25 - 2007-03-03,18
2007-03-04 - 2007-03-10,18
2007-03-11 - 2007-03-17,18
2007-03-18 - 2007-03-24,18
2007-03-25 - 2007-03-31,19
2007-04-01 - 2007-04-07,19
2007-04-08 - 2007-04-14,19
2007-04-15 - 2007-04-21,18
2007-04-22 - 2007-04-28,18
2007-04-29 - 2007-05-05,19
2007-05-06 - 2007-05-12,19
2007-05-13 - 2007-05-19,19
2007-05-20 - 2007-05-26,19
2007-05-27 - 2007-06-02,19
2007-06-03 - 2007-06-09,19
2007-06-10 - 2007-06-16,19
2007-06-17 - 2007-06-23,19
2007-06-24 - 2007-06-30,19
2007-07-01 - 2007-07-07,19
2007-07-08 - 2007-07-14,21
2007-07-15 - 2007-07-21,20
2007-07-22 - 2007-07-28,21
2007-07-29 - 2007-08-04,21
2007-08-05 - 2007-08-11,20
2007-08-12 - 2007-08-18,21
2007-08-19 - 2007-08-25,21
2007-08-26 - 2007-09-01,20
2007-09-02 - 2007-09-08,20
2007-09-09 - 2007-09-15,21
2007-09-16 - 2007-09-22,22
2007-09-23 - 2007-09-29,22
2007-09-30 - 2007-10-06,21
2007-10-07 - 2007-10-13,20
2007-10-14 - 2007-10-20,20
2007-10-21 - 2007-10-27,22
2007-10-28 - 2007-11-03,23
2007-11-04 - 2007-11-10,23
2007-11-11 - 2007-11-17,22
2007-11-18 - 2007-11-24,24
2007-11-25 - 2007-12-01,24
2007-12-02 - 2007-12-08,25
2007-12-09 - 2007-12-15,22
2007-12-16 - 2007-12-22,30
2007-12-23 - 2007-12-29,22
2007-12-30 - 2008-01-05,23
2008-01-06 - 2008-01-12,22
2008-01-13 - 2008-01-19,22
2008-01-20 - 2008-01-26,22
2008-01-27 - 2008-02-02,22
2008-02-03 - 2008-02-09,20
2008-02-10 - 2008-02-16,22
2008-02-17 - 2008-02-23,22
2008-02-24 - 2008-03-01,23
2008-03-02 - 2008-03-08,24
2008-03-09 - 2008-03-15,23
2008-03-16 - 2008-03-22,23
2008-03-23 - 2008-03-29,26
2008-03-30 - 2008-04-05,24
2008-04-06 - 2008-04-12,24
2008-04-13 - 2008-04-19,24
2008-04-20 - 2008-04-26,24
2008-04-27 - 2008-05-03,24
2008-05-04 - 2008-05-10,24
2008-05-11 - 2008-05-17,24
2008-05-18 - 2008-05-24,23
2008-05-25 - 2008-05-31,23
2008-06-01 - 2008-06-07,23
2008-06-08 - 2008-06-14,23
2008-06-15 - 2008-06-21,23
2008-06-22 - 2008-06-28,23
2008-06-29 - 2008-07-05,23
2008-07-06 - 2008-07-12,23
2008-07-13 - 2008-07-19,24
2008-07-20 - 2008-07-26,25
2008-07-27 - 2008-08-02,25
2008-08-03 - 2008-08-09,26
2008-08-10 - 2008-08-16,25
2008-08-17 - 2008-08-23,25
2008-08-24 - 2008-08-30,26
2008-08-31 - 2008-09-06,24
2008-09-07 - 2008-09-13,26
2008-09-14 - 2008-09-20,26
2008-09-21 - 2008-09-27,25
2008-09-28 - 2008-10-04,22
2008-10-05 - 2008-10-11,25
2008-10-12 - 2008-10-18,26
2008-10-19 - 2008-10-25,27
2008-10-26 - 2008-11-01,27
2008-11-02 - 2008-11-08,27
2008-11-09 - 2008-11-15,27
2008-11-16 - 2008-11-22,27
2008-11-23 - 2008-11-29,26
2008-11-30 - 2008-12-06,27
2008-12-07 - 2008-12-13,27
2008-12-14 - 2008-12-20,27
2008-12-21 - 2008-12-27,28
2008-12-28 - 2009-01-03,26
2009-01-04 - 2009-01-10,27
2009-01-11 - 2009-01-17,27
2009-01-18 - 2009-01-24,26
2009-01-25 - 2009-01-31,24
2009-02-01 - 2009-02-07,27
2009-02-08 - 2009-02-14,28
2009-02-15 - 2009-02-21,28
2009-02-22 - 2009-02-28,29
2009-03-01 - 2009-03-07,28
2009-03-08 - 2009-03-14,30
2009-03-15 - 2009-03-21,30
2009-03-22 - 2009-03-28,30
2009-03-29 - 2009-04-04,30
2009-04-05 - 2009-04-11,30
2009-04-12 - 2009-04-18,30
2009-04-19 - 2009-04-25,31
2009-04-26 - 2009-05-02,30
2009-05-03 - 2009-05-09,31
2009-05-10 - 2009-05-16,32
2009-05-17 - 2009-05-23,32
2009-05-24 - 2009-05-30,31
2009-05-31 - 2009-06-06,31
2009-06-07 - 2009-06-13,31
2009-06-14 - 2009-06-20,30
2009-06-21 - 2009-06-27,29
2009-06-28 - 2009-07-04,29
2009-07-05 - 2009-07-11,29
2009-07-12 - 2009-07-18,33
2009-07-19 - 2009-07-25,32
2009-07-26 - 2009-08-01,33
2009-08-02 - 2009-08-08,34
2009-08-09 - 2009-08-15,33
2009-08-16 - 2009-08-22,32
2009-08-23 - 2009-08-29,32
2009-08-30 - 2009-09-05,32
2009-09-06 - 2009-09-12,33
2009-09-13 - 2009-09-19,35
2009-09-20 - 2009-09-26,31
2009-09-27 - 2009-10-03,34
2009-10-04 - 2009-10-10,35
2009-10-11 - 2009-10-17,36
2009-10-18 - 2009-10-24,36
2009-10-25 - 2009-10-31,37
2009-11-01 - 2009-11-07,37
2009-11-08 - 2009-11-14,37
2009-11-15 - 2009-11-21,38
2009-11-22 - 2009-11-28,37
2009-11-29 - 2009-12-05,38
2009-12-06 - 2009-12-12,37
2009-12-13 - 2009-12-19,36
2009-12-20 - 2009-12-26,36
2009-12-27 - 2010-01-02,36
2010-01-03 - 2010-01-09,37
2010-01-10 - 2010-01-16,37
2010-01-17 - 2010-01-23,38
2010-01-24 - 2010-01-30,37
2010-01-31 - 2010-02-06,37
2010-02-07 - 2010-02-13,35
2010-02-14 - 2010-02-20,34
2010-02-21 - 2010-02-27,36
2010-02-28 - 2010-03-06,37
2010-03-07 - 2010-03-13,40
2010-03-14 - 2010-03-20,39
2010-03-21 - 2010-03-27,40
2010-03-28 - 2010-04-03,42
2010-04-04 - 2010-04-10,42
2010-04-11 - 2010-04-17,40
2010-04-18 - 2010-04-24,40
2010-04-25 - 2010-05-01,39
2010-05-02 - 2010-05-08,39
2010-05-09 - 2010-05-15,40
2010-05-16 - 2010-05-22,40
2010-05-23 - 2010-05-29,39
2010-05-30 - 2010-06-05,45
2010-06-06 - 2010-06-12,63
2010-06-13 - 2010-06-19,43
2010-06-20 - 2010-06-26,40
2010-06-27 - 2010-07-03,41
2010-07-04 - 2010-07-10,45
2010-07-11 - 2010-07-17,43
2010-07-18 - 2010-07-24,45
2010-07-25 - 2010-07-31,47
2010-08-01 - 2010-08-07,48
2010-08-08 - 2010-08-14,46
2010-08-15 - 2010-08-21,45
2010-08-22 - 2010-08-28,46
2010-08-29 - 2010-09-04,42
2010-09-05 - 2010-09-11,38
2010-09-12 - 2010-09-18,40
2010-09-19 - 2010-09-25,45
2010-09-26 - 2010-10-02,47
2010-10-03 - 2010-10-09,47
2010-10-10 - 2010-10-16,49
2010-10-17 - 2010-10-23,48
2010-10-24 - 2010-10-30,49
2010-10-31 - 2010-11-06,49
2010-11-07 - 2010-11-13,47
2010-11-14 - 2010-11-20,45
2010-11-21 - 2010-11-27,47
2010-11-28 - 2010-12-04,47
2010-12-05 - 2010-12-11,47
2010-12-12 - 2010-12-18,46
2010-12-19 - 2010-12-25,47
2010-12-26 - 2011-01-01,44
2011-01-02 - 2011-01-08,44
2011-01-09 - 2011-01-15,45
2011-01-16 - 2011-01-22,45
2011-01-23 - 2011-01-29,42
2011-01-30 - 2011-02-05,37
2011-02-06 - 2011-02-12,42
2011-02-13 - 2011-02-19,45
2011-02-20 - 2011-02-26,44
2011-02-27 - 2011-03-05,45
2011-03-06 - 2011-03-12,48
2011-03-13 - 2011-03-19,47
2011-03-20 - 2011-03-26,48
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,49
2011-04-10 - 2011-04-16,48
2011-04-17 - 2011-04-23,47
2011-04-24 - 2011-04-30,48
2011-05-01 - 2011-05-07,45
2011-05-08 - 2011-05-14,47
2011-05-15 - 2011-05-21,46
2011-05-22 - 2011-05-28,47
2011-05-29 - 2011-06-04,46
2011-06-05 - 2011-06-11,45
2011-06-12 - 2011-06-18,46
2011-06-19 - 2011-06-25,45
2011-06-26 - 2011-07-02,42
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,44
2011-07-17 - 2011-07-23,47
2011-07-24 - 2011-07-30,49
2011-07-31 - 2011-08-06,49
2011-08-07 - 2011-08-13,49
2011-08-14 - 2011-08-20,47
2011-08-21 - 2011-08-27,44
2011-08-28 - 2011-09-03,40
2011-09-04 - 2011-09-10,46
2011-09-11 - 2011-09-17,49
2011-09-18 - 2011-09-24,51
2011-09-25 - 2011-10-01,53
2011-10-02 - 2011-10-08,54
2011-10-09 - 2011-10-15,52
2011-10-16 - 2011-10-22,86
2011-10-23 - 2011-10-29,58
2011-10-30 - 2011-11-05,56
2011-11-06 - 2011-11-12,55
2011-11-13 - 2011-11-19,56
2011-11-20 - 2011-11-26,57
2011-11-27 - 2011-12-03,56
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,54
2011-12-18 - 2011-12-24,55
2011-12-25 - 2011-12-31,53
2012-01-01 - 2012-01-07,51
2012-01-08 - 2012-01-14,51
2012-01-15 - 2012-01-21,50
2012-01-22 - 2012-01-28,45
2012-01-29 - 2012-02-04,49
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,52
2012-02-19 - 2012-02-25,54
2012-02-26 - 2012-03-03,56
2012-03-04 - 2012-03-10,57
2012-03-11 - 2012-03-17,56
2012-03-18 - 2012-03-24,56
2012-03-25 - 2012-03-31,57
2012-04-01 - 2012-04-07,56
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,56
2012-04-22 - 2012-04-28,57
2012-04-29 - 2012-05-05,56
2012-05-06 - 2012-05-12,56
2012-05-13 - 2012-05-19,56
2012-05-20 - 2012-05-26,56
2012-05-27 - 2012-06-02,56
2012-06-03 - 2012-06-09,55
2012-06-10 - 2012-06-16,54
2012-06-17 - 2012-06-23,52
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,51
2012-07-08 - 2012-07-14,52
2012-07-15 - 2012-07-21,50
2012-07-22 - 2012-07-28,54
2012-07-29 - 2012-08-04,56
2012-08-05 - 2012-08-11,55
2012-08-12 - 2012-08-18,49
2012-08-19 - 2012-08-25,47
2012-08-26 - 2012-09-01,52
2012-09-02 - 2012-09-08,55
2012-09-09 - 2012-09-15,58
2012-09-16 - 2012-09-22,59
2012-09-23 - 2012-09-29,60
2012-09-30 - 2012-10-06,61
2012-10-07 - 2012-10-13,59
2012-10-14 - 2012-10-20,59
2012-10-21 - 2012-10-27,57
2012-10-28 - 2012-11-03,58
2012-11-04 - 2012-11-10,59
2012-11-11 - 2012-11-17,58
2012-11-18 - 2012-11-24,58
2012-11-25 - 2012-12-01,58
2012-12-02 - 2012-12-08,58
2012-12-09 - 2012-12-15,57
2012-12-16 - 2012-12-22,58
2012-12-23 - 2012-12-29,57
2012-12-30 - 2013-01-05,54
2013-01-06 - 2013-01-12,56
2013-01-13 - 2013-01-19,59
2013-01-20 - 2013-01-26,56
2013-01-27 - 2013-02-02,57
2013-02-03 - 2013-02-09,54
2013-02-10 - 2013-02-16,53
2013-02-17 - 2013-02-23,59
2013-02-24 - 2013-03-02,59
2013-03-03 - 2013-03-09,59
2013-03-10 - 2013-03-16,58
2013-03-17 - 2013-03-23,61
2013-03-24 - 2013-03-30,61
2013-03-31 - 2013-04-06,61
2013-04-07 - 2013-04-13,60
2013-04-14 - 2013-04-20,59
2013-04-21 - 2013-04-27,64
2013-04-28 - 2013-05-04,61
2013-05-05 - 2013-05-11,61
2013-05-12 - 2013-05-18,66
2013-05-19 - 2013-05-25,64
2013-05-26 - 2013-06-01,64
2013-06-02 - 2013-06-08,63
2013-06-09 - 2013-06-15,62
2013-06-16 - 2013-06-22,61
2013-06-23 - 2013-06-29,58
2013-06-30 - 2013-07-06,60
2013-07-07 - 2013-07-13,60
2013-07-14 - 2013-07-20,61
2013-07-21 - 2013-07-27,64
2013-07-28 - 2013-08-03,59
2013-08-04 - 2013-08-10,52
2013-08-11 - 2013-08-17,57
2013-08-18 - 2013-08-24,62
2013-08-25 - 2013-08-31,67
2013-09-01 - 2013-09-07,66
2013-09-08 - 2013-09-14,67
2013-09-15 - 2013-09-21,69
2013-09-22 - 2013-09-28,70
2013-09-29 - 2013-10-05,70
2013-10-06 - 2013-10-12,71
2013-10-13 - 2013-10-19,65
2013-10-20 - 2013-10-26,69
2013-10-27 - 2013-11-02,71
2013-11-03 - 2013-11-09,71
2013-11-10 - 2013-11-16,74
2013-11-17 - 2013-11-23,73
2013-11-24 - 2013-11-30,72
2013-12-01 - 2013-12-07,72
2013-12-08 - 2013-12-14,73
2013-12-15 - 2013-12-21,67
2013-12-22 - 2013-12-28,68
2013-12-29 - 2014-01-04,67
2014-01-05 - 2014-01-11,72
2014-01-12 - 2014-01-18,70
2014-01-19 - 2014-01-25,69
2014-01-26 - 2014-02-01,63
2014-02-02 - 2014-02-08,65
2014-02-09 - 2014-02-15,69
2014-02-16 - 2014-02-22,73
2014-02-23 - 2014-03-01,71
2014-03-02 - 2014-03-08,75
2014-03-09 - 2014-03-15,75
2014-03-16 - 2014-03-22,75
2014-03-23 - 2014-03-29,78
2014-03-30 - 2014-04-05,75
2014-04-06 - 2014-04-12,74
2014-04-13 - 2014-04-19,76
2014-04-20 - 2014-04-26,80
2014-04-27 - 2014-05-03,76
2014-05-04 - 2014-05-10,79
2014-05-11 - 2014-05-17,78
2014-05-18 - 2014-05-24,82
2014-05-25 - 2014-05-31,80
2014-06-01 - 2014-06-07,87
2014-06-08 - 2014-06-14,82
2014-06-15 - 2014-06-21,77
2014-06-22 - 2014-06-28,72
2014-06-29 - 2014-07-05,75
2014-07-06 - 2014-07-12,80
2014-07-13 - 2014-07-19,80
2014-07-20 - 2014-07-26,76
2014-07-27 - 2014-08-02,67
2014-08-03 - 2014-08-09,82
2014-08-10 - 2014-08-16,90
2014-08-17 - 2014-08-23,94
2014-08-24 - 2014-08-30,95
2014-08-31 - 2014-09-06,91
2014-09-07 - 2014-09-13,93
2014-09-14 - 2014-09-20,97
2014-09-21 - 2014-09-27,96
2014-09-28 - 2014-10-04,96
2014-10-05 - 2014-10-11,92
2014-10-12 - 2014-10-18,100
2014-10-19 - 2014-10-25,95
2014-10-26 - 2014-11-01,97
2014-11-02 - 2014-11-08,95
2014-11-09 - 2014-11-15,93
2014-11-16 - 2014-11-22,92
2014-11-23 - 2014-11-29,90
2014-11-30 - 2014-12-06,93
2014-12-07 - 2014-12-13,96
2014-12-14 - 2014-12-20,82
2014-12-21 - 2014-12-27,83
2014-12-28 - 2015-01-03,79
2015-01-04 - 2015-01-10,84
2015-01-11 - 2015-01-17,90
2015-01-18 - 2015-01-24,90
2015-01-25 - 2015-01-31,86
2015-02-01 - 2015-02-07,84
2015-02-08 - 2015-02-14,84
2015-02-15 - 2015-02-21,81
2015-02-22 - 2015-02-28,84
2015-03-01 - 2015-03-07,89
2015-03-08 - 2015-03-14,92
2015-03-15 - 2015-03-21,89
2015-03-22 - 2015-03-28,91
2015-03-29 - 2015-04-04,87
2015-04-05 - 2015-04-11,90
2015-04-12 - 2015-04-18,87
2015-04-19 - 2015-04-25,88
2015-04-26 - 2015-05-02,88
2015-05-03 - 2015-05-09,86
2015-05-10 - 2015-05-16,83
2015-05-17 - 2015-05-23,86
2015-05-24 - 2015-05-30,89
2015-05-31 - 2015-06-06,84
2015-06-07 - 2015-06-13,82
2015-06-14 - 2015-06-20,75
2015-06-21 - 2015-06-27,78
2015-06-28 - 2015-07-04,75
2015-07-05 - 2015-07-11,75
2015-07-12 - 2015-07-18,64
2015-07-19 - 2015-07-25,65
2015-07-26 - 2015-08-01,75
2015-08-02 - 2015-08-08,88
2015-08-09 - 2015-08-15,90
2015-08-16 - 2015-08-22,85
2015-08-23 - 2015-08-29,89
2015-08-30 - 2015-09-05,89
2015-09-06 - 2015-09-12,92
2015-09-13 - 2015-09-19,93
2015-09-20 - 2015-09-26,86
2015-09-27 - 2015-10-03,93
2015-10-04 - 2015-10-10,99
2015-10-11 - 2015-10-17,92
2015-10-18 - 2015-10-24,93
2015-10-25 - 2015-10-31,96
2015-11-01 - 2015-11-07,95
2015-11-08 - 2015-11-14,97
2015-11-15 - 2015-11-21,93
2015-11-22 - 2015-11-28,91
2015-11-29 - 2015-12-05,97
2015-12-06 - 2015-12-12,91
2015-12-13 - 2015-12-19,85
2015-12-20 - 2015-12-26,82
2015-12-27 - 2016-01-02,78
2016-01-03 - 2016-01-09,85
2016-01-10 - 2016-01-16,93
2016-01-17 - 2016-01-23,90
2016-01-24 - 2016-01-30,87
2016-01-31 - 2016-02-06,83
2016-02-07 - 2016-02-13,80
2016-02-14 - 2016-02-20,86
2016-02-21 - 2016-02-27,89
2016-02-28 - 2016-03-05,87
2016-03-06 - 2016-03-12,89
2016-03-13 - 2016-03-19,89
2016-03-20 - 2016-03-26,89
2016-03-27 - 2016-04-02,89
2016-04-03 - 2016-04-09,87
2016-04-10 - 2016-04-16,88
2016-04-17 - 2016-04-23,88
2016-04-24 - 2016-04-30,89
2016-05-01 - 2016-05-07,79
2016-05-08 - 2016-05-14,85
2016-05-15 - 2016-05-21,87
2016-05-22 - 2016-05-28,89
2016-05-29 - 2016-06-04,83
2016-06-05 - 2016-06-11,80
2016-06-12 - 2016-06-18,79
2016-06-19 - 2016-06-25,78
2016-06-26 - 2016-07-02,76


Top regions for dan+ariely
Region,dan+ariely
Indonesia,100
Vietnam,56
Malaysia,23
Slovenia,9
Serbia,5
Bosnia & Herzegovina,4
Croatia,4
Romania,3
Singapore,3
Australia,2
Netherlands,2
United States,2
Denmark,2
Canada,2
Hong Kong,1
India,1
Czech Republic,1
Ireland,1
Mexico,1
Turkey,1
New Zealand,1
United Kingdom,1
Colombia,1
Belgium,1
Sweden,1
Venezuela,1
Chile,1
Peru,1
Argentina,1
Spain,1
Philippines,1
Austria,1
Taiwan,1
France,1


Top cities for dan+ariely
City,dan+ariely
Makassar (Indonesia),100
Bandar Lampung (Indonesia),80
Surabaya (Indonesia),79
Medan (Indonesia),77
Jakarta (Indonesia),73
Yogyakarta (Indonesia),73
Palembang (Indonesia),72
Depok (Indonesia),71
Semarang (Indonesia),69
Bekasi (Indonesia),69
Malang (Indonesia),65
Denpasar (Indonesia),57
Bandung (Indonesia),56
Hai Phong (Vietnam),46
Hanoi (Vietnam),45



Top searches for dan+ariely
dan dan,100
dan tri,5
bao dan tri,0
dan viet,0
nhan dan,0
dan brown,0
dan ong,0
dan nguyen,0
dan bilzerian,0
dan truong,0
terjemahan,0
chi dan,0
dan murphy,0
upin dan ipin,0
24h,0
steely dan,0
leo dan,0
dan tri 24h,0
dan balan,0
tin tuc,0
dan murphys,0
dan patrick,0
dan ball,0
vn,0
aliando dan prilly,0
dan lam bao,0
bao moi,0
nhac dan ca,0
zing,0
cerita dewasa,0
dan marino,0
dan and phil,0
dan aykroyd,0
bong da,0
dan savage,0
dan brown inferno,0
tuoi tre,0
dino dan,0
dan henderson,0
dan smith,0
dan luan,0
dantri,0
vnexpress,0
dan tri.com,0
dan howell,0
dan stevens,0
thanh nien,0
dan tri .com,0
dan carter,0
bao cong an,0



Rising searches for dan+ariely
bao dan tri,Breakout
dan bilzerian,Breakout
dan tri,Breakout
terjemahan,Breakout
dan ong,+1,450%
dan nguyen,+750%
dan viet,+300%
nhan dan,+300%
dan truong,+130%



