Web Search interest: crystallography
Worldwide 2004 - present

Interest over time
Week,crystallography
2008-06-08 - 2008-06-14,25
2008-06-15 - 2008-06-21,24
2008-06-22 - 2008-06-28,26
2008-06-29 - 2008-07-05,18
2008-07-06 - 2008-07-12,29
2008-07-13 - 2008-07-19,22
2008-07-20 - 2008-07-26,25
2008-07-27 - 2008-08-02,23
2008-08-03 - 2008-08-09,19
2008-08-10 - 2008-08-16,23
2008-08-17 - 2008-08-23,23
2008-08-24 - 2008-08-30,28
2008-08-31 - 2008-09-06,26
2008-09-07 - 2008-09-13,30
2008-09-14 - 2008-09-20,30
2008-09-21 - 2008-09-27,27
2008-09-28 - 2008-10-04,26
2008-10-05 - 2008-10-11,30
2008-10-12 - 2008-10-18,29
2008-10-19 - 2008-10-25,31
2008-10-26 - 2008-11-01,26
2008-11-02 - 2008-11-08,26
2008-11-09 - 2008-11-15,28
2008-11-16 - 2008-11-22,24
2008-11-23 - 2008-11-29,27
2008-11-30 - 2008-12-06,29
2008-12-07 - 2008-12-13,27
2008-12-14 - 2008-12-20,21
2008-12-21 - 2008-12-27,14
2008-12-28 - 2009-01-03,15
2009-01-04 - 2009-01-10,23
2009-01-11 - 2009-01-17,26
2009-01-18 - 2009-01-24,29
2009-01-25 - 2009-01-31,27
2009-02-01 - 2009-02-07,26
2009-02-08 - 2009-02-14,27
2009-02-15 - 2009-02-21,24
2009-02-22 - 2009-02-28,24
2009-03-01 - 2009-03-07,23
2009-03-08 - 2009-03-14,25
2009-03-15 - 2009-03-21,26
2009-03-22 - 2009-03-28,24
2009-03-29 - 2009-04-04,27
2009-04-05 - 2009-04-11,22
2009-04-12 - 2009-04-18,25
2009-04-19 - 2009-04-25,27
2009-04-26 - 2009-05-02,30
2009-05-03 - 2009-05-09,24
2009-05-10 - 2009-05-16,25
2009-05-17 - 2009-05-23,24
2009-05-24 - 2009-05-30,20
2009-05-31 - 2009-06-06,22
2009-06-07 - 2009-06-13,21
2009-06-14 - 2009-06-20,18
2009-06-21 - 2009-06-27,20
2009-06-28 - 2009-07-04,22
2009-07-05 - 2009-07-11,19
2009-07-12 - 2009-07-18,21
2009-07-19 - 2009-07-25,19
2009-07-26 - 2009-08-01,21
2009-08-02 - 2009-08-08,21
2009-08-09 - 2009-08-15,22
2009-08-16 - 2009-08-22,18
2009-08-23 - 2009-08-29,25
2009-08-30 - 2009-09-05,22
2009-09-06 - 2009-09-12,24
2009-09-13 - 2009-09-19,26
2009-09-20 - 2009-09-26,25
2009-09-27 - 2009-10-03,27
2009-10-04 - 2009-10-10,30
2009-10-11 - 2009-10-17,27
2009-10-18 - 2009-10-24,29
2009-10-25 - 2009-10-31,27
2009-11-01 - 2009-11-07,25
2009-11-08 - 2009-11-14,26
2009-11-15 - 2009-11-21,27
2009-11-22 - 2009-11-28,24
2009-11-29 - 2009-12-05,24
2009-12-06 - 2009-12-12,23
2009-12-13 - 2009-12-19,23
2009-12-20 - 2009-12-26,15
2009-12-27 - 2010-01-02,11
2010-01-03 - 2010-01-09,20
2010-01-10 - 2010-01-16,21
2010-01-17 - 2010-01-23,24
2010-01-24 - 2010-01-30,25
2010-01-31 - 2010-02-06,23
2010-02-07 - 2010-02-13,25
2010-02-14 - 2010-02-20,23
2010-02-21 - 2010-02-27,22
2010-02-28 - 2010-03-06,23
2010-03-07 - 2010-03-13,21
2010-03-14 - 2010-03-20,24
2010-03-21 - 2010-03-27,24
2010-03-28 - 2010-04-03,21
2010-04-04 - 2010-04-10,21
2010-04-11 - 2010-04-17,22
2010-04-18 - 2010-04-24,26
2010-04-25 - 2010-05-01,27
2010-05-02 - 2010-05-08,23
2010-05-09 - 2010-05-15,22
2010-05-16 - 2010-05-22,20
2010-05-23 - 2010-05-29,20
2010-05-30 - 2010-06-05,19
2010-06-06 - 2010-06-12,20
2010-06-13 - 2010-06-19,21
2010-06-20 - 2010-06-26,19
2010-06-27 - 2010-07-03,15
2010-07-04 - 2010-07-10,17
2010-07-11 - 2010-07-17,17
2010-07-18 - 2010-07-24,15
2010-07-25 - 2010-07-31,17
2010-08-01 - 2010-08-07,16
2010-08-08 - 2010-08-14,17
2010-08-15 - 2010-08-21,18
2010-08-22 - 2010-08-28,19
2010-08-29 - 2010-09-04,17
2010-09-05 - 2010-09-11,18
2010-09-12 - 2010-09-18,21
2010-09-19 - 2010-09-25,22
2010-09-26 - 2010-10-02,21
2010-10-03 - 2010-10-09,24
2010-10-10 - 2010-10-16,24
2010-10-17 - 2010-10-23,21
2010-10-24 - 2010-10-30,24
2010-10-31 - 2010-11-06,20
2010-11-07 - 2010-11-13,24
2010-11-14 - 2010-11-20,22
2010-11-21 - 2010-11-27,19
2010-11-28 - 2010-12-04,23
2010-12-05 - 2010-12-11,21
2010-12-12 - 2010-12-18,18
2010-12-19 - 2010-12-25,14
2010-12-26 - 2011-01-01,11
2011-01-02 - 2011-01-08,18
2011-01-09 - 2011-01-15,19
2011-01-16 - 2011-01-22,18
2011-01-23 - 2011-01-29,20
2011-01-30 - 2011-02-05,20
2011-02-06 - 2011-02-12,19
2011-02-13 - 2011-02-19,20
2011-02-20 - 2011-02-26,18
2011-02-27 - 2011-03-05,20
2011-03-06 - 2011-03-12,21
2011-03-13 - 2011-03-19,20
2011-03-20 - 2011-03-26,16
2011-03-27 - 2011-04-02,18
2011-04-03 - 2011-04-09,21
2011-04-10 - 2011-04-16,20
2011-04-17 - 2011-04-23,18
2011-04-24 - 2011-04-30,20
2011-05-01 - 2011-05-07,19
2011-05-08 - 2011-05-14,19
2011-05-15 - 2011-05-21,17
2011-05-22 - 2011-05-28,17
2011-05-29 - 2011-06-04,17
2011-06-05 - 2011-06-11,18
2011-06-12 - 2011-06-18,17
2011-06-19 - 2011-06-25,14
2011-06-26 - 2011-07-02,16
2011-07-03 - 2011-07-09,14
2011-07-10 - 2011-07-16,17
2011-07-17 - 2011-07-23,16
2011-07-24 - 2011-07-30,15
2011-07-31 - 2011-08-06,14
2011-08-07 - 2011-08-13,13
2011-08-14 - 2011-08-20,15
2011-08-21 - 2011-08-27,16
2011-08-28 - 2011-09-03,16
2011-09-04 - 2011-09-10,18
2011-09-11 - 2011-09-17,20
2011-09-18 - 2011-09-24,21
2011-09-25 - 2011-10-01,18
2011-10-02 - 2011-10-08,19
2011-10-09 - 2011-10-15,22
2011-10-16 - 2011-10-22,19
2011-10-23 - 2011-10-29,18
2011-10-30 - 2011-11-05,20
2011-11-06 - 2011-11-12,19
2011-11-13 - 2011-11-19,20
2011-11-20 - 2011-11-26,18
2011-11-27 - 2011-12-03,18
2011-12-04 - 2011-12-10,19
2011-12-11 - 2011-12-17,20
2011-12-18 - 2011-12-24,16
2011-12-25 - 2011-12-31,9
2012-01-01 - 2012-01-07,13
2012-01-08 - 2012-01-14,16
2012-01-15 - 2012-01-21,17
2012-01-22 - 2012-01-28,16
2012-01-29 - 2012-02-04,17
2012-02-05 - 2012-02-11,18
2012-02-12 - 2012-02-18,17
2012-02-19 - 2012-02-25,18
2012-02-26 - 2012-03-03,18
2012-03-04 - 2012-03-10,17
2012-03-11 - 2012-03-17,17
2012-03-18 - 2012-03-24,18
2012-03-25 - 2012-03-31,18
2012-04-01 - 2012-04-07,16
2012-04-08 - 2012-04-14,15
2012-04-15 - 2012-04-21,18
2012-04-22 - 2012-04-28,19
2012-04-29 - 2012-05-05,19
2012-05-06 - 2012-05-12,17
2012-05-13 - 2012-05-19,17
2012-05-20 - 2012-05-26,17
2012-05-27 - 2012-06-02,17
2012-06-03 - 2012-06-09,15
2012-06-10 - 2012-06-16,14
2012-06-17 - 2012-06-23,15
2012-06-24 - 2012-06-30,14
2012-07-01 - 2012-07-07,14
2012-07-08 - 2012-07-14,13
2012-07-15 - 2012-07-21,13
2012-07-22 - 2012-07-28,13
2012-07-29 - 2012-08-04,14
2012-08-05 - 2012-08-11,12
2012-08-12 - 2012-08-18,15
2012-08-19 - 2012-08-25,14
2012-08-26 - 2012-09-01,14
2012-09-02 - 2012-09-08,17
2012-09-09 - 2012-09-15,18
2012-09-16 - 2012-09-22,19
2012-09-23 - 2012-09-29,19
2012-09-30 - 2012-10-06,18
2012-10-07 - 2012-10-13,19
2012-10-14 - 2012-10-20,19
2012-10-21 - 2012-10-27,17
2012-10-28 - 2012-11-03,16
2012-11-04 - 2012-11-10,17
2012-11-11 - 2012-11-17,15
2012-11-18 - 2012-11-24,16
2012-11-25 - 2012-12-01,19
2012-12-02 - 2012-12-08,18
2012-12-09 - 2012-12-15,17
2012-12-16 - 2012-12-22,13
2012-12-23 - 2012-12-29,9
2012-12-30 - 2013-01-05,12
2013-01-06 - 2013-01-12,15
2013-01-13 - 2013-01-19,17
2013-01-20 - 2013-01-26,16
2013-01-27 - 2013-02-02,16
2013-02-03 - 2013-02-09,18
2013-02-10 - 2013-02-16,17
2013-02-17 - 2013-02-23,18
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,18
2013-03-10 - 2013-03-16,16
2013-03-17 - 2013-03-23,17
2013-03-24 - 2013-03-30,16
2013-03-31 - 2013-04-06,16
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,16
2013-04-21 - 2013-04-27,17
2013-04-28 - 2013-05-04,18
2013-05-05 - 2013-05-11,19
2013-05-12 - 2013-05-18,16
2013-05-19 - 2013-05-25,14
2013-05-26 - 2013-06-01,14
2013-06-02 - 2013-06-08,15
2013-06-09 - 2013-06-15,14
2013-06-16 - 2013-06-22,12
2013-06-23 - 2013-06-29,14
2013-06-30 - 2013-07-06,13
2013-07-07 - 2013-07-13,15
2013-07-14 - 2013-07-20,13
2013-07-21 - 2013-07-27,15
2013-07-28 - 2013-08-03,13
2013-08-04 - 2013-08-10,13
2013-08-11 - 2013-08-17,12
2013-08-18 - 2013-08-24,13
2013-08-25 - 2013-08-31,15
2013-09-01 - 2013-09-07,15
2013-09-08 - 2013-09-14,15
2013-09-15 - 2013-09-21,16
2013-09-22 - 2013-09-28,17
2013-09-29 - 2013-10-05,18
2013-10-06 - 2013-10-12,19
2013-10-13 - 2013-10-19,19
2013-10-20 - 2013-10-26,19
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,18
2013-11-10 - 2013-11-16,18
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,18
2013-12-01 - 2013-12-07,18
2013-12-08 - 2013-12-14,19
2013-12-15 - 2013-12-21,15
2013-12-22 - 2013-12-28,9
2013-12-29 - 2014-01-04,12
2014-01-05 - 2014-01-11,18
2014-01-12 - 2014-01-18,17
2014-01-19 - 2014-01-25,19
2014-01-26 - 2014-02-01,17
2014-02-02 - 2014-02-08,19
2014-02-09 - 2014-02-15,18
2014-02-16 - 2014-02-22,20
2014-02-23 - 2014-03-01,21
2014-03-02 - 2014-03-08,20
2014-03-09 - 2014-03-15,17
2014-03-16 - 2014-03-22,17
2014-03-23 - 2014-03-29,18
2014-03-30 - 2014-04-05,18
2014-04-06 - 2014-04-12,17
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,17
2014-04-27 - 2014-05-03,18
2014-05-04 - 2014-05-10,19
2014-05-11 - 2014-05-17,29
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,16
2014-06-01 - 2014-06-07,15
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,15
2014-06-22 - 2014-06-28,13
2014-06-29 - 2014-07-05,12
2014-07-06 - 2014-07-12,14
2014-07-13 - 2014-07-19,13
2014-07-20 - 2014-07-26,13
2014-07-27 - 2014-08-02,13
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,12
2014-08-17 - 2014-08-23,14
2014-08-24 - 2014-08-30,15
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,19
2014-09-21 - 2014-09-27,18
2014-09-28 - 2014-10-04,19
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,17
2014-11-02 - 2014-11-08,17
2014-11-09 - 2014-11-15,17
2014-11-16 - 2014-11-22,18
2014-11-23 - 2014-11-29,16
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,17
2014-12-14 - 2014-12-20,15
2014-12-21 - 2014-12-27,9
2014-12-28 - 2015-01-03,9
2015-01-04 - 2015-01-10,14
2015-01-11 - 2015-01-17,16
2015-01-18 - 2015-01-24,15
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,14
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,16
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,15
2015-03-15 - 2015-03-21,16
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,13
2015-04-05 - 2015-04-11,15
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,14
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,12
2015-05-31 - 2015-06-06,13
2015-06-07 - 2015-06-13,13
2015-06-14 - 2015-06-20,12
2015-06-21 - 2015-06-27,11
2015-06-28 - 2015-07-04,11
2015-07-05 - 2015-07-11,11
2015-07-12 - 2015-07-18,12
2015-07-19 - 2015-07-25,10
2015-07-26 - 2015-08-01,11
2015-08-02 - 2015-08-08,12
2015-08-09 - 2015-08-15,11
2015-08-16 - 2015-08-22,13
2015-08-23 - 2015-08-29,11
2015-08-30 - 2015-09-05,14
2015-09-06 - 2015-09-12,14
2015-09-13 - 2015-09-19,15
2015-09-20 - 2015-09-26,14
2015-09-27 - 2015-10-03,15
2015-10-04 - 2015-10-10,15
2015-10-11 - 2015-10-17,16
2015-10-18 - 2015-10-24,14
2015-10-25 - 2015-10-31,15
2015-11-01 - 2015-11-07,16
2015-11-08 - 2015-11-14,14
2015-11-15 - 2015-11-21,15
2015-11-22 - 2015-11-28,13
2015-11-29 - 2015-12-05,15
2015-12-06 - 2015-12-12,14
2015-12-13 - 2015-12-19,14
2015-12-20 - 2015-12-26,8
2015-12-27 - 2016-01-02,7
2016-01-03 - 2016-01-09,12
2016-01-10 - 2016-01-16,15
2016-01-17 - 2016-01-23,14
2016-01-24 - 2016-01-30,14
2016-01-31 - 2016-02-06,15
2016-02-07 - 2016-02-13,14
2016-02-14 - 2016-02-20,14
2016-02-21 - 2016-02-27,16
2016-02-28 - 2016-03-05,15
2016-03-06 - 2016-03-12,16
2016-03-13 - 2016-03-19,15
2016-03-20 - 2016-03-26,12
2016-03-27 - 2016-04-02,12
2016-04-03 - 2016-04-09,13
2016-04-10 - 2016-04-16,13
2016-04-17 - 2016-04-23,14
2016-04-24 - 2016-04-30,15
2016-05-01 - 2016-05-07,14
2016-05-08 - 2016-05-14,14
2016-05-15 - 2016-05-21,12
2016-05-22 - 2016-05-28,12
2016-05-29 - 2016-06-04,12
2016-06-05 - 2016-06-11,11
2016-06-12 - 2016-06-18,10
2016-06-19 - 2016-06-25,9
2016-06-26 - 2016-07-02,6


Top regions for crystallography
Region,crystallography
India,100
South Korea,88
United Kingdom,54
Switzerland,50
United States,48
Canada,46
Australia,44
China,32
Germany,26
France,17
Poland,16
Spain,14
Japan,13
Italy,13
Brazil,7


Top cities for crystallography
City,crystallography
Berkeley (United States),100
Oxford (United Kingdom),68
Cambridge (United Kingdom),65
Chennai (India),17
San Diego (United States),14
Bangalore (India),13
Boston (United States),13
Hyderabad (India),11
Howrah (India),10
Seoul (South Korea),10
Philadelphia (United States),9
Singapore (Singapore),9
Mumbai (India),9
Beijing (China),9
Manchester (United Kingdom),9



Top searches for crystallography
x-ray crystallography,100
x ray crystallography,70
protein crystallography,60
journal of crystallography,25
what is crystallography,20
xray crystallography,20
crystallography pdf,15
electron crystallography,15
acta crystallography,10
x-ray diffraction,10
crystallography definition,10
crystallography ppt,10
x ray diffraction,5
crystalography,5
ccp4,5
crystallography open database,5
phenix crystallography,5
cns crystallography,5
year of crystallography,5
space groups,5
protein crystallization,5
iucr,5
acta crystallographica,5



Rising searches for crystallography
crystallography pdf,+450%
x ray crystallography,+400%
what is crystallography,+250%
xray crystallography,+130%
x-ray crystallography,+60%
journal of crystallography,+50%



