Web Search interest: Methylprednisolone
Worldwide 2004 - present

Interest over time
Week,Methylprednisolone
2009-12-13 - 2009-12-19,56
2009-12-20 - 2009-12-26,60
2009-12-27 - 2010-01-02,55
2010-01-03 - 2010-01-09,55
2010-01-10 - 2010-01-16,58
2010-01-17 - 2010-01-23,61
2010-01-24 - 2010-01-30,61
2010-01-31 - 2010-02-06,58
2010-02-07 - 2010-02-13,60
2010-02-14 - 2010-02-20,62
2010-02-21 - 2010-02-27,65
2010-02-28 - 2010-03-06,65
2010-03-07 - 2010-03-13,59
2010-03-14 - 2010-03-20,63
2010-03-21 - 2010-03-27,64
2010-03-28 - 2010-04-03,62
2010-04-04 - 2010-04-10,64
2010-04-11 - 2010-04-17,66
2010-04-18 - 2010-04-24,63
2010-04-25 - 2010-05-01,71
2010-05-02 - 2010-05-08,61
2010-05-09 - 2010-05-15,66
2010-05-16 - 2010-05-22,66
2010-05-23 - 2010-05-29,67
2010-05-30 - 2010-06-05,63
2010-06-06 - 2010-06-12,65
2010-06-13 - 2010-06-19,64
2010-06-20 - 2010-06-26,63
2010-06-27 - 2010-07-03,64
2010-07-04 - 2010-07-10,63
2010-07-11 - 2010-07-17,62
2010-07-18 - 2010-07-24,71
2010-07-25 - 2010-07-31,66
2010-08-01 - 2010-08-07,66
2010-08-08 - 2010-08-14,59
2010-08-15 - 2010-08-21,65
2010-08-22 - 2010-08-28,63
2010-08-29 - 2010-09-04,65
2010-09-05 - 2010-09-11,69
2010-09-12 - 2010-09-18,68
2010-09-19 - 2010-09-25,68
2010-09-26 - 2010-10-02,69
2010-10-03 - 2010-10-09,69
2010-10-10 - 2010-10-16,63
2010-10-17 - 2010-10-23,67
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,68
2010-11-07 - 2010-11-13,70
2010-11-14 - 2010-11-20,72
2010-11-21 - 2010-11-27,65
2010-11-28 - 2010-12-04,64
2010-12-05 - 2010-12-11,64
2010-12-12 - 2010-12-18,61
2010-12-19 - 2010-12-25,59
2010-12-26 - 2011-01-01,59
2011-01-02 - 2011-01-08,73
2011-01-09 - 2011-01-15,65
2011-01-16 - 2011-01-22,74
2011-01-23 - 2011-01-29,69
2011-01-30 - 2011-02-05,69
2011-02-06 - 2011-02-12,73
2011-02-13 - 2011-02-19,70
2011-02-20 - 2011-02-26,73
2011-02-27 - 2011-03-05,71
2011-03-06 - 2011-03-12,68
2011-03-13 - 2011-03-19,66
2011-03-20 - 2011-03-26,73
2011-03-27 - 2011-04-02,71
2011-04-03 - 2011-04-09,78
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,71
2011-04-24 - 2011-04-30,67
2011-05-01 - 2011-05-07,66
2011-05-08 - 2011-05-14,65
2011-05-15 - 2011-05-21,63
2011-05-22 - 2011-05-28,63
2011-05-29 - 2011-06-04,60
2011-06-05 - 2011-06-11,61
2011-06-12 - 2011-06-18,57
2011-06-19 - 2011-06-25,60
2011-06-26 - 2011-07-02,57
2011-07-03 - 2011-07-09,56
2011-07-10 - 2011-07-16,59
2011-07-17 - 2011-07-23,60
2011-07-24 - 2011-07-30,58
2011-07-31 - 2011-08-06,61
2011-08-07 - 2011-08-13,59
2011-08-14 - 2011-08-20,55
2011-08-21 - 2011-08-27,56
2011-08-28 - 2011-09-03,55
2011-09-04 - 2011-09-10,56
2011-09-11 - 2011-09-17,64
2011-09-18 - 2011-09-24,60
2011-09-25 - 2011-10-01,64
2011-10-02 - 2011-10-08,62
2011-10-09 - 2011-10-15,61
2011-10-16 - 2011-10-22,63
2011-10-23 - 2011-10-29,63
2011-10-30 - 2011-11-05,67
2011-11-06 - 2011-11-12,65
2011-11-13 - 2011-11-19,66
2011-11-20 - 2011-11-26,60
2011-11-27 - 2011-12-03,67
2011-12-04 - 2011-12-10,66
2011-12-11 - 2011-12-17,60
2011-12-18 - 2011-12-24,61
2011-12-25 - 2011-12-31,60
2012-01-01 - 2012-01-07,65
2012-01-08 - 2012-01-14,67
2012-01-15 - 2012-01-21,67
2012-01-22 - 2012-01-28,71
2012-01-29 - 2012-02-04,72
2012-02-05 - 2012-02-11,73
2012-02-12 - 2012-02-18,70
2012-02-19 - 2012-02-25,74
2012-02-26 - 2012-03-03,75
2012-03-04 - 2012-03-10,73
2012-03-11 - 2012-03-17,69
2012-03-18 - 2012-03-24,74
2012-03-25 - 2012-03-31,72
2012-04-01 - 2012-04-07,67
2012-04-08 - 2012-04-14,68
2012-04-15 - 2012-04-21,73
2012-04-22 - 2012-04-28,72
2012-04-29 - 2012-05-05,67
2012-05-06 - 2012-05-12,67
2012-05-13 - 2012-05-19,74
2012-05-20 - 2012-05-26,72
2012-05-27 - 2012-06-02,68
2012-06-03 - 2012-06-09,69
2012-06-10 - 2012-06-16,72
2012-06-17 - 2012-06-23,67
2012-06-24 - 2012-06-30,65
2012-07-01 - 2012-07-07,64
2012-07-08 - 2012-07-14,67
2012-07-15 - 2012-07-21,70
2012-07-22 - 2012-07-28,74
2012-07-29 - 2012-08-04,73
2012-08-05 - 2012-08-11,67
2012-08-12 - 2012-08-18,67
2012-08-19 - 2012-08-25,71
2012-08-26 - 2012-09-01,70
2012-09-02 - 2012-09-08,68
2012-09-09 - 2012-09-15,75
2012-09-16 - 2012-09-22,72
2012-09-23 - 2012-09-29,72
2012-09-30 - 2012-10-06,84
2012-10-07 - 2012-10-13,86
2012-10-14 - 2012-10-20,75
2012-10-21 - 2012-10-27,75
2012-10-28 - 2012-11-03,68
2012-11-04 - 2012-11-10,67
2012-11-11 - 2012-11-17,72
2012-11-18 - 2012-11-24,64
2012-11-25 - 2012-12-01,71
2012-12-02 - 2012-12-08,73
2012-12-09 - 2012-12-15,69
2012-12-16 - 2012-12-22,69
2012-12-23 - 2012-12-29,61
2012-12-30 - 2013-01-05,69
2013-01-06 - 2013-01-12,72
2013-01-13 - 2013-01-19,71
2013-01-20 - 2013-01-26,72
2013-01-27 - 2013-02-02,74
2013-02-03 - 2013-02-09,73
2013-02-10 - 2013-02-16,70
2013-02-17 - 2013-02-23,74
2013-02-24 - 2013-03-02,70
2013-03-03 - 2013-03-09,73
2013-03-10 - 2013-03-16,72
2013-03-17 - 2013-03-23,73
2013-03-24 - 2013-03-30,71
2013-03-31 - 2013-04-06,69
2013-04-07 - 2013-04-13,73
2013-04-14 - 2013-04-20,72
2013-04-21 - 2013-04-27,74
2013-04-28 - 2013-05-04,71
2013-05-05 - 2013-05-11,73
2013-05-12 - 2013-05-18,70
2013-05-19 - 2013-05-25,71
2013-05-26 - 2013-06-01,71
2013-06-02 - 2013-06-08,74
2013-06-09 - 2013-06-15,73
2013-06-16 - 2013-06-22,72
2013-06-23 - 2013-06-29,69
2013-06-30 - 2013-07-06,67
2013-07-07 - 2013-07-13,70
2013-07-14 - 2013-07-20,72
2013-07-21 - 2013-07-27,70
2013-07-28 - 2013-08-03,74
2013-08-04 - 2013-08-10,71
2013-08-11 - 2013-08-17,73
2013-08-18 - 2013-08-24,74
2013-08-25 - 2013-08-31,71
2013-09-01 - 2013-09-07,71
2013-09-08 - 2013-09-14,70
2013-09-15 - 2013-09-21,73
2013-09-22 - 2013-09-28,75
2013-09-29 - 2013-10-05,73
2013-10-06 - 2013-10-12,72
2013-10-13 - 2013-10-19,71
2013-10-20 - 2013-10-26,70
2013-10-27 - 2013-11-02,71
2013-11-03 - 2013-11-09,73
2013-11-10 - 2013-11-16,73
2013-11-17 - 2013-11-23,74
2013-11-24 - 2013-11-30,66
2013-12-01 - 2013-12-07,71
2013-12-08 - 2013-12-14,67
2013-12-15 - 2013-12-21,68
2013-12-22 - 2013-12-28,64
2013-12-29 - 2014-01-04,68
2014-01-05 - 2014-01-11,74
2014-01-12 - 2014-01-18,77
2014-01-19 - 2014-01-25,74
2014-01-26 - 2014-02-01,75
2014-02-02 - 2014-02-08,70
2014-02-09 - 2014-02-15,74
2014-02-16 - 2014-02-22,73
2014-02-23 - 2014-03-01,74
2014-03-02 - 2014-03-08,75
2014-03-09 - 2014-03-15,75
2014-03-16 - 2014-03-22,76
2014-03-23 - 2014-03-29,78
2014-03-30 - 2014-04-05,77
2014-04-06 - 2014-04-12,79
2014-04-13 - 2014-04-19,77
2014-04-20 - 2014-04-26,81
2014-04-27 - 2014-05-03,74
2014-05-04 - 2014-05-10,74
2014-05-11 - 2014-05-17,77
2014-05-18 - 2014-05-24,77
2014-05-25 - 2014-05-31,72
2014-06-01 - 2014-06-07,75
2014-06-08 - 2014-06-14,76
2014-06-15 - 2014-06-21,74
2014-06-22 - 2014-06-28,78
2014-06-29 - 2014-07-05,70
2014-07-06 - 2014-07-12,76
2014-07-13 - 2014-07-19,78
2014-07-20 - 2014-07-26,78
2014-07-27 - 2014-08-02,75
2014-08-03 - 2014-08-09,78
2014-08-10 - 2014-08-16,75
2014-08-17 - 2014-08-23,78
2014-08-24 - 2014-08-30,77
2014-08-31 - 2014-09-06,70
2014-09-07 - 2014-09-13,77
2014-09-14 - 2014-09-20,81
2014-09-21 - 2014-09-27,81
2014-09-28 - 2014-10-04,81
2014-10-05 - 2014-10-11,78
2014-10-12 - 2014-10-18,76
2014-10-19 - 2014-10-25,78
2014-10-26 - 2014-11-01,79
2014-11-02 - 2014-11-08,80
2014-11-09 - 2014-11-15,80
2014-11-16 - 2014-11-22,81
2014-11-23 - 2014-11-29,76
2014-11-30 - 2014-12-06,78
2014-12-07 - 2014-12-13,81
2014-12-14 - 2014-12-20,81
2014-12-21 - 2014-12-27,71
2014-12-28 - 2015-01-03,74
2015-01-04 - 2015-01-10,83
2015-01-11 - 2015-01-17,86
2015-01-18 - 2015-01-24,84
2015-01-25 - 2015-01-31,84
2015-02-01 - 2015-02-07,83
2015-02-08 - 2015-02-14,87
2015-02-15 - 2015-02-21,84
2015-02-22 - 2015-02-28,87
2015-03-01 - 2015-03-07,85
2015-03-08 - 2015-03-14,86
2015-03-15 - 2015-03-21,86
2015-03-22 - 2015-03-28,87
2015-03-29 - 2015-04-04,84
2015-04-05 - 2015-04-11,87
2015-04-12 - 2015-04-18,87
2015-04-19 - 2015-04-25,87
2015-04-26 - 2015-05-02,87
2015-05-03 - 2015-05-09,85
2015-05-10 - 2015-05-16,83
2015-05-17 - 2015-05-23,84
2015-05-24 - 2015-05-30,80
2015-05-31 - 2015-06-06,83
2015-06-07 - 2015-06-13,84
2015-06-14 - 2015-06-20,84
2015-06-21 - 2015-06-27,81
2015-06-28 - 2015-07-04,78
2015-07-05 - 2015-07-11,83
2015-07-12 - 2015-07-18,83
2015-07-19 - 2015-07-25,84
2015-07-26 - 2015-08-01,82
2015-08-02 - 2015-08-08,82
2015-08-09 - 2015-08-15,83
2015-08-16 - 2015-08-22,80
2015-08-23 - 2015-08-29,80
2015-08-30 - 2015-09-05,82
2015-09-06 - 2015-09-12,81
2015-09-13 - 2015-09-19,86
2015-09-20 - 2015-09-26,85
2015-09-27 - 2015-10-03,84
2015-10-04 - 2015-10-10,88
2015-10-11 - 2015-10-17,83
2015-10-18 - 2015-10-24,92
2015-10-25 - 2015-10-31,87
2015-11-01 - 2015-11-07,85
2015-11-08 - 2015-11-14,87
2015-11-15 - 2015-11-21,84
2015-11-22 - 2015-11-28,79
2015-11-29 - 2015-12-05,84
2015-12-06 - 2015-12-12,88
2015-12-13 - 2015-12-19,88
2015-12-20 - 2015-12-26,82
2015-12-27 - 2016-01-02,81
2016-01-03 - 2016-01-09,89
2016-01-10 - 2016-01-16,91
2016-01-17 - 2016-01-23,90
2016-01-24 - 2016-01-30,94
2016-01-31 - 2016-02-06,93
2016-02-07 - 2016-02-13,92
2016-02-14 - 2016-02-20,96
2016-02-21 - 2016-02-27,96
2016-02-28 - 2016-03-05,99
2016-03-06 - 2016-03-12,96
2016-03-13 - 2016-03-19,97
2016-03-20 - 2016-03-26,99
2016-03-27 - 2016-04-02,98
2016-04-03 - 2016-04-09,97
2016-04-10 - 2016-04-16,98
2016-04-17 - 2016-04-23,98
2016-04-24 - 2016-04-30,94
2016-05-01 - 2016-05-07,94
2016-05-08 - 2016-05-14,95
2016-05-15 - 2016-05-21,100
2016-05-22 - 2016-05-28,98
2016-05-29 - 2016-06-04,92
2016-06-05 - 2016-06-11,94
2016-06-12 - 2016-06-18,92
2016-06-19 - 2016-06-25,92
2016-06-26 - 2016-07-02,89
2016-07-03 - 2016-07-09,70


Top regions for Methylprednisolone
Region,Methylprednisolone
Puerto Rico,100
Bulgaria,68
Belgium,56
Slovenia,55
United States,49
Vietnam,47
Indonesia,46
Romania,45
Hungary,42
Croatia,29
Mexico,27
Poland,26
Colombia,24
Philippines,23
Ukraine,22
Iran,22
Greece,22
Venezuela,20
Italy,20
Ecuador,20
Chile,20
Belarus,20
India,17
Portugal,17
Slovakia,15
Czech Republic,15
South Africa,13
Russia,13
Peru,11
Argentina,11
Canada,9
Finland,9
Taiwan,8
France,7
Denmark,7
Spain,6
Sweden,6
Australia,5
Switzerland,5
Netherlands,5
Saudi Arabia,5
Malaysia,5
Brazil,5
United Kingdom,4
Germany,4
Thailand,3
Turkey,3
Japan,2


Top cities for Methylprednisolone
City,Methylprednisolone
Sofia (Bulgaria),100
Miami (United States),99
Dallas (United States),95
San Antonio (United States),92
Houston (United States),92
Philadelphia (United States),91
Atlanta (United States),88
Hanoi (Vietnam),87
Jakarta (Indonesia),78
Surabaya (Indonesia),77
Phoenix (United States),77
Bucharest (Romania),72
Brussels (Belgium),67
Chicago (United States),66
Washington (United States),65



Top searches for Methylprednisolone
medrol,100
methylprednisolone,90
medrol pack,25
medrol dose,20
medrol dose pack,20
metilprednisolona,15
prednisone,5
depo medrol,5
side effects methylprednisolone,5
solu medrol,5
medrol dosepak,5
metypred,5
medrol side effects,5
medrol 16,5
methylprednisolone 4mg,5
solumedrol,5
methylpred,5
medrol a,5
medrol 4mg,5
prednisolone,5
methylprednisolon,5
methylprednisolone dose,5
medrol 16 mg,5
what is methylprednisolone,5
медрол,5
метипред,5
solu-medrol,5
methylprednisone,0
obat methylprednisolone,0
what is medrol,0
medrol pak,0
methylprednisolone pack,0
medrol 16mg,0
depo-medrol,0
methylprednisolone 4 mg,0
thuoc medrol,0
metilprednisolon,0
metilprednisolone,0
thuốc medrol,0
метилпреднизолон,0
methylprednisolone dose pack,0
methylprednisolone tablets,0
methyl prednisolone,0
medrol 4 mg,0
metilprednisolona dosis,0
methylprednisolone injection,0
neo medrol,0
medrol dose pak,0
methylprednisolone dosage,0
medrol 32,0



Rising searches for Methylprednisolone
medrol 16,+1,050%
methylprednisolone 4mg,+400%
metypred,+300%
solu medrol,+300%
metilprednisolona,+250%
side effects methylprednisolone,+190%
depo medrol,+130%
medrol pack,+120%
medrol dose pack,+110%
medrol side effects,+80%



