Web Search interest: encryption
Worldwide 2004 - present

Interest over time
Week,encryption
2007-11-11 - 2007-11-17,42
2007-11-18 - 2007-11-24,45
2007-11-25 - 2007-12-01,51
2007-12-02 - 2007-12-08,46
2007-12-09 - 2007-12-15,44
2007-12-16 - 2007-12-22,42
2007-12-23 - 2007-12-29,33
2007-12-30 - 2008-01-05,37
2008-01-06 - 2008-01-12,42
2008-01-13 - 2008-01-19,44
2008-01-20 - 2008-01-26,41
2008-01-27 - 2008-02-02,42
2008-02-03 - 2008-02-09,44
2008-02-10 - 2008-02-16,42
2008-02-17 - 2008-02-23,44
2008-02-24 - 2008-03-01,44
2008-03-02 - 2008-03-08,43
2008-03-09 - 2008-03-15,41
2008-03-16 - 2008-03-22,38
2008-03-23 - 2008-03-29,39
2008-03-30 - 2008-04-05,38
2008-04-06 - 2008-04-12,39
2008-04-13 - 2008-04-19,38
2008-04-20 - 2008-04-26,42
2008-04-27 - 2008-05-03,40
2008-05-04 - 2008-05-10,39
2008-05-11 - 2008-05-17,39
2008-05-18 - 2008-05-24,38
2008-05-25 - 2008-05-31,36
2008-06-01 - 2008-06-07,35
2008-06-08 - 2008-06-14,36
2008-06-15 - 2008-06-21,37
2008-06-22 - 2008-06-28,36
2008-06-29 - 2008-07-05,35
2008-07-06 - 2008-07-12,36
2008-07-13 - 2008-07-19,36
2008-07-20 - 2008-07-26,38
2008-07-27 - 2008-08-02,34
2008-08-03 - 2008-08-09,35
2008-08-10 - 2008-08-16,38
2008-08-17 - 2008-08-23,36
2008-08-24 - 2008-08-30,36
2008-08-31 - 2008-09-06,33
2008-09-07 - 2008-09-13,36
2008-09-14 - 2008-09-20,37
2008-09-21 - 2008-09-27,38
2008-09-28 - 2008-10-04,36
2008-10-05 - 2008-10-11,38
2008-10-12 - 2008-10-18,38
2008-10-19 - 2008-10-25,37
2008-10-26 - 2008-11-01,37
2008-11-02 - 2008-11-08,37
2008-11-09 - 2008-11-15,38
2008-11-16 - 2008-11-22,36
2008-11-23 - 2008-11-29,35
2008-11-30 - 2008-12-06,37
2008-12-07 - 2008-12-13,37
2008-12-14 - 2008-12-20,35
2008-12-21 - 2008-12-27,30
2008-12-28 - 2009-01-03,30
2009-01-04 - 2009-01-10,35
2009-01-11 - 2009-01-17,36
2009-01-18 - 2009-01-24,36
2009-01-25 - 2009-01-31,37
2009-02-01 - 2009-02-07,36
2009-02-08 - 2009-02-14,36
2009-02-15 - 2009-02-21,37
2009-02-22 - 2009-02-28,36
2009-03-01 - 2009-03-07,37
2009-03-08 - 2009-03-14,35
2009-03-15 - 2009-03-21,38
2009-03-22 - 2009-03-28,36
2009-03-29 - 2009-04-04,37
2009-04-05 - 2009-04-11,36
2009-04-12 - 2009-04-18,36
2009-04-19 - 2009-04-25,37
2009-04-26 - 2009-05-02,38
2009-05-03 - 2009-05-09,35
2009-05-10 - 2009-05-16,34
2009-05-17 - 2009-05-23,34
2009-05-24 - 2009-05-30,31
2009-05-31 - 2009-06-06,33
2009-06-07 - 2009-06-13,34
2009-06-14 - 2009-06-20,35
2009-06-21 - 2009-06-27,33
2009-06-28 - 2009-07-04,32
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,34
2009-07-19 - 2009-07-25,34
2009-07-26 - 2009-08-01,33
2009-08-02 - 2009-08-08,34
2009-08-09 - 2009-08-15,34
2009-08-16 - 2009-08-22,33
2009-08-23 - 2009-08-29,34
2009-08-30 - 2009-09-05,33
2009-09-06 - 2009-09-12,33
2009-09-13 - 2009-09-19,34
2009-09-20 - 2009-09-26,35
2009-09-27 - 2009-10-03,33
2009-10-04 - 2009-10-10,34
2009-10-11 - 2009-10-17,33
2009-10-18 - 2009-10-24,35
2009-10-25 - 2009-10-31,34
2009-11-01 - 2009-11-07,35
2009-11-08 - 2009-11-14,35
2009-11-15 - 2009-11-21,35
2009-11-22 - 2009-11-28,31
2009-11-29 - 2009-12-05,35
2009-12-06 - 2009-12-12,34
2009-12-13 - 2009-12-19,34
2009-12-20 - 2009-12-26,28
2009-12-27 - 2010-01-02,30
2010-01-03 - 2010-01-09,33
2010-01-10 - 2010-01-16,34
2010-01-17 - 2010-01-23,34
2010-01-24 - 2010-01-30,34
2010-01-31 - 2010-02-06,36
2010-02-07 - 2010-02-13,34
2010-02-14 - 2010-02-20,33
2010-02-21 - 2010-02-27,35
2010-02-28 - 2010-03-06,35
2010-03-07 - 2010-03-13,36
2010-03-14 - 2010-03-20,35
2010-03-21 - 2010-03-27,35
2010-03-28 - 2010-04-03,33
2010-04-04 - 2010-04-10,33
2010-04-11 - 2010-04-17,33
2010-04-18 - 2010-04-24,33
2010-04-25 - 2010-05-01,34
2010-05-02 - 2010-05-08,33
2010-05-09 - 2010-05-15,32
2010-05-16 - 2010-05-22,33
2010-05-23 - 2010-05-29,31
2010-05-30 - 2010-06-05,29
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,30
2010-06-20 - 2010-06-26,31
2010-06-27 - 2010-07-03,30
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,30
2010-07-18 - 2010-07-24,29
2010-07-25 - 2010-07-31,29
2010-08-01 - 2010-08-07,31
2010-08-08 - 2010-08-14,30
2010-08-15 - 2010-08-21,30
2010-08-22 - 2010-08-28,29
2010-08-29 - 2010-09-04,29
2010-09-05 - 2010-09-11,27
2010-09-12 - 2010-09-18,30
2010-09-19 - 2010-09-25,30
2010-09-26 - 2010-10-02,30
2010-10-03 - 2010-10-09,32
2010-10-10 - 2010-10-16,30
2010-10-17 - 2010-10-23,30
2010-10-24 - 2010-10-30,30
2010-10-31 - 2010-11-06,28
2010-11-07 - 2010-11-13,29
2010-11-14 - 2010-11-20,30
2010-11-21 - 2010-11-27,28
2010-11-28 - 2010-12-04,29
2010-12-05 - 2010-12-11,33
2010-12-12 - 2010-12-18,32
2010-12-19 - 2010-12-25,27
2010-12-26 - 2011-01-01,24
2011-01-02 - 2011-01-08,28
2011-01-09 - 2011-01-15,29
2011-01-16 - 2011-01-22,29
2011-01-23 - 2011-01-29,29
2011-01-30 - 2011-02-05,29
2011-02-06 - 2011-02-12,30
2011-02-13 - 2011-02-19,29
2011-02-20 - 2011-02-26,30
2011-02-27 - 2011-03-05,29
2011-03-06 - 2011-03-12,29
2011-03-13 - 2011-03-19,28
2011-03-20 - 2011-03-26,29
2011-03-27 - 2011-04-02,28
2011-04-03 - 2011-04-09,29
2011-04-10 - 2011-04-16,28
2011-04-17 - 2011-04-23,28
2011-04-24 - 2011-04-30,28
2011-05-01 - 2011-05-07,29
2011-05-08 - 2011-05-14,28
2011-05-15 - 2011-05-21,28
2011-05-22 - 2011-05-28,27
2011-05-29 - 2011-06-04,26
2011-06-05 - 2011-06-11,28
2011-06-12 - 2011-06-18,29
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,28
2011-07-03 - 2011-07-09,27
2011-07-10 - 2011-07-16,28
2011-07-17 - 2011-07-23,29
2011-07-24 - 2011-07-30,28
2011-07-31 - 2011-08-06,27
2011-08-07 - 2011-08-13,27
2011-08-14 - 2011-08-20,26
2011-08-21 - 2011-08-27,26
2011-08-28 - 2011-09-03,25
2011-09-04 - 2011-09-10,25
2011-09-11 - 2011-09-17,27
2011-09-18 - 2011-09-24,28
2011-09-25 - 2011-10-01,27
2011-10-02 - 2011-10-08,27
2011-10-09 - 2011-10-15,28
2011-10-16 - 2011-10-22,27
2011-10-23 - 2011-10-29,27
2011-10-30 - 2011-11-05,28
2011-11-06 - 2011-11-12,27
2011-11-13 - 2011-11-19,28
2011-11-20 - 2011-11-26,25
2011-11-27 - 2011-12-03,28
2011-12-04 - 2011-12-10,27
2011-12-11 - 2011-12-17,26
2011-12-18 - 2011-12-24,23
2011-12-25 - 2011-12-31,21
2012-01-01 - 2012-01-07,24
2012-01-08 - 2012-01-14,26
2012-01-15 - 2012-01-21,26
2012-01-22 - 2012-01-28,28
2012-01-29 - 2012-02-04,27
2012-02-05 - 2012-02-11,27
2012-02-12 - 2012-02-18,28
2012-02-19 - 2012-02-25,28
2012-02-26 - 2012-03-03,29
2012-03-04 - 2012-03-10,27
2012-03-11 - 2012-03-17,26
2012-03-18 - 2012-03-24,27
2012-03-25 - 2012-03-31,27
2012-04-01 - 2012-04-07,26
2012-04-08 - 2012-04-14,26
2012-04-15 - 2012-04-21,26
2012-04-22 - 2012-04-28,27
2012-04-29 - 2012-05-05,26
2012-05-06 - 2012-05-12,27
2012-05-13 - 2012-05-19,26
2012-05-20 - 2012-05-26,25
2012-05-27 - 2012-06-02,23
2012-06-03 - 2012-06-09,24
2012-06-10 - 2012-06-16,26
2012-06-17 - 2012-06-23,25
2012-06-24 - 2012-06-30,25
2012-07-01 - 2012-07-07,23
2012-07-08 - 2012-07-14,25
2012-07-15 - 2012-07-21,25
2012-07-22 - 2012-07-28,26
2012-07-29 - 2012-08-04,25
2012-08-05 - 2012-08-11,26
2012-08-12 - 2012-08-18,26
2012-08-19 - 2012-08-25,26
2012-08-26 - 2012-09-01,25
2012-09-02 - 2012-09-08,25
2012-09-09 - 2012-09-15,25
2012-09-16 - 2012-09-22,25
2012-09-23 - 2012-09-29,26
2012-09-30 - 2012-10-06,25
2012-10-07 - 2012-10-13,26
2012-10-14 - 2012-10-20,26
2012-10-21 - 2012-10-27,26
2012-10-28 - 2012-11-03,23
2012-11-04 - 2012-11-10,24
2012-11-11 - 2012-11-17,26
2012-11-18 - 2012-11-24,25
2012-11-25 - 2012-12-01,26
2012-12-02 - 2012-12-08,26
2012-12-09 - 2012-12-15,27
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,20
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,25
2013-01-20 - 2013-01-26,25
2013-01-27 - 2013-02-02,26
2013-02-03 - 2013-02-09,27
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,25
2013-02-24 - 2013-03-02,26
2013-03-03 - 2013-03-09,26
2013-03-10 - 2013-03-16,26
2013-03-17 - 2013-03-23,25
2013-03-24 - 2013-03-30,24
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,25
2013-04-14 - 2013-04-20,26
2013-04-21 - 2013-04-27,26
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,23
2013-05-12 - 2013-05-18,24
2013-05-19 - 2013-05-25,23
2013-05-26 - 2013-06-01,22
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,26
2013-06-16 - 2013-06-22,26
2013-06-23 - 2013-06-29,25
2013-06-30 - 2013-07-06,23
2013-07-07 - 2013-07-13,24
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,25
2013-08-04 - 2013-08-10,24
2013-08-11 - 2013-08-17,24
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,24
2013-09-01 - 2013-09-07,28
2013-09-08 - 2013-09-14,27
2013-09-15 - 2013-09-21,25
2013-09-22 - 2013-09-28,25
2013-09-29 - 2013-10-05,26
2013-10-06 - 2013-10-12,26
2013-10-13 - 2013-10-19,25
2013-10-20 - 2013-10-26,26
2013-10-27 - 2013-11-02,26
2013-11-03 - 2013-11-09,26
2013-11-10 - 2013-11-16,26
2013-11-17 - 2013-11-23,27
2013-11-24 - 2013-11-30,24
2013-12-01 - 2013-12-07,26
2013-12-08 - 2013-12-14,26
2013-12-15 - 2013-12-21,24
2013-12-22 - 2013-12-28,19
2013-12-29 - 2014-01-04,21
2014-01-05 - 2014-01-11,26
2014-01-12 - 2014-01-18,26
2014-01-19 - 2014-01-25,26
2014-01-26 - 2014-02-01,27
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,25
2014-02-16 - 2014-02-22,26
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,26
2014-03-09 - 2014-03-15,28
2014-03-16 - 2014-03-22,26
2014-03-23 - 2014-03-29,26
2014-03-30 - 2014-04-05,26
2014-04-06 - 2014-04-12,29
2014-04-13 - 2014-04-19,26
2014-04-20 - 2014-04-26,25
2014-04-27 - 2014-05-03,25
2014-05-04 - 2014-05-10,25
2014-05-11 - 2014-05-17,25
2014-05-18 - 2014-05-24,25
2014-05-25 - 2014-05-31,26
2014-06-01 - 2014-06-07,28
2014-06-08 - 2014-06-14,25
2014-06-15 - 2014-06-21,25
2014-06-22 - 2014-06-28,24
2014-06-29 - 2014-07-05,22
2014-07-06 - 2014-07-12,25
2014-07-13 - 2014-07-19,25
2014-07-20 - 2014-07-26,25
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,25
2014-08-10 - 2014-08-16,25
2014-08-17 - 2014-08-23,25
2014-08-24 - 2014-08-30,24
2014-08-31 - 2014-09-06,24
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,29
2014-09-21 - 2014-09-27,29
2014-09-28 - 2014-10-04,27
2014-10-05 - 2014-10-11,27
2014-10-12 - 2014-10-18,29
2014-10-19 - 2014-10-25,27
2014-10-26 - 2014-11-01,27
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,28
2014-11-16 - 2014-11-22,30
2014-11-23 - 2014-11-29,25
2014-11-30 - 2014-12-06,28
2014-12-07 - 2014-12-13,28
2014-12-14 - 2014-12-20,26
2014-12-21 - 2014-12-27,20
2014-12-28 - 2015-01-03,20
2015-01-04 - 2015-01-10,25
2015-01-11 - 2015-01-17,28
2015-01-18 - 2015-01-24,27
2015-01-25 - 2015-01-31,27
2015-02-01 - 2015-02-07,28
2015-02-08 - 2015-02-14,29
2015-02-15 - 2015-02-21,26
2015-02-22 - 2015-02-28,28
2015-03-01 - 2015-03-07,28
2015-03-08 - 2015-03-14,29
2015-03-15 - 2015-03-21,28
2015-03-22 - 2015-03-28,27
2015-03-29 - 2015-04-04,26
2015-04-05 - 2015-04-11,26
2015-04-12 - 2015-04-18,27
2015-04-19 - 2015-04-25,27
2015-04-26 - 2015-05-02,26
2015-05-03 - 2015-05-09,26
2015-05-10 - 2015-05-16,26
2015-05-17 - 2015-05-23,25
2015-05-24 - 2015-05-30,24
2015-05-31 - 2015-06-06,25
2015-06-07 - 2015-06-13,25
2015-06-14 - 2015-06-20,24
2015-06-21 - 2015-06-27,24
2015-06-28 - 2015-07-04,23
2015-07-05 - 2015-07-11,25
2015-07-12 - 2015-07-18,24
2015-07-19 - 2015-07-25,24
2015-07-26 - 2015-08-01,24
2015-08-02 - 2015-08-08,24
2015-08-09 - 2015-08-15,24
2015-08-16 - 2015-08-22,24
2015-08-23 - 2015-08-29,24
2015-08-30 - 2015-09-05,23
2015-09-06 - 2015-09-12,24
2015-09-13 - 2015-09-19,25
2015-09-20 - 2015-09-26,28
2015-09-27 - 2015-10-03,26
2015-10-04 - 2015-10-10,26
2015-10-11 - 2015-10-17,25
2015-10-18 - 2015-10-24,27
2015-10-25 - 2015-10-31,26
2015-11-01 - 2015-11-07,27
2015-11-08 - 2015-11-14,26
2015-11-15 - 2015-11-21,31
2015-11-22 - 2015-11-28,26
2015-11-29 - 2015-12-05,26
2015-12-06 - 2015-12-12,28
2015-12-13 - 2015-12-19,27
2015-12-20 - 2015-12-26,22
2015-12-27 - 2016-01-02,19
2016-01-03 - 2016-01-09,25
2016-01-10 - 2016-01-16,25
2016-01-17 - 2016-01-23,26
2016-01-24 - 2016-01-30,26
2016-01-31 - 2016-02-06,26
2016-02-07 - 2016-02-13,26
2016-02-14 - 2016-02-20,34
2016-02-21 - 2016-02-27,34
2016-02-28 - 2016-03-05,31
2016-03-06 - 2016-03-12,30
2016-03-13 - 2016-03-19,33
2016-03-20 - 2016-03-26,28
2016-03-27 - 2016-04-02,29
2016-04-03 - 2016-04-09,100
2016-04-10 - 2016-04-16,40
2016-04-17 - 2016-04-23,34
2016-04-24 - 2016-04-30,31
2016-05-01 - 2016-05-07,29
2016-05-08 - 2016-05-14,29
2016-05-15 - 2016-05-21,28
2016-05-22 - 2016-05-28,28
2016-05-29 - 2016-06-04,26
2016-06-05 - 2016-06-11,27
2016-06-12 - 2016-06-18,27
2016-06-19 - 2016-06-25,26
2016-06-26 - 2016-07-02,25
2016-07-03 - 2016-07-09, 


Top regions for encryption
Region,encryption
Singapore,100
India,82
Hong Kong,80
Sri Lanka,67
Kenya,63
United States,60
South Africa,58
Lebanon,56
Ireland,51
United Kingdom,51
New Zealand,49
Canada,48
Australia,48
Pakistan,47
Philippines,44
United Arab Emirates,42
Malaysia,42
Nigeria,37
Bangladesh,37
Norway,35
Netherlands,34
Israel,33
Sweden,33
South Korea,32
Switzerland,32
Jordan,31
Finland,29
Czech Republic,28
Denmark,28
Slovenia,25
Iran,24
Austria,24
Belgium,23
Greece,22
Germany,21
Romania,21
Bulgaria,20
Slovakia,20
Egypt,20
Croatia,19
Taiwan,19
Lithuania,18
Hungary,17
Portugal,17
Serbia,15
Saudi Arabia,14
Indonesia,14
China,13
Thailand,11
Poland,10
Russia,9
Italy,8
France,8
Ukraine,8
Japan,8
Vietnam,7
Spain,7
Mexico,6
Argentina,5
Colombia,5
Turkey,5
Chile,5
Brazil,4


Top cities for encryption
City,encryption
Bangalore (India),100
Chennai (India),96
Singapore (Singapore),80
Hyderabad (India),77
Austin (United States),68
Washington (United States),63
San Francisco (United States),61
San Diego (United States),58
Seattle (United States),55
Mumbai (India),55
Toronto (Canada),46
Pune (India),42
Dublin (Ireland),41
London (United Kingdom),41
New Delhi (India),39



Top searches for encryption
encryption key,100
password encryption,85
data encryption,80
windows encryption,80
encryption software,75
file encryption,70
aes encryption,60
aes,60
drive encryption,55
encrypt,55
what is encryption,55
disk encryption,50
pgp encryption,45
pgp,40
encryption algorithm,40
free encryption,40
java encryption,35
email encryption,35
encryption code,30
mac encryption,30
wireless encryption,30
rsa encryption,30
rsa,30
ssl encryption,25
android encryption,25
bitlocker,25
bitlocker encryption,25
windows 7 encryption,25
sql encryption,25
usb encryption,25
endpoint encryption,20
md5,20
md5 encryption,20
des encryption,20
public key encryption,20
php encryption,20
encryption and decryption,20
truecrypt,20
mcafee encryption,20
c# encryption,20
wep encryption,20
database encryption,15
symmetric encryption,15
encryption algorithms,15
folder encryption,15
pdf encryption,15
cryptography,15
iphone encryption,15
full disk encryption,15
sql server encryption,15



Rising searches for encryption
android encryption,Breakout
bitlocker,Breakout
bitlocker encryption,Breakout
windows 7 encryption,Breakout
drive encryption,+300%
mac encryption,+180%
disk encryption,+150%
usb encryption,+130%
what is encryption,+70%
sql encryption,+50%



