Web Search interest: tort
Worldwide 2004 - present

Interest over time
Week,tort
2007-10-21 - 2007-10-27,32
2007-10-28 - 2007-11-03,28
2007-11-04 - 2007-11-10,30
2007-11-11 - 2007-11-17,30
2007-11-18 - 2007-11-24,32
2007-11-25 - 2007-12-01,33
2007-12-02 - 2007-12-08,33
2007-12-09 - 2007-12-15,31
2007-12-16 - 2007-12-22,33
2007-12-23 - 2007-12-29,27
2007-12-30 - 2008-01-05,29
2008-01-06 - 2008-01-12,28
2008-01-13 - 2008-01-19,31
2008-01-20 - 2008-01-26,29
2008-01-27 - 2008-02-02,29
2008-02-03 - 2008-02-09,31
2008-02-10 - 2008-02-16,30
2008-02-17 - 2008-02-23,31
2008-02-24 - 2008-03-01,29
2008-03-02 - 2008-03-08,31
2008-03-09 - 2008-03-15,34
2008-03-16 - 2008-03-22,32
2008-03-23 - 2008-03-29,29
2008-03-30 - 2008-04-05,32
2008-04-06 - 2008-04-12,33
2008-04-13 - 2008-04-19,31
2008-04-20 - 2008-04-26,33
2008-04-27 - 2008-05-03,31
2008-05-04 - 2008-05-10,30
2008-05-11 - 2008-05-17,31
2008-05-18 - 2008-05-24,30
2008-05-25 - 2008-05-31,26
2008-06-01 - 2008-06-07,27
2008-06-08 - 2008-06-14,27
2008-06-15 - 2008-06-21,26
2008-06-22 - 2008-06-28,25
2008-06-29 - 2008-07-05,23
2008-07-06 - 2008-07-12,24
2008-07-13 - 2008-07-19,25
2008-07-20 - 2008-07-26,27
2008-07-27 - 2008-08-02,26
2008-08-03 - 2008-08-09,26
2008-08-10 - 2008-08-16,26
2008-08-17 - 2008-08-23,26
2008-08-24 - 2008-08-30,29
2008-08-31 - 2008-09-06,26
2008-09-07 - 2008-09-13,29
2008-09-14 - 2008-09-20,31
2008-09-21 - 2008-09-27,32
2008-09-28 - 2008-10-04,34
2008-10-05 - 2008-10-11,33
2008-10-12 - 2008-10-18,33
2008-10-19 - 2008-10-25,33
2008-10-26 - 2008-11-01,33
2008-11-02 - 2008-11-08,34
2008-11-09 - 2008-11-15,35
2008-11-16 - 2008-11-22,34
2008-11-23 - 2008-11-29,35
2008-11-30 - 2008-12-06,38
2008-12-07 - 2008-12-13,38
2008-12-14 - 2008-12-20,38
2008-12-21 - 2008-12-27,37
2008-12-28 - 2009-01-03,43
2009-01-04 - 2009-01-10,33
2009-01-11 - 2009-01-17,35
2009-01-18 - 2009-01-24,35
2009-01-25 - 2009-01-31,39
2009-02-01 - 2009-02-07,40
2009-02-08 - 2009-02-14,38
2009-02-15 - 2009-02-21,38
2009-02-22 - 2009-02-28,41
2009-03-01 - 2009-03-07,40
2009-03-08 - 2009-03-14,40
2009-03-15 - 2009-03-21,40
2009-03-22 - 2009-03-28,39
2009-03-29 - 2009-04-04,37
2009-04-05 - 2009-04-11,41
2009-04-12 - 2009-04-18,41
2009-04-19 - 2009-04-25,39
2009-04-26 - 2009-05-02,38
2009-05-03 - 2009-05-09,46
2009-05-10 - 2009-05-16,39
2009-05-17 - 2009-05-23,38
2009-05-24 - 2009-05-30,36
2009-05-31 - 2009-06-06,35
2009-06-07 - 2009-06-13,34
2009-06-14 - 2009-06-20,34
2009-06-21 - 2009-06-27,33
2009-06-28 - 2009-07-04,30
2009-07-05 - 2009-07-11,29
2009-07-12 - 2009-07-18,32
2009-07-19 - 2009-07-25,35
2009-07-26 - 2009-08-01,34
2009-08-02 - 2009-08-08,34
2009-08-09 - 2009-08-15,42
2009-08-16 - 2009-08-22,42
2009-08-23 - 2009-08-29,43
2009-08-30 - 2009-09-05,41
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,44
2009-09-20 - 2009-09-26,42
2009-09-27 - 2009-10-03,41
2009-10-04 - 2009-10-10,42
2009-10-11 - 2009-10-17,44
2009-10-18 - 2009-10-24,42
2009-10-25 - 2009-10-31,41
2009-11-01 - 2009-11-07,44
2009-11-08 - 2009-11-14,43
2009-11-15 - 2009-11-21,43
2009-11-22 - 2009-11-28,43
2009-11-29 - 2009-12-05,43
2009-12-06 - 2009-12-12,43
2009-12-13 - 2009-12-19,43
2009-12-20 - 2009-12-26,48
2009-12-27 - 2010-01-02,54
2010-01-03 - 2010-01-09,40
2010-01-10 - 2010-01-16,41
2010-01-17 - 2010-01-23,43
2010-01-24 - 2010-01-30,44
2010-01-31 - 2010-02-06,50
2010-02-07 - 2010-02-13,47
2010-02-14 - 2010-02-20,44
2010-02-21 - 2010-02-27,46
2010-02-28 - 2010-03-06,45
2010-03-07 - 2010-03-13,43
2010-03-14 - 2010-03-20,45
2010-03-21 - 2010-03-27,50
2010-03-28 - 2010-04-03,55
2010-04-04 - 2010-04-10,38
2010-04-11 - 2010-04-17,43
2010-04-18 - 2010-04-24,45
2010-04-25 - 2010-05-01,44
2010-05-02 - 2010-05-08,46
2010-05-09 - 2010-05-15,45
2010-05-16 - 2010-05-22,43
2010-05-23 - 2010-05-29,40
2010-05-30 - 2010-06-05,37
2010-06-06 - 2010-06-12,36
2010-06-13 - 2010-06-19,38
2010-06-20 - 2010-06-26,39
2010-06-27 - 2010-07-03,34
2010-07-04 - 2010-07-10,32
2010-07-11 - 2010-07-17,33
2010-07-18 - 2010-07-24,36
2010-07-25 - 2010-07-31,37
2010-08-01 - 2010-08-07,35
2010-08-08 - 2010-08-14,36
2010-08-15 - 2010-08-21,38
2010-08-22 - 2010-08-28,37
2010-08-29 - 2010-09-04,37
2010-09-05 - 2010-09-11,39
2010-09-12 - 2010-09-18,40
2010-09-19 - 2010-09-25,41
2010-09-26 - 2010-10-02,42
2010-10-03 - 2010-10-09,44
2010-10-10 - 2010-10-16,44
2010-10-17 - 2010-10-23,46
2010-10-24 - 2010-10-30,46
2010-10-31 - 2010-11-06,48
2010-11-07 - 2010-11-13,47
2010-11-14 - 2010-11-20,48
2010-11-21 - 2010-11-27,46
2010-11-28 - 2010-12-04,46
2010-12-05 - 2010-12-11,46
2010-12-12 - 2010-12-18,48
2010-12-19 - 2010-12-25,54
2010-12-26 - 2011-01-01,67
2011-01-02 - 2011-01-08,46
2011-01-09 - 2011-01-15,44
2011-01-16 - 2011-01-22,46
2011-01-23 - 2011-01-29,51
2011-01-30 - 2011-02-05,50
2011-02-06 - 2011-02-12,50
2011-02-13 - 2011-02-19,50
2011-02-20 - 2011-02-26,50
2011-02-27 - 2011-03-05,50
2011-03-06 - 2011-03-12,47
2011-03-13 - 2011-03-19,44
2011-03-20 - 2011-03-26,48
2011-03-27 - 2011-04-02,45
2011-04-03 - 2011-04-09,48
2011-04-10 - 2011-04-16,53
2011-04-17 - 2011-04-23,59
2011-04-24 - 2011-04-30,43
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,49
2011-05-22 - 2011-05-28,44
2011-05-29 - 2011-06-04,42
2011-06-05 - 2011-06-11,43
2011-06-12 - 2011-06-18,41
2011-06-19 - 2011-06-25,41
2011-06-26 - 2011-07-02,44
2011-07-03 - 2011-07-09,40
2011-07-10 - 2011-07-16,40
2011-07-17 - 2011-07-23,40
2011-07-24 - 2011-07-30,40
2011-07-31 - 2011-08-06,40
2011-08-07 - 2011-08-13,42
2011-08-14 - 2011-08-20,40
2011-08-21 - 2011-08-27,41
2011-08-28 - 2011-09-03,42
2011-09-04 - 2011-09-10,42
2011-09-11 - 2011-09-17,43
2011-09-18 - 2011-09-24,43
2011-09-25 - 2011-10-01,45
2011-10-02 - 2011-10-08,46
2011-10-09 - 2011-10-15,47
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,50
2011-11-06 - 2011-11-12,53
2011-11-13 - 2011-11-19,50
2011-11-20 - 2011-11-26,50
2011-11-27 - 2011-12-03,51
2011-12-04 - 2011-12-10,50
2011-12-11 - 2011-12-17,52
2011-12-18 - 2011-12-24,60
2011-12-25 - 2011-12-31,72
2012-01-01 - 2012-01-07,49
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,53
2012-01-22 - 2012-01-28,54
2012-01-29 - 2012-02-04,55
2012-02-05 - 2012-02-11,56
2012-02-12 - 2012-02-18,54
2012-02-19 - 2012-02-25,58
2012-02-26 - 2012-03-03,56
2012-03-04 - 2012-03-10,55
2012-03-11 - 2012-03-17,52
2012-03-18 - 2012-03-24,48
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,58
2012-04-08 - 2012-04-14,58
2012-04-15 - 2012-04-21,53
2012-04-22 - 2012-04-28,49
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,53
2012-05-20 - 2012-05-26,50
2012-05-27 - 2012-06-02,47
2012-06-03 - 2012-06-09,43
2012-06-10 - 2012-06-16,44
2012-06-17 - 2012-06-23,43
2012-06-24 - 2012-06-30,44
2012-07-01 - 2012-07-07,38
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,43
2012-07-22 - 2012-07-28,42
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,44
2012-08-19 - 2012-08-25,44
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,47
2012-09-16 - 2012-09-22,48
2012-09-23 - 2012-09-29,50
2012-09-30 - 2012-10-06,52
2012-10-07 - 2012-10-13,49
2012-10-14 - 2012-10-20,50
2012-10-21 - 2012-10-27,50
2012-10-28 - 2012-11-03,49
2012-11-04 - 2012-11-10,53
2012-11-11 - 2012-11-17,51
2012-11-18 - 2012-11-24,50
2012-11-25 - 2012-12-01,55
2012-12-02 - 2012-12-08,52
2012-12-09 - 2012-12-15,52
2012-12-16 - 2012-12-22,56
2012-12-23 - 2012-12-29,67
2012-12-30 - 2013-01-05,65
2013-01-06 - 2013-01-12,53
2013-01-13 - 2013-01-19,54
2013-01-20 - 2013-01-26,55
2013-01-27 - 2013-02-02,56
2013-02-03 - 2013-02-09,57
2013-02-10 - 2013-02-16,60
2013-02-17 - 2013-02-23,59
2013-02-24 - 2013-03-02,57
2013-03-03 - 2013-03-09,55
2013-03-10 - 2013-03-16,55
2013-03-17 - 2013-03-23,56
2013-03-24 - 2013-03-30,64
2013-03-31 - 2013-04-06,51
2013-04-07 - 2013-04-13,56
2013-04-14 - 2013-04-20,50
2013-04-21 - 2013-04-27,53
2013-04-28 - 2013-05-04,58
2013-05-05 - 2013-05-11,49
2013-05-12 - 2013-05-18,51
2013-05-19 - 2013-05-25,53
2013-05-26 - 2013-06-01,52
2013-06-02 - 2013-06-08,49
2013-06-09 - 2013-06-15,48
2013-06-16 - 2013-06-22,45
2013-06-23 - 2013-06-29,45
2013-06-30 - 2013-07-06,43
2013-07-07 - 2013-07-13,44
2013-07-14 - 2013-07-20,45
2013-07-21 - 2013-07-27,45
2013-07-28 - 2013-08-03,43
2013-08-04 - 2013-08-10,44
2013-08-11 - 2013-08-17,46
2013-08-18 - 2013-08-24,46
2013-08-25 - 2013-08-31,48
2013-09-01 - 2013-09-07,46
2013-09-08 - 2013-09-14,49
2013-09-15 - 2013-09-21,50
2013-09-22 - 2013-09-28,53
2013-09-29 - 2013-10-05,53
2013-10-06 - 2013-10-12,54
2013-10-13 - 2013-10-19,54
2013-10-20 - 2013-10-26,54
2013-10-27 - 2013-11-02,53
2013-11-03 - 2013-11-09,61
2013-11-10 - 2013-11-16,57
2013-11-17 - 2013-11-23,57
2013-11-24 - 2013-11-30,57
2013-12-01 - 2013-12-07,56
2013-12-08 - 2013-12-14,58
2013-12-15 - 2013-12-21,60
2013-12-22 - 2013-12-28,69
2013-12-29 - 2014-01-04,81
2014-01-05 - 2014-01-11,57
2014-01-12 - 2014-01-18,61
2014-01-19 - 2014-01-25,60
2014-01-26 - 2014-02-01,62
2014-02-02 - 2014-02-08,67
2014-02-09 - 2014-02-15,67
2014-02-16 - 2014-02-22,59
2014-02-23 - 2014-03-01,61
2014-03-02 - 2014-03-08,62
2014-03-09 - 2014-03-15,56
2014-03-16 - 2014-03-22,57
2014-03-23 - 2014-03-29,57
2014-03-30 - 2014-04-05,55
2014-04-06 - 2014-04-12,62
2014-04-13 - 2014-04-19,76
2014-04-20 - 2014-04-26,54
2014-04-27 - 2014-05-03,61
2014-05-04 - 2014-05-10,61
2014-05-11 - 2014-05-17,62
2014-05-18 - 2014-05-24,56
2014-05-25 - 2014-05-31,55
2014-06-01 - 2014-06-07,54
2014-06-08 - 2014-06-14,50
2014-06-15 - 2014-06-21,52
2014-06-22 - 2014-06-28,52
2014-06-29 - 2014-07-05,49
2014-07-06 - 2014-07-12,50
2014-07-13 - 2014-07-19,49
2014-07-20 - 2014-07-26,50
2014-07-27 - 2014-08-02,48
2014-08-03 - 2014-08-09,47
2014-08-10 - 2014-08-16,49
2014-08-17 - 2014-08-23,51
2014-08-24 - 2014-08-30,53
2014-08-31 - 2014-09-06,48
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,54
2014-09-21 - 2014-09-27,57
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,55
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,57
2014-10-26 - 2014-11-01,55
2014-11-02 - 2014-11-08,64
2014-11-09 - 2014-11-15,60
2014-11-16 - 2014-11-22,61
2014-11-23 - 2014-11-29,62
2014-11-30 - 2014-12-06,59
2014-12-07 - 2014-12-13,62
2014-12-14 - 2014-12-20,60
2014-12-21 - 2014-12-27,73
2014-12-28 - 2015-01-03,90
2015-01-04 - 2015-01-10,63
2015-01-11 - 2015-01-17,64
2015-01-18 - 2015-01-24,65
2015-01-25 - 2015-01-31,67
2015-02-01 - 2015-02-07,69
2015-02-08 - 2015-02-14,68
2015-02-15 - 2015-02-21,66
2015-02-22 - 2015-02-28,66
2015-03-01 - 2015-03-07,67
2015-03-08 - 2015-03-14,62
2015-03-15 - 2015-03-21,63
2015-03-22 - 2015-03-28,62
2015-03-29 - 2015-04-04,71
2015-04-05 - 2015-04-11,69
2015-04-12 - 2015-04-18,60
2015-04-19 - 2015-04-25,63
2015-04-26 - 2015-05-02,63
2015-05-03 - 2015-05-09,63
2015-05-10 - 2015-05-16,64
2015-05-17 - 2015-05-23,63
2015-05-24 - 2015-05-30,59
2015-05-31 - 2015-06-06,53
2015-06-07 - 2015-06-13,53
2015-06-14 - 2015-06-20,55
2015-06-21 - 2015-06-27,57
2015-06-28 - 2015-07-04,50
2015-07-05 - 2015-07-11,51
2015-07-12 - 2015-07-18,52
2015-07-19 - 2015-07-25,50
2015-07-26 - 2015-08-01,51
2015-08-02 - 2015-08-08,48
2015-08-09 - 2015-08-15,51
2015-08-16 - 2015-08-22,52
2015-08-23 - 2015-08-29,53
2015-08-30 - 2015-09-05,52
2015-09-06 - 2015-09-12,56
2015-09-13 - 2015-09-19,55
2015-09-20 - 2015-09-26,61
2015-09-27 - 2015-10-03,61
2015-10-04 - 2015-10-10,63
2015-10-11 - 2015-10-17,63
2015-10-18 - 2015-10-24,62
2015-10-25 - 2015-10-31,59
2015-11-01 - 2015-11-07,65
2015-11-08 - 2015-11-14,64
2015-11-15 - 2015-11-21,62
2015-11-22 - 2015-11-28,64
2015-11-29 - 2015-12-05,66
2015-12-06 - 2015-12-12,61
2015-12-13 - 2015-12-19,66
2015-12-20 - 2015-12-26,75
2015-12-27 - 2016-01-02,100
2016-01-03 - 2016-01-09,71
2016-01-10 - 2016-01-16,68
2016-01-17 - 2016-01-23,70
2016-01-24 - 2016-01-30,70
2016-01-31 - 2016-02-06,71
2016-02-07 - 2016-02-13,75
2016-02-14 - 2016-02-20,70
2016-02-21 - 2016-02-27,72
2016-02-28 - 2016-03-05,75
2016-03-06 - 2016-03-12,74
2016-03-13 - 2016-03-19,67
2016-03-20 - 2016-03-26,77
2016-03-27 - 2016-04-02,63
2016-04-03 - 2016-04-09,62
2016-04-10 - 2016-04-16,66
2016-04-17 - 2016-04-23,70
2016-04-24 - 2016-04-30,81
2016-05-01 - 2016-05-07,65
2016-05-08 - 2016-05-14,65
2016-05-15 - 2016-05-21,67
2016-05-22 - 2016-05-28,60
2016-05-29 - 2016-06-04,58
2016-06-05 - 2016-06-11,56
2016-06-12 - 2016-06-18,59
2016-06-19 - 2016-06-25,52
2016-06-26 - 2016-07-02,51
2016-07-03 - 2016-07-09,55


Top regions for tort
Region,tort
Azerbaijan,100
Romania,75
Armenia,58
Poland,33
Moldova,30
Uzbekistan,19
Estonia,15
Georgia,8
Kenya,6
Ireland,4
Latvia,3
Nigeria,3
Slovenia,3
France,2
United Kingdom,2
Slovakia,2
United States,2
Hong Kong,2
Belgium,2
Singapore,2
Norway,2
Australia,2
Canada,2
Kazakhstan,1
Italy,1
Spain,1
New Zealand,1
Malaysia,1
Austria,1
Switzerland,1
Hungary,1
Morocco,1
Sweden,1
Germany,1
Denmark,1
Pakistan,1
Greece,1
Netherlands,1
Israel,1


Top cities for tort
City,tort
Baku (Azerbaijan),100
Arad (Romania),90
Suceava (Romania),84
Pitești (Romania),81
Craiova (Romania),76
Ploiești (Romania),75
Timișoara (Romania),74
Constanța (Romania),68
Oradea (Romania),67
Bucharest (Romania),65
Brașov (Romania),65
Cluj-Napoca (Romania),63
Iași (Romania),60
Yerevan (Armenia),56
Krakow (Poland),32



Top searches for tort
tort law,100
a tort,65
tort przepis,40
law of tort,40
tort ciocolata,40
reteta tort,35
tort de ciocolata,30
torty,30
what is tort,30
tort urodzinowy,25
tort reform,25
tort diplomat,25
retete tort,25
tort liability,25
blat tort,25
tort definition,25
przepis na tort,20
negligence,20
tort de mere,20
tort czekoladowy,20
blat de tort,20
torturi,20
retete de tort,15
tort bezowy,15
tort cases,15
tort weselny,15
tort of negligence,15
à tort,15
tort claim,15
avoir tort,10
intentional tort,10
tort dla dzieci,10
tort de fructe,10
tort de biscuiti,10
definition of tort,10
tort tiramisu,10
crema pentru tort,10
tort nunta,10
tort law definition,10
tort reseptleri,10
david tort,5
define tort,5
tord,5
tort orzechowy,5
biszkopt na tort,5
tort resepti,5
ozdoby na tort,5
tort truskawkowy,5
tort na roczek,5
przepisy na tort,5



Rising searches for tort
tort ciocolata,+2,350%
reteta tort,+1,900%
tort de ciocolata,+1,850%
blat tort,+1,750%
tort diplomat,+1,450%
blat de tort,+1,200%
tort de mere,+850%
tort urodzinowy,+650%
tort czekoladowy,+450%
tort przepis,+450%



