Web Search interest: arthritis
Worldwide 2004 - present

Interest over time
Week,arthritis
2009-05-10 - 2009-05-16,60
2009-05-17 - 2009-05-23,58
2009-05-24 - 2009-05-30,56
2009-05-31 - 2009-06-06,56
2009-06-07 - 2009-06-13,58
2009-06-14 - 2009-06-20,59
2009-06-21 - 2009-06-27,54
2009-06-28 - 2009-07-04,53
2009-07-05 - 2009-07-11,58
2009-07-12 - 2009-07-18,60
2009-07-19 - 2009-07-25,58
2009-07-26 - 2009-08-01,56
2009-08-02 - 2009-08-08,60
2009-08-09 - 2009-08-15,59
2009-08-16 - 2009-08-22,56
2009-08-23 - 2009-08-29,57
2009-08-30 - 2009-09-05,53
2009-09-06 - 2009-09-12,54
2009-09-13 - 2009-09-19,57
2009-09-20 - 2009-09-26,59
2009-09-27 - 2009-10-03,58
2009-10-04 - 2009-10-10,58
2009-10-11 - 2009-10-17,58
2009-10-18 - 2009-10-24,58
2009-10-25 - 2009-10-31,58
2009-11-01 - 2009-11-07,58
2009-11-08 - 2009-11-14,59
2009-11-15 - 2009-11-21,58
2009-11-22 - 2009-11-28,50
2009-11-29 - 2009-12-05,56
2009-12-06 - 2009-12-12,54
2009-12-13 - 2009-12-19,50
2009-12-20 - 2009-12-26,43
2009-12-27 - 2010-01-02,56
2010-01-03 - 2010-01-09,57
2010-01-10 - 2010-01-16,57
2010-01-17 - 2010-01-23,56
2010-01-24 - 2010-01-30,56
2010-01-31 - 2010-02-06,56
2010-02-07 - 2010-02-13,54
2010-02-14 - 2010-02-20,56
2010-02-21 - 2010-02-27,57
2010-02-28 - 2010-03-06,55
2010-03-07 - 2010-03-13,58
2010-03-14 - 2010-03-20,56
2010-03-21 - 2010-03-27,59
2010-03-28 - 2010-04-03,56
2010-04-04 - 2010-04-10,55
2010-04-11 - 2010-04-17,58
2010-04-18 - 2010-04-24,59
2010-04-25 - 2010-05-01,60
2010-05-02 - 2010-05-08,58
2010-05-09 - 2010-05-15,58
2010-05-16 - 2010-05-22,58
2010-05-23 - 2010-05-29,56
2010-05-30 - 2010-06-05,53
2010-06-06 - 2010-06-12,55
2010-06-13 - 2010-06-19,54
2010-06-20 - 2010-06-26,55
2010-06-27 - 2010-07-03,53
2010-07-04 - 2010-07-10,53
2010-07-11 - 2010-07-17,55
2010-07-18 - 2010-07-24,54
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,57
2010-08-08 - 2010-08-14,69
2010-08-15 - 2010-08-21,58
2010-08-22 - 2010-08-28,56
2010-08-29 - 2010-09-04,54
2010-09-05 - 2010-09-11,54
2010-09-12 - 2010-09-18,61
2010-09-19 - 2010-09-25,58
2010-09-26 - 2010-10-02,58
2010-10-03 - 2010-10-09,58
2010-10-10 - 2010-10-16,57
2010-10-17 - 2010-10-23,58
2010-10-24 - 2010-10-30,58
2010-10-31 - 2010-11-06,56
2010-11-07 - 2010-11-13,57
2010-11-14 - 2010-11-20,58
2010-11-21 - 2010-11-27,51
2010-11-28 - 2010-12-04,55
2010-12-05 - 2010-12-11,55
2010-12-12 - 2010-12-18,51
2010-12-19 - 2010-12-25,43
2010-12-26 - 2011-01-01,47
2011-01-02 - 2011-01-08,55
2011-01-09 - 2011-01-15,54
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,57
2011-01-30 - 2011-02-05,53
2011-02-06 - 2011-02-12,56
2011-02-13 - 2011-02-19,55
2011-02-20 - 2011-02-26,54
2011-02-27 - 2011-03-05,57
2011-03-06 - 2011-03-12,58
2011-03-13 - 2011-03-19,54
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,60
2011-04-03 - 2011-04-09,61
2011-04-10 - 2011-04-16,62
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,57
2011-05-01 - 2011-05-07,57
2011-05-08 - 2011-05-14,59
2011-05-15 - 2011-05-21,59
2011-05-22 - 2011-05-28,55
2011-05-29 - 2011-06-04,53
2011-06-05 - 2011-06-11,57
2011-06-12 - 2011-06-18,57
2011-06-19 - 2011-06-25,57
2011-06-26 - 2011-07-02,52
2011-07-03 - 2011-07-09,53
2011-07-10 - 2011-07-16,56
2011-07-17 - 2011-07-23,57
2011-07-24 - 2011-07-30,55
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,55
2011-08-14 - 2011-08-20,56
2011-08-21 - 2011-08-27,54
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,53
2011-09-11 - 2011-09-17,56
2011-09-18 - 2011-09-24,57
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,57
2011-10-09 - 2011-10-15,58
2011-10-16 - 2011-10-22,55
2011-10-23 - 2011-10-29,54
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,57
2011-11-13 - 2011-11-19,57
2011-11-20 - 2011-11-26,51
2011-11-27 - 2011-12-03,55
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,52
2011-12-18 - 2011-12-24,47
2011-12-25 - 2011-12-31,47
2012-01-01 - 2012-01-07,55
2012-01-08 - 2012-01-14,56
2012-01-15 - 2012-01-21,56
2012-01-22 - 2012-01-28,57
2012-01-29 - 2012-02-04,56
2012-02-05 - 2012-02-11,56
2012-02-12 - 2012-02-18,55
2012-02-19 - 2012-02-25,59
2012-02-26 - 2012-03-03,58
2012-03-04 - 2012-03-10,58
2012-03-11 - 2012-03-17,56
2012-03-18 - 2012-03-24,58
2012-03-25 - 2012-03-31,56
2012-04-01 - 2012-04-07,56
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,61
2012-04-22 - 2012-04-28,61
2012-04-29 - 2012-05-05,61
2012-05-06 - 2012-05-12,60
2012-05-13 - 2012-05-19,58
2012-05-20 - 2012-05-26,57
2012-05-27 - 2012-06-02,56
2012-06-03 - 2012-06-09,57
2012-06-10 - 2012-06-16,56
2012-06-17 - 2012-06-23,57
2012-06-24 - 2012-06-30,56
2012-07-01 - 2012-07-07,53
2012-07-08 - 2012-07-14,58
2012-07-15 - 2012-07-21,58
2012-07-22 - 2012-07-28,56
2012-07-29 - 2012-08-04,56
2012-08-05 - 2012-08-11,58
2012-08-12 - 2012-08-18,59
2012-08-19 - 2012-08-25,59
2012-08-26 - 2012-09-01,56
2012-09-02 - 2012-09-08,56
2012-09-09 - 2012-09-15,58
2012-09-16 - 2012-09-22,61
2012-09-23 - 2012-09-29,61
2012-09-30 - 2012-10-06,59
2012-10-07 - 2012-10-13,60
2012-10-14 - 2012-10-20,59
2012-10-21 - 2012-10-27,59
2012-10-28 - 2012-11-03,54
2012-11-04 - 2012-11-10,56
2012-11-11 - 2012-11-17,57
2012-11-18 - 2012-11-24,53
2012-11-25 - 2012-12-01,59
2012-12-02 - 2012-12-08,56
2012-12-09 - 2012-12-15,55
2012-12-16 - 2012-12-22,48
2012-12-23 - 2012-12-29,45
2012-12-30 - 2013-01-05,52
2013-01-06 - 2013-01-12,58
2013-01-13 - 2013-01-19,56
2013-01-20 - 2013-01-26,56
2013-01-27 - 2013-02-02,57
2013-02-03 - 2013-02-09,58
2013-02-10 - 2013-02-16,58
2013-02-17 - 2013-02-23,60
2013-02-24 - 2013-03-02,61
2013-03-03 - 2013-03-09,60
2013-03-10 - 2013-03-16,60
2013-03-17 - 2013-03-23,60
2013-03-24 - 2013-03-30,56
2013-03-31 - 2013-04-06,58
2013-04-07 - 2013-04-13,62
2013-04-14 - 2013-04-20,61
2013-04-21 - 2013-04-27,63
2013-04-28 - 2013-05-04,61
2013-05-05 - 2013-05-11,61
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,58
2013-05-26 - 2013-06-01,56
2013-06-02 - 2013-06-08,60
2013-06-09 - 2013-06-15,58
2013-06-16 - 2013-06-22,59
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,54
2013-07-07 - 2013-07-13,57
2013-07-14 - 2013-07-20,58
2013-07-21 - 2013-07-27,59
2013-07-28 - 2013-08-03,59
2013-08-04 - 2013-08-10,59
2013-08-11 - 2013-08-17,58
2013-08-18 - 2013-08-24,60
2013-08-25 - 2013-08-31,59
2013-09-01 - 2013-09-07,56
2013-09-08 - 2013-09-14,58
2013-09-15 - 2013-09-21,59
2013-09-22 - 2013-09-28,61
2013-09-29 - 2013-10-05,60
2013-10-06 - 2013-10-12,62
2013-10-13 - 2013-10-19,59
2013-10-20 - 2013-10-26,59
2013-10-27 - 2013-11-02,58
2013-11-03 - 2013-11-09,60
2013-11-10 - 2013-11-16,59
2013-11-17 - 2013-11-23,59
2013-11-24 - 2013-11-30,53
2013-12-01 - 2013-12-07,57
2013-12-08 - 2013-12-14,55
2013-12-15 - 2013-12-21,52
2013-12-22 - 2013-12-28,46
2013-12-29 - 2014-01-04,55
2014-01-05 - 2014-01-11,59
2014-01-12 - 2014-01-18,60
2014-01-19 - 2014-01-25,57
2014-01-26 - 2014-02-01,58
2014-02-02 - 2014-02-08,58
2014-02-09 - 2014-02-15,56
2014-02-16 - 2014-02-22,58
2014-02-23 - 2014-03-01,61
2014-03-02 - 2014-03-08,61
2014-03-09 - 2014-03-15,60
2014-03-16 - 2014-03-22,60
2014-03-23 - 2014-03-29,61
2014-03-30 - 2014-04-05,60
2014-04-06 - 2014-04-12,60
2014-04-13 - 2014-04-19,62
2014-04-20 - 2014-04-26,65
2014-04-27 - 2014-05-03,68
2014-05-04 - 2014-05-10,62
2014-05-11 - 2014-05-17,62
2014-05-18 - 2014-05-24,62
2014-05-25 - 2014-05-31,60
2014-06-01 - 2014-06-07,60
2014-06-08 - 2014-06-14,59
2014-06-15 - 2014-06-21,62
2014-06-22 - 2014-06-28,62
2014-06-29 - 2014-07-05,57
2014-07-06 - 2014-07-12,61
2014-07-13 - 2014-07-19,60
2014-07-20 - 2014-07-26,60
2014-07-27 - 2014-08-02,59
2014-08-03 - 2014-08-09,57
2014-08-10 - 2014-08-16,59
2014-08-17 - 2014-08-23,60
2014-08-24 - 2014-08-30,57
2014-08-31 - 2014-09-06,56
2014-09-07 - 2014-09-13,59
2014-09-14 - 2014-09-20,60
2014-09-21 - 2014-09-27,59
2014-09-28 - 2014-10-04,62
2014-10-05 - 2014-10-11,61
2014-10-12 - 2014-10-18,60
2014-10-19 - 2014-10-25,60
2014-10-26 - 2014-11-01,61
2014-11-02 - 2014-11-08,62
2014-11-09 - 2014-11-15,60
2014-11-16 - 2014-11-22,60
2014-11-23 - 2014-11-29,53
2014-11-30 - 2014-12-06,58
2014-12-07 - 2014-12-13,58
2014-12-14 - 2014-12-20,54
2014-12-21 - 2014-12-27,51
2014-12-28 - 2015-01-03,55
2015-01-04 - 2015-01-10,59
2015-01-11 - 2015-01-17,60
2015-01-18 - 2015-01-24,59
2015-01-25 - 2015-01-31,58
2015-02-01 - 2015-02-07,58
2015-02-08 - 2015-02-14,58
2015-02-15 - 2015-02-21,60
2015-02-22 - 2015-02-28,61
2015-03-01 - 2015-03-07,62
2015-03-08 - 2015-03-14,61
2015-03-15 - 2015-03-21,61
2015-03-22 - 2015-03-28,63
2015-03-29 - 2015-04-04,60
2015-04-05 - 2015-04-11,63
2015-04-12 - 2015-04-18,64
2015-04-19 - 2015-04-25,64
2015-04-26 - 2015-05-02,63
2015-05-03 - 2015-05-09,61
2015-05-10 - 2015-05-16,63
2015-05-17 - 2015-05-23,61
2015-05-24 - 2015-05-30,58
2015-05-31 - 2015-06-06,64
2015-06-07 - 2015-06-13,59
2015-06-14 - 2015-06-20,58
2015-06-21 - 2015-06-27,59
2015-06-28 - 2015-07-04,57
2015-07-05 - 2015-07-11,61
2015-07-12 - 2015-07-18,61
2015-07-19 - 2015-07-25,61
2015-07-26 - 2015-08-01,59
2015-08-02 - 2015-08-08,61
2015-08-09 - 2015-08-15,62
2015-08-16 - 2015-08-22,61
2015-08-23 - 2015-08-29,60
2015-08-30 - 2015-09-05,60
2015-09-06 - 2015-09-12,60
2015-09-13 - 2015-09-19,61
2015-09-20 - 2015-09-26,61
2015-09-27 - 2015-10-03,61
2015-10-04 - 2015-10-10,63
2015-10-11 - 2015-10-17,63
2015-10-18 - 2015-10-24,64
2015-10-25 - 2015-10-31,63
2015-11-01 - 2015-11-07,63
2015-11-08 - 2015-11-14,63
2015-11-15 - 2015-11-21,61
2015-11-22 - 2015-11-28,54
2015-11-29 - 2015-12-05,60
2015-12-06 - 2015-12-12,61
2015-12-13 - 2015-12-19,59
2015-12-20 - 2015-12-26,52
2015-12-27 - 2016-01-02,55
2016-01-03 - 2016-01-09,64
2016-01-10 - 2016-01-16,63
2016-01-17 - 2016-01-23,77
2016-01-24 - 2016-01-30,66
2016-01-31 - 2016-02-06,66
2016-02-07 - 2016-02-13,63
2016-02-14 - 2016-02-20,63
2016-02-21 - 2016-02-27,64
2016-02-28 - 2016-03-05,62
2016-03-06 - 2016-03-12,63
2016-03-13 - 2016-03-19,63
2016-03-20 - 2016-03-26,62
2016-03-27 - 2016-04-02,62
2016-04-03 - 2016-04-09,65
2016-04-10 - 2016-04-16,66
2016-04-17 - 2016-04-23,66
2016-04-24 - 2016-04-30,66
2016-05-01 - 2016-05-07,65
2016-05-08 - 2016-05-14,67
2016-05-15 - 2016-05-21,66
2016-05-22 - 2016-05-28,63
2016-05-29 - 2016-06-04,61
2016-06-05 - 2016-06-11,62
2016-06-12 - 2016-06-18,62
2016-06-19 - 2016-06-25,60
2016-06-26 - 2016-07-02,59
2016-07-03 - 2016-07-09,59


Top regions for arthritis
Region,arthritis
Australia,100
United States,100
New Zealand,96
United Kingdom,92
Canada,91
Ireland,90
Kenya,86
Philippines,73
South Africa,70
Nigeria,46
Singapore,44
India,42
United Arab Emirates,36
Malaysia,33
Pakistan,29
Hong Kong,23
Switzerland,22
Austria,22
Germany,21
South Korea,17
Saudi Arabia,13
Egypt,12
Hungary,12
Denmark,11
Israel,11
Indonesia,10
Taiwan,9
Netherlands,8
Thailand,7
Sweden,7
Belgium,6
China,3
Spain,3
Mexico,2
France,2
Italy,2
Japan,2
Turkey,2
Brazil,1


Top cities for arthritis
City,arthritis
Phoenix (United States),100
Philadelphia (United States),98
Melbourne (Australia),95
Boston (United States),94
Vancouver (Canada),93
Denver (United States),93
Seattle (United States),89
Dublin (Ireland),87
Atlanta (United States),86
Sydney (Australia),86
Manchester (United Kingdom),85
Auckland (New Zealand),85
Washington (United States),85
Toronto (Canada),84
Dallas (United States),83



Top searches for arthritis
rheumatoid arthritis,100
arthritis pain,35
arthritis symptoms,25
arthritis treatment,20
psoriatic arthritis,15
arthritis knee,15
what is arthritis,15
symptoms of arthritis,10
osteoarthritis,10
rheumatoid arthritis symptoms,10
arthritis diet,10
hip arthritis,5
back arthritis,5
arthritis causes,5
treatment for arthritis,5
juvenile arthritis,5
arthritis in hands,5
psoriasis arthritis,5
psoriasis,5
arthritis foundation,5
neck arthritis,5
hand arthritis,5
arthritis in knee,5
rheumatoid arthritis treatment,5
septic arthritis,5
arthritis relief,5
lupus,5
arthritis medicine,5
gout arthritis,5
gout,5
dog arthritis,5
arthritis cure,5
arthritis remedies,5
shoulder arthritis,5
foot arthritis,5
arthritis medication,5
arthritis uk,5
arthritis types,5
knee pain,5
arthritis in back,5
reactive arthritis,5
inflammatory arthritis,5
types of arthritis,5
arthritis pain relief,5
causes of arthritis,5
signs of arthritis,5
arthritis care,5
gouty arthritis,5
fibromyalgia,5
arthritis in fingers,5



Rising searches for arthritis
arthritis in hands,+350%
what is arthritis,+120%
rheumatoid arthritis symptoms,+100%
arthritis symptoms,+90%
psoriasis arthritis,+90%
symptoms of arthritis,+90%
treatment for arthritis,+90%
arthritis causes,+70%
arthritis knee,+70%
arthritis pain,+70%



