Web Search interest: well-being
Worldwide 2004 - present

Interest over time
Week,well-being
2005-01-09 - 2005-01-15,69
2005-01-16 - 2005-01-22,51
2005-01-23 - 2005-01-29,66
2005-01-30 - 2005-02-05,61
2005-02-06 - 2005-02-12,77
2005-02-13 - 2005-02-19,70
2005-02-20 - 2005-02-26,80
2005-02-27 - 2005-03-05,72
2005-03-06 - 2005-03-12,78
2005-03-13 - 2005-03-19,68
2005-03-20 - 2005-03-26,56
2005-03-27 - 2005-04-02,76
2005-04-03 - 2005-04-09,92
2005-04-10 - 2005-04-16,62
2005-04-17 - 2005-04-23,85
2005-04-24 - 2005-04-30,54
2005-05-01 - 2005-05-07,73
2005-05-08 - 2005-05-14,75
2005-05-15 - 2005-05-21,60
2005-05-22 - 2005-05-28,85
2005-05-29 - 2005-06-04,54
2005-06-05 - 2005-06-11,63
2005-06-12 - 2005-06-18,59
2005-06-19 - 2005-06-25,58
2005-06-26 - 2005-07-02,56
2005-07-03 - 2005-07-09,66
2005-07-10 - 2005-07-16,54
2005-07-17 - 2005-07-23,39
2005-07-24 - 2005-07-30,55
2005-07-31 - 2005-08-06,64
2005-08-07 - 2005-08-13,62
2005-08-14 - 2005-08-20,61
2005-08-21 - 2005-08-27,61
2005-08-28 - 2005-09-03,58
2005-09-04 - 2005-09-10,78
2005-09-11 - 2005-09-17,81
2005-09-18 - 2005-09-24,70
2005-09-25 - 2005-10-01,92
2005-10-02 - 2005-10-08,88
2005-10-09 - 2005-10-15,75
2005-10-16 - 2005-10-22,72
2005-10-23 - 2005-10-29,75
2005-10-30 - 2005-11-05,63
2005-11-06 - 2005-11-12,85
2005-11-13 - 2005-11-19,74
2005-11-20 - 2005-11-26,66
2005-11-27 - 2005-12-03,77
2005-12-04 - 2005-12-10,72
2005-12-11 - 2005-12-17,58
2005-12-18 - 2005-12-24,37
2005-12-25 - 2005-12-31,19
2006-01-01 - 2006-01-07,63
2006-01-08 - 2006-01-14,65
2006-01-15 - 2006-01-21,69
2006-01-22 - 2006-01-28,75
2006-01-29 - 2006-02-04,83
2006-02-05 - 2006-02-11,61
2006-02-12 - 2006-02-18,68
2006-02-19 - 2006-02-25,71
2006-02-26 - 2006-03-04,66
2006-03-05 - 2006-03-11,60
2006-03-12 - 2006-03-18,81
2006-03-19 - 2006-03-25,79
2006-03-26 - 2006-04-01,84
2006-04-02 - 2006-04-08,80
2006-04-09 - 2006-04-15,60
2006-04-16 - 2006-04-22,74
2006-04-23 - 2006-04-29,68
2006-04-30 - 2006-05-06,64
2006-05-07 - 2006-05-13,66
2006-05-14 - 2006-05-20,62
2006-05-21 - 2006-05-27,59
2006-05-28 - 2006-06-03,58
2006-06-04 - 2006-06-10,49
2006-06-11 - 2006-06-17,58
2006-06-18 - 2006-06-24,50
2006-06-25 - 2006-07-01,59
2006-07-02 - 2006-07-08,44
2006-07-09 - 2006-07-15,56
2006-07-16 - 2006-07-22,50
2006-07-23 - 2006-07-29,38
2006-07-30 - 2006-08-05,41
2006-08-06 - 2006-08-12,37
2006-08-13 - 2006-08-19,57
2006-08-20 - 2006-08-26,56
2006-08-27 - 2006-09-02,41
2006-09-03 - 2006-09-09,65
2006-09-10 - 2006-09-16,66
2006-09-17 - 2006-09-23,55
2006-09-24 - 2006-09-30,55
2006-10-01 - 2006-10-07,56
2006-10-08 - 2006-10-14,45
2006-10-15 - 2006-10-21,56
2006-10-22 - 2006-10-28,50
2006-10-29 - 2006-11-04,68
2006-11-05 - 2006-11-11,61
2006-11-12 - 2006-11-18,58
2006-11-19 - 2006-11-25,62
2006-11-26 - 2006-12-02,58
2006-12-03 - 2006-12-09,58
2006-12-10 - 2006-12-16,51
2006-12-17 - 2006-12-23,44
2006-12-24 - 2006-12-30,35
2006-12-31 - 2007-01-06,38
2007-01-07 - 2007-01-13,62
2007-01-14 - 2007-01-20,58
2007-01-21 - 2007-01-27,55
2007-01-28 - 2007-02-03,59
2007-02-04 - 2007-02-10,54
2007-02-11 - 2007-02-17,92
2007-02-18 - 2007-02-24,71
2007-02-25 - 2007-03-03,70
2007-03-04 - 2007-03-10,48
2007-03-11 - 2007-03-17,66
2007-03-18 - 2007-03-24,55
2007-03-25 - 2007-03-31,59
2007-04-01 - 2007-04-07,42
2007-04-08 - 2007-04-14,53
2007-04-15 - 2007-04-21,66
2007-04-22 - 2007-04-28,60
2007-04-29 - 2007-05-05,62
2007-05-06 - 2007-05-12,52
2007-05-13 - 2007-05-19,42
2007-05-20 - 2007-05-26,54
2007-05-27 - 2007-06-02,55
2007-06-03 - 2007-06-09,58
2007-06-10 - 2007-06-16,45
2007-06-17 - 2007-06-23,50
2007-06-24 - 2007-06-30,44
2007-07-01 - 2007-07-07,43
2007-07-08 - 2007-07-14,50
2007-07-15 - 2007-07-21,54
2007-07-22 - 2007-07-28,48
2007-07-29 - 2007-08-04,39
2007-08-05 - 2007-08-11,43
2007-08-12 - 2007-08-18,42
2007-08-19 - 2007-08-25,46
2007-08-26 - 2007-09-01,48
2007-09-02 - 2007-09-08,55
2007-09-09 - 2007-09-15,65
2007-09-16 - 2007-09-22,55
2007-09-23 - 2007-09-29,55
2007-09-30 - 2007-10-06,69
2007-10-07 - 2007-10-13,71
2007-10-14 - 2007-10-20,50
2007-10-21 - 2007-10-27,57
2007-10-28 - 2007-11-03,59
2007-11-04 - 2007-11-10,56
2007-11-11 - 2007-11-17,54
2007-11-18 - 2007-11-24,47
2007-11-25 - 2007-12-01,54
2007-12-02 - 2007-12-08,61
2007-12-09 - 2007-12-15,58
2007-12-16 - 2007-12-22,41
2007-12-23 - 2007-12-29,27
2007-12-30 - 2008-01-05,35
2008-01-06 - 2008-01-12,48
2008-01-13 - 2008-01-19,45
2008-01-20 - 2008-01-26,53
2008-01-27 - 2008-02-02,53
2008-02-03 - 2008-02-09,57
2008-02-10 - 2008-02-16,46
2008-02-17 - 2008-02-23,45
2008-02-24 - 2008-03-01,55
2008-03-02 - 2008-03-08,48
2008-03-09 - 2008-03-15,53
2008-03-16 - 2008-03-22,52
2008-03-23 - 2008-03-29,53
2008-03-30 - 2008-04-05,55
2008-04-06 - 2008-04-12,57
2008-04-13 - 2008-04-19,55
2008-04-20 - 2008-04-26,63
2008-04-27 - 2008-05-03,62
2008-05-04 - 2008-05-10,55
2008-05-11 - 2008-05-17,54
2008-05-18 - 2008-05-24,42
2008-05-25 - 2008-05-31,43
2008-06-01 - 2008-06-07,45
2008-06-08 - 2008-06-14,50
2008-06-15 - 2008-06-21,42
2008-06-22 - 2008-06-28,44
2008-06-29 - 2008-07-05,40
2008-07-06 - 2008-07-12,36
2008-07-13 - 2008-07-19,50
2008-07-20 - 2008-07-26,35
2008-07-27 - 2008-08-02,45
2008-08-03 - 2008-08-09,45
2008-08-10 - 2008-08-16,44
2008-08-17 - 2008-08-23,32
2008-08-24 - 2008-08-30,41
2008-08-31 - 2008-09-06,44
2008-09-07 - 2008-09-13,51
2008-09-14 - 2008-09-20,54
2008-09-21 - 2008-09-27,53
2008-09-28 - 2008-10-04,52
2008-10-05 - 2008-10-11,58
2008-10-12 - 2008-10-18,48
2008-10-19 - 2008-10-25,55
2008-10-26 - 2008-11-01,49
2008-11-02 - 2008-11-08,50
2008-11-09 - 2008-11-15,58
2008-11-16 - 2008-11-22,54
2008-11-23 - 2008-11-29,39
2008-11-30 - 2008-12-06,55
2008-12-07 - 2008-12-13,55
2008-12-14 - 2008-12-20,47
2008-12-21 - 2008-12-27,21
2008-12-28 - 2009-01-03,30
2009-01-04 - 2009-01-10,45
2009-01-11 - 2009-01-17,45
2009-01-18 - 2009-01-24,52
2009-01-25 - 2009-01-31,50
2009-02-01 - 2009-02-07,41
2009-02-08 - 2009-02-14,54
2009-02-15 - 2009-02-21,51
2009-02-22 - 2009-02-28,52
2009-03-01 - 2009-03-07,51
2009-03-08 - 2009-03-14,66
2009-03-15 - 2009-03-21,53
2009-03-22 - 2009-03-28,52
2009-03-29 - 2009-04-04,51
2009-04-05 - 2009-04-11,50
2009-04-12 - 2009-04-18,58
2009-04-19 - 2009-04-25,61
2009-04-26 - 2009-05-02,54
2009-05-03 - 2009-05-09,55
2009-05-10 - 2009-05-16,45
2009-05-17 - 2009-05-23,40
2009-05-24 - 2009-05-30,45
2009-05-31 - 2009-06-06,46
2009-06-07 - 2009-06-13,43
2009-06-14 - 2009-06-20,38
2009-06-21 - 2009-06-27,38
2009-06-28 - 2009-07-04,32
2009-07-05 - 2009-07-11,38
2009-07-12 - 2009-07-18,33
2009-07-19 - 2009-07-25,36
2009-07-26 - 2009-08-01,41
2009-08-02 - 2009-08-08,41
2009-08-09 - 2009-08-15,38
2009-08-16 - 2009-08-22,37
2009-08-23 - 2009-08-29,34
2009-08-30 - 2009-09-05,39
2009-09-06 - 2009-09-12,45
2009-09-13 - 2009-09-19,52
2009-09-20 - 2009-09-26,59
2009-09-27 - 2009-10-03,51
2009-10-04 - 2009-10-10,46
2009-10-11 - 2009-10-17,54
2009-10-18 - 2009-10-24,53
2009-10-25 - 2009-10-31,48
2009-11-01 - 2009-11-07,47
2009-11-08 - 2009-11-14,52
2009-11-15 - 2009-11-21,56
2009-11-22 - 2009-11-28,50
2009-11-29 - 2009-12-05,57
2009-12-06 - 2009-12-12,56
2009-12-13 - 2009-12-19,42
2009-12-20 - 2009-12-26,27
2009-12-27 - 2010-01-02,22
2010-01-03 - 2010-01-09,37
2010-01-10 - 2010-01-16,38
2010-01-17 - 2010-01-23,46
2010-01-24 - 2010-01-30,46
2010-01-31 - 2010-02-06,44
2010-02-07 - 2010-02-13,44
2010-02-14 - 2010-02-20,66
2010-02-21 - 2010-02-27,47
2010-02-28 - 2010-03-06,48
2010-03-07 - 2010-03-13,57
2010-03-14 - 2010-03-20,58
2010-03-21 - 2010-03-27,55
2010-03-28 - 2010-04-03,46
2010-04-04 - 2010-04-10,58
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,68
2010-04-25 - 2010-05-01,59
2010-05-02 - 2010-05-08,54
2010-05-09 - 2010-05-15,54
2010-05-16 - 2010-05-22,50
2010-05-23 - 2010-05-29,45
2010-05-30 - 2010-06-05,44
2010-06-06 - 2010-06-12,51
2010-06-13 - 2010-06-19,43
2010-06-20 - 2010-06-26,40
2010-06-27 - 2010-07-03,43
2010-07-04 - 2010-07-10,33
2010-07-11 - 2010-07-17,36
2010-07-18 - 2010-07-24,38
2010-07-25 - 2010-07-31,49
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,42
2010-08-15 - 2010-08-21,40
2010-08-22 - 2010-08-28,35
2010-08-29 - 2010-09-04,42
2010-09-05 - 2010-09-11,44
2010-09-12 - 2010-09-18,47
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,49
2010-10-03 - 2010-10-09,50
2010-10-10 - 2010-10-16,51
2010-10-17 - 2010-10-23,45
2010-10-24 - 2010-10-30,47
2010-10-31 - 2010-11-06,48
2010-11-07 - 2010-11-13,50
2010-11-14 - 2010-11-20,52
2010-11-21 - 2010-11-27,49
2010-11-28 - 2010-12-04,51
2010-12-05 - 2010-12-11,55
2010-12-12 - 2010-12-18,43
2010-12-19 - 2010-12-25,27
2010-12-26 - 2011-01-01,27
2011-01-02 - 2011-01-08,36
2011-01-09 - 2011-01-15,41
2011-01-16 - 2011-01-22,44
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,42
2011-02-06 - 2011-02-12,46
2011-02-13 - 2011-02-19,48
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,58
2011-03-06 - 2011-03-12,62
2011-03-13 - 2011-03-19,52
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,58
2011-04-03 - 2011-04-09,58
2011-04-10 - 2011-04-16,51
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,50
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,63
2011-05-15 - 2011-05-21,49
2011-05-22 - 2011-05-28,49
2011-05-29 - 2011-06-04,42
2011-06-05 - 2011-06-11,39
2011-06-12 - 2011-06-18,41
2011-06-19 - 2011-06-25,36
2011-06-26 - 2011-07-02,42
2011-07-03 - 2011-07-09,36
2011-07-10 - 2011-07-16,33
2011-07-17 - 2011-07-23,37
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,36
2011-08-07 - 2011-08-13,36
2011-08-14 - 2011-08-20,42
2011-08-21 - 2011-08-27,35
2011-08-28 - 2011-09-03,34
2011-09-04 - 2011-09-10,41
2011-09-11 - 2011-09-17,47
2011-09-18 - 2011-09-24,48
2011-09-25 - 2011-10-01,54
2011-10-02 - 2011-10-08,54
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,58
2011-10-23 - 2011-10-29,53
2011-10-30 - 2011-11-05,56
2011-11-06 - 2011-11-12,56
2011-11-13 - 2011-11-19,60
2011-11-20 - 2011-11-26,50
2011-11-27 - 2011-12-03,51
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,50
2011-12-18 - 2011-12-24,28
2011-12-25 - 2011-12-31,24
2012-01-01 - 2012-01-07,38
2012-01-08 - 2012-01-14,45
2012-01-15 - 2012-01-21,47
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,48
2012-02-05 - 2012-02-11,51
2012-02-12 - 2012-02-18,48
2012-02-19 - 2012-02-25,52
2012-02-26 - 2012-03-03,62
2012-03-04 - 2012-03-10,63
2012-03-11 - 2012-03-17,51
2012-03-18 - 2012-03-24,61
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,48
2012-04-08 - 2012-04-14,53
2012-04-15 - 2012-04-21,57
2012-04-22 - 2012-04-28,60
2012-04-29 - 2012-05-05,56
2012-05-06 - 2012-05-12,54
2012-05-13 - 2012-05-19,43
2012-05-20 - 2012-05-26,45
2012-05-27 - 2012-06-02,45
2012-06-03 - 2012-06-09,43
2012-06-10 - 2012-06-16,42
2012-06-17 - 2012-06-23,41
2012-06-24 - 2012-06-30,42
2012-07-01 - 2012-07-07,40
2012-07-08 - 2012-07-14,37
2012-07-15 - 2012-07-21,43
2012-07-22 - 2012-07-28,43
2012-07-29 - 2012-08-04,39
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,37
2012-08-26 - 2012-09-01,40
2012-09-02 - 2012-09-08,44
2012-09-09 - 2012-09-15,50
2012-09-16 - 2012-09-22,56
2012-09-23 - 2012-09-29,59
2012-09-30 - 2012-10-06,56
2012-10-07 - 2012-10-13,54
2012-10-14 - 2012-10-20,51
2012-10-21 - 2012-10-27,52
2012-10-28 - 2012-11-03,50
2012-11-04 - 2012-11-10,54
2012-11-11 - 2012-11-17,48
2012-11-18 - 2012-11-24,51
2012-11-25 - 2012-12-01,53
2012-12-02 - 2012-12-08,55
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,36
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,40
2013-01-13 - 2013-01-19,43
2013-01-20 - 2013-01-26,43
2013-01-27 - 2013-02-02,51
2013-02-03 - 2013-02-09,51
2013-02-10 - 2013-02-16,47
2013-02-17 - 2013-02-23,49
2013-02-24 - 2013-03-02,53
2013-03-03 - 2013-03-09,54
2013-03-10 - 2013-03-16,49
2013-03-17 - 2013-03-23,53
2013-03-24 - 2013-03-30,49
2013-03-31 - 2013-04-06,48
2013-04-07 - 2013-04-13,56
2013-04-14 - 2013-04-20,52
2013-04-21 - 2013-04-27,55
2013-04-28 - 2013-05-04,55
2013-05-05 - 2013-05-11,50
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,46
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,39
2013-06-16 - 2013-06-22,41
2013-06-23 - 2013-06-29,39
2013-06-30 - 2013-07-06,33
2013-07-07 - 2013-07-13,39
2013-07-14 - 2013-07-20,38
2013-07-21 - 2013-07-27,38
2013-07-28 - 2013-08-03,37
2013-08-04 - 2013-08-10,38
2013-08-11 - 2013-08-17,37
2013-08-18 - 2013-08-24,38
2013-08-25 - 2013-08-31,38
2013-09-01 - 2013-09-07,43
2013-09-08 - 2013-09-14,49
2013-09-15 - 2013-09-21,50
2013-09-22 - 2013-09-28,49
2013-09-29 - 2013-10-05,52
2013-10-06 - 2013-10-12,56
2013-10-13 - 2013-10-19,50
2013-10-20 - 2013-10-26,53
2013-10-27 - 2013-11-02,55
2013-11-03 - 2013-11-09,54
2013-11-10 - 2013-11-16,55
2013-11-17 - 2013-11-23,55
2013-11-24 - 2013-11-30,46
2013-12-01 - 2013-12-07,55
2013-12-08 - 2013-12-14,48
2013-12-15 - 2013-12-21,39
2013-12-22 - 2013-12-28,21
2013-12-29 - 2014-01-04,29
2014-01-05 - 2014-01-11,38
2014-01-12 - 2014-01-18,42
2014-01-19 - 2014-01-25,45
2014-01-26 - 2014-02-01,49
2014-02-02 - 2014-02-08,48
2014-02-09 - 2014-02-15,51
2014-02-16 - 2014-02-22,51
2014-02-23 - 2014-03-01,58
2014-03-02 - 2014-03-08,57
2014-03-09 - 2014-03-15,57
2014-03-16 - 2014-03-22,58
2014-03-23 - 2014-03-29,62
2014-03-30 - 2014-04-05,57
2014-04-06 - 2014-04-12,56
2014-04-13 - 2014-04-19,50
2014-04-20 - 2014-04-26,53
2014-04-27 - 2014-05-03,56
2014-05-04 - 2014-05-10,56
2014-05-11 - 2014-05-17,47
2014-05-18 - 2014-05-24,47
2014-05-25 - 2014-05-31,41
2014-06-01 - 2014-06-07,42
2014-06-08 - 2014-06-14,40
2014-06-15 - 2014-06-21,45
2014-06-22 - 2014-06-28,38
2014-06-29 - 2014-07-05,33
2014-07-06 - 2014-07-12,41
2014-07-13 - 2014-07-19,36
2014-07-20 - 2014-07-26,38
2014-07-27 - 2014-08-02,37
2014-08-03 - 2014-08-09,39
2014-08-10 - 2014-08-16,39
2014-08-17 - 2014-08-23,39
2014-08-24 - 2014-08-30,41
2014-08-31 - 2014-09-06,46
2014-09-07 - 2014-09-13,49
2014-09-14 - 2014-09-20,56
2014-09-21 - 2014-09-27,54
2014-09-28 - 2014-10-04,54
2014-10-05 - 2014-10-11,58
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,58
2014-10-26 - 2014-11-01,56
2014-11-02 - 2014-11-08,56
2014-11-09 - 2014-11-15,55
2014-11-16 - 2014-11-22,57
2014-11-23 - 2014-11-29,47
2014-11-30 - 2014-12-06,57
2014-12-07 - 2014-12-13,54
2014-12-14 - 2014-12-20,41
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,24
2015-01-04 - 2015-01-10,39
2015-01-11 - 2015-01-17,45
2015-01-18 - 2015-01-24,49
2015-01-25 - 2015-01-31,50
2015-02-01 - 2015-02-07,49
2015-02-08 - 2015-02-14,54
2015-02-15 - 2015-02-21,56
2015-02-22 - 2015-02-28,57
2015-03-01 - 2015-03-07,63
2015-03-08 - 2015-03-14,57
2015-03-15 - 2015-03-21,57
2015-03-22 - 2015-03-28,59
2015-03-29 - 2015-04-04,53
2015-04-05 - 2015-04-11,49
2015-04-12 - 2015-04-18,53
2015-04-19 - 2015-04-25,57
2015-04-26 - 2015-05-02,57
2015-05-03 - 2015-05-09,51
2015-05-10 - 2015-05-16,48
2015-05-17 - 2015-05-23,43
2015-05-24 - 2015-05-30,42
2015-05-31 - 2015-06-06,46
2015-06-07 - 2015-06-13,45
2015-06-14 - 2015-06-20,40
2015-06-21 - 2015-06-27,46
2015-06-28 - 2015-07-04,37
2015-07-05 - 2015-07-11,37
2015-07-12 - 2015-07-18,41
2015-07-19 - 2015-07-25,39
2015-07-26 - 2015-08-01,37
2015-08-02 - 2015-08-08,35
2015-08-09 - 2015-08-15,38
2015-08-16 - 2015-08-22,39
2015-08-23 - 2015-08-29,44
2015-08-30 - 2015-09-05,46
2015-09-06 - 2015-09-12,49
2015-09-13 - 2015-09-19,49
2015-09-20 - 2015-09-26,52
2015-09-27 - 2015-10-03,49
2015-10-04 - 2015-10-10,53
2015-10-11 - 2015-10-17,53
2015-10-18 - 2015-10-24,55
2015-10-25 - 2015-10-31,60
2015-11-01 - 2015-11-07,53
2015-11-08 - 2015-11-14,56
2015-11-15 - 2015-11-21,57
2015-11-22 - 2015-11-28,50
2015-11-29 - 2015-12-05,56
2015-12-06 - 2015-12-12,53
2015-12-13 - 2015-12-19,45
2015-12-20 - 2015-12-26,24
2015-12-27 - 2016-01-02,23
2016-01-03 - 2016-01-09,43
2016-01-10 - 2016-01-16,44
2016-01-17 - 2016-01-23,51
2016-01-24 - 2016-01-30,52
2016-01-31 - 2016-02-06,54
2016-02-07 - 2016-02-13,53
2016-02-14 - 2016-02-20,52
2016-02-21 - 2016-02-27,58
2016-02-28 - 2016-03-05,54
2016-03-06 - 2016-03-12,57
2016-03-13 - 2016-03-19,53
2016-03-20 - 2016-03-26,51
2016-03-27 - 2016-04-02,51
2016-04-03 - 2016-04-09,58
2016-04-10 - 2016-04-16,56
2016-04-17 - 2016-04-23,59
2016-04-24 - 2016-04-30,57
2016-05-01 - 2016-05-07,53
2016-05-08 - 2016-05-14,48
2016-05-15 - 2016-05-21,48
2016-05-22 - 2016-05-28,41
2016-05-29 - 2016-06-04,42
2016-06-05 - 2016-06-11,38
2016-06-12 - 2016-06-18,39
2016-06-19 - 2016-06-25,39
2016-06-26 - 2016-07-02,34
2016-07-03 - 2016-07-09,25


Top regions for well-being
Region,well-being
South Africa,100
New Zealand,82
Hong Kong,81
Singapore,73
Philippines,68
United Kingdom,67
Australia,57
Canada,48
South Korea,47
Ireland,46
United States,42
Finland,36
Malaysia,35
Taiwan,30
Netherlands,22
Sweden,21
China,19
India,13
Indonesia,11
Germany,10
Turkey,10
Italy,7
Japan,7
Spain,6
France,5


Top cities for well-being
City,well-being
Ottawa (Canada),100
Auckland (New Zealand),74
Birmingham (United Kingdom),71
Singapore (Singapore),70
Manchester (United Kingdom),67
Washington (United States),58
Seoul (South Korea),53
Toronto (Canada),51
Melbourne (Australia),50
London (United Kingdom),49
Philadelphia (United States),47
Sydney (Australia),47
Seattle (United States),41
Dublin (Ireland),41
Montreal (Canada),37



Top searches for well-being
health and well-being,100
social well-being,70
well being,60
psychological well-being,55
wellbeing,55
what is well-being,45
mental well-being,40
well-being definition,40
subjective well-being,40
economic well-being,35
physical well-being,30
emotional well-being,30
definition of well-being,20
well-being index,20
well-being or wellbeing,20
family well-being,15
define well-being,10
well-being meaning,10
employee well-being,10
financial well-being,10
well-being synonym,5
sianji well-being resort,5
well being definition,5
psychological well being,5
gallup-healthways well-being index,5
subjective well being,5



Rising searches for well-being
wellbeing,+400%
what is well-being,+300%
well-being definition,+170%
physical well-being,+140%
social well-being,+120%
subjective well-being,+120%
psychological well-being,+100%
well being,+100%
mental well-being,+90%
economic well-being,+70%



