Web Search interest: epidemiology
Worldwide 2004 - present

Interest over time
Week,epidemiology
2005-09-18 - 2005-09-24,71
2005-09-25 - 2005-10-01,71
2005-10-02 - 2005-10-08,71
2005-10-09 - 2005-10-15,73
2005-10-16 - 2005-10-22,75
2005-10-23 - 2005-10-29,72
2005-10-30 - 2005-11-05,78
2005-11-06 - 2005-11-12,76
2005-11-13 - 2005-11-19,72
2005-11-20 - 2005-11-26,62
2005-11-27 - 2005-12-03,74
2005-12-04 - 2005-12-10,60
2005-12-11 - 2005-12-17,62
2005-12-18 - 2005-12-24,46
2005-12-25 - 2005-12-31,39
2006-01-01 - 2006-01-07,60
2006-01-08 - 2006-01-14,70
2006-01-15 - 2006-01-21,65
2006-01-22 - 2006-01-28,63
2006-01-29 - 2006-02-04,68
2006-02-05 - 2006-02-11,60
2006-02-12 - 2006-02-18,61
2006-02-19 - 2006-02-25,61
2006-02-26 - 2006-03-04,68
2006-03-05 - 2006-03-11,60
2006-03-12 - 2006-03-18,65
2006-03-19 - 2006-03-25,65
2006-03-26 - 2006-04-01,62
2006-04-02 - 2006-04-08,66
2006-04-09 - 2006-04-15,65
2006-04-16 - 2006-04-22,65
2006-04-23 - 2006-04-29,64
2006-04-30 - 2006-05-06,61
2006-05-07 - 2006-05-13,62
2006-05-14 - 2006-05-20,55
2006-05-21 - 2006-05-27,60
2006-05-28 - 2006-06-03,53
2006-06-04 - 2006-06-10,57
2006-06-11 - 2006-06-17,49
2006-06-18 - 2006-06-24,54
2006-06-25 - 2006-07-01,44
2006-07-02 - 2006-07-08,40
2006-07-09 - 2006-07-15,49
2006-07-16 - 2006-07-22,47
2006-07-23 - 2006-07-29,47
2006-07-30 - 2006-08-05,46
2006-08-06 - 2006-08-12,43
2006-08-13 - 2006-08-19,48
2006-08-20 - 2006-08-26,44
2006-08-27 - 2006-09-02,47
2006-09-03 - 2006-09-09,48
2006-09-10 - 2006-09-16,54
2006-09-17 - 2006-09-23,55
2006-09-24 - 2006-09-30,55
2006-10-01 - 2006-10-07,51
2006-10-08 - 2006-10-14,55
2006-10-15 - 2006-10-21,55
2006-10-22 - 2006-10-28,54
2006-10-29 - 2006-11-04,58
2006-11-05 - 2006-11-11,55
2006-11-12 - 2006-11-18,61
2006-11-19 - 2006-11-25,46
2006-11-26 - 2006-12-02,56
2006-12-03 - 2006-12-09,55
2006-12-10 - 2006-12-16,47
2006-12-17 - 2006-12-23,39
2006-12-24 - 2006-12-30,27
2006-12-31 - 2007-01-06,44
2007-01-07 - 2007-01-13,48
2007-01-14 - 2007-01-20,47
2007-01-21 - 2007-01-27,53
2007-01-28 - 2007-02-03,54
2007-02-04 - 2007-02-10,53
2007-02-11 - 2007-02-17,52
2007-02-18 - 2007-02-24,52
2007-02-25 - 2007-03-03,49
2007-03-04 - 2007-03-10,51
2007-03-11 - 2007-03-17,55
2007-03-18 - 2007-03-24,49
2007-03-25 - 2007-03-31,52
2007-04-01 - 2007-04-07,48
2007-04-08 - 2007-04-14,45
2007-04-15 - 2007-04-21,52
2007-04-22 - 2007-04-28,50
2007-04-29 - 2007-05-05,49
2007-05-06 - 2007-05-12,50
2007-05-13 - 2007-05-19,50
2007-05-20 - 2007-05-26,48
2007-05-27 - 2007-06-02,46
2007-06-03 - 2007-06-09,45
2007-06-10 - 2007-06-16,44
2007-06-17 - 2007-06-23,42
2007-06-24 - 2007-06-30,40
2007-07-01 - 2007-07-07,39
2007-07-08 - 2007-07-14,44
2007-07-15 - 2007-07-21,46
2007-07-22 - 2007-07-28,42
2007-07-29 - 2007-08-04,41
2007-08-05 - 2007-08-11,42
2007-08-12 - 2007-08-18,42
2007-08-19 - 2007-08-25,44
2007-08-26 - 2007-09-01,45
2007-09-02 - 2007-09-08,48
2007-09-09 - 2007-09-15,52
2007-09-16 - 2007-09-22,52
2007-09-23 - 2007-09-29,51
2007-09-30 - 2007-10-06,53
2007-10-07 - 2007-10-13,53
2007-10-14 - 2007-10-20,51
2007-10-21 - 2007-10-27,51
2007-10-28 - 2007-11-03,52
2007-11-04 - 2007-11-10,51
2007-11-11 - 2007-11-17,55
2007-11-18 - 2007-11-24,48
2007-11-25 - 2007-12-01,51
2007-12-02 - 2007-12-08,50
2007-12-09 - 2007-12-15,47
2007-12-16 - 2007-12-22,35
2007-12-23 - 2007-12-29,23
2007-12-30 - 2008-01-05,33
2008-01-06 - 2008-01-12,44
2008-01-13 - 2008-01-19,45
2008-01-20 - 2008-01-26,46
2008-01-27 - 2008-02-02,50
2008-02-03 - 2008-02-09,48
2008-02-10 - 2008-02-16,46
2008-02-17 - 2008-02-23,48
2008-02-24 - 2008-03-01,50
2008-03-02 - 2008-03-08,47
2008-03-09 - 2008-03-15,52
2008-03-16 - 2008-03-22,46
2008-03-23 - 2008-03-29,43
2008-03-30 - 2008-04-05,47
2008-04-06 - 2008-04-12,46
2008-04-13 - 2008-04-19,49
2008-04-20 - 2008-04-26,47
2008-04-27 - 2008-05-03,43
2008-05-04 - 2008-05-10,44
2008-05-11 - 2008-05-17,46
2008-05-18 - 2008-05-24,43
2008-05-25 - 2008-05-31,40
2008-06-01 - 2008-06-07,39
2008-06-08 - 2008-06-14,39
2008-06-15 - 2008-06-21,39
2008-06-22 - 2008-06-28,39
2008-06-29 - 2008-07-05,33
2008-07-06 - 2008-07-12,40
2008-07-13 - 2008-07-19,36
2008-07-20 - 2008-07-26,37
2008-07-27 - 2008-08-02,39
2008-08-03 - 2008-08-09,33
2008-08-10 - 2008-08-16,35
2008-08-17 - 2008-08-23,37
2008-08-24 - 2008-08-30,36
2008-08-31 - 2008-09-06,40
2008-09-07 - 2008-09-13,45
2008-09-14 - 2008-09-20,45
2008-09-21 - 2008-09-27,43
2008-09-28 - 2008-10-04,44
2008-10-05 - 2008-10-11,46
2008-10-12 - 2008-10-18,45
2008-10-19 - 2008-10-25,47
2008-10-26 - 2008-11-01,45
2008-11-02 - 2008-11-08,43
2008-11-09 - 2008-11-15,49
2008-11-16 - 2008-11-22,47
2008-11-23 - 2008-11-29,42
2008-11-30 - 2008-12-06,44
2008-12-07 - 2008-12-13,42
2008-12-14 - 2008-12-20,35
2008-12-21 - 2008-12-27,23
2008-12-28 - 2009-01-03,23
2009-01-04 - 2009-01-10,38
2009-01-11 - 2009-01-17,44
2009-01-18 - 2009-01-24,40
2009-01-25 - 2009-01-31,45
2009-02-01 - 2009-02-07,43
2009-02-08 - 2009-02-14,43
2009-02-15 - 2009-02-21,43
2009-02-22 - 2009-02-28,44
2009-03-01 - 2009-03-07,44
2009-03-08 - 2009-03-14,45
2009-03-15 - 2009-03-21,44
2009-03-22 - 2009-03-28,44
2009-03-29 - 2009-04-04,46
2009-04-05 - 2009-04-11,43
2009-04-12 - 2009-04-18,43
2009-04-19 - 2009-04-25,46
2009-04-26 - 2009-05-02,54
2009-05-03 - 2009-05-09,45
2009-05-10 - 2009-05-16,42
2009-05-17 - 2009-05-23,38
2009-05-24 - 2009-05-30,37
2009-05-31 - 2009-06-06,38
2009-06-07 - 2009-06-13,35
2009-06-14 - 2009-06-20,35
2009-06-21 - 2009-06-27,34
2009-06-28 - 2009-07-04,31
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,33
2009-07-19 - 2009-07-25,34
2009-07-26 - 2009-08-01,35
2009-08-02 - 2009-08-08,34
2009-08-09 - 2009-08-15,34
2009-08-16 - 2009-08-22,36
2009-08-23 - 2009-08-29,38
2009-08-30 - 2009-09-05,38
2009-09-06 - 2009-09-12,42
2009-09-13 - 2009-09-19,41
2009-09-20 - 2009-09-26,43
2009-09-27 - 2009-10-03,44
2009-10-04 - 2009-10-10,46
2009-10-11 - 2009-10-17,43
2009-10-18 - 2009-10-24,46
2009-10-25 - 2009-10-31,47
2009-11-01 - 2009-11-07,44
2009-11-08 - 2009-11-14,45
2009-11-15 - 2009-11-21,44
2009-11-22 - 2009-11-28,37
2009-11-29 - 2009-12-05,44
2009-12-06 - 2009-12-12,41
2009-12-13 - 2009-12-19,35
2009-12-20 - 2009-12-26,23
2009-12-27 - 2010-01-02,22
2010-01-03 - 2010-01-09,35
2010-01-10 - 2010-01-16,40
2010-01-17 - 2010-01-23,40
2010-01-24 - 2010-01-30,41
2010-01-31 - 2010-02-06,42
2010-02-07 - 2010-02-13,41
2010-02-14 - 2010-02-20,41
2010-02-21 - 2010-02-27,41
2010-02-28 - 2010-03-06,43
2010-03-07 - 2010-03-13,43
2010-03-14 - 2010-03-20,42
2010-03-21 - 2010-03-27,43
2010-03-28 - 2010-04-03,39
2010-04-04 - 2010-04-10,43
2010-04-11 - 2010-04-17,43
2010-04-18 - 2010-04-24,42
2010-04-25 - 2010-05-01,42
2010-05-02 - 2010-05-08,43
2010-05-09 - 2010-05-15,38
2010-05-16 - 2010-05-22,38
2010-05-23 - 2010-05-29,35
2010-05-30 - 2010-06-05,33
2010-06-06 - 2010-06-12,33
2010-06-13 - 2010-06-19,34
2010-06-20 - 2010-06-26,32
2010-06-27 - 2010-07-03,29
2010-07-04 - 2010-07-10,30
2010-07-11 - 2010-07-17,32
2010-07-18 - 2010-07-24,31
2010-07-25 - 2010-07-31,32
2010-08-01 - 2010-08-07,30
2010-08-08 - 2010-08-14,31
2010-08-15 - 2010-08-21,32
2010-08-22 - 2010-08-28,33
2010-08-29 - 2010-09-04,34
2010-09-05 - 2010-09-11,37
2010-09-12 - 2010-09-18,38
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,40
2010-10-03 - 2010-10-09,41
2010-10-10 - 2010-10-16,42
2010-10-17 - 2010-10-23,41
2010-10-24 - 2010-10-30,42
2010-10-31 - 2010-11-06,41
2010-11-07 - 2010-11-13,41
2010-11-14 - 2010-11-20,40
2010-11-21 - 2010-11-27,35
2010-11-28 - 2010-12-04,39
2010-12-05 - 2010-12-11,40
2010-12-12 - 2010-12-18,35
2010-12-19 - 2010-12-25,22
2010-12-26 - 2011-01-01,22
2011-01-02 - 2011-01-08,33
2011-01-09 - 2011-01-15,37
2011-01-16 - 2011-01-22,37
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,36
2011-02-06 - 2011-02-12,37
2011-02-13 - 2011-02-19,38
2011-02-20 - 2011-02-26,38
2011-02-27 - 2011-03-05,39
2011-03-06 - 2011-03-12,37
2011-03-13 - 2011-03-19,38
2011-03-20 - 2011-03-26,40
2011-03-27 - 2011-04-02,40
2011-04-03 - 2011-04-09,40
2011-04-10 - 2011-04-16,39
2011-04-17 - 2011-04-23,39
2011-04-24 - 2011-04-30,36
2011-05-01 - 2011-05-07,37
2011-05-08 - 2011-05-14,37
2011-05-15 - 2011-05-21,35
2011-05-22 - 2011-05-28,35
2011-05-29 - 2011-06-04,32
2011-06-05 - 2011-06-11,35
2011-06-12 - 2011-06-18,33
2011-06-19 - 2011-06-25,32
2011-06-26 - 2011-07-02,31
2011-07-03 - 2011-07-09,29
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,32
2011-07-24 - 2011-07-30,30
2011-07-31 - 2011-08-06,30
2011-08-07 - 2011-08-13,29
2011-08-14 - 2011-08-20,30
2011-08-21 - 2011-08-27,32
2011-08-28 - 2011-09-03,32
2011-09-04 - 2011-09-10,34
2011-09-11 - 2011-09-17,40
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,40
2011-10-02 - 2011-10-08,41
2011-10-09 - 2011-10-15,40
2011-10-16 - 2011-10-22,39
2011-10-23 - 2011-10-29,38
2011-10-30 - 2011-11-05,39
2011-11-06 - 2011-11-12,41
2011-11-13 - 2011-11-19,40
2011-11-20 - 2011-11-26,35
2011-11-27 - 2011-12-03,39
2011-12-04 - 2011-12-10,40
2011-12-11 - 2011-12-17,34
2011-12-18 - 2011-12-24,25
2011-12-25 - 2011-12-31,20
2012-01-01 - 2012-01-07,33
2012-01-08 - 2012-01-14,36
2012-01-15 - 2012-01-21,37
2012-01-22 - 2012-01-28,37
2012-01-29 - 2012-02-04,37
2012-02-05 - 2012-02-11,37
2012-02-12 - 2012-02-18,38
2012-02-19 - 2012-02-25,36
2012-02-26 - 2012-03-03,38
2012-03-04 - 2012-03-10,61
2012-03-11 - 2012-03-17,37
2012-03-18 - 2012-03-24,38
2012-03-25 - 2012-03-31,38
2012-04-01 - 2012-04-07,35
2012-04-08 - 2012-04-14,35
2012-04-15 - 2012-04-21,38
2012-04-22 - 2012-04-28,38
2012-04-29 - 2012-05-05,37
2012-05-06 - 2012-05-12,35
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,32
2012-05-27 - 2012-06-02,31
2012-06-03 - 2012-06-09,30
2012-06-10 - 2012-06-16,30
2012-06-17 - 2012-06-23,29
2012-06-24 - 2012-06-30,29
2012-07-01 - 2012-07-07,26
2012-07-08 - 2012-07-14,29
2012-07-15 - 2012-07-21,28
2012-07-22 - 2012-07-28,29
2012-07-29 - 2012-08-04,27
2012-08-05 - 2012-08-11,27
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,31
2012-08-26 - 2012-09-01,33
2012-09-02 - 2012-09-08,35
2012-09-09 - 2012-09-15,39
2012-09-16 - 2012-09-22,40
2012-09-23 - 2012-09-29,39
2012-09-30 - 2012-10-06,37
2012-10-07 - 2012-10-13,38
2012-10-14 - 2012-10-20,38
2012-10-21 - 2012-10-27,36
2012-10-28 - 2012-11-03,36
2012-11-04 - 2012-11-10,35
2012-11-11 - 2012-11-17,35
2012-11-18 - 2012-11-24,31
2012-11-25 - 2012-12-01,36
2012-12-02 - 2012-12-08,35
2012-12-09 - 2012-12-15,34
2012-12-16 - 2012-12-22,25
2012-12-23 - 2012-12-29,17
2012-12-30 - 2013-01-05,22
2013-01-06 - 2013-01-12,31
2013-01-13 - 2013-01-19,34
2013-01-20 - 2013-01-26,34
2013-01-27 - 2013-02-02,37
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,36
2013-02-17 - 2013-02-23,36
2013-02-24 - 2013-03-02,36
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,35
2013-03-24 - 2013-03-30,32
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,37
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,36
2013-05-05 - 2013-05-11,33
2013-05-12 - 2013-05-18,31
2013-05-19 - 2013-05-25,30
2013-05-26 - 2013-06-01,28
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,28
2013-06-16 - 2013-06-22,28
2013-06-23 - 2013-06-29,26
2013-06-30 - 2013-07-06,25
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,28
2013-07-21 - 2013-07-27,27
2013-07-28 - 2013-08-03,26
2013-08-04 - 2013-08-10,26
2013-08-11 - 2013-08-17,27
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,30
2013-09-01 - 2013-09-07,34
2013-09-08 - 2013-09-14,36
2013-09-15 - 2013-09-21,37
2013-09-22 - 2013-09-28,38
2013-09-29 - 2013-10-05,38
2013-10-06 - 2013-10-12,37
2013-10-13 - 2013-10-19,36
2013-10-20 - 2013-10-26,37
2013-10-27 - 2013-11-02,37
2013-11-03 - 2013-11-09,36
2013-11-10 - 2013-11-16,36
2013-11-17 - 2013-11-23,37
2013-11-24 - 2013-11-30,31
2013-12-01 - 2013-12-07,36
2013-12-08 - 2013-12-14,33
2013-12-15 - 2013-12-21,27
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,20
2014-01-05 - 2014-01-11,31
2014-01-12 - 2014-01-18,34
2014-01-19 - 2014-01-25,34
2014-01-26 - 2014-02-01,35
2014-02-02 - 2014-02-08,34
2014-02-09 - 2014-02-15,35
2014-02-16 - 2014-02-22,36
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,37
2014-03-09 - 2014-03-15,36
2014-03-16 - 2014-03-22,34
2014-03-23 - 2014-03-29,35
2014-03-30 - 2014-04-05,36
2014-04-06 - 2014-04-12,36
2014-04-13 - 2014-04-19,34
2014-04-20 - 2014-04-26,34
2014-04-27 - 2014-05-03,34
2014-05-04 - 2014-05-10,34
2014-05-11 - 2014-05-17,31
2014-05-18 - 2014-05-24,31
2014-05-25 - 2014-05-31,29
2014-06-01 - 2014-06-07,29
2014-06-08 - 2014-06-14,28
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,26
2014-06-29 - 2014-07-05,24
2014-07-06 - 2014-07-12,27
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,26
2014-07-27 - 2014-08-02,26
2014-08-03 - 2014-08-09,27
2014-08-10 - 2014-08-16,28
2014-08-17 - 2014-08-23,29
2014-08-24 - 2014-08-30,32
2014-08-31 - 2014-09-06,33
2014-09-07 - 2014-09-13,36
2014-09-14 - 2014-09-20,38
2014-09-21 - 2014-09-27,36
2014-09-28 - 2014-10-04,39
2014-10-05 - 2014-10-11,39
2014-10-12 - 2014-10-18,43
2014-10-19 - 2014-10-25,39
2014-10-26 - 2014-11-01,39
2014-11-02 - 2014-11-08,37
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,36
2014-11-23 - 2014-11-29,30
2014-11-30 - 2014-12-06,35
2014-12-07 - 2014-12-13,35
2014-12-14 - 2014-12-20,28
2014-12-21 - 2014-12-27,17
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,29
2015-01-11 - 2015-01-17,31
2015-01-18 - 2015-01-24,32
2015-01-25 - 2015-01-31,33
2015-02-01 - 2015-02-07,34
2015-02-08 - 2015-02-14,33
2015-02-15 - 2015-02-21,33
2015-02-22 - 2015-02-28,35
2015-03-01 - 2015-03-07,34
2015-03-08 - 2015-03-14,33
2015-03-15 - 2015-03-21,33
2015-03-22 - 2015-03-28,33
2015-03-29 - 2015-04-04,32
2015-04-05 - 2015-04-11,33
2015-04-12 - 2015-04-18,35
2015-04-19 - 2015-04-25,35
2015-04-26 - 2015-05-02,39
2015-05-03 - 2015-05-09,34
2015-05-10 - 2015-05-16,32
2015-05-17 - 2015-05-23,28
2015-05-24 - 2015-05-30,28
2015-05-31 - 2015-06-06,28
2015-06-07 - 2015-06-13,28
2015-06-14 - 2015-06-20,27
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,24
2015-07-05 - 2015-07-11,25
2015-07-12 - 2015-07-18,24
2015-07-19 - 2015-07-25,25
2015-07-26 - 2015-08-01,27
2015-08-02 - 2015-08-08,25
2015-08-09 - 2015-08-15,26
2015-08-16 - 2015-08-22,27
2015-08-23 - 2015-08-29,28
2015-08-30 - 2015-09-05,31
2015-09-06 - 2015-09-12,33
2015-09-13 - 2015-09-19,34
2015-09-20 - 2015-09-26,33
2015-09-27 - 2015-10-03,35
2015-10-04 - 2015-10-10,36
2015-10-11 - 2015-10-17,36
2015-10-18 - 2015-10-24,34
2015-10-25 - 2015-10-31,35
2015-11-01 - 2015-11-07,35
2015-11-08 - 2015-11-14,36
2015-11-15 - 2015-11-21,36
2015-11-22 - 2015-11-28,29
2015-11-29 - 2015-12-05,33
2015-12-06 - 2015-12-12,34
2015-12-13 - 2015-12-19,30
2015-12-20 - 2015-12-26,18
2015-12-27 - 2016-01-02,18
2016-01-03 - 2016-01-09,28
2016-01-10 - 2016-01-16,30
2016-01-17 - 2016-01-23,33
2016-01-24 - 2016-01-30,34
2016-01-31 - 2016-02-06,34
2016-02-07 - 2016-02-13,33
2016-02-14 - 2016-02-20,32
2016-02-21 - 2016-02-27,34
2016-02-28 - 2016-03-05,34
2016-03-06 - 2016-03-12,34
2016-03-13 - 2016-03-19,32
2016-03-20 - 2016-03-26,31
2016-03-27 - 2016-04-02,33
2016-04-03 - 2016-04-09,35
2016-04-10 - 2016-04-16,34
2016-04-17 - 2016-04-23,35
2016-04-24 - 2016-04-30,33
2016-05-01 - 2016-05-07,32
2016-05-08 - 2016-05-14,31
2016-05-15 - 2016-05-21,30
2016-05-22 - 2016-05-28,27
2016-05-29 - 2016-06-04,26
2016-06-05 - 2016-06-11,26
2016-06-12 - 2016-06-18,28
2016-06-19 - 2016-06-25,26
2016-06-26 - 2016-07-02,18


Top regions for epidemiology
Region,epidemiology
Ethiopia,100
Uganda,70
Kenya,48
Nigeria,46
Nepal,43
Ghana,39
Tanzania,38
Jamaica,29
Sudan,27
Trinidad & Tobago,27
Sri Lanka,16
Australia,13
Bangladesh,13
New Zealand,13
South Africa,13
United States,13
Canada,11
Philippines,11
Pakistan,11
Ireland,9
United Kingdom,9
Singapore,9
Malaysia,9
Iran,8
Hong Kong,8
India,7
South Korea,6
Egypt,5
Saudi Arabia,5
Denmark,4
Taiwan,4
Switzerland,4
Norway,4
Israel,4
United Arab Emirates,4
Portugal,4
Netherlands,4
Indonesia,4
Sweden,4
Greece,3
Belgium,3
Thailand,3
China,3
Finland,3
Colombia,2
Italy,2
Spain,2
Austria,2
Chile,1
Germany,1
Romania,1
Peru,1
Mexico,1
Brazil,1
France,1
Japan,1
Poland,1
Argentina,1
Vietnam,1
Turkey,1
Russia,1


Top cities for epidemiology
City,epidemiology
Baltimore (United States),100
Nairobi (Kenya),85
Lagos (Nigeria),70
Boston (United States),57
Ottawa (Canada),44
Philadelphia (United States),36
Washington (United States),32
Seattle (United States),30
Vancouver (Canada),27
Toronto (Canada),26
Atlanta (United States),25
San Diego (United States),25
Sydney (Australia),24
Montreal (Canada),22
New York (United States),22



Top searches for epidemiology
epidemiology journal,100
journal of epidemiology,80
epidemiology definition,75
public health,70
cancer epidemiology,65
what is epidemiology,60
epidemiology study,50
clinical epidemiology,50
prevalence,35
epidemiology jobs,35
incidence,30
epidemiology of cancer,30
definition of epidemiology,30
epidemiology pdf,30
american journal epidemiology,25
define epidemiology,25
epidemiology and infection,25
social epidemiology,25
epidemiology studies,25
phd epidemiology,20
cdc epidemiology,20
etiology,20
molecular epidemiology,20
biostatistics,20
hiv epidemiology,20
diabetes epidemiology,20
environmental epidemiology,20
genetic epidemiology,15
epidemiologist,15
infection control,15
epidemiology ppt,15
epidemiology salary,15
epidemiology of diabetes,10
infectious disease epidemiology,10
history of epidemiology,10
epidemiology meaning,10
epidemiology and biostatistics,10
types of epidemiology,10
mph epidemiology,10
epidemiology of hiv,10
descriptive epidemiology,10
tuberculosis epidemiology,10
masters in epidemiology,10
malaria epidemiology,10
veterinary epidemiology,10
psychiatric epidemiology,10
breast cancer epidemiology,10
field epidemiology,10
phd in epidemiology,10
pathogenesis,10



Rising searches for epidemiology
epidemiology pdf,+400%
define epidemiology,+350%
phd epidemiology,+140%
what is epidemiology,+110%
epidemiology definition,+90%
epidemiology jobs,+90%
definition of epidemiology,+70%
epidemiology study,+70%
prevalence,+50%
social epidemiology,+50%



