Web Search interest: Autoimmune disease
Worldwide 2004 - present

Interest over time
Week,Autoimmune disease
2008-04-27 - 2008-05-03,34
2008-05-04 - 2008-05-10,36
2008-05-11 - 2008-05-17,34
2008-05-18 - 2008-05-24,34
2008-05-25 - 2008-05-31,30
2008-06-01 - 2008-06-07,31
2008-06-08 - 2008-06-14,34
2008-06-15 - 2008-06-21,32
2008-06-22 - 2008-06-28,31
2008-06-29 - 2008-07-05,28
2008-07-06 - 2008-07-12,29
2008-07-13 - 2008-07-19,31
2008-07-20 - 2008-07-26,29
2008-07-27 - 2008-08-02,29
2008-08-03 - 2008-08-09,29
2008-08-10 - 2008-08-16,31
2008-08-17 - 2008-08-23,29
2008-08-24 - 2008-08-30,30
2008-08-31 - 2008-09-06,30
2008-09-07 - 2008-09-13,30
2008-09-14 - 2008-09-20,29
2008-09-21 - 2008-09-27,30
2008-09-28 - 2008-10-04,31
2008-10-05 - 2008-10-11,33
2008-10-12 - 2008-10-18,31
2008-10-19 - 2008-10-25,33
2008-10-26 - 2008-11-01,31
2008-11-02 - 2008-11-08,33
2008-11-09 - 2008-11-15,32
2008-11-16 - 2008-11-22,31
2008-11-23 - 2008-11-29,29
2008-11-30 - 2008-12-06,31
2008-12-07 - 2008-12-13,32
2008-12-14 - 2008-12-20,28
2008-12-21 - 2008-12-27,23
2008-12-28 - 2009-01-03,25
2009-01-04 - 2009-01-10,31
2009-01-11 - 2009-01-17,29
2009-01-18 - 2009-01-24,32
2009-01-25 - 2009-01-31,39
2009-02-01 - 2009-02-07,32
2009-02-08 - 2009-02-14,31
2009-02-15 - 2009-02-21,33
2009-02-22 - 2009-02-28,33
2009-03-01 - 2009-03-07,35
2009-03-08 - 2009-03-14,33
2009-03-15 - 2009-03-21,33
2009-03-22 - 2009-03-28,33
2009-03-29 - 2009-04-04,34
2009-04-05 - 2009-04-11,32
2009-04-12 - 2009-04-18,34
2009-04-19 - 2009-04-25,34
2009-04-26 - 2009-05-02,34
2009-05-03 - 2009-05-09,35
2009-05-10 - 2009-05-16,34
2009-05-17 - 2009-05-23,34
2009-05-24 - 2009-05-30,32
2009-05-31 - 2009-06-06,30
2009-06-07 - 2009-06-13,31
2009-06-14 - 2009-06-20,31
2009-06-21 - 2009-06-27,32
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,31
2009-07-12 - 2009-07-18,32
2009-07-19 - 2009-07-25,32
2009-07-26 - 2009-08-01,31
2009-08-02 - 2009-08-08,30
2009-08-09 - 2009-08-15,29
2009-08-16 - 2009-08-22,30
2009-08-23 - 2009-08-29,30
2009-08-30 - 2009-09-05,29
2009-09-06 - 2009-09-12,32
2009-09-13 - 2009-09-19,32
2009-09-20 - 2009-09-26,32
2009-09-27 - 2009-10-03,33
2009-10-04 - 2009-10-10,32
2009-10-11 - 2009-10-17,32
2009-10-18 - 2009-10-24,36
2009-10-25 - 2009-10-31,35
2009-11-01 - 2009-11-07,38
2009-11-08 - 2009-11-14,38
2009-11-15 - 2009-11-21,37
2009-11-22 - 2009-11-28,33
2009-11-29 - 2009-12-05,34
2009-12-06 - 2009-12-12,31
2009-12-13 - 2009-12-19,29
2009-12-20 - 2009-12-26,23
2009-12-27 - 2010-01-02,26
2010-01-03 - 2010-01-09,31
2010-01-10 - 2010-01-16,35
2010-01-17 - 2010-01-23,33
2010-01-24 - 2010-01-30,34
2010-01-31 - 2010-02-06,33
2010-02-07 - 2010-02-13,31
2010-02-14 - 2010-02-20,31
2010-02-21 - 2010-02-27,33
2010-02-28 - 2010-03-06,34
2010-03-07 - 2010-03-13,34
2010-03-14 - 2010-03-20,34
2010-03-21 - 2010-03-27,33
2010-03-28 - 2010-04-03,30
2010-04-04 - 2010-04-10,34
2010-04-11 - 2010-04-17,34
2010-04-18 - 2010-04-24,36
2010-04-25 - 2010-05-01,34
2010-05-02 - 2010-05-08,35
2010-05-09 - 2010-05-15,32
2010-05-16 - 2010-05-22,32
2010-05-23 - 2010-05-29,32
2010-05-30 - 2010-06-05,36
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,31
2010-06-20 - 2010-06-26,31
2010-06-27 - 2010-07-03,29
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,28
2010-07-18 - 2010-07-24,30
2010-07-25 - 2010-07-31,29
2010-08-01 - 2010-08-07,29
2010-08-08 - 2010-08-14,29
2010-08-15 - 2010-08-21,29
2010-08-22 - 2010-08-28,30
2010-08-29 - 2010-09-04,29
2010-09-05 - 2010-09-11,29
2010-09-12 - 2010-09-18,30
2010-09-19 - 2010-09-25,30
2010-09-26 - 2010-10-02,31
2010-10-03 - 2010-10-09,33
2010-10-10 - 2010-10-16,31
2010-10-17 - 2010-10-23,32
2010-10-24 - 2010-10-30,31
2010-10-31 - 2010-11-06,31
2010-11-07 - 2010-11-13,33
2010-11-14 - 2010-11-20,33
2010-11-21 - 2010-11-27,29
2010-11-28 - 2010-12-04,32
2010-12-05 - 2010-12-11,29
2010-12-12 - 2010-12-18,27
2010-12-19 - 2010-12-25,23
2010-12-26 - 2011-01-01,24
2011-01-02 - 2011-01-08,31
2011-01-09 - 2011-01-15,30
2011-01-16 - 2011-01-22,31
2011-01-23 - 2011-01-29,32
2011-01-30 - 2011-02-05,30
2011-02-06 - 2011-02-12,33
2011-02-13 - 2011-02-19,32
2011-02-20 - 2011-02-26,33
2011-02-27 - 2011-03-05,33
2011-03-06 - 2011-03-12,32
2011-03-13 - 2011-03-19,30
2011-03-20 - 2011-03-26,33
2011-03-27 - 2011-04-02,33
2011-04-03 - 2011-04-09,34
2011-04-10 - 2011-04-16,32
2011-04-17 - 2011-04-23,31
2011-04-24 - 2011-04-30,31
2011-05-01 - 2011-05-07,32
2011-05-08 - 2011-05-14,33
2011-05-15 - 2011-05-21,33
2011-05-22 - 2011-05-28,33
2011-05-29 - 2011-06-04,30
2011-06-05 - 2011-06-11,30
2011-06-12 - 2011-06-18,30
2011-06-19 - 2011-06-25,30
2011-06-26 - 2011-07-02,29
2011-07-03 - 2011-07-09,27
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,30
2011-07-24 - 2011-07-30,29
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,27
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,29
2011-08-28 - 2011-09-03,60
2011-09-04 - 2011-09-10,37
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,31
2011-09-25 - 2011-10-01,31
2011-10-02 - 2011-10-08,32
2011-10-09 - 2011-10-15,34
2011-10-16 - 2011-10-22,34
2011-10-23 - 2011-10-29,33
2011-10-30 - 2011-11-05,31
2011-11-06 - 2011-11-12,32
2011-11-13 - 2011-11-19,35
2011-11-20 - 2011-11-26,29
2011-11-27 - 2011-12-03,33
2011-12-04 - 2011-12-10,32
2011-12-11 - 2011-12-17,30
2011-12-18 - 2011-12-24,27
2011-12-25 - 2011-12-31,25
2012-01-01 - 2012-01-07,29
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,33
2012-01-22 - 2012-01-28,34
2012-01-29 - 2012-02-04,33
2012-02-05 - 2012-02-11,33
2012-02-12 - 2012-02-18,34
2012-02-19 - 2012-02-25,35
2012-02-26 - 2012-03-03,41
2012-03-04 - 2012-03-10,37
2012-03-11 - 2012-03-17,34
2012-03-18 - 2012-03-24,35
2012-03-25 - 2012-03-31,34
2012-04-01 - 2012-04-07,42
2012-04-08 - 2012-04-14,36
2012-04-15 - 2012-04-21,35
2012-04-22 - 2012-04-28,35
2012-04-29 - 2012-05-05,35
2012-05-06 - 2012-05-12,34
2012-05-13 - 2012-05-19,37
2012-05-20 - 2012-05-26,41
2012-05-27 - 2012-06-02,33
2012-06-03 - 2012-06-09,33
2012-06-10 - 2012-06-16,32
2012-06-17 - 2012-06-23,33
2012-06-24 - 2012-06-30,36
2012-07-01 - 2012-07-07,34
2012-07-08 - 2012-07-14,35
2012-07-15 - 2012-07-21,33
2012-07-22 - 2012-07-28,32
2012-07-29 - 2012-08-04,31
2012-08-05 - 2012-08-11,31
2012-08-12 - 2012-08-18,37
2012-08-19 - 2012-08-25,35
2012-08-26 - 2012-09-01,34
2012-09-02 - 2012-09-08,33
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,34
2012-09-23 - 2012-09-29,34
2012-09-30 - 2012-10-06,34
2012-10-07 - 2012-10-13,33
2012-10-14 - 2012-10-20,32
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,32
2012-11-04 - 2012-11-10,32
2012-11-11 - 2012-11-17,37
2012-11-18 - 2012-11-24,32
2012-11-25 - 2012-12-01,37
2012-12-02 - 2012-12-08,33
2012-12-09 - 2012-12-15,31
2012-12-16 - 2012-12-22,28
2012-12-23 - 2012-12-29,24
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,33
2013-01-20 - 2013-01-26,34
2013-01-27 - 2013-02-02,35
2013-02-03 - 2013-02-09,35
2013-02-10 - 2013-02-16,34
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,35
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,37
2013-03-17 - 2013-03-23,36
2013-03-24 - 2013-03-30,35
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,37
2013-04-14 - 2013-04-20,36
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,34
2013-05-05 - 2013-05-11,37
2013-05-12 - 2013-05-18,36
2013-05-19 - 2013-05-25,34
2013-05-26 - 2013-06-01,34
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,34
2013-06-16 - 2013-06-22,33
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,32
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,32
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,31
2013-08-18 - 2013-08-24,34
2013-08-25 - 2013-08-31,33
2013-09-01 - 2013-09-07,33
2013-09-08 - 2013-09-14,34
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,35
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,38
2013-10-13 - 2013-10-19,36
2013-10-20 - 2013-10-26,36
2013-10-27 - 2013-11-02,35
2013-11-03 - 2013-11-09,38
2013-11-10 - 2013-11-16,36
2013-11-17 - 2013-11-23,40
2013-11-24 - 2013-11-30,34
2013-12-01 - 2013-12-07,35
2013-12-08 - 2013-12-14,35
2013-12-15 - 2013-12-21,33
2013-12-22 - 2013-12-28,28
2013-12-29 - 2014-01-04,32
2014-01-05 - 2014-01-11,36
2014-01-12 - 2014-01-18,37
2014-01-19 - 2014-01-25,37
2014-01-26 - 2014-02-01,37
2014-02-02 - 2014-02-08,38
2014-02-09 - 2014-02-15,36
2014-02-16 - 2014-02-22,38
2014-02-23 - 2014-03-01,100
2014-03-02 - 2014-03-08,41
2014-03-09 - 2014-03-15,38
2014-03-16 - 2014-03-22,39
2014-03-23 - 2014-03-29,39
2014-03-30 - 2014-04-05,38
2014-04-06 - 2014-04-12,39
2014-04-13 - 2014-04-19,37
2014-04-20 - 2014-04-26,38
2014-04-27 - 2014-05-03,39
2014-05-04 - 2014-05-10,40
2014-05-11 - 2014-05-17,40
2014-05-18 - 2014-05-24,39
2014-05-25 - 2014-05-31,36
2014-06-01 - 2014-06-07,38
2014-06-08 - 2014-06-14,35
2014-06-15 - 2014-06-21,37
2014-06-22 - 2014-06-28,36
2014-06-29 - 2014-07-05,35
2014-07-06 - 2014-07-12,36
2014-07-13 - 2014-07-19,35
2014-07-20 - 2014-07-26,35
2014-07-27 - 2014-08-02,35
2014-08-03 - 2014-08-09,35
2014-08-10 - 2014-08-16,34
2014-08-17 - 2014-08-23,37
2014-08-24 - 2014-08-30,36
2014-08-31 - 2014-09-06,38
2014-09-07 - 2014-09-13,38
2014-09-14 - 2014-09-20,38
2014-09-21 - 2014-09-27,38
2014-09-28 - 2014-10-04,38
2014-10-05 - 2014-10-11,39
2014-10-12 - 2014-10-18,40
2014-10-19 - 2014-10-25,39
2014-10-26 - 2014-11-01,39
2014-11-02 - 2014-11-08,40
2014-11-09 - 2014-11-15,43
2014-11-16 - 2014-11-22,41
2014-11-23 - 2014-11-29,36
2014-11-30 - 2014-12-06,39
2014-12-07 - 2014-12-13,38
2014-12-14 - 2014-12-20,35
2014-12-21 - 2014-12-27,28
2014-12-28 - 2015-01-03,31
2015-01-04 - 2015-01-10,37
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,41
2015-01-25 - 2015-01-31,41
2015-02-01 - 2015-02-07,41
2015-02-08 - 2015-02-14,41
2015-02-15 - 2015-02-21,40
2015-02-22 - 2015-02-28,41
2015-03-01 - 2015-03-07,41
2015-03-08 - 2015-03-14,41
2015-03-15 - 2015-03-21,42
2015-03-22 - 2015-03-28,41
2015-03-29 - 2015-04-04,38
2015-04-05 - 2015-04-11,41
2015-04-12 - 2015-04-18,42
2015-04-19 - 2015-04-25,44
2015-04-26 - 2015-05-02,41
2015-05-03 - 2015-05-09,41
2015-05-10 - 2015-05-16,42
2015-05-17 - 2015-05-23,41
2015-05-24 - 2015-05-30,39
2015-05-31 - 2015-06-06,39
2015-06-07 - 2015-06-13,40
2015-06-14 - 2015-06-20,38
2015-06-21 - 2015-06-27,36
2015-06-28 - 2015-07-04,35
2015-07-05 - 2015-07-11,38
2015-07-12 - 2015-07-18,38
2015-07-19 - 2015-07-25,38
2015-07-26 - 2015-08-01,37
2015-08-02 - 2015-08-08,35
2015-08-09 - 2015-08-15,36
2015-08-16 - 2015-08-22,36
2015-08-23 - 2015-08-29,37
2015-08-30 - 2015-09-05,37
2015-09-06 - 2015-09-12,46
2015-09-13 - 2015-09-19,39
2015-09-20 - 2015-09-26,40
2015-09-27 - 2015-10-03,39
2015-10-04 - 2015-10-10,46
2015-10-11 - 2015-10-17,43
2015-10-18 - 2015-10-24,41
2015-10-25 - 2015-10-31,42
2015-11-01 - 2015-11-07,41
2015-11-08 - 2015-11-14,42
2015-11-15 - 2015-11-21,41
2015-11-22 - 2015-11-28,38
2015-11-29 - 2015-12-05,40
2015-12-06 - 2015-12-12,40
2015-12-13 - 2015-12-19,38
2015-12-20 - 2015-12-26,32
2015-12-27 - 2016-01-02,34
2016-01-03 - 2016-01-09,41
2016-01-10 - 2016-01-16,42
2016-01-17 - 2016-01-23,45
2016-01-24 - 2016-01-30,46
2016-01-31 - 2016-02-06,43
2016-02-07 - 2016-02-13,43
2016-02-14 - 2016-02-20,42
2016-02-21 - 2016-02-27,46
2016-02-28 - 2016-03-05,45
2016-03-06 - 2016-03-12,45
2016-03-13 - 2016-03-19,44
2016-03-20 - 2016-03-26,42
2016-03-27 - 2016-04-02,43
2016-04-03 - 2016-04-09,44
2016-04-10 - 2016-04-16,46
2016-04-17 - 2016-04-23,46
2016-04-24 - 2016-04-30,44
2016-05-01 - 2016-05-07,42
2016-05-08 - 2016-05-14,44
2016-05-15 - 2016-05-21,44
2016-05-22 - 2016-05-28,44
2016-05-29 - 2016-06-04,42
2016-06-05 - 2016-06-11,42
2016-06-12 - 2016-06-18,41
2016-06-19 - 2016-06-25,39
2016-06-26 - 2016-07-02,40
2016-07-03 - 2016-07-09,34


Top regions for Autoimmune disease
Region,Autoimmune disease
Hungary,100
United States,81
Australia,70
Italy,69
Germany,58
New Zealand,56
Canada,55
Austria,54
Croatia,53
Uruguay,50
Romania,50
Norway,49
Ireland,47
Netherlands,46
Switzerland,45
South Africa,42
United Kingdom,38
Israel,36
France,36
Chile,35
Finland,35
Belgium,35
Singapore,34
Greece,34
Serbia,32
Spain,31
Denmark,31
Algeria,29
Argentina,29
Colombia,26
Bulgaria,26
Ecuador,25
Mexico,24
South Korea,22
Philippines,22
Sweden,22
United Arab Emirates,22
Japan,21
Poland,21
Peru,19
India,18
Malaysia,17
Russia,17
Hong Kong,16
Venezuela,16
Taiwan,16
Pakistan,15
Morocco,15
Iran,14
China,14
Thailand,13
Egypt,13
Ukraine,13
Saudi Arabia,9
Portugal,8
Indonesia,6
Brazil,2
Turkey,2


Top cities for Autoimmune disease
City,Autoimmune disease
Budapest (Hungary),100
Seattle (United States),81
Melbourne (Australia),75
Sydney (Australia),75
Rome (Italy),70
Milan (Italy),69
Washington (United States),68
Chicago (United States),67
Atlanta (United States),67
Dallas (United States),66
San Francisco (United States),64
New York (United States),63
Houston (United States),63
Los Angeles (United States),58
Munich (Germany),58



Top searches for Autoimmune disease
autoimmune,100
autoimmune disease,40
auto immune,20
autoimmune diseases,15
autoimmune disorders,10
lupus,5
immune disease,5
autoinmune,5
autoimmunerkrankung,5
autoimmune disorder,5
what is autoimmune,5
autoimmun,5
auto immune disease,5
enfermedades autoinmunes,5
maladie auto immune,5
autoimmune disease symptoms,5
malattie autoimmuni,5
autoimmune arthritis,5
autoimmune diet,5
immune diseases,5
auto-immune,0
autoimmune system,0
自己免疫疾患,0
enfermedad autoinmune,0
autoimmune paleo,0
auto immune diseases,0
immune system,0
autoimmunerkrankungen,0
autoimmune diseases list,0
vasculitis,0
hashimoto,0
auto immuunziekte,0
autoimmunkrankheit,0
immune disorders,0
autoimmune disease list,0
tiroidite autoimmune,0
malattia autoimmune,0
autoimmune definition,0
thyroid autoimmune disease,0
autoimmune vasculitis,0
lupus symptoms,0
autoimmune deficiency,0
autoimmune hepatitis,0
autoinmunidad,0
autoimmun betegség,0
autoimmune liver disease,0
autoimmune protocol,0
аутоиммунные заболевания,0
auto immune disorders,0
auto immune disorder,0



Rising searches for Autoimmune disease
autoimmune diet,+350%
maladie auto immune,+350%
what is autoimmune,+250%
autoimmune disease symptoms,+200%
autoimmune disease,+130%
enfermedad autoinmune,+130%
autoimmunerkrankung,+120%
autoimmune disorder,+80%
autoimmune,+60%
malattie autoimmuni,+50%



