Web Search interest: knight
Worldwide 2004 - present

Interest over time
Week,knight
2011-03-27 - 2011-04-02,14
2011-04-03 - 2011-04-09,15
2011-04-10 - 2011-04-16,15
2011-04-17 - 2011-04-23,15
2011-04-24 - 2011-04-30,15
2011-05-01 - 2011-05-07,14
2011-05-08 - 2011-05-14,13
2011-05-15 - 2011-05-21,15
2011-05-22 - 2011-05-28,16
2011-05-29 - 2011-06-04,15
2011-06-05 - 2011-06-11,15
2011-06-12 - 2011-06-18,16
2011-06-19 - 2011-06-25,16
2011-06-26 - 2011-07-02,15
2011-07-03 - 2011-07-09,16
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,28
2011-07-24 - 2011-07-30,18
2011-07-31 - 2011-08-06,19
2011-08-07 - 2011-08-13,18
2011-08-14 - 2011-08-20,17
2011-08-21 - 2011-08-27,15
2011-08-28 - 2011-09-03,15
2011-09-04 - 2011-09-10,14
2011-09-11 - 2011-09-17,14
2011-09-18 - 2011-09-24,14
2011-09-25 - 2011-10-01,15
2011-10-02 - 2011-10-08,14
2011-10-09 - 2011-10-15,15
2011-10-16 - 2011-10-22,15
2011-10-23 - 2011-10-29,15
2011-10-30 - 2011-11-05,17
2011-11-06 - 2011-11-12,15
2011-11-13 - 2011-11-19,14
2011-11-20 - 2011-11-26,14
2011-11-27 - 2011-12-03,15
2011-12-04 - 2011-12-10,15
2011-12-11 - 2011-12-17,22
2011-12-18 - 2011-12-24,30
2011-12-25 - 2011-12-31,19
2012-01-01 - 2012-01-07,18
2012-01-08 - 2012-01-14,16
2012-01-15 - 2012-01-21,15
2012-01-22 - 2012-01-28,16
2012-01-29 - 2012-02-04,15
2012-02-05 - 2012-02-11,15
2012-02-12 - 2012-02-18,14
2012-02-19 - 2012-02-25,15
2012-02-26 - 2012-03-03,14
2012-03-04 - 2012-03-10,14
2012-03-11 - 2012-03-17,14
2012-03-18 - 2012-03-24,16
2012-03-25 - 2012-03-31,15
2012-04-01 - 2012-04-07,16
2012-04-08 - 2012-04-14,15
2012-04-15 - 2012-04-21,15
2012-04-22 - 2012-04-28,17
2012-04-29 - 2012-05-05,23
2012-05-06 - 2012-05-12,23
2012-05-13 - 2012-05-19,16
2012-05-20 - 2012-05-26,17
2012-05-27 - 2012-06-02,17
2012-06-03 - 2012-06-09,19
2012-06-10 - 2012-06-16,19
2012-06-17 - 2012-06-23,20
2012-06-24 - 2012-06-30,19
2012-07-01 - 2012-07-07,23
2012-07-08 - 2012-07-14,32
2012-07-15 - 2012-07-21,100
2012-07-22 - 2012-07-28,99
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,40
2012-08-12 - 2012-08-18,32
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,25
2012-09-02 - 2012-09-08,22
2012-09-09 - 2012-09-15,20
2012-09-16 - 2012-09-22,20
2012-09-23 - 2012-09-29,20
2012-09-30 - 2012-10-06,19
2012-10-07 - 2012-10-13,18
2012-10-14 - 2012-10-20,18
2012-10-21 - 2012-10-27,18
2012-10-28 - 2012-11-03,18
2012-11-04 - 2012-11-10,16
2012-11-11 - 2012-11-17,19
2012-11-18 - 2012-11-24,21
2012-11-25 - 2012-12-01,21
2012-12-02 - 2012-12-08,25
2012-12-09 - 2012-12-15,21
2012-12-16 - 2012-12-22,19
2012-12-23 - 2012-12-29,23
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,16
2013-01-13 - 2013-01-19,16
2013-01-20 - 2013-01-26,15
2013-01-27 - 2013-02-02,15
2013-02-03 - 2013-02-09,14
2013-02-10 - 2013-02-16,14
2013-02-17 - 2013-02-23,14
2013-02-24 - 2013-03-02,13
2013-03-03 - 2013-03-09,13
2013-03-10 - 2013-03-16,16
2013-03-17 - 2013-03-23,14
2013-03-24 - 2013-03-30,13
2013-03-31 - 2013-04-06,13
2013-04-07 - 2013-04-13,13
2013-04-14 - 2013-04-20,13
2013-04-21 - 2013-04-27,13
2013-04-28 - 2013-05-04,12
2013-05-05 - 2013-05-11,18
2013-05-12 - 2013-05-18,15
2013-05-19 - 2013-05-25,13
2013-05-26 - 2013-06-01,13
2013-06-02 - 2013-06-08,12
2013-06-09 - 2013-06-15,13
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,14
2013-06-30 - 2013-07-06,14
2013-07-07 - 2013-07-13,14
2013-07-14 - 2013-07-20,14
2013-07-21 - 2013-07-27,14
2013-07-28 - 2013-08-03,15
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,13
2013-08-18 - 2013-08-24,14
2013-08-25 - 2013-08-31,13
2013-09-01 - 2013-09-07,12
2013-09-08 - 2013-09-14,12
2013-09-15 - 2013-09-21,12
2013-09-22 - 2013-09-28,12
2013-09-29 - 2013-10-05,12
2013-10-06 - 2013-10-12,12
2013-10-13 - 2013-10-19,12
2013-10-20 - 2013-10-26,12
2013-10-27 - 2013-11-02,12
2013-11-03 - 2013-11-09,13
2013-11-10 - 2013-11-16,12
2013-11-17 - 2013-11-23,12
2013-11-24 - 2013-11-30,11
2013-12-01 - 2013-12-07,11
2013-12-08 - 2013-12-14,11
2013-12-15 - 2013-12-21,11
2013-12-22 - 2013-12-28,12
2013-12-29 - 2014-01-04,14
2014-01-05 - 2014-01-11,12
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,11
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,11
2014-02-09 - 2014-02-15,12
2014-02-16 - 2014-02-22,12
2014-02-23 - 2014-03-01,12
2014-03-02 - 2014-03-08,18
2014-03-09 - 2014-03-15,15
2014-03-16 - 2014-03-22,15
2014-03-23 - 2014-03-29,14
2014-03-30 - 2014-04-05,14
2014-04-06 - 2014-04-12,13
2014-04-13 - 2014-04-19,14
2014-04-20 - 2014-04-26,14
2014-04-27 - 2014-05-03,15
2014-05-04 - 2014-05-10,15
2014-05-11 - 2014-05-17,15
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,14
2014-06-01 - 2014-06-07,15
2014-06-08 - 2014-06-14,14
2014-06-15 - 2014-06-21,13
2014-06-22 - 2014-06-28,14
2014-06-29 - 2014-07-05,14
2014-07-06 - 2014-07-12,15
2014-07-13 - 2014-07-19,14
2014-07-20 - 2014-07-26,15
2014-07-27 - 2014-08-02,15
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,14
2014-08-17 - 2014-08-23,14
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,14
2014-09-07 - 2014-09-13,13
2014-09-14 - 2014-09-20,13
2014-09-21 - 2014-09-27,13
2014-09-28 - 2014-10-04,14
2014-10-05 - 2014-10-11,15
2014-10-12 - 2014-10-18,14
2014-10-19 - 2014-10-25,14
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,13
2014-11-09 - 2014-11-15,13
2014-11-16 - 2014-11-22,14
2014-11-23 - 2014-11-29,16
2014-11-30 - 2014-12-06,15
2014-12-07 - 2014-12-13,14
2014-12-14 - 2014-12-20,14
2014-12-21 - 2014-12-27,14
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,14
2015-01-18 - 2015-01-24,14
2015-01-25 - 2015-01-31,19
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,14
2015-02-15 - 2015-02-21,15
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,16
2015-03-22 - 2015-03-28,15
2015-03-29 - 2015-04-04,14
2015-04-05 - 2015-04-11,15
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,16
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,14
2015-05-17 - 2015-05-23,14
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,40
2015-06-28 - 2015-07-04,33
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,24
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,20
2015-08-02 - 2015-08-08,19
2015-08-09 - 2015-08-15,19
2015-08-16 - 2015-08-22,21
2015-08-23 - 2015-08-29,20
2015-08-30 - 2015-09-05,19
2015-09-06 - 2015-09-12,18
2015-09-13 - 2015-09-19,17
2015-09-20 - 2015-09-26,17
2015-09-27 - 2015-10-03,16
2015-10-04 - 2015-10-10,15
2015-10-11 - 2015-10-17,15
2015-10-18 - 2015-10-24,15
2015-10-25 - 2015-10-31,17
2015-11-01 - 2015-11-07,15
2015-11-08 - 2015-11-14,14
2015-11-15 - 2015-11-21,14
2015-11-22 - 2015-11-28,14
2015-11-29 - 2015-12-05,14
2015-12-06 - 2015-12-12,14
2015-12-13 - 2015-12-19,14
2015-12-20 - 2015-12-26,17
2015-12-27 - 2016-01-02,19
2016-01-03 - 2016-01-09,17
2016-01-10 - 2016-01-16,16
2016-01-17 - 2016-01-23,16
2016-01-24 - 2016-01-30,17
2016-01-31 - 2016-02-06,15
2016-02-07 - 2016-02-13,16
2016-02-14 - 2016-02-20,14
2016-02-21 - 2016-02-27,14
2016-02-28 - 2016-03-05,15
2016-03-06 - 2016-03-12,14
2016-03-13 - 2016-03-19,14
2016-03-20 - 2016-03-26,16
2016-03-27 - 2016-04-02,17
2016-04-03 - 2016-04-09,16
2016-04-10 - 2016-04-16,16
2016-04-17 - 2016-04-23,15
2016-04-24 - 2016-04-30,16
2016-05-01 - 2016-05-07,15
2016-05-08 - 2016-05-14,14
2016-05-15 - 2016-05-21,14
2016-05-22 - 2016-05-28,14
2016-05-29 - 2016-06-04,14
2016-06-05 - 2016-06-11,14
2016-06-12 - 2016-06-18,13
2016-06-19 - 2016-06-25,14
2016-06-26 - 2016-07-02,14
2016-07-03 - 2016-07-09, 


Top regions for knight
Region,knight
Philippines,100
Turkey,92
United Kingdom,92
United States,90
Australia,85
Singapore,84
Canada,83
New Zealand,72
Ireland,66
Puerto Rico,63
Malaysia,51
Bangladesh,51
Hungary,50
India,50
Sweden,47
Pakistan,46
Norway,44
South Africa,44
Hong Kong,40
United Arab Emirates,39
Denmark,39
Thailand,38
Finland,37
Czech Republic,37
Indonesia,37
Greece,35
Netherlands,34
Croatia,34
Chile,34
Bolivia,33
Romania,32
Mexico,32
Poland,31
Austria,31
Germany,31
Belgium,31
Serbia,31
Bulgaria,31
Portugal,31
France,30
Slovakia,29
Peru,29
Switzerland,25
Vietnam,22
Argentina,22
Italy,22
Egypt,22
Israel,21
South Korea,20
Venezuela,19
Spain,19
Brazil,19
Saudi Arabia,15
Colombia,15
Iran,14
Russia,14
Taiwan,13
Ukraine,10
Japan,6
China,5


Top cities for knight
City,knight
Izmir (Turkey),100
Los Angeles (United States),96
Atlanta (United States),92
Chicago (United States),91
New York (United States),89
Singapore (Singapore),89
London (United Kingdom),88
Dallas (United States),86
Istanbul (Turkey),86
Ankara (Turkey),86
Washington (United States),86
Houston (United States),85
Toronto (Canada),85
Melbourne (Australia),82
Sydney (Australia),78



Top searches for knight
dark knight,100
the dark knight,55
dark knight rises,50
batman,40
knight online,25
arkham knight,25
batman dark knight,25
vampire knight,15
batman arkham knight,15
knight rider,15
death knight,10
black knight,10
suge knight,10
knight frank,10
dragon knight,5
jedi knight,5
white knight,5
knight and day,5
dark knight returns,5
sterling knight,5
joker,5
dark knight trailer,5
gladys knight,5
dark knight joker,5
the black knight,5
canvas knight,5
michelle knight,5
bane,5
micromax knight,5
batman returns,0
dark knight torrent,0
shovel knight,0
michael knight,0
first knight,0
wow death knight,0
battle knight,0
kolkata knight riders,0
micromax canvas knight,0
batman begins,0
jordan knight,0
christopher knight,0
batman 3,0
moon knight,0
mark knight,0
vampire knight guilty,0
white knight chronicles,0
knight fight,0
vampire knight manga,0
brandon knight,0
heath ledger,0



Rising searches for knight
arkham knight,Breakout
batman arkham knight,Breakout
dark knight rises,Breakout
vampire knight,Breakout
batman,+2,850%
knight and day,+2,850%
the dark knight,+2,650%
batman dark knight,+2,250%
dark knight,+950%
death knight,+550%



