Web Search interest: blood vessel
Worldwide 2004 - present

Interest over time
Week,blood vessel
2007-02-25 - 2007-03-03,49
2007-03-04 - 2007-03-10,61
2007-03-11 - 2007-03-17,55
2007-03-18 - 2007-03-24,51
2007-03-25 - 2007-03-31,65
2007-04-01 - 2007-04-07,53
2007-04-08 - 2007-04-14,53
2007-04-15 - 2007-04-21,60
2007-04-22 - 2007-04-28,59
2007-04-29 - 2007-05-05,60
2007-05-06 - 2007-05-12,58
2007-05-13 - 2007-05-19,64
2007-05-20 - 2007-05-26,50
2007-05-27 - 2007-06-02,55
2007-06-03 - 2007-06-09,52
2007-06-10 - 2007-06-16,53
2007-06-17 - 2007-06-23,54
2007-06-24 - 2007-06-30,54
2007-07-01 - 2007-07-07,51
2007-07-08 - 2007-07-14,51
2007-07-15 - 2007-07-21,46
2007-07-22 - 2007-07-28,53
2007-07-29 - 2007-08-04,53
2007-08-05 - 2007-08-11,46
2007-08-12 - 2007-08-18,51
2007-08-19 - 2007-08-25,53
2007-08-26 - 2007-09-01,46
2007-09-02 - 2007-09-08,46
2007-09-09 - 2007-09-15,57
2007-09-16 - 2007-09-22,76
2007-09-23 - 2007-09-29,64
2007-09-30 - 2007-10-06,59
2007-10-07 - 2007-10-13,49
2007-10-14 - 2007-10-20,46
2007-10-21 - 2007-10-27,60
2007-10-28 - 2007-11-03,59
2007-11-04 - 2007-11-10,54
2007-11-11 - 2007-11-17,54
2007-11-18 - 2007-11-24,49
2007-11-25 - 2007-12-01,61
2007-12-02 - 2007-12-08,60
2007-12-09 - 2007-12-15,57
2007-12-16 - 2007-12-22,44
2007-12-23 - 2007-12-29,40
2007-12-30 - 2008-01-05,52
2008-01-06 - 2008-01-12,51
2008-01-13 - 2008-01-19,59
2008-01-20 - 2008-01-26,50
2008-01-27 - 2008-02-02,54
2008-02-03 - 2008-02-09,58
2008-02-10 - 2008-02-16,58
2008-02-17 - 2008-02-23,62
2008-02-24 - 2008-03-01,63
2008-03-02 - 2008-03-08,63
2008-03-09 - 2008-03-15,63
2008-03-16 - 2008-03-22,59
2008-03-23 - 2008-03-29,57
2008-03-30 - 2008-04-05,68
2008-04-06 - 2008-04-12,59
2008-04-13 - 2008-04-19,67
2008-04-20 - 2008-04-26,61
2008-04-27 - 2008-05-03,63
2008-05-04 - 2008-05-10,65
2008-05-11 - 2008-05-17,61
2008-05-18 - 2008-05-24,54
2008-05-25 - 2008-05-31,51
2008-06-01 - 2008-06-07,56
2008-06-08 - 2008-06-14,52
2008-06-15 - 2008-06-21,50
2008-06-22 - 2008-06-28,56
2008-06-29 - 2008-07-05,57
2008-07-06 - 2008-07-12,52
2008-07-13 - 2008-07-19,49
2008-07-20 - 2008-07-26,55
2008-07-27 - 2008-08-02,59
2008-08-03 - 2008-08-09,46
2008-08-10 - 2008-08-16,50
2008-08-17 - 2008-08-23,51
2008-08-24 - 2008-08-30,45
2008-08-31 - 2008-09-06,44
2008-09-07 - 2008-09-13,61
2008-09-14 - 2008-09-20,55
2008-09-21 - 2008-09-27,57
2008-09-28 - 2008-10-04,53
2008-10-05 - 2008-10-11,62
2008-10-12 - 2008-10-18,55
2008-10-19 - 2008-10-25,62
2008-10-26 - 2008-11-01,54
2008-11-02 - 2008-11-08,58
2008-11-09 - 2008-11-15,62
2008-11-16 - 2008-11-22,59
2008-11-23 - 2008-11-29,52
2008-11-30 - 2008-12-06,62
2008-12-07 - 2008-12-13,55
2008-12-14 - 2008-12-20,47
2008-12-21 - 2008-12-27,38
2008-12-28 - 2009-01-03,44
2009-01-04 - 2009-01-10,53
2009-01-11 - 2009-01-17,51
2009-01-18 - 2009-01-24,52
2009-01-25 - 2009-01-31,62
2009-02-01 - 2009-02-07,57
2009-02-08 - 2009-02-14,59
2009-02-15 - 2009-02-21,65
2009-02-22 - 2009-02-28,61
2009-03-01 - 2009-03-07,60
2009-03-08 - 2009-03-14,62
2009-03-15 - 2009-03-21,64
2009-03-22 - 2009-03-28,65
2009-03-29 - 2009-04-04,61
2009-04-05 - 2009-04-11,63
2009-04-12 - 2009-04-18,62
2009-04-19 - 2009-04-25,67
2009-04-26 - 2009-05-02,62
2009-05-03 - 2009-05-09,68
2009-05-10 - 2009-05-16,63
2009-05-17 - 2009-05-23,63
2009-05-24 - 2009-05-30,63
2009-05-31 - 2009-06-06,62
2009-06-07 - 2009-06-13,56
2009-06-14 - 2009-06-20,54
2009-06-21 - 2009-06-27,55
2009-06-28 - 2009-07-04,52
2009-07-05 - 2009-07-11,54
2009-07-12 - 2009-07-18,48
2009-07-19 - 2009-07-25,60
2009-07-26 - 2009-08-01,50
2009-08-02 - 2009-08-08,49
2009-08-09 - 2009-08-15,56
2009-08-16 - 2009-08-22,53
2009-08-23 - 2009-08-29,53
2009-08-30 - 2009-09-05,48
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,57
2009-09-20 - 2009-09-26,67
2009-09-27 - 2009-10-03,60
2009-10-04 - 2009-10-10,68
2009-10-11 - 2009-10-17,60
2009-10-18 - 2009-10-24,59
2009-10-25 - 2009-10-31,60
2009-11-01 - 2009-11-07,67
2009-11-08 - 2009-11-14,68
2009-11-15 - 2009-11-21,64
2009-11-22 - 2009-11-28,57
2009-11-29 - 2009-12-05,61
2009-12-06 - 2009-12-12,56
2009-12-13 - 2009-12-19,58
2009-12-20 - 2009-12-26,41
2009-12-27 - 2010-01-02,45
2010-01-03 - 2010-01-09,52
2010-01-10 - 2010-01-16,55
2010-01-17 - 2010-01-23,55
2010-01-24 - 2010-01-30,62
2010-01-31 - 2010-02-06,64
2010-02-07 - 2010-02-13,63
2010-02-14 - 2010-02-20,61
2010-02-21 - 2010-02-27,70
2010-02-28 - 2010-03-06,66
2010-03-07 - 2010-03-13,67
2010-03-14 - 2010-03-20,63
2010-03-21 - 2010-03-27,72
2010-03-28 - 2010-04-03,66
2010-04-04 - 2010-04-10,67
2010-04-11 - 2010-04-17,65
2010-04-18 - 2010-04-24,72
2010-04-25 - 2010-05-01,68
2010-05-02 - 2010-05-08,65
2010-05-09 - 2010-05-15,66
2010-05-16 - 2010-05-22,64
2010-05-23 - 2010-05-29,62
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,61
2010-06-13 - 2010-06-19,51
2010-06-20 - 2010-06-26,55
2010-06-27 - 2010-07-03,56
2010-07-04 - 2010-07-10,59
2010-07-11 - 2010-07-17,56
2010-07-18 - 2010-07-24,67
2010-07-25 - 2010-07-31,59
2010-08-01 - 2010-08-07,56
2010-08-08 - 2010-08-14,54
2010-08-15 - 2010-08-21,60
2010-08-22 - 2010-08-28,60
2010-08-29 - 2010-09-04,53
2010-09-05 - 2010-09-11,57
2010-09-12 - 2010-09-18,66
2010-09-19 - 2010-09-25,59
2010-09-26 - 2010-10-02,65
2010-10-03 - 2010-10-09,62
2010-10-10 - 2010-10-16,61
2010-10-17 - 2010-10-23,66
2010-10-24 - 2010-10-30,66
2010-10-31 - 2010-11-06,66
2010-11-07 - 2010-11-13,66
2010-11-14 - 2010-11-20,73
2010-11-21 - 2010-11-27,57
2010-11-28 - 2010-12-04,61
2010-12-05 - 2010-12-11,67
2010-12-12 - 2010-12-18,64
2010-12-19 - 2010-12-25,47
2010-12-26 - 2011-01-01,49
2011-01-02 - 2011-01-08,60
2011-01-09 - 2011-01-15,60
2011-01-16 - 2011-01-22,61
2011-01-23 - 2011-01-29,69
2011-01-30 - 2011-02-05,64
2011-02-06 - 2011-02-12,78
2011-02-13 - 2011-02-19,73
2011-02-20 - 2011-02-26,70
2011-02-27 - 2011-03-05,76
2011-03-06 - 2011-03-12,71
2011-03-13 - 2011-03-19,72
2011-03-20 - 2011-03-26,71
2011-03-27 - 2011-04-02,72
2011-04-03 - 2011-04-09,77
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,73
2011-04-24 - 2011-04-30,74
2011-05-01 - 2011-05-07,75
2011-05-08 - 2011-05-14,75
2011-05-15 - 2011-05-21,75
2011-05-22 - 2011-05-28,74
2011-05-29 - 2011-06-04,68
2011-06-05 - 2011-06-11,67
2011-06-12 - 2011-06-18,69
2011-06-19 - 2011-06-25,65
2011-06-26 - 2011-07-02,65
2011-07-03 - 2011-07-09,64
2011-07-10 - 2011-07-16,65
2011-07-17 - 2011-07-23,62
2011-07-24 - 2011-07-30,65
2011-07-31 - 2011-08-06,60
2011-08-07 - 2011-08-13,59
2011-08-14 - 2011-08-20,56
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,59
2011-09-04 - 2011-09-10,62
2011-09-11 - 2011-09-17,70
2011-09-18 - 2011-09-24,66
2011-09-25 - 2011-10-01,78
2011-10-02 - 2011-10-08,71
2011-10-09 - 2011-10-15,73
2011-10-16 - 2011-10-22,69
2011-10-23 - 2011-10-29,68
2011-10-30 - 2011-11-05,73
2011-11-06 - 2011-11-12,74
2011-11-13 - 2011-11-19,76
2011-11-20 - 2011-11-26,61
2011-11-27 - 2011-12-03,71
2011-12-04 - 2011-12-10,70
2011-12-11 - 2011-12-17,64
2011-12-18 - 2011-12-24,52
2011-12-25 - 2011-12-31,49
2012-01-01 - 2012-01-07,61
2012-01-08 - 2012-01-14,64
2012-01-15 - 2012-01-21,67
2012-01-22 - 2012-01-28,70
2012-01-29 - 2012-02-04,74
2012-02-05 - 2012-02-11,73
2012-02-12 - 2012-02-18,80
2012-02-19 - 2012-02-25,78
2012-02-26 - 2012-03-03,81
2012-03-04 - 2012-03-10,82
2012-03-11 - 2012-03-17,78
2012-03-18 - 2012-03-24,77
2012-03-25 - 2012-03-31,78
2012-04-01 - 2012-04-07,75
2012-04-08 - 2012-04-14,76
2012-04-15 - 2012-04-21,85
2012-04-22 - 2012-04-28,82
2012-04-29 - 2012-05-05,84
2012-05-06 - 2012-05-12,79
2012-05-13 - 2012-05-19,78
2012-05-20 - 2012-05-26,74
2012-05-27 - 2012-06-02,67
2012-06-03 - 2012-06-09,69
2012-06-10 - 2012-06-16,65
2012-06-17 - 2012-06-23,67
2012-06-24 - 2012-06-30,68
2012-07-01 - 2012-07-07,58
2012-07-08 - 2012-07-14,63
2012-07-15 - 2012-07-21,67
2012-07-22 - 2012-07-28,70
2012-07-29 - 2012-08-04,62
2012-08-05 - 2012-08-11,63
2012-08-12 - 2012-08-18,60
2012-08-19 - 2012-08-25,62
2012-08-26 - 2012-09-01,65
2012-09-02 - 2012-09-08,66
2012-09-09 - 2012-09-15,72
2012-09-16 - 2012-09-22,73
2012-09-23 - 2012-09-29,78
2012-09-30 - 2012-10-06,81
2012-10-07 - 2012-10-13,77
2012-10-14 - 2012-10-20,79
2012-10-21 - 2012-10-27,81
2012-10-28 - 2012-11-03,71
2012-11-04 - 2012-11-10,73
2012-11-11 - 2012-11-17,78
2012-11-18 - 2012-11-24,67
2012-11-25 - 2012-12-01,75
2012-12-02 - 2012-12-08,74
2012-12-09 - 2012-12-15,73
2012-12-16 - 2012-12-22,59
2012-12-23 - 2012-12-29,49
2012-12-30 - 2013-01-05,62
2013-01-06 - 2013-01-12,66
2013-01-13 - 2013-01-19,72
2013-01-20 - 2013-01-26,72
2013-01-27 - 2013-02-02,79
2013-02-03 - 2013-02-09,78
2013-02-10 - 2013-02-16,84
2013-02-17 - 2013-02-23,79
2013-02-24 - 2013-03-02,91
2013-03-03 - 2013-03-09,82
2013-03-10 - 2013-03-16,80
2013-03-17 - 2013-03-23,82
2013-03-24 - 2013-03-30,74
2013-03-31 - 2013-04-06,73
2013-04-07 - 2013-04-13,83
2013-04-14 - 2013-04-20,86
2013-04-21 - 2013-04-27,85
2013-04-28 - 2013-05-04,84
2013-05-05 - 2013-05-11,81
2013-05-12 - 2013-05-18,78
2013-05-19 - 2013-05-25,76
2013-05-26 - 2013-06-01,69
2013-06-02 - 2013-06-08,71
2013-06-09 - 2013-06-15,69
2013-06-16 - 2013-06-22,70
2013-06-23 - 2013-06-29,68
2013-06-30 - 2013-07-06,69
2013-07-07 - 2013-07-13,69
2013-07-14 - 2013-07-20,67
2013-07-21 - 2013-07-27,65
2013-07-28 - 2013-08-03,62
2013-08-04 - 2013-08-10,62
2013-08-11 - 2013-08-17,62
2013-08-18 - 2013-08-24,64
2013-08-25 - 2013-08-31,61
2013-09-01 - 2013-09-07,66
2013-09-08 - 2013-09-14,69
2013-09-15 - 2013-09-21,73
2013-09-22 - 2013-09-28,72
2013-09-29 - 2013-10-05,75
2013-10-06 - 2013-10-12,79
2013-10-13 - 2013-10-19,75
2013-10-20 - 2013-10-26,79
2013-10-27 - 2013-11-02,78
2013-11-03 - 2013-11-09,84
2013-11-10 - 2013-11-16,81
2013-11-17 - 2013-11-23,78
2013-11-24 - 2013-11-30,67
2013-12-01 - 2013-12-07,70
2013-12-08 - 2013-12-14,69
2013-12-15 - 2013-12-21,64
2013-12-22 - 2013-12-28,49
2013-12-29 - 2014-01-04,64
2014-01-05 - 2014-01-11,65
2014-01-12 - 2014-01-18,67
2014-01-19 - 2014-01-25,70
2014-01-26 - 2014-02-01,79
2014-02-02 - 2014-02-08,77
2014-02-09 - 2014-02-15,81
2014-02-16 - 2014-02-22,82
2014-02-23 - 2014-03-01,96
2014-03-02 - 2014-03-08,91
2014-03-09 - 2014-03-15,89
2014-03-16 - 2014-03-22,84
2014-03-23 - 2014-03-29,83
2014-03-30 - 2014-04-05,88
2014-04-06 - 2014-04-12,91
2014-04-13 - 2014-04-19,87
2014-04-20 - 2014-04-26,85
2014-04-27 - 2014-05-03,84
2014-05-04 - 2014-05-10,89
2014-05-11 - 2014-05-17,83
2014-05-18 - 2014-05-24,76
2014-05-25 - 2014-05-31,75
2014-06-01 - 2014-06-07,80
2014-06-08 - 2014-06-14,75
2014-06-15 - 2014-06-21,73
2014-06-22 - 2014-06-28,67
2014-06-29 - 2014-07-05,65
2014-07-06 - 2014-07-12,68
2014-07-13 - 2014-07-19,65
2014-07-20 - 2014-07-26,65
2014-07-27 - 2014-08-02,65
2014-08-03 - 2014-08-09,65
2014-08-10 - 2014-08-16,64
2014-08-17 - 2014-08-23,63
2014-08-24 - 2014-08-30,64
2014-08-31 - 2014-09-06,64
2014-09-07 - 2014-09-13,69
2014-09-14 - 2014-09-20,77
2014-09-21 - 2014-09-27,78
2014-09-28 - 2014-10-04,83
2014-10-05 - 2014-10-11,75
2014-10-12 - 2014-10-18,78
2014-10-19 - 2014-10-25,81
2014-10-26 - 2014-11-01,79
2014-11-02 - 2014-11-08,85
2014-11-09 - 2014-11-15,78
2014-11-16 - 2014-11-22,79
2014-11-23 - 2014-11-29,66
2014-11-30 - 2014-12-06,75
2014-12-07 - 2014-12-13,79
2014-12-14 - 2014-12-20,69
2014-12-21 - 2014-12-27,56
2014-12-28 - 2015-01-03,63
2015-01-04 - 2015-01-10,70
2015-01-11 - 2015-01-17,73
2015-01-18 - 2015-01-24,78
2015-01-25 - 2015-01-31,87
2015-02-01 - 2015-02-07,88
2015-02-08 - 2015-02-14,93
2015-02-15 - 2015-02-21,88
2015-02-22 - 2015-02-28,91
2015-03-01 - 2015-03-07,92
2015-03-08 - 2015-03-14,91
2015-03-15 - 2015-03-21,87
2015-03-22 - 2015-03-28,89
2015-03-29 - 2015-04-04,84
2015-04-05 - 2015-04-11,85
2015-04-12 - 2015-04-18,89
2015-04-19 - 2015-04-25,89
2015-04-26 - 2015-05-02,89
2015-05-03 - 2015-05-09,85
2015-05-10 - 2015-05-16,82
2015-05-17 - 2015-05-23,77
2015-05-24 - 2015-05-30,76
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,79
2015-06-14 - 2015-06-20,76
2015-06-21 - 2015-06-27,69
2015-06-28 - 2015-07-04,71
2015-07-05 - 2015-07-11,67
2015-07-12 - 2015-07-18,71
2015-07-19 - 2015-07-25,72
2015-07-26 - 2015-08-01,69
2015-08-02 - 2015-08-08,71
2015-08-09 - 2015-08-15,62
2015-08-16 - 2015-08-22,67
2015-08-23 - 2015-08-29,68
2015-08-30 - 2015-09-05,68
2015-09-06 - 2015-09-12,71
2015-09-13 - 2015-09-19,76
2015-09-20 - 2015-09-26,77
2015-09-27 - 2015-10-03,80
2015-10-04 - 2015-10-10,82
2015-10-11 - 2015-10-17,83
2015-10-18 - 2015-10-24,79
2015-10-25 - 2015-10-31,80
2015-11-01 - 2015-11-07,84
2015-11-08 - 2015-11-14,85
2015-11-15 - 2015-11-21,78
2015-11-22 - 2015-11-28,72
2015-11-29 - 2015-12-05,78
2015-12-06 - 2015-12-12,77
2015-12-13 - 2015-12-19,73
2015-12-20 - 2015-12-26,56
2015-12-27 - 2016-01-02,64
2016-01-03 - 2016-01-09,73
2016-01-10 - 2016-01-16,76
2016-01-17 - 2016-01-23,81
2016-01-24 - 2016-01-30,86
2016-01-31 - 2016-02-06,86
2016-02-07 - 2016-02-13,90
2016-02-14 - 2016-02-20,92
2016-02-21 - 2016-02-27,96
2016-02-28 - 2016-03-05,93
2016-03-06 - 2016-03-12,91
2016-03-13 - 2016-03-19,88
2016-03-20 - 2016-03-26,87
2016-03-27 - 2016-04-02,86
2016-04-03 - 2016-04-09,95
2016-04-10 - 2016-04-16,100
2016-04-17 - 2016-04-23,97
2016-04-24 - 2016-04-30,92
2016-05-01 - 2016-05-07,92
2016-05-08 - 2016-05-14,86
2016-05-15 - 2016-05-21,85
2016-05-22 - 2016-05-28,82
2016-05-29 - 2016-06-04,73
2016-06-05 - 2016-06-11,76
2016-06-12 - 2016-06-18,75
2016-06-19 - 2016-06-25,76
2016-06-26 - 2016-07-02,74
2016-07-03 - 2016-07-09,76


Top regions for blood vessel
Region,blood vessel
United States,100
Singapore,75
Canada,73
Australia,72
United Kingdom,68
Philippines,66
Ireland,65
South Africa,52
Malaysia,38
South Korea,25
India,16
Thailand,7
Japan,3


Top cities for blood vessel
City,blood vessel
Atlanta (United States),100
Dallas (United States),98
Houston (United States),97
Chicago (United States),95
Washington (United States),88
Los Angeles (United States),87
New York (United States),84
Vancouver (Canada),0
Seattle (United States),0
San Francisco (United States),0
San Diego (United States),0
Austin (United States),0
San Antonio (United States),0
Philadelphia (United States),0
Boston (United States),0



Top searches for blood vessel
eye blood vessel,100
blood in eye,75
burst blood vessel,55
broken blood vessel,50
blood vessels,30
busted blood vessel,10
blood vessel disease,5
ruptured blood vessel,5
blood vessel structure,5
capillaries,5
blood vessel definition,5
broken blood vessels,5
largest blood vessel,5
major blood vessel,5
swollen blood vessel,5
blood vessel anatomy,5
blood vessel diagram,5
smallest blood vessel,5
blood vessel inflammation,5
blood vessel tumor,0
blood vessel layers,0
pulmonary artery,0
define blood vessel,0
blood vessel growth,0
blood vessel dilation,0
subconjunctival hemorrhage,0
dorsal blood vessel,0
blood vessel diseases,0



Rising searches for blood vessel
busted blood vessel,+250%
blood in eye,+200%
burst blood vessel,+120%
eye blood vessel,+110%
broken blood vessel,+60%
blood vessels,+50%



