Web Search interest: google scholar
Worldwide 2004 - present

Interest over time
Week,google scholar
2010-06-27 - 2010-07-03,32
2010-07-04 - 2010-07-10,31
2010-07-11 - 2010-07-17,31
2010-07-18 - 2010-07-24,31
2010-07-25 - 2010-07-31,31
2010-08-01 - 2010-08-07,31
2010-08-08 - 2010-08-14,31
2010-08-15 - 2010-08-21,32
2010-08-22 - 2010-08-28,32
2010-08-29 - 2010-09-04,34
2010-09-05 - 2010-09-11,37
2010-09-12 - 2010-09-18,42
2010-09-19 - 2010-09-25,45
2010-09-26 - 2010-10-02,48
2010-10-03 - 2010-10-09,52
2010-10-10 - 2010-10-16,54
2010-10-17 - 2010-10-23,55
2010-10-24 - 2010-10-30,55
2010-10-31 - 2010-11-06,56
2010-11-07 - 2010-11-13,58
2010-11-14 - 2010-11-20,59
2010-11-21 - 2010-11-27,54
2010-11-28 - 2010-12-04,57
2010-12-05 - 2010-12-11,52
2010-12-12 - 2010-12-18,42
2010-12-19 - 2010-12-25,26
2010-12-26 - 2011-01-01,24
2011-01-02 - 2011-01-08,35
2011-01-09 - 2011-01-15,39
2011-01-16 - 2011-01-22,41
2011-01-23 - 2011-01-29,42
2011-01-30 - 2011-02-05,45
2011-02-06 - 2011-02-12,48
2011-02-13 - 2011-02-19,50
2011-02-20 - 2011-02-26,49
2011-02-27 - 2011-03-05,53
2011-03-06 - 2011-03-12,52
2011-03-13 - 2011-03-19,50
2011-03-20 - 2011-03-26,55
2011-03-27 - 2011-04-02,54
2011-04-03 - 2011-04-09,55
2011-04-10 - 2011-04-16,53
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,48
2011-05-01 - 2011-05-07,48
2011-05-08 - 2011-05-14,45
2011-05-15 - 2011-05-21,41
2011-05-22 - 2011-05-28,39
2011-05-29 - 2011-06-04,37
2011-06-05 - 2011-06-11,35
2011-06-12 - 2011-06-18,33
2011-06-19 - 2011-06-25,31
2011-06-26 - 2011-07-02,30
2011-07-03 - 2011-07-09,29
2011-07-10 - 2011-07-16,31
2011-07-17 - 2011-07-23,31
2011-07-24 - 2011-07-30,30
2011-07-31 - 2011-08-06,30
2011-08-07 - 2011-08-13,30
2011-08-14 - 2011-08-20,30
2011-08-21 - 2011-08-27,31
2011-08-28 - 2011-09-03,31
2011-09-04 - 2011-09-10,36
2011-09-11 - 2011-09-17,41
2011-09-18 - 2011-09-24,43
2011-09-25 - 2011-10-01,46
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,50
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,52
2011-11-06 - 2011-11-12,53
2011-11-13 - 2011-11-19,56
2011-11-20 - 2011-11-26,48
2011-11-27 - 2011-12-03,54
2011-12-04 - 2011-12-10,50
2011-12-11 - 2011-12-17,40
2011-12-18 - 2011-12-24,27
2011-12-25 - 2011-12-31,22
2012-01-01 - 2012-01-07,29
2012-01-08 - 2012-01-14,36
2012-01-15 - 2012-01-21,39
2012-01-22 - 2012-01-28,40
2012-01-29 - 2012-02-04,43
2012-02-05 - 2012-02-11,46
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,56
2012-02-26 - 2012-03-03,60
2012-03-04 - 2012-03-10,61
2012-03-11 - 2012-03-17,59
2012-03-18 - 2012-03-24,63
2012-03-25 - 2012-03-31,64
2012-04-01 - 2012-04-07,59
2012-04-08 - 2012-04-14,59
2012-04-15 - 2012-04-21,63
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,57
2012-05-06 - 2012-05-12,52
2012-05-13 - 2012-05-19,49
2012-05-20 - 2012-05-26,46
2012-05-27 - 2012-06-02,42
2012-06-03 - 2012-06-09,40
2012-06-10 - 2012-06-16,39
2012-06-17 - 2012-06-23,37
2012-06-24 - 2012-06-30,36
2012-07-01 - 2012-07-07,34
2012-07-08 - 2012-07-14,36
2012-07-15 - 2012-07-21,36
2012-07-22 - 2012-07-28,36
2012-07-29 - 2012-08-04,34
2012-08-05 - 2012-08-11,35
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,37
2012-08-26 - 2012-09-01,40
2012-09-02 - 2012-09-08,43
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,54
2012-09-23 - 2012-09-29,58
2012-09-30 - 2012-10-06,60
2012-10-07 - 2012-10-13,63
2012-10-14 - 2012-10-20,64
2012-10-21 - 2012-10-27,64
2012-10-28 - 2012-11-03,63
2012-11-04 - 2012-11-10,65
2012-11-11 - 2012-11-17,67
2012-11-18 - 2012-11-24,60
2012-11-25 - 2012-12-01,67
2012-12-02 - 2012-12-08,63
2012-12-09 - 2012-12-15,54
2012-12-16 - 2012-12-22,39
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,32
2013-01-06 - 2013-01-12,44
2013-01-13 - 2013-01-19,46
2013-01-20 - 2013-01-26,48
2013-01-27 - 2013-02-02,52
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,56
2013-02-17 - 2013-02-23,60
2013-02-24 - 2013-03-02,64
2013-03-03 - 2013-03-09,65
2013-03-10 - 2013-03-16,64
2013-03-17 - 2013-03-23,67
2013-03-24 - 2013-03-30,62
2013-03-31 - 2013-04-06,63
2013-04-07 - 2013-04-13,68
2013-04-14 - 2013-04-20,69
2013-04-21 - 2013-04-27,69
2013-04-28 - 2013-05-04,65
2013-05-05 - 2013-05-11,58
2013-05-12 - 2013-05-18,54
2013-05-19 - 2013-05-25,48
2013-05-26 - 2013-06-01,45
2013-06-02 - 2013-06-08,45
2013-06-09 - 2013-06-15,43
2013-06-16 - 2013-06-22,41
2013-06-23 - 2013-06-29,39
2013-06-30 - 2013-07-06,37
2013-07-07 - 2013-07-13,38
2013-07-14 - 2013-07-20,39
2013-07-21 - 2013-07-27,39
2013-07-28 - 2013-08-03,38
2013-08-04 - 2013-08-10,37
2013-08-11 - 2013-08-17,38
2013-08-18 - 2013-08-24,41
2013-08-25 - 2013-08-31,42
2013-09-01 - 2013-09-07,46
2013-09-08 - 2013-09-14,53
2013-09-15 - 2013-09-21,59
2013-09-22 - 2013-09-28,64
2013-09-29 - 2013-10-05,71
2013-10-06 - 2013-10-12,76
2013-10-13 - 2013-10-19,75
2013-10-20 - 2013-10-26,78
2013-10-27 - 2013-11-02,77
2013-11-03 - 2013-11-09,80
2013-11-10 - 2013-11-16,82
2013-11-17 - 2013-11-23,83
2013-11-24 - 2013-11-30,71
2013-12-01 - 2013-12-07,78
2013-12-08 - 2013-12-14,67
2013-12-15 - 2013-12-21,48
2013-12-22 - 2013-12-28,30
2013-12-29 - 2014-01-04,36
2014-01-05 - 2014-01-11,50
2014-01-12 - 2014-01-18,54
2014-01-19 - 2014-01-25,56
2014-01-26 - 2014-02-01,60
2014-02-02 - 2014-02-08,64
2014-02-09 - 2014-02-15,68
2014-02-16 - 2014-02-22,71
2014-02-23 - 2014-03-01,77
2014-03-02 - 2014-03-08,77
2014-03-09 - 2014-03-15,80
2014-03-16 - 2014-03-22,80
2014-03-23 - 2014-03-29,81
2014-03-30 - 2014-04-05,81
2014-04-06 - 2014-04-12,80
2014-04-13 - 2014-04-19,77
2014-04-20 - 2014-04-26,76
2014-04-27 - 2014-05-03,76
2014-05-04 - 2014-05-10,71
2014-05-11 - 2014-05-17,65
2014-05-18 - 2014-05-24,62
2014-05-25 - 2014-05-31,55
2014-06-01 - 2014-06-07,55
2014-06-08 - 2014-06-14,51
2014-06-15 - 2014-06-21,49
2014-06-22 - 2014-06-28,47
2014-06-29 - 2014-07-05,44
2014-07-06 - 2014-07-12,46
2014-07-13 - 2014-07-19,46
2014-07-20 - 2014-07-26,47
2014-07-27 - 2014-08-02,45
2014-08-03 - 2014-08-09,47
2014-08-10 - 2014-08-16,47
2014-08-17 - 2014-08-23,51
2014-08-24 - 2014-08-30,53
2014-08-31 - 2014-09-06,57
2014-09-07 - 2014-09-13,66
2014-09-14 - 2014-09-20,72
2014-09-21 - 2014-09-27,77
2014-09-28 - 2014-10-04,80
2014-10-05 - 2014-10-11,84
2014-10-12 - 2014-10-18,85
2014-10-19 - 2014-10-25,86
2014-10-26 - 2014-11-01,88
2014-11-02 - 2014-11-08,90
2014-11-09 - 2014-11-15,91
2014-11-16 - 2014-11-22,91
2014-11-23 - 2014-11-29,80
2014-11-30 - 2014-12-06,87
2014-12-07 - 2014-12-13,76
2014-12-14 - 2014-12-20,57
2014-12-21 - 2014-12-27,34
2014-12-28 - 2015-01-03,37
2015-01-04 - 2015-01-10,54
2015-01-11 - 2015-01-17,60
2015-01-18 - 2015-01-24,62
2015-01-25 - 2015-01-31,67
2015-02-01 - 2015-02-07,71
2015-02-08 - 2015-02-14,74
2015-02-15 - 2015-02-21,76
2015-02-22 - 2015-02-28,82
2015-03-01 - 2015-03-07,84
2015-03-08 - 2015-03-14,87
2015-03-15 - 2015-03-21,87
2015-03-22 - 2015-03-28,90
2015-03-29 - 2015-04-04,82
2015-04-05 - 2015-04-11,83
2015-04-12 - 2015-04-18,90
2015-04-19 - 2015-04-25,91
2015-04-26 - 2015-05-02,86
2015-05-03 - 2015-05-09,79
2015-05-10 - 2015-05-16,72
2015-05-17 - 2015-05-23,66
2015-05-24 - 2015-05-30,61
2015-05-31 - 2015-06-06,59
2015-06-07 - 2015-06-13,56
2015-06-14 - 2015-06-20,52
2015-06-21 - 2015-06-27,50
2015-06-28 - 2015-07-04,47
2015-07-05 - 2015-07-11,48
2015-07-12 - 2015-07-18,47
2015-07-19 - 2015-07-25,48
2015-07-26 - 2015-08-01,49
2015-08-02 - 2015-08-08,49
2015-08-09 - 2015-08-15,51
2015-08-16 - 2015-08-22,53
2015-08-23 - 2015-08-29,55
2015-08-30 - 2015-09-05,59
2015-09-06 - 2015-09-12,65
2015-09-13 - 2015-09-19,73
2015-09-20 - 2015-09-26,76
2015-09-27 - 2015-10-03,82
2015-10-04 - 2015-10-10,90
2015-10-11 - 2015-10-17,89
2015-10-18 - 2015-10-24,91
2015-10-25 - 2015-10-31,92
2015-11-01 - 2015-11-07,92
2015-11-08 - 2015-11-14,93
2015-11-15 - 2015-11-21,96
2015-11-22 - 2015-11-28,85
2015-11-29 - 2015-12-05,94
2015-12-06 - 2015-12-12,87
2015-12-13 - 2015-12-19,70
2015-12-20 - 2015-12-26,46
2015-12-27 - 2016-01-02,46
2016-01-03 - 2016-01-09,65
2016-01-10 - 2016-01-16,66
2016-01-17 - 2016-01-23,70
2016-01-24 - 2016-01-30,74
2016-01-31 - 2016-02-06,81
2016-02-07 - 2016-02-13,82
2016-02-14 - 2016-02-20,85
2016-02-21 - 2016-02-27,90
2016-02-28 - 2016-03-05,95
2016-03-06 - 2016-03-12,95
2016-03-13 - 2016-03-19,94
2016-03-20 - 2016-03-26,88
2016-03-27 - 2016-04-02,92
2016-04-03 - 2016-04-09,96
2016-04-10 - 2016-04-16,100
2016-04-17 - 2016-04-23,98
2016-04-24 - 2016-04-30,94
2016-05-01 - 2016-05-07,88
2016-05-08 - 2016-05-14,83
2016-05-15 - 2016-05-21,77
2016-05-22 - 2016-05-28,73
2016-05-29 - 2016-06-04,69
2016-06-05 - 2016-06-11,64
2016-06-12 - 2016-06-18,61
2016-06-19 - 2016-06-25,57
2016-06-26 - 2016-07-02,55
2016-07-03 - 2016-07-09, 


Top regions for google scholar
Region,google scholar
Zimbabwe,100
Ghana,74
South Africa,63
Australia,54
Kenya,51
New Zealand,49
Malaysia,49
Ireland,38
Hong Kong,37
United Kingdom,36
Iran,36
Pakistan,34
Singapore,34
Canada,33
United States,26
Israel,26
Sri Lanka,25
Nigeria,23
Netherlands,21
Belgium,19
Norway,19
Bangladesh,19
Tunisia,18
India,18
Switzerland,18
Indonesia,16
Sweden,16
Finland,16
Greece,15
Philippines,14
Taiwan,14
Denmark,13
Austria,13
South Korea,11
Germany,11
Portugal,11
Algeria,9
France,9
United Arab Emirates,9
Italy,9
Egypt,8
Ecuador,8
Czech Republic,7
Japan,7
Morocco,7
Colombia,7
Spain,7
Chile,6
Mexico,6
China,6
Thailand,5
Poland,5
Saudi Arabia,5
Peru,5
Romania,5
Hungary,4
Turkey,3
Brazil,3
Argentina,3
Vietnam,2
Russia,1


Top cities for google scholar
City,google scholar
Brisbane (Australia),100
Melbourne (Australia),96
Sydney (Australia),93
Auckland (New Zealand),79
Manchester (United Kingdom),66
Montreal (Canada),64
Kuala Lumpur (Malaysia),62
Singapore (Singapore),62
Tehrān (Iran),61
Birmingham (United Kingdom),61
Dublin (Ireland),58
Toronto (Canada),48
Washington (United States),41
London (United Kingdom),40
Tel Aviv (Israel),39



Top searches for google scholar
google scholar journal,100
google scholar citation,55
pubmed,55
google books,55
google scholar search,45
google scholar citations,35
google scholar uk,30
google book,30
google advanced scholar,20
jstor,15
web of science,10
scopus,10
google scolar,10
googlescholar,5
science direct,5
researchgate,5
sciencedirect,5
google scholars,5
google schoolar,5
google sholar,5
ebscohost,5
refworks,5
goggle scholar,0



Rising searches for google scholar
google scholar citation,+1,300%
google scholar citations,+1,000%
google books,+600%
google book,+300%
pubmed,+250%
google scholar journal,+180%
google scholar uk,+120%



