Web Search interest: antimalarial+medication
Worldwide 2004 - present

Interest over time
Week,antimalarial+medication
2012-07-01 - 2012-07-07,66
2012-07-08 - 2012-07-14,71
2012-07-15 - 2012-07-21,74
2012-07-22 - 2012-07-28,72
2012-07-29 - 2012-08-04,73
2012-08-05 - 2012-08-11,72
2012-08-12 - 2012-08-18,73
2012-08-19 - 2012-08-25,75
2012-08-26 - 2012-09-01,72
2012-09-02 - 2012-09-08,71
2012-09-09 - 2012-09-15,75
2012-09-16 - 2012-09-22,76
2012-09-23 - 2012-09-29,76
2012-09-30 - 2012-10-06,74
2012-10-07 - 2012-10-13,73
2012-10-14 - 2012-10-20,73
2012-10-21 - 2012-10-27,74
2012-10-28 - 2012-11-03,69
2012-11-04 - 2012-11-10,69
2012-11-11 - 2012-11-17,72
2012-11-18 - 2012-11-24,62
2012-11-25 - 2012-12-01,73
2012-12-02 - 2012-12-08,71
2012-12-09 - 2012-12-15,68
2012-12-16 - 2012-12-22,62
2012-12-23 - 2012-12-29,55
2012-12-30 - 2013-01-05,64
2013-01-06 - 2013-01-12,72
2013-01-13 - 2013-01-19,72
2013-01-20 - 2013-01-26,73
2013-01-27 - 2013-02-02,72
2013-02-03 - 2013-02-09,72
2013-02-10 - 2013-02-16,70
2013-02-17 - 2013-02-23,72
2013-02-24 - 2013-03-02,72
2013-03-03 - 2013-03-09,73
2013-03-10 - 2013-03-16,72
2013-03-17 - 2013-03-23,73
2013-03-24 - 2013-03-30,71
2013-03-31 - 2013-04-06,71
2013-04-07 - 2013-04-13,75
2013-04-14 - 2013-04-20,74
2013-04-21 - 2013-04-27,75
2013-04-28 - 2013-05-04,75
2013-05-05 - 2013-05-11,73
2013-05-12 - 2013-05-18,72
2013-05-19 - 2013-05-25,70
2013-05-26 - 2013-06-01,67
2013-06-02 - 2013-06-08,69
2013-06-09 - 2013-06-15,68
2013-06-16 - 2013-06-22,69
2013-06-23 - 2013-06-29,68
2013-06-30 - 2013-07-06,65
2013-07-07 - 2013-07-13,70
2013-07-14 - 2013-07-20,71
2013-07-21 - 2013-07-27,72
2013-07-28 - 2013-08-03,70
2013-08-04 - 2013-08-10,71
2013-08-11 - 2013-08-17,71
2013-08-18 - 2013-08-24,72
2013-08-25 - 2013-08-31,71
2013-09-01 - 2013-09-07,69
2013-09-08 - 2013-09-14,74
2013-09-15 - 2013-09-21,74
2013-09-22 - 2013-09-28,73
2013-09-29 - 2013-10-05,73
2013-10-06 - 2013-10-12,72
2013-10-13 - 2013-10-19,72
2013-10-20 - 2013-10-26,74
2013-10-27 - 2013-11-02,72
2013-11-03 - 2013-11-09,73
2013-11-10 - 2013-11-16,73
2013-11-17 - 2013-11-23,73
2013-11-24 - 2013-11-30,61
2013-12-01 - 2013-12-07,69
2013-12-08 - 2013-12-14,66
2013-12-15 - 2013-12-21,63
2013-12-22 - 2013-12-28,54
2013-12-29 - 2014-01-04,62
2014-01-05 - 2014-01-11,71
2014-01-12 - 2014-01-18,74
2014-01-19 - 2014-01-25,73
2014-01-26 - 2014-02-01,74
2014-02-02 - 2014-02-08,72
2014-02-09 - 2014-02-15,70
2014-02-16 - 2014-02-22,73
2014-02-23 - 2014-03-01,78
2014-03-02 - 2014-03-08,74
2014-03-09 - 2014-03-15,75
2014-03-16 - 2014-03-22,75
2014-03-23 - 2014-03-29,75
2014-03-30 - 2014-04-05,76
2014-04-06 - 2014-04-12,75
2014-04-13 - 2014-04-19,75
2014-04-20 - 2014-04-26,75
2014-04-27 - 2014-05-03,75
2014-05-04 - 2014-05-10,74
2014-05-11 - 2014-05-17,73
2014-05-18 - 2014-05-24,71
2014-05-25 - 2014-05-31,68
2014-06-01 - 2014-06-07,71
2014-06-08 - 2014-06-14,70
2014-06-15 - 2014-06-21,72
2014-06-22 - 2014-06-28,71
2014-06-29 - 2014-07-05,65
2014-07-06 - 2014-07-12,71
2014-07-13 - 2014-07-19,72
2014-07-20 - 2014-07-26,73
2014-07-27 - 2014-08-02,72
2014-08-03 - 2014-08-09,72
2014-08-10 - 2014-08-16,73
2014-08-17 - 2014-08-23,74
2014-08-24 - 2014-08-30,72
2014-08-31 - 2014-09-06,70
2014-09-07 - 2014-09-13,75
2014-09-14 - 2014-09-20,76
2014-09-21 - 2014-09-27,75
2014-09-28 - 2014-10-04,77
2014-10-05 - 2014-10-11,80
2014-10-12 - 2014-10-18,76
2014-10-19 - 2014-10-25,75
2014-10-26 - 2014-11-01,76
2014-11-02 - 2014-11-08,79
2014-11-09 - 2014-11-15,76
2014-11-16 - 2014-11-22,75
2014-11-23 - 2014-11-29,64
2014-11-30 - 2014-12-06,74
2014-12-07 - 2014-12-13,73
2014-12-14 - 2014-12-20,67
2014-12-21 - 2014-12-27,56
2014-12-28 - 2015-01-03,65
2015-01-04 - 2015-01-10,73
2015-01-11 - 2015-01-17,75
2015-01-18 - 2015-01-24,74
2015-01-25 - 2015-01-31,76
2015-02-01 - 2015-02-07,75
2015-02-08 - 2015-02-14,76
2015-02-15 - 2015-02-21,76
2015-02-22 - 2015-02-28,79
2015-03-01 - 2015-03-07,77
2015-03-08 - 2015-03-14,79
2015-03-15 - 2015-03-21,78
2015-03-22 - 2015-03-28,79
2015-03-29 - 2015-04-04,78
2015-04-05 - 2015-04-11,78
2015-04-12 - 2015-04-18,80
2015-04-19 - 2015-04-25,79
2015-04-26 - 2015-05-02,79
2015-05-03 - 2015-05-09,78
2015-05-10 - 2015-05-16,78
2015-05-17 - 2015-05-23,76
2015-05-24 - 2015-05-30,73
2015-05-31 - 2015-06-06,77
2015-06-07 - 2015-06-13,76
2015-06-14 - 2015-06-20,76
2015-06-21 - 2015-06-27,76
2015-06-28 - 2015-07-04,73
2015-07-05 - 2015-07-11,77
2015-07-12 - 2015-07-18,79
2015-07-19 - 2015-07-25,79
2015-07-26 - 2015-08-01,79
2015-08-02 - 2015-08-08,77
2015-08-09 - 2015-08-15,78
2015-08-16 - 2015-08-22,79
2015-08-23 - 2015-08-29,79
2015-08-30 - 2015-09-05,78
2015-09-06 - 2015-09-12,79
2015-09-13 - 2015-09-19,83
2015-09-20 - 2015-09-26,88
2015-09-27 - 2015-10-03,83
2015-10-04 - 2015-10-10,85
2015-10-11 - 2015-10-17,83
2015-10-18 - 2015-10-24,84
2015-10-25 - 2015-10-31,83
2015-11-01 - 2015-11-07,83
2015-11-08 - 2015-11-14,80
2015-11-15 - 2015-11-21,81
2015-11-22 - 2015-11-28,68
2015-11-29 - 2015-12-05,80
2015-12-06 - 2015-12-12,79
2015-12-13 - 2015-12-19,77
2015-12-20 - 2015-12-26,65
2015-12-27 - 2016-01-02,71
2016-01-03 - 2016-01-09,82
2016-01-10 - 2016-01-16,82
2016-01-17 - 2016-01-23,85
2016-01-24 - 2016-01-30,88
2016-01-31 - 2016-02-06,86
2016-02-07 - 2016-02-13,87
2016-02-14 - 2016-02-20,85
2016-02-21 - 2016-02-27,88
2016-02-28 - 2016-03-05,88
2016-03-06 - 2016-03-12,90
2016-03-13 - 2016-03-19,87
2016-03-20 - 2016-03-26,85
2016-03-27 - 2016-04-02,86
2016-04-03 - 2016-04-09,88
2016-04-10 - 2016-04-16,91
2016-04-17 - 2016-04-23,91
2016-04-24 - 2016-04-30,91
2016-05-01 - 2016-05-07,86
2016-05-08 - 2016-05-14,84
2016-05-15 - 2016-05-21,85
2016-05-22 - 2016-05-28,84
2016-05-29 - 2016-06-04,82
2016-06-05 - 2016-06-11,84
2016-06-12 - 2016-06-18,81
2016-06-19 - 2016-06-25,83
2016-06-26 - 2016-07-02,68


Top regions for antimalarial+medication
Region,antimalarial+medication
South Africa,100
United States,88
Australia,76
Canada,66
Kenya,50
Philippines,49
New Zealand,49
Ireland,44
United Kingdom,41
Nigeria,37
Singapore,35
United Arab Emirates,24
Malaysia,23
India,14
Hong Kong,13
Pakistan,13
Saudi Arabia,12
Egypt,6
Netherlands,4
Indonesia,2
Germany,2
Spain,1
France,1
Japan,1


Top cities for antimalarial+medication
City,antimalarial+medication
Phoenix (United States),100
Orlando (United States),100
San Antonio (United States),99
Philadelphia (United States),97
Brisbane (Australia),92
Boston (United States),90
Dallas (United States),90
Miami (United States),89
Houston (United States),87
Austin (United States),86
Atlanta (United States),85
Washington (United States),82
Melbourne (Australia),82
San Diego (United States),81
Denver (United States),81



Top searches for antimalarial+medication
pain medication,100
anxiety medication,80
anxiety,80
medication side effects,70
blood pressure medication,65
blood pressure,65
medications,55
depression,45
depression medication,45
medication list,45
prescription medication,40
thyroid medication,35
thyroid,35
adhd,30
adhd medication,30
medication for anxiety,25
high blood pressure,25
acne medication,20
bipolar medication,20
allergy medication,20
diabetes medication,20
add medication,15
anti anxiety medication,15
medication for depression,15
cholesterol medication,15
nausea,15
sleep medication,15
nausea medication,15
migraine medication,15
weight loss medication,10
arthritis,10
arthritis medication,10
herpes medication,10
medication errors,10
asthma medication,10
medication for adhd,10
medication information,10
sinus medication,10
gout,10
gout medication,10
yeast infection medication,10
yeast infection,10
uti medication,10
tramadol,10
tramadol medication,10
medication error,10
flu medication,5
medication interactions,5
pet medication,5
best anxiety medication,5



Rising searches for antimalarial+medication
medication for anxiety,+200%
anxiety medication,+110%
anxiety,+100%
medication list,+100%
thyroid,+70%
thyroid medication,+70%
bipolar medication,+60%
blood pressure,+60%
blood pressure medication,+60%
adhd,+40%



