Web Search interest: surface+plasmon
Worldwide 2004 - present

Interest over time
Week,surface+plasmon
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,23
2011-11-13 - 2011-11-19,25
2011-11-20 - 2011-11-26,21
2011-11-27 - 2011-12-03,25
2011-12-04 - 2011-12-10,25
2011-12-11 - 2011-12-17,23
2011-12-18 - 2011-12-24,17
2011-12-25 - 2011-12-31,15
2012-01-01 - 2012-01-07,19
2012-01-08 - 2012-01-14,22
2012-01-15 - 2012-01-21,23
2012-01-22 - 2012-01-28,25
2012-01-29 - 2012-02-04,25
2012-02-05 - 2012-02-11,26
2012-02-12 - 2012-02-18,26
2012-02-19 - 2012-02-25,25
2012-02-26 - 2012-03-03,26
2012-03-04 - 2012-03-10,26
2012-03-11 - 2012-03-17,25
2012-03-18 - 2012-03-24,26
2012-03-25 - 2012-03-31,26
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,24
2012-04-15 - 2012-04-21,27
2012-04-22 - 2012-04-28,27
2012-04-29 - 2012-05-05,26
2012-05-06 - 2012-05-12,27
2012-05-13 - 2012-05-19,25
2012-05-20 - 2012-05-26,25
2012-05-27 - 2012-06-02,22
2012-06-03 - 2012-06-09,23
2012-06-10 - 2012-06-16,22
2012-06-17 - 2012-06-23,95
2012-06-24 - 2012-06-30,37
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,28
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,25
2012-07-29 - 2012-08-04,25
2012-08-05 - 2012-08-11,26
2012-08-12 - 2012-08-18,28
2012-08-19 - 2012-08-25,29
2012-08-26 - 2012-09-01,29
2012-09-02 - 2012-09-08,30
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,34
2012-09-23 - 2012-09-29,33
2012-09-30 - 2012-10-06,35
2012-10-07 - 2012-10-13,36
2012-10-14 - 2012-10-20,62
2012-10-21 - 2012-10-27,89
2012-10-28 - 2012-11-03,86
2012-11-04 - 2012-11-10,69
2012-11-11 - 2012-11-17,62
2012-11-18 - 2012-11-24,60
2012-11-25 - 2012-12-01,57
2012-12-02 - 2012-12-08,51
2012-12-09 - 2012-12-15,49
2012-12-16 - 2012-12-22,44
2012-12-23 - 2012-12-29,39
2012-12-30 - 2013-01-05,39
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,42
2013-01-20 - 2013-01-26,43
2013-01-27 - 2013-02-02,44
2013-02-03 - 2013-02-09,50
2013-02-10 - 2013-02-16,58
2013-02-17 - 2013-02-23,48
2013-02-24 - 2013-03-02,48
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,42
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,39
2013-04-07 - 2013-04-13,42
2013-04-14 - 2013-04-20,41
2013-04-21 - 2013-04-27,41
2013-04-28 - 2013-05-04,40
2013-05-05 - 2013-05-11,39
2013-05-12 - 2013-05-18,38
2013-05-19 - 2013-05-25,39
2013-05-26 - 2013-06-01,40
2013-06-02 - 2013-06-08,40
2013-06-09 - 2013-06-15,38
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,35
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,33
2013-07-14 - 2013-07-20,41
2013-07-21 - 2013-07-27,36
2013-07-28 - 2013-08-03,35
2013-08-04 - 2013-08-10,36
2013-08-11 - 2013-08-17,34
2013-08-18 - 2013-08-24,36
2013-08-25 - 2013-08-31,38
2013-09-01 - 2013-09-07,41
2013-09-08 - 2013-09-14,46
2013-09-15 - 2013-09-21,47
2013-09-22 - 2013-09-28,66
2013-09-29 - 2013-10-05,51
2013-10-06 - 2013-10-12,49
2013-10-13 - 2013-10-19,50
2013-10-20 - 2013-10-26,67
2013-10-27 - 2013-11-02,59
2013-11-03 - 2013-11-09,58
2013-11-10 - 2013-11-16,57
2013-11-17 - 2013-11-23,57
2013-11-24 - 2013-11-30,71
2013-12-01 - 2013-12-07,64
2013-12-08 - 2013-12-14,59
2013-12-15 - 2013-12-21,53
2013-12-22 - 2013-12-28,55
2013-12-29 - 2014-01-04,46
2014-01-05 - 2014-01-11,46
2014-01-12 - 2014-01-18,47
2014-01-19 - 2014-01-25,48
2014-01-26 - 2014-02-01,47
2014-02-02 - 2014-02-08,46
2014-02-09 - 2014-02-15,47
2014-02-16 - 2014-02-22,46
2014-02-23 - 2014-03-01,46
2014-03-02 - 2014-03-08,46
2014-03-09 - 2014-03-15,46
2014-03-16 - 2014-03-22,46
2014-03-23 - 2014-03-29,47
2014-03-30 - 2014-04-05,45
2014-04-06 - 2014-04-12,46
2014-04-13 - 2014-04-19,44
2014-04-20 - 2014-04-26,43
2014-04-27 - 2014-05-03,45
2014-05-04 - 2014-05-10,45
2014-05-11 - 2014-05-17,44
2014-05-18 - 2014-05-24,71
2014-05-25 - 2014-05-31,48
2014-06-01 - 2014-06-07,46
2014-06-08 - 2014-06-14,47
2014-06-15 - 2014-06-21,47
2014-06-22 - 2014-06-28,48
2014-06-29 - 2014-07-05,40
2014-07-06 - 2014-07-12,39
2014-07-13 - 2014-07-19,42
2014-07-20 - 2014-07-26,41
2014-07-27 - 2014-08-02,41
2014-08-03 - 2014-08-09,42
2014-08-10 - 2014-08-16,44
2014-08-17 - 2014-08-23,47
2014-08-24 - 2014-08-30,55
2014-08-31 - 2014-09-06,55
2014-09-07 - 2014-09-13,54
2014-09-14 - 2014-09-20,54
2014-09-21 - 2014-09-27,56
2014-09-28 - 2014-10-04,52
2014-10-05 - 2014-10-11,53
2014-10-12 - 2014-10-18,52
2014-10-19 - 2014-10-25,51
2014-10-26 - 2014-11-01,54
2014-11-02 - 2014-11-08,58
2014-11-09 - 2014-11-15,57
2014-11-16 - 2014-11-22,59
2014-11-23 - 2014-11-29,66
2014-11-30 - 2014-12-06,66
2014-12-07 - 2014-12-13,59
2014-12-14 - 2014-12-20,54
2014-12-21 - 2014-12-27,49
2014-12-28 - 2015-01-03,41
2015-01-04 - 2015-01-10,46
2015-01-11 - 2015-01-17,48
2015-01-18 - 2015-01-24,48
2015-01-25 - 2015-01-31,50
2015-02-01 - 2015-02-07,50
2015-02-08 - 2015-02-14,49
2015-02-15 - 2015-02-21,47
2015-02-22 - 2015-02-28,48
2015-03-01 - 2015-03-07,48
2015-03-08 - 2015-03-14,49
2015-03-15 - 2015-03-21,47
2015-03-22 - 2015-03-28,46
2015-03-29 - 2015-04-04,53
2015-04-05 - 2015-04-11,48
2015-04-12 - 2015-04-18,49
2015-04-19 - 2015-04-25,50
2015-04-26 - 2015-05-02,52
2015-05-03 - 2015-05-09,55
2015-05-10 - 2015-05-16,55
2015-05-17 - 2015-05-23,54
2015-05-24 - 2015-05-30,49
2015-05-31 - 2015-06-06,50
2015-06-07 - 2015-06-13,47
2015-06-14 - 2015-06-20,45
2015-06-21 - 2015-06-27,43
2015-06-28 - 2015-07-04,41
2015-07-05 - 2015-07-11,39
2015-07-12 - 2015-07-18,39
2015-07-19 - 2015-07-25,41
2015-07-26 - 2015-08-01,45
2015-08-02 - 2015-08-08,43
2015-08-09 - 2015-08-15,42
2015-08-16 - 2015-08-22,43
2015-08-23 - 2015-08-29,44
2015-08-30 - 2015-09-05,47
2015-09-06 - 2015-09-12,54
2015-09-13 - 2015-09-19,51
2015-09-20 - 2015-09-26,50
2015-09-27 - 2015-10-03,52
2015-10-04 - 2015-10-10,100
2015-10-11 - 2015-10-17,69
2015-10-18 - 2015-10-24,63
2015-10-25 - 2015-10-31,64
2015-11-01 - 2015-11-07,63
2015-11-08 - 2015-11-14,62
2015-11-15 - 2015-11-21,63
2015-11-22 - 2015-11-28,62
2015-11-29 - 2015-12-05,64
2015-12-06 - 2015-12-12,61
2015-12-13 - 2015-12-19,58
2015-12-20 - 2015-12-26,51
2015-12-27 - 2016-01-02,46
2016-01-03 - 2016-01-09,53
2016-01-10 - 2016-01-16,54
2016-01-17 - 2016-01-23,55
2016-01-24 - 2016-01-30,56
2016-01-31 - 2016-02-06,54
2016-02-07 - 2016-02-13,52
2016-02-14 - 2016-02-20,53
2016-02-21 - 2016-02-27,55
2016-02-28 - 2016-03-05,54
2016-03-06 - 2016-03-12,53
2016-03-13 - 2016-03-19,50
2016-03-20 - 2016-03-26,50
2016-03-27 - 2016-04-02,50
2016-04-03 - 2016-04-09,51
2016-04-10 - 2016-04-16,51
2016-04-17 - 2016-04-23,52
2016-04-24 - 2016-04-30,52
2016-05-01 - 2016-05-07,51
2016-05-08 - 2016-05-14,49
2016-05-15 - 2016-05-21,49
2016-05-22 - 2016-05-28,46
2016-05-29 - 2016-06-04,44
2016-06-05 - 2016-06-11,43
2016-06-12 - 2016-06-18,41
2016-06-19 - 2016-06-25,39
2016-06-26 - 2016-07-02,35


Top regions for surface+plasmon
Region,surface+plasmon
Singapore,100
Australia,81
United States,75
Hong Kong,74
Canada,69
France,62
New Zealand,60
United Kingdom,53
Nigeria,50
Malaysia,49
South Korea,47
Philippines,44
Switzerland,44
India,41
Ireland,40
United Arab Emirates,39
South Africa,39
Taiwan,38
Belgium,37
Tunisia,34
Pakistan,31
Norway,31
Germany,31
Denmark,28
Portugal,28
Austria,27
Japan,25
Netherlands,25
Morocco,25
Sweden,24
Iran,24
Algeria,23
Italy,22
China,22
Thailand,21
Finland,20
Czech Republic,18
Israel,16
Mexico,14
Greece,13
Spain,13
Egypt,13
Romania,13
Saudi Arabia,12
Hungary,12
Vietnam,11
Indonesia,10
Russia,9
Poland,8
Ukraine,7
Chile,6
Colombia,6
Brazil,5
Turkey,5
Argentina,5


Top cities for surface+plasmon
City,surface+plasmon
Sydney (Australia),100
Singapore (Singapore),99
Brisbane (Australia),96
Melbourne (Australia),93
Seattle (United States),75
Houston (United States),72
Paris (France),62
New York (United States),60
Los Angeles (United States),59
Toronto (Canada),58
Montreal (Canada),56
Washington (United States),55
San Francisco (United States),55
Chicago (United States),53
Dallas (United States),51



Top searches for surface+plasmon
surface pro,100
the surface,65
microsoft surface,60
microsoft,60
surface 3,55
surface area,50
surface pro 3,45
surface 2,30
windows surface,25
surface 4,25
surface pro 4,20
microsoft surface pro,20
surface pro 2,15
surface rt,15
tablet surface,15
surface water,15
microsoft surface 3,10
surface book,10
windows surface pro,10
surface tension,10
surface area cylinder,10
surface review,10
surface area sphere,5
surface area formula,5
microsoft surface 2,5
solid surface,5
microsoft surface tablet,5
microsoft tablet,5
surface energy,5
windows tablet,5
windows surface tablet,5
windows surface rt,5
windows rt,5
microsoft surface rt,5
surface laptop,5
surface to air,5
surface pro review,5
ipad pro,5
rectangular prism,5
volume of cylinder,5
windows surface 2,5
surface science,5
volume of sphere,5
surface finish,5
surface area calculator,5
surface pen,5
piercing surface,5
triangular prism,5
moon surface,5



Rising searches for surface+plasmon
microsoft,Breakout
microsoft surface,Breakout
microsoft surface pro,Breakout
surface pro,Breakout
surface pro 2,Breakout
surface pro 3,Breakout
surface pro 4,Breakout
surface rt,Breakout
surface 3,+3,350%
surface 4,+2,600%



