Web Search interest: cardiology
Worldwide 2004 - present

Interest over time
Week,cardiology
2009-08-16 - 2009-08-22,53
2009-08-23 - 2009-08-29,52
2009-08-30 - 2009-09-05,49
2009-09-06 - 2009-09-12,46
2009-09-13 - 2009-09-19,50
2009-09-20 - 2009-09-26,49
2009-09-27 - 2009-10-03,49
2009-10-04 - 2009-10-10,48
2009-10-11 - 2009-10-17,48
2009-10-18 - 2009-10-24,49
2009-10-25 - 2009-10-31,47
2009-11-01 - 2009-11-07,48
2009-11-08 - 2009-11-14,48
2009-11-15 - 2009-11-21,49
2009-11-22 - 2009-11-28,37
2009-11-29 - 2009-12-05,46
2009-12-06 - 2009-12-12,44
2009-12-13 - 2009-12-19,45
2009-12-20 - 2009-12-26,35
2009-12-27 - 2010-01-02,38
2010-01-03 - 2010-01-09,51
2010-01-10 - 2010-01-16,49
2010-01-17 - 2010-01-23,50
2010-01-24 - 2010-01-30,50
2010-01-31 - 2010-02-06,51
2010-02-07 - 2010-02-13,50
2010-02-14 - 2010-02-20,52
2010-02-21 - 2010-02-27,47
2010-02-28 - 2010-03-06,51
2010-03-07 - 2010-03-13,49
2010-03-14 - 2010-03-20,50
2010-03-21 - 2010-03-27,47
2010-03-28 - 2010-04-03,47
2010-04-04 - 2010-04-10,48
2010-04-11 - 2010-04-17,45
2010-04-18 - 2010-04-24,46
2010-04-25 - 2010-05-01,45
2010-05-02 - 2010-05-08,46
2010-05-09 - 2010-05-15,46
2010-05-16 - 2010-05-22,47
2010-05-23 - 2010-05-29,42
2010-05-30 - 2010-06-05,40
2010-06-06 - 2010-06-12,45
2010-06-13 - 2010-06-19,47
2010-06-20 - 2010-06-26,46
2010-06-27 - 2010-07-03,44
2010-07-04 - 2010-07-10,42
2010-07-11 - 2010-07-17,48
2010-07-18 - 2010-07-24,48
2010-07-25 - 2010-07-31,46
2010-08-01 - 2010-08-07,49
2010-08-08 - 2010-08-14,48
2010-08-15 - 2010-08-21,51
2010-08-22 - 2010-08-28,47
2010-08-29 - 2010-09-04,48
2010-09-05 - 2010-09-11,43
2010-09-12 - 2010-09-18,48
2010-09-19 - 2010-09-25,48
2010-09-26 - 2010-10-02,48
2010-10-03 - 2010-10-09,47
2010-10-10 - 2010-10-16,48
2010-10-17 - 2010-10-23,51
2010-10-24 - 2010-10-30,50
2010-10-31 - 2010-11-06,60
2010-11-07 - 2010-11-13,52
2010-11-14 - 2010-11-20,50
2010-11-21 - 2010-11-27,38
2010-11-28 - 2010-12-04,47
2010-12-05 - 2010-12-11,47
2010-12-12 - 2010-12-18,45
2010-12-19 - 2010-12-25,38
2010-12-26 - 2011-01-01,36
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,46
2011-01-16 - 2011-01-22,47
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,48
2011-02-06 - 2011-02-12,48
2011-02-13 - 2011-02-19,49
2011-02-20 - 2011-02-26,46
2011-02-27 - 2011-03-05,48
2011-03-06 - 2011-03-12,47
2011-03-13 - 2011-03-19,46
2011-03-20 - 2011-03-26,47
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,49
2011-04-10 - 2011-04-16,47
2011-04-17 - 2011-04-23,45
2011-04-24 - 2011-04-30,46
2011-05-01 - 2011-05-07,44
2011-05-08 - 2011-05-14,44
2011-05-15 - 2011-05-21,44
2011-05-22 - 2011-05-28,43
2011-05-29 - 2011-06-04,41
2011-06-05 - 2011-06-11,44
2011-06-12 - 2011-06-18,43
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,43
2011-07-03 - 2011-07-09,42
2011-07-10 - 2011-07-16,45
2011-07-17 - 2011-07-23,45
2011-07-24 - 2011-07-30,45
2011-07-31 - 2011-08-06,45
2011-08-07 - 2011-08-13,44
2011-08-14 - 2011-08-20,43
2011-08-21 - 2011-08-27,43
2011-08-28 - 2011-09-03,42
2011-09-04 - 2011-09-10,41
2011-09-11 - 2011-09-17,44
2011-09-18 - 2011-09-24,44
2011-09-25 - 2011-10-01,42
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,44
2011-10-23 - 2011-10-29,42
2011-10-30 - 2011-11-05,42
2011-11-06 - 2011-11-12,41
2011-11-13 - 2011-11-19,43
2011-11-20 - 2011-11-26,34
2011-11-27 - 2011-12-03,45
2011-12-04 - 2011-12-10,40
2011-12-11 - 2011-12-17,40
2011-12-18 - 2011-12-24,36
2011-12-25 - 2011-12-31,31
2012-01-01 - 2012-01-07,41
2012-01-08 - 2012-01-14,43
2012-01-15 - 2012-01-21,43
2012-01-22 - 2012-01-28,45
2012-01-29 - 2012-02-04,43
2012-02-05 - 2012-02-11,44
2012-02-12 - 2012-02-18,44
2012-02-19 - 2012-02-25,44
2012-02-26 - 2012-03-03,45
2012-03-04 - 2012-03-10,44
2012-03-11 - 2012-03-17,40
2012-03-18 - 2012-03-24,43
2012-03-25 - 2012-03-31,42
2012-04-01 - 2012-04-07,41
2012-04-08 - 2012-04-14,41
2012-04-15 - 2012-04-21,42
2012-04-22 - 2012-04-28,42
2012-04-29 - 2012-05-05,42
2012-05-06 - 2012-05-12,43
2012-05-13 - 2012-05-19,41
2012-05-20 - 2012-05-26,41
2012-05-27 - 2012-06-02,37
2012-06-03 - 2012-06-09,42
2012-06-10 - 2012-06-16,41
2012-06-17 - 2012-06-23,41
2012-06-24 - 2012-06-30,40
2012-07-01 - 2012-07-07,38
2012-07-08 - 2012-07-14,43
2012-07-15 - 2012-07-21,43
2012-07-22 - 2012-07-28,44
2012-07-29 - 2012-08-04,44
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,44
2012-08-19 - 2012-08-25,45
2012-08-26 - 2012-09-01,43
2012-09-02 - 2012-09-08,42
2012-09-09 - 2012-09-15,46
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,43
2012-10-21 - 2012-10-27,41
2012-10-28 - 2012-11-03,39
2012-11-04 - 2012-11-10,40
2012-11-11 - 2012-11-17,40
2012-11-18 - 2012-11-24,33
2012-11-25 - 2012-12-01,41
2012-12-02 - 2012-12-08,43
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,38
2012-12-23 - 2012-12-29,28
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,42
2013-01-20 - 2013-01-26,41
2013-01-27 - 2013-02-02,41
2013-02-03 - 2013-02-09,43
2013-02-10 - 2013-02-16,43
2013-02-17 - 2013-02-23,40
2013-02-24 - 2013-03-02,41
2013-03-03 - 2013-03-09,42
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,42
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,39
2013-04-07 - 2013-04-13,41
2013-04-14 - 2013-04-20,40
2013-04-21 - 2013-04-27,40
2013-04-28 - 2013-05-04,41
2013-05-05 - 2013-05-11,41
2013-05-12 - 2013-05-18,40
2013-05-19 - 2013-05-25,39
2013-05-26 - 2013-06-01,37
2013-06-02 - 2013-06-08,41
2013-06-09 - 2013-06-15,39
2013-06-16 - 2013-06-22,39
2013-06-23 - 2013-06-29,40
2013-06-30 - 2013-07-06,34
2013-07-07 - 2013-07-13,42
2013-07-14 - 2013-07-20,41
2013-07-21 - 2013-07-27,42
2013-07-28 - 2013-08-03,41
2013-08-04 - 2013-08-10,41
2013-08-11 - 2013-08-17,42
2013-08-18 - 2013-08-24,43
2013-08-25 - 2013-08-31,43
2013-09-01 - 2013-09-07,40
2013-09-08 - 2013-09-14,43
2013-09-15 - 2013-09-21,42
2013-09-22 - 2013-09-28,41
2013-09-29 - 2013-10-05,42
2013-10-06 - 2013-10-12,41
2013-10-13 - 2013-10-19,40
2013-10-20 - 2013-10-26,42
2013-10-27 - 2013-11-02,42
2013-11-03 - 2013-11-09,43
2013-11-10 - 2013-11-16,42
2013-11-17 - 2013-11-23,42
2013-11-24 - 2013-11-30,32
2013-12-01 - 2013-12-07,43
2013-12-08 - 2013-12-14,39
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,27
2013-12-29 - 2014-01-04,32
2014-01-05 - 2014-01-11,42
2014-01-12 - 2014-01-18,43
2014-01-19 - 2014-01-25,41
2014-01-26 - 2014-02-01,42
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,41
2014-02-16 - 2014-02-22,42
2014-02-23 - 2014-03-01,44
2014-03-02 - 2014-03-08,41
2014-03-09 - 2014-03-15,42
2014-03-16 - 2014-03-22,40
2014-03-23 - 2014-03-29,42
2014-03-30 - 2014-04-05,42
2014-04-06 - 2014-04-12,42
2014-04-13 - 2014-04-19,40
2014-04-20 - 2014-04-26,40
2014-04-27 - 2014-05-03,42
2014-05-04 - 2014-05-10,40
2014-05-11 - 2014-05-17,41
2014-05-18 - 2014-05-24,40
2014-05-25 - 2014-05-31,37
2014-06-01 - 2014-06-07,41
2014-06-08 - 2014-06-14,40
2014-06-15 - 2014-06-21,41
2014-06-22 - 2014-06-28,40
2014-06-29 - 2014-07-05,37
2014-07-06 - 2014-07-12,42
2014-07-13 - 2014-07-19,41
2014-07-20 - 2014-07-26,43
2014-07-27 - 2014-08-02,42
2014-08-03 - 2014-08-09,43
2014-08-10 - 2014-08-16,41
2014-08-17 - 2014-08-23,43
2014-08-24 - 2014-08-30,43
2014-08-31 - 2014-09-06,41
2014-09-07 - 2014-09-13,44
2014-09-14 - 2014-09-20,44
2014-09-21 - 2014-09-27,43
2014-09-28 - 2014-10-04,43
2014-10-05 - 2014-10-11,42
2014-10-12 - 2014-10-18,41
2014-10-19 - 2014-10-25,41
2014-10-26 - 2014-11-01,41
2014-11-02 - 2014-11-08,42
2014-11-09 - 2014-11-15,42
2014-11-16 - 2014-11-22,41
2014-11-23 - 2014-11-29,32
2014-11-30 - 2014-12-06,42
2014-12-07 - 2014-12-13,41
2014-12-14 - 2014-12-20,38
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,32
2015-01-04 - 2015-01-10,43
2015-01-11 - 2015-01-17,42
2015-01-18 - 2015-01-24,42
2015-01-25 - 2015-01-31,42
2015-02-01 - 2015-02-07,44
2015-02-08 - 2015-02-14,44
2015-02-15 - 2015-02-21,42
2015-02-22 - 2015-02-28,43
2015-03-01 - 2015-03-07,43
2015-03-08 - 2015-03-14,45
2015-03-15 - 2015-03-21,43
2015-03-22 - 2015-03-28,42
2015-03-29 - 2015-04-04,41
2015-04-05 - 2015-04-11,42
2015-04-12 - 2015-04-18,44
2015-04-19 - 2015-04-25,42
2015-04-26 - 2015-05-02,43
2015-05-03 - 2015-05-09,42
2015-05-10 - 2015-05-16,44
2015-05-17 - 2015-05-23,42
2015-05-24 - 2015-05-30,39
2015-05-31 - 2015-06-06,44
2015-06-07 - 2015-06-13,42
2015-06-14 - 2015-06-20,41
2015-06-21 - 2015-06-27,42
2015-06-28 - 2015-07-04,39
2015-07-05 - 2015-07-11,44
2015-07-12 - 2015-07-18,43
2015-07-19 - 2015-07-25,45
2015-07-26 - 2015-08-01,45
2015-08-02 - 2015-08-08,45
2015-08-09 - 2015-08-15,46
2015-08-16 - 2015-08-22,47
2015-08-23 - 2015-08-29,45
2015-08-30 - 2015-09-05,46
2015-09-06 - 2015-09-12,42
2015-09-13 - 2015-09-19,45
2015-09-20 - 2015-09-26,45
2015-09-27 - 2015-10-03,45
2015-10-04 - 2015-10-10,44
2015-10-11 - 2015-10-17,44
2015-10-18 - 2015-10-24,44
2015-10-25 - 2015-10-31,43
2015-11-01 - 2015-11-07,46
2015-11-08 - 2015-11-14,44
2015-11-15 - 2015-11-21,44
2015-11-22 - 2015-11-28,35
2015-11-29 - 2015-12-05,46
2015-12-06 - 2015-12-12,46
2015-12-13 - 2015-12-19,42
2015-12-20 - 2015-12-26,32
2015-12-27 - 2016-01-02,35
2016-01-03 - 2016-01-09,47
2016-01-10 - 2016-01-16,46
2016-01-17 - 2016-01-23,46
2016-01-24 - 2016-01-30,47
2016-01-31 - 2016-02-06,46
2016-02-07 - 2016-02-13,46
2016-02-14 - 2016-02-20,44
2016-02-21 - 2016-02-27,46
2016-02-28 - 2016-03-05,46
2016-03-06 - 2016-03-12,45
2016-03-13 - 2016-03-19,45
2016-03-20 - 2016-03-26,44
2016-03-27 - 2016-04-02,45
2016-04-03 - 2016-04-09,47
2016-04-10 - 2016-04-16,47
2016-04-17 - 2016-04-23,46
2016-04-24 - 2016-04-30,45
2016-05-01 - 2016-05-07,46
2016-05-08 - 2016-05-14,46
2016-05-15 - 2016-05-21,46
2016-05-22 - 2016-05-28,45
2016-05-29 - 2016-06-04,43
2016-06-05 - 2016-06-11,46
2016-06-12 - 2016-06-18,44
2016-06-19 - 2016-06-25,44
2016-06-26 - 2016-07-02,43
2016-07-03 - 2016-07-09, 


Top regions for cardiology
Region,cardiology
United States,100
Pakistan,56
Australia,41
India,36
Canada,35
Bangladesh,34
Ireland,32
Singapore,29
United Kingdom,28
New Zealand,28
United Arab Emirates,25
Greece,20
Egypt,20
Philippines,18
Hong Kong,17
Saudi Arabia,16
Israel,16
South Africa,14
Portugal,14
Malaysia,13
Switzerland,13
South Korea,13
Iran,11
Belgium,10
Netherlands,9
Romania,9
Italy,8
Taiwan,7
Sweden,7
Denmark,7
Hungary,7
Austria,7
Germany,6
China,6
Spain,6
Indonesia,6
Colombia,6
Mexico,5
Argentina,5
Poland,4
Brazil,4
Turkey,4
Thailand,4
France,4
Japan,3
Russia,2


Top cities for cardiology
City,cardiology
Nashville (United States),100
Philadelphia (United States),100
Boston (United States),87
Phoenix (United States),75
Charlotte (United States),70
St. Louis (United States),61
Washington (United States),59
Minneapolis (United States),54
New York (United States),53
Atlanta (United States),53
Denver (United States),52
Seattle (United States),51
San Antonio (United States),51
Houston (United States),50
Dallas (United States),47



Top searches for cardiology
cardiology associates,100
cardiology journal,90
pediatric cardiology,80
cardiologist,80
journal of cardiology,70
american college cardiology,65
littmann,55
littmann cardiology,55
interventional cardiology,45
european cardiology,40
cardiology fellowship,40
stethoscope,35
cardiology stethoscope,35
american journal cardiology,35
cardiology consultants,35
cardiology jobs,35
littmann cardiology iii,30
european society cardiology,30
littmann stethoscope,25
what is cardiology,25
littmann cardiology stethoscope,25
clinical cardiology,25
master cardiology,25
nuclear cardiology,20
florida cardiology,20
acc cardiology,20
carolina cardiology,20
littman,15
littman cardiology,15
littmann master cardiology,15
american cardiology association,15
cardiology good charlotte,10
invasive cardiology,10
columbia cardiology,10
duke cardiology,10
capital cardiology,10
advanced cardiology,10
western cardiology,5
littman cardiology iii,5
penn cardiology,5
preventive cardiology,5
cleveland clinic cardiology,5
cardiology technologist,5
pci cardiology,5
coastal cardiology,5
buffalo cardiology,5
asheville cardiology,5
consultants in cardiology,5
cardiologist salary,5
pediatric cardiology associates,5



Rising searches for cardiology
littmann cardiology iii,+300%
littmann cardiology stethoscope,+300%
littmann stethoscope,+300%
littmann,+190%
littmann cardiology,+190%
what is cardiology,+140%
cardiology stethoscope,+110%
cardiology jobs,+100%
stethoscope,+100%
cardiology associates,+90%



