Web Search interest: rheumatology
Worldwide 2004 - present

Interest over time
Week,rheumatology
2009-01-18 - 2009-01-24,51
2009-01-25 - 2009-01-31,52
2009-02-01 - 2009-02-07,55
2009-02-08 - 2009-02-14,55
2009-02-15 - 2009-02-21,51
2009-02-22 - 2009-02-28,54
2009-03-01 - 2009-03-07,52
2009-03-08 - 2009-03-14,52
2009-03-15 - 2009-03-21,52
2009-03-22 - 2009-03-28,49
2009-03-29 - 2009-04-04,53
2009-04-05 - 2009-04-11,52
2009-04-12 - 2009-04-18,51
2009-04-19 - 2009-04-25,51
2009-04-26 - 2009-05-02,51
2009-05-03 - 2009-05-09,45
2009-05-10 - 2009-05-16,51
2009-05-17 - 2009-05-23,47
2009-05-24 - 2009-05-30,46
2009-05-31 - 2009-06-06,45
2009-06-07 - 2009-06-13,49
2009-06-14 - 2009-06-20,55
2009-06-21 - 2009-06-27,50
2009-06-28 - 2009-07-04,45
2009-07-05 - 2009-07-11,48
2009-07-12 - 2009-07-18,51
2009-07-19 - 2009-07-25,51
2009-07-26 - 2009-08-01,54
2009-08-02 - 2009-08-08,51
2009-08-09 - 2009-08-15,52
2009-08-16 - 2009-08-22,56
2009-08-23 - 2009-08-29,52
2009-08-30 - 2009-09-05,51
2009-09-06 - 2009-09-12,53
2009-09-13 - 2009-09-19,55
2009-09-20 - 2009-09-26,51
2009-09-27 - 2009-10-03,52
2009-10-04 - 2009-10-10,54
2009-10-11 - 2009-10-17,52
2009-10-18 - 2009-10-24,54
2009-10-25 - 2009-10-31,52
2009-11-01 - 2009-11-07,50
2009-11-08 - 2009-11-14,51
2009-11-15 - 2009-11-21,53
2009-11-22 - 2009-11-28,39
2009-11-29 - 2009-12-05,51
2009-12-06 - 2009-12-12,49
2009-12-13 - 2009-12-19,49
2009-12-20 - 2009-12-26,31
2009-12-27 - 2010-01-02,36
2010-01-03 - 2010-01-09,53
2010-01-10 - 2010-01-16,49
2010-01-17 - 2010-01-23,50
2010-01-24 - 2010-01-30,53
2010-01-31 - 2010-02-06,55
2010-02-07 - 2010-02-13,46
2010-02-14 - 2010-02-20,45
2010-02-21 - 2010-02-27,48
2010-02-28 - 2010-03-06,51
2010-03-07 - 2010-03-13,57
2010-03-14 - 2010-03-20,50
2010-03-21 - 2010-03-27,52
2010-03-28 - 2010-04-03,48
2010-04-04 - 2010-04-10,52
2010-04-11 - 2010-04-17,53
2010-04-18 - 2010-04-24,51
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,52
2010-05-16 - 2010-05-22,52
2010-05-23 - 2010-05-29,49
2010-05-30 - 2010-06-05,43
2010-06-06 - 2010-06-12,54
2010-06-13 - 2010-06-19,49
2010-06-20 - 2010-06-26,51
2010-06-27 - 2010-07-03,49
2010-07-04 - 2010-07-10,48
2010-07-11 - 2010-07-17,49
2010-07-18 - 2010-07-24,51
2010-07-25 - 2010-07-31,54
2010-08-01 - 2010-08-07,52
2010-08-08 - 2010-08-14,52
2010-08-15 - 2010-08-21,52
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,48
2010-09-05 - 2010-09-11,48
2010-09-12 - 2010-09-18,54
2010-09-19 - 2010-09-25,48
2010-09-26 - 2010-10-02,49
2010-10-03 - 2010-10-09,52
2010-10-10 - 2010-10-16,50
2010-10-17 - 2010-10-23,55
2010-10-24 - 2010-10-30,53
2010-10-31 - 2010-11-06,55
2010-11-07 - 2010-11-13,50
2010-11-14 - 2010-11-20,51
2010-11-21 - 2010-11-27,39
2010-11-28 - 2010-12-04,47
2010-12-05 - 2010-12-11,50
2010-12-12 - 2010-12-18,43
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,34
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,50
2011-01-16 - 2011-01-22,47
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,51
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,46
2011-02-20 - 2011-02-26,47
2011-02-27 - 2011-03-05,49
2011-03-06 - 2011-03-12,53
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,53
2011-04-03 - 2011-04-09,55
2011-04-10 - 2011-04-16,51
2011-04-17 - 2011-04-23,48
2011-04-24 - 2011-04-30,49
2011-05-01 - 2011-05-07,48
2011-05-08 - 2011-05-14,52
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,48
2011-05-29 - 2011-06-04,43
2011-06-05 - 2011-06-11,51
2011-06-12 - 2011-06-18,48
2011-06-19 - 2011-06-25,49
2011-06-26 - 2011-07-02,49
2011-07-03 - 2011-07-09,44
2011-07-10 - 2011-07-16,51
2011-07-17 - 2011-07-23,54
2011-07-24 - 2011-07-30,52
2011-07-31 - 2011-08-06,53
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,47
2011-08-21 - 2011-08-27,50
2011-08-28 - 2011-09-03,48
2011-09-04 - 2011-09-10,48
2011-09-11 - 2011-09-17,51
2011-09-18 - 2011-09-24,52
2011-09-25 - 2011-10-01,52
2011-10-02 - 2011-10-08,53
2011-10-09 - 2011-10-15,53
2011-10-16 - 2011-10-22,53
2011-10-23 - 2011-10-29,52
2011-10-30 - 2011-11-05,54
2011-11-06 - 2011-11-12,48
2011-11-13 - 2011-11-19,53
2011-11-20 - 2011-11-26,42
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,50
2011-12-11 - 2011-12-17,46
2011-12-18 - 2011-12-24,44
2011-12-25 - 2011-12-31,32
2012-01-01 - 2012-01-07,45
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,52
2012-01-22 - 2012-01-28,52
2012-01-29 - 2012-02-04,54
2012-02-05 - 2012-02-11,54
2012-02-12 - 2012-02-18,53
2012-02-19 - 2012-02-25,54
2012-02-26 - 2012-03-03,53
2012-03-04 - 2012-03-10,52
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,54
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,50
2012-04-08 - 2012-04-14,50
2012-04-15 - 2012-04-21,54
2012-04-22 - 2012-04-28,53
2012-04-29 - 2012-05-05,53
2012-05-06 - 2012-05-12,53
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,48
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,52
2012-06-10 - 2012-06-16,51
2012-06-17 - 2012-06-23,52
2012-06-24 - 2012-06-30,54
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,52
2012-07-15 - 2012-07-21,54
2012-07-22 - 2012-07-28,52
2012-07-29 - 2012-08-04,52
2012-08-05 - 2012-08-11,53
2012-08-12 - 2012-08-18,57
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,52
2012-09-02 - 2012-09-08,52
2012-09-09 - 2012-09-15,56
2012-09-16 - 2012-09-22,58
2012-09-23 - 2012-09-29,56
2012-09-30 - 2012-10-06,54
2012-10-07 - 2012-10-13,52
2012-10-14 - 2012-10-20,53
2012-10-21 - 2012-10-27,53
2012-10-28 - 2012-11-03,50
2012-11-04 - 2012-11-10,54
2012-11-11 - 2012-11-17,55
2012-11-18 - 2012-11-24,42
2012-11-25 - 2012-12-01,54
2012-12-02 - 2012-12-08,53
2012-12-09 - 2012-12-15,50
2012-12-16 - 2012-12-22,47
2012-12-23 - 2012-12-29,31
2012-12-30 - 2013-01-05,43
2013-01-06 - 2013-01-12,53
2013-01-13 - 2013-01-19,53
2013-01-20 - 2013-01-26,50
2013-01-27 - 2013-02-02,53
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,52
2013-02-17 - 2013-02-23,52
2013-02-24 - 2013-03-02,53
2013-03-03 - 2013-03-09,53
2013-03-10 - 2013-03-16,53
2013-03-17 - 2013-03-23,54
2013-03-24 - 2013-03-30,51
2013-03-31 - 2013-04-06,49
2013-04-07 - 2013-04-13,53
2013-04-14 - 2013-04-20,54
2013-04-21 - 2013-04-27,55
2013-04-28 - 2013-05-04,56
2013-05-05 - 2013-05-11,55
2013-05-12 - 2013-05-18,53
2013-05-19 - 2013-05-25,50
2013-05-26 - 2013-06-01,47
2013-06-02 - 2013-06-08,54
2013-06-09 - 2013-06-15,50
2013-06-16 - 2013-06-22,53
2013-06-23 - 2013-06-29,51
2013-06-30 - 2013-07-06,47
2013-07-07 - 2013-07-13,53
2013-07-14 - 2013-07-20,54
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,54
2013-08-04 - 2013-08-10,55
2013-08-11 - 2013-08-17,53
2013-08-18 - 2013-08-24,55
2013-08-25 - 2013-08-31,51
2013-09-01 - 2013-09-07,51
2013-09-08 - 2013-09-14,55
2013-09-15 - 2013-09-21,54
2013-09-22 - 2013-09-28,54
2013-09-29 - 2013-10-05,55
2013-10-06 - 2013-10-12,55
2013-10-13 - 2013-10-19,55
2013-10-20 - 2013-10-26,54
2013-10-27 - 2013-11-02,55
2013-11-03 - 2013-11-09,53
2013-11-10 - 2013-11-16,53
2013-11-17 - 2013-11-23,53
2013-11-24 - 2013-11-30,42
2013-12-01 - 2013-12-07,49
2013-12-08 - 2013-12-14,49
2013-12-15 - 2013-12-21,46
2013-12-22 - 2013-12-28,31
2013-12-29 - 2014-01-04,39
2014-01-05 - 2014-01-11,54
2014-01-12 - 2014-01-18,56
2014-01-19 - 2014-01-25,50
2014-01-26 - 2014-02-01,53
2014-02-02 - 2014-02-08,52
2014-02-09 - 2014-02-15,48
2014-02-16 - 2014-02-22,52
2014-02-23 - 2014-03-01,56
2014-03-02 - 2014-03-08,52
2014-03-09 - 2014-03-15,53
2014-03-16 - 2014-03-22,53
2014-03-23 - 2014-03-29,53
2014-03-30 - 2014-04-05,54
2014-04-06 - 2014-04-12,52
2014-04-13 - 2014-04-19,51
2014-04-20 - 2014-04-26,52
2014-04-27 - 2014-05-03,55
2014-05-04 - 2014-05-10,52
2014-05-11 - 2014-05-17,50
2014-05-18 - 2014-05-24,53
2014-05-25 - 2014-05-31,49
2014-06-01 - 2014-06-07,55
2014-06-08 - 2014-06-14,53
2014-06-15 - 2014-06-21,52
2014-06-22 - 2014-06-28,52
2014-06-29 - 2014-07-05,48
2014-07-06 - 2014-07-12,51
2014-07-13 - 2014-07-19,55
2014-07-20 - 2014-07-26,53
2014-07-27 - 2014-08-02,51
2014-08-03 - 2014-08-09,49
2014-08-10 - 2014-08-16,51
2014-08-17 - 2014-08-23,54
2014-08-24 - 2014-08-30,53
2014-08-31 - 2014-09-06,48
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,58
2014-09-21 - 2014-09-27,55
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,56
2014-10-12 - 2014-10-18,52
2014-10-19 - 2014-10-25,53
2014-10-26 - 2014-11-01,55
2014-11-02 - 2014-11-08,55
2014-11-09 - 2014-11-15,56
2014-11-16 - 2014-11-22,53
2014-11-23 - 2014-11-29,42
2014-11-30 - 2014-12-06,54
2014-12-07 - 2014-12-13,53
2014-12-14 - 2014-12-20,47
2014-12-21 - 2014-12-27,34
2014-12-28 - 2015-01-03,34
2015-01-04 - 2015-01-10,51
2015-01-11 - 2015-01-17,56
2015-01-18 - 2015-01-24,53
2015-01-25 - 2015-01-31,53
2015-02-01 - 2015-02-07,54
2015-02-08 - 2015-02-14,54
2015-02-15 - 2015-02-21,53
2015-02-22 - 2015-02-28,53
2015-03-01 - 2015-03-07,54
2015-03-08 - 2015-03-14,56
2015-03-15 - 2015-03-21,53
2015-03-22 - 2015-03-28,53
2015-03-29 - 2015-04-04,52
2015-04-05 - 2015-04-11,53
2015-04-12 - 2015-04-18,56
2015-04-19 - 2015-04-25,55
2015-04-26 - 2015-05-02,55
2015-05-03 - 2015-05-09,54
2015-05-10 - 2015-05-16,56
2015-05-17 - 2015-05-23,54
2015-05-24 - 2015-05-30,47
2015-05-31 - 2015-06-06,53
2015-06-07 - 2015-06-13,53
2015-06-14 - 2015-06-20,52
2015-06-21 - 2015-06-27,53
2015-06-28 - 2015-07-04,52
2015-07-05 - 2015-07-11,55
2015-07-12 - 2015-07-18,55
2015-07-19 - 2015-07-25,60
2015-07-26 - 2015-08-01,57
2015-08-02 - 2015-08-08,56
2015-08-09 - 2015-08-15,55
2015-08-16 - 2015-08-22,56
2015-08-23 - 2015-08-29,56
2015-08-30 - 2015-09-05,56
2015-09-06 - 2015-09-12,54
2015-09-13 - 2015-09-19,56
2015-09-20 - 2015-09-26,53
2015-09-27 - 2015-10-03,54
2015-10-04 - 2015-10-10,58
2015-10-11 - 2015-10-17,57
2015-10-18 - 2015-10-24,55
2015-10-25 - 2015-10-31,58
2015-11-01 - 2015-11-07,57
2015-11-08 - 2015-11-14,56
2015-11-15 - 2015-11-21,53
2015-11-22 - 2015-11-28,43
2015-11-29 - 2015-12-05,54
2015-12-06 - 2015-12-12,52
2015-12-13 - 2015-12-19,51
2015-12-20 - 2015-12-26,37
2015-12-27 - 2016-01-02,39
2016-01-03 - 2016-01-09,59
2016-01-10 - 2016-01-16,60
2016-01-17 - 2016-01-23,56
2016-01-24 - 2016-01-30,60
2016-01-31 - 2016-02-06,63
2016-02-07 - 2016-02-13,57
2016-02-14 - 2016-02-20,59
2016-02-21 - 2016-02-27,64
2016-02-28 - 2016-03-05,62
2016-03-06 - 2016-03-12,63
2016-03-13 - 2016-03-19,58
2016-03-20 - 2016-03-26,56
2016-03-27 - 2016-04-02,57
2016-04-03 - 2016-04-09,56
2016-04-10 - 2016-04-16,58
2016-04-17 - 2016-04-23,59
2016-04-24 - 2016-04-30,57
2016-05-01 - 2016-05-07,57
2016-05-08 - 2016-05-14,58
2016-05-15 - 2016-05-21,61
2016-05-22 - 2016-05-28,58
2016-05-29 - 2016-06-04,52
2016-06-05 - 2016-06-11,56
2016-06-12 - 2016-06-18,59
2016-06-19 - 2016-06-25,57
2016-06-26 - 2016-07-02,57
2016-07-03 - 2016-07-09,26


Top regions for rheumatology
Region,rheumatology
United States,100
Ireland,65
United Kingdom,63
New Zealand,48
Singapore,42
Australia,39
Canada,38
India,34
United Arab Emirates,34
Pakistan,25
South Korea,22
Egypt,22
Philippines,19
Switzerland,18
Saudi Arabia,18
Malaysia,16
Taiwan,13
Netherlands,9
Italy,8
Spain,7
China,7
Turkey,7
Mexico,6
Japan,5
Germany,5
Indonesia,5
France,3
Brazil,3


Top cities for rheumatology
City,rheumatology
Thames Ditton (United Kingdom),100
Baltimore (United States),65
Philadelphia (United States),49
Boston (United States),44
Nashville (United States),42
Minneapolis (United States),37
Charlotte (United States),34
Phoenix (United States),32
Portland (United States),32
Washington (United States),31
St. Louis (United States),30
Seattle (United States),29
New York (United States),27
Atlanta (United States),26
Houston (United States),24



Top searches for rheumatology
arthritis rheumatology,100
american college rheumatology,65
rheumatologist,60
rheumatology journal,55
rheumatoid arthritis,45
rheumatology associates,45
rheumatology clinic,45
journal of rheumatology,40
clinical rheumatology,35
arthritis and rheumatology,30
pediatric rheumatology,25
what is rheumatology,20
acr rheumatology,20
rheumatology diseases,15
rheumatology international,10
rheumatology fellowship,10
rheumatology jobs,10
rheumatology consultants,10
rheumatology definition,10
clinical experimental rheumatology,10
j rheumatology,10
center for rheumatology,5
rheumatology salary,5
rheumatology oxford,5
eular,5
american rheumatology association,5
rheumatology meaning,5
columbia rheumatology,5
duke rheumatology,5
rheumatology journals,5
ucla rheumatology,5
johns hopkins rheumatology,5
ucsf rheumatology,5
arthritis and rheumatism,5
rhematology,5
advanced rheumatology,5
cleveland clinic rheumatology,5
canadian rheumatology association,5
define rheumatology,5
northwest rheumatology,5



Rising searches for rheumatology
rheumatologist,+300%
rheumatology associates,+300%
rheumatoid arthritis,+250%
rheumatology clinic,+180%
pediatric rheumatology,+100%
arthritis and rheumatology,+60%
arthritis rheumatology,+60%
what is rheumatology,+40%



