Web Search interest: down+to+the+countryside+movement
Worldwide 2004 - present

Interest over time
Week,down+to+the+countryside+movement
2005-01-16 - 2005-01-22,74
2005-01-23 - 2005-01-29,75
2005-01-30 - 2005-02-05,75
2005-02-06 - 2005-02-12,78
2005-02-13 - 2005-02-19,75
2005-02-20 - 2005-02-26,76
2005-02-27 - 2005-03-05,75
2005-03-06 - 2005-03-12,76
2005-03-13 - 2005-03-19,76
2005-03-20 - 2005-03-26,75
2005-03-27 - 2005-04-02,74
2005-04-03 - 2005-04-09,75
2005-04-10 - 2005-04-16,74
2005-04-17 - 2005-04-23,74
2005-04-24 - 2005-04-30,76
2005-05-01 - 2005-05-07,77
2005-05-08 - 2005-05-14,75
2005-05-15 - 2005-05-21,75
2005-05-22 - 2005-05-28,75
2005-05-29 - 2005-06-04,71
2005-06-05 - 2005-06-11,71
2005-06-12 - 2005-06-18,69
2005-06-19 - 2005-06-25,69
2005-06-26 - 2005-07-02,69
2005-07-03 - 2005-07-09,68
2005-07-10 - 2005-07-16,70
2005-07-17 - 2005-07-23,70
2005-07-24 - 2005-07-30,70
2005-07-31 - 2005-08-06,69
2005-08-07 - 2005-08-13,71
2005-08-14 - 2005-08-20,70
2005-08-21 - 2005-08-27,69
2005-08-28 - 2005-09-03,68
2005-09-04 - 2005-09-10,70
2005-09-11 - 2005-09-17,72
2005-09-18 - 2005-09-24,73
2005-09-25 - 2005-10-01,73
2005-10-02 - 2005-10-08,74
2005-10-09 - 2005-10-15,74
2005-10-16 - 2005-10-22,75
2005-10-23 - 2005-10-29,74
2005-10-30 - 2005-11-05,75
2005-11-06 - 2005-11-12,74
2005-11-13 - 2005-11-19,73
2005-11-20 - 2005-11-26,71
2005-11-27 - 2005-12-03,74
2005-12-04 - 2005-12-10,75
2005-12-11 - 2005-12-17,73
2005-12-18 - 2005-12-24,68
2005-12-25 - 2005-12-31,67
2006-01-01 - 2006-01-07,73
2006-01-08 - 2006-01-14,73
2006-01-15 - 2006-01-21,71
2006-01-22 - 2006-01-28,73
2006-01-29 - 2006-02-04,75
2006-02-05 - 2006-02-11,73
2006-02-12 - 2006-02-18,72
2006-02-19 - 2006-02-25,72
2006-02-26 - 2006-03-04,74
2006-03-05 - 2006-03-11,72
2006-03-12 - 2006-03-18,71
2006-03-19 - 2006-03-25,73
2006-03-26 - 2006-04-01,71
2006-04-02 - 2006-04-08,72
2006-04-09 - 2006-04-15,71
2006-04-16 - 2006-04-22,72
2006-04-23 - 2006-04-29,73
2006-04-30 - 2006-05-06,74
2006-05-07 - 2006-05-13,73
2006-05-14 - 2006-05-20,71
2006-05-21 - 2006-05-27,70
2006-05-28 - 2006-06-03,66
2006-06-04 - 2006-06-10,68
2006-06-11 - 2006-06-17,67
2006-06-18 - 2006-06-24,67
2006-06-25 - 2006-07-01,65
2006-07-02 - 2006-07-08,64
2006-07-09 - 2006-07-15,67
2006-07-16 - 2006-07-22,67
2006-07-23 - 2006-07-29,67
2006-07-30 - 2006-08-05,66
2006-08-06 - 2006-08-12,67
2006-08-13 - 2006-08-19,66
2006-08-20 - 2006-08-26,65
2006-08-27 - 2006-09-02,65
2006-09-03 - 2006-09-09,66
2006-09-10 - 2006-09-16,69
2006-09-17 - 2006-09-23,68
2006-09-24 - 2006-09-30,68
2006-10-01 - 2006-10-07,69
2006-10-08 - 2006-10-14,69
2006-10-15 - 2006-10-21,69
2006-10-22 - 2006-10-28,70
2006-10-29 - 2006-11-04,69
2006-11-05 - 2006-11-11,68
2006-11-12 - 2006-11-18,69
2006-11-19 - 2006-11-25,65
2006-11-26 - 2006-12-02,68
2006-12-03 - 2006-12-09,70
2006-12-10 - 2006-12-16,68
2006-12-17 - 2006-12-23,64
2006-12-24 - 2006-12-30,63
2006-12-31 - 2007-01-06,66
2007-01-07 - 2007-01-13,67
2007-01-14 - 2007-01-20,66
2007-01-21 - 2007-01-27,68
2007-01-28 - 2007-02-03,68
2007-02-04 - 2007-02-10,68
2007-02-11 - 2007-02-17,67
2007-02-18 - 2007-02-24,69
2007-02-25 - 2007-03-03,67
2007-03-04 - 2007-03-10,67
2007-03-11 - 2007-03-17,67
2007-03-18 - 2007-03-24,67
2007-03-25 - 2007-03-31,67
2007-04-01 - 2007-04-07,68
2007-04-08 - 2007-04-14,67
2007-04-15 - 2007-04-21,66
2007-04-22 - 2007-04-28,68
2007-04-29 - 2007-05-05,69
2007-05-06 - 2007-05-12,67
2007-05-13 - 2007-05-19,69
2007-05-20 - 2007-05-26,68
2007-05-27 - 2007-06-02,66
2007-06-03 - 2007-06-09,66
2007-06-10 - 2007-06-16,65
2007-06-17 - 2007-06-23,63
2007-06-24 - 2007-06-30,64
2007-07-01 - 2007-07-07,64
2007-07-08 - 2007-07-14,66
2007-07-15 - 2007-07-21,68
2007-07-22 - 2007-07-28,67
2007-07-29 - 2007-08-04,66
2007-08-05 - 2007-08-11,66
2007-08-12 - 2007-08-18,67
2007-08-19 - 2007-08-25,63
2007-08-26 - 2007-09-01,64
2007-09-02 - 2007-09-08,64
2007-09-09 - 2007-09-15,68
2007-09-16 - 2007-09-22,68
2007-09-23 - 2007-09-29,67
2007-09-30 - 2007-10-06,68
2007-10-07 - 2007-10-13,68
2007-10-14 - 2007-10-20,68
2007-10-21 - 2007-10-27,68
2007-10-28 - 2007-11-03,69
2007-11-04 - 2007-11-10,68
2007-11-11 - 2007-11-17,68
2007-11-18 - 2007-11-24,65
2007-11-25 - 2007-12-01,67
2007-12-02 - 2007-12-08,69
2007-12-09 - 2007-12-15,68
2007-12-16 - 2007-12-22,67
2007-12-23 - 2007-12-29,66
2007-12-30 - 2008-01-05,69
2008-01-06 - 2008-01-12,69
2008-01-13 - 2008-01-19,69
2008-01-20 - 2008-01-26,69
2008-01-27 - 2008-02-02,70
2008-02-03 - 2008-02-09,71
2008-02-10 - 2008-02-16,70
2008-02-17 - 2008-02-23,69
2008-02-24 - 2008-03-01,68
2008-03-02 - 2008-03-08,68
2008-03-09 - 2008-03-15,68
2008-03-16 - 2008-03-22,67
2008-03-23 - 2008-03-29,68
2008-03-30 - 2008-04-05,69
2008-04-06 - 2008-04-12,69
2008-04-13 - 2008-04-19,70
2008-04-20 - 2008-04-26,70
2008-04-27 - 2008-05-03,70
2008-05-04 - 2008-05-10,69
2008-05-11 - 2008-05-17,69
2008-05-18 - 2008-05-24,68
2008-05-25 - 2008-05-31,67
2008-06-01 - 2008-06-07,68
2008-06-08 - 2008-06-14,67
2008-06-15 - 2008-06-21,68
2008-06-22 - 2008-06-28,67
2008-06-29 - 2008-07-05,66
2008-07-06 - 2008-07-12,69
2008-07-13 - 2008-07-19,68
2008-07-20 - 2008-07-26,70
2008-07-27 - 2008-08-02,70
2008-08-03 - 2008-08-09,69
2008-08-10 - 2008-08-16,69
2008-08-17 - 2008-08-23,68
2008-08-24 - 2008-08-30,68
2008-08-31 - 2008-09-06,66
2008-09-07 - 2008-09-13,71
2008-09-14 - 2008-09-20,71
2008-09-21 - 2008-09-27,71
2008-09-28 - 2008-10-04,72
2008-10-05 - 2008-10-11,71
2008-10-12 - 2008-10-18,72
2008-10-19 - 2008-10-25,71
2008-10-26 - 2008-11-01,70
2008-11-02 - 2008-11-08,72
2008-11-09 - 2008-11-15,73
2008-11-16 - 2008-11-22,72
2008-11-23 - 2008-11-29,69
2008-11-30 - 2008-12-06,72
2008-12-07 - 2008-12-13,73
2008-12-14 - 2008-12-20,69
2008-12-21 - 2008-12-27,67
2008-12-28 - 2009-01-03,71
2009-01-04 - 2009-01-10,71
2009-01-11 - 2009-01-17,72
2009-01-18 - 2009-01-24,71
2009-01-25 - 2009-01-31,73
2009-02-01 - 2009-02-07,71
2009-02-08 - 2009-02-14,72
2009-02-15 - 2009-02-21,73
2009-02-22 - 2009-02-28,74
2009-03-01 - 2009-03-07,74
2009-03-08 - 2009-03-14,73
2009-03-15 - 2009-03-21,73
2009-03-22 - 2009-03-28,73
2009-03-29 - 2009-04-04,74
2009-04-05 - 2009-04-11,76
2009-04-12 - 2009-04-18,74
2009-04-19 - 2009-04-25,75
2009-04-26 - 2009-05-02,75
2009-05-03 - 2009-05-09,73
2009-05-10 - 2009-05-16,73
2009-05-17 - 2009-05-23,74
2009-05-24 - 2009-05-30,71
2009-05-31 - 2009-06-06,73
2009-06-07 - 2009-06-13,73
2009-06-14 - 2009-06-20,72
2009-06-21 - 2009-06-27,71
2009-06-28 - 2009-07-04,71
2009-07-05 - 2009-07-11,73
2009-07-12 - 2009-07-18,74
2009-07-19 - 2009-07-25,74
2009-07-26 - 2009-08-01,74
2009-08-02 - 2009-08-08,73
2009-08-09 - 2009-08-15,74
2009-08-16 - 2009-08-22,74
2009-08-23 - 2009-08-29,73
2009-08-30 - 2009-09-05,72
2009-09-06 - 2009-09-12,73
2009-09-13 - 2009-09-19,76
2009-09-20 - 2009-09-26,77
2009-09-27 - 2009-10-03,76
2009-10-04 - 2009-10-10,77
2009-10-11 - 2009-10-17,77
2009-10-18 - 2009-10-24,76
2009-10-25 - 2009-10-31,77
2009-11-01 - 2009-11-07,77
2009-11-08 - 2009-11-14,78
2009-11-15 - 2009-11-21,78
2009-11-22 - 2009-11-28,74
2009-11-29 - 2009-12-05,77
2009-12-06 - 2009-12-12,77
2009-12-13 - 2009-12-19,75
2009-12-20 - 2009-12-26,74
2009-12-27 - 2010-01-02,77
2010-01-03 - 2010-01-09,76
2010-01-10 - 2010-01-16,78
2010-01-17 - 2010-01-23,77
2010-01-24 - 2010-01-30,78
2010-01-31 - 2010-02-06,79
2010-02-07 - 2010-02-13,78
2010-02-14 - 2010-02-20,78
2010-02-21 - 2010-02-27,78
2010-02-28 - 2010-03-06,79
2010-03-07 - 2010-03-13,80
2010-03-14 - 2010-03-20,76
2010-03-21 - 2010-03-27,79
2010-03-28 - 2010-04-03,80
2010-04-04 - 2010-04-10,79
2010-04-11 - 2010-04-17,78
2010-04-18 - 2010-04-24,79
2010-04-25 - 2010-05-01,80
2010-05-02 - 2010-05-08,79
2010-05-09 - 2010-05-15,80
2010-05-16 - 2010-05-22,78
2010-05-23 - 2010-05-29,78
2010-05-30 - 2010-06-05,76
2010-06-06 - 2010-06-12,77
2010-06-13 - 2010-06-19,76
2010-06-20 - 2010-06-26,77
2010-06-27 - 2010-07-03,77
2010-07-04 - 2010-07-10,79
2010-07-11 - 2010-07-17,79
2010-07-18 - 2010-07-24,80
2010-07-25 - 2010-07-31,79
2010-08-01 - 2010-08-07,81
2010-08-08 - 2010-08-14,81
2010-08-15 - 2010-08-21,80
2010-08-22 - 2010-08-28,81
2010-08-29 - 2010-09-04,80
2010-09-05 - 2010-09-11,80
2010-09-12 - 2010-09-18,81
2010-09-19 - 2010-09-25,80
2010-09-26 - 2010-10-02,80
2010-10-03 - 2010-10-09,81
2010-10-10 - 2010-10-16,79
2010-10-17 - 2010-10-23,80
2010-10-24 - 2010-10-30,81
2010-10-31 - 2010-11-06,83
2010-11-07 - 2010-11-13,81
2010-11-14 - 2010-11-20,83
2010-11-21 - 2010-11-27,79
2010-11-28 - 2010-12-04,81
2010-12-05 - 2010-12-11,83
2010-12-12 - 2010-12-18,81
2010-12-19 - 2010-12-25,78
2010-12-26 - 2011-01-01,80
2011-01-02 - 2011-01-08,83
2011-01-09 - 2011-01-15,83
2011-01-16 - 2011-01-22,82
2011-01-23 - 2011-01-29,81
2011-01-30 - 2011-02-05,82
2011-02-06 - 2011-02-12,82
2011-02-13 - 2011-02-19,82
2011-02-20 - 2011-02-26,80
2011-02-27 - 2011-03-05,82
2011-03-06 - 2011-03-12,82
2011-03-13 - 2011-03-19,80
2011-03-20 - 2011-03-26,83
2011-03-27 - 2011-04-02,82
2011-04-03 - 2011-04-09,83
2011-04-10 - 2011-04-16,83
2011-04-17 - 2011-04-23,85
2011-04-24 - 2011-04-30,84
2011-05-01 - 2011-05-07,84
2011-05-08 - 2011-05-14,83
2011-05-15 - 2011-05-21,85
2011-05-22 - 2011-05-28,83
2011-05-29 - 2011-06-04,82
2011-06-05 - 2011-06-11,82
2011-06-12 - 2011-06-18,82
2011-06-19 - 2011-06-25,83
2011-06-26 - 2011-07-02,81
2011-07-03 - 2011-07-09,82
2011-07-10 - 2011-07-16,82
2011-07-17 - 2011-07-23,83
2011-07-24 - 2011-07-30,83
2011-07-31 - 2011-08-06,82
2011-08-07 - 2011-08-13,82
2011-08-14 - 2011-08-20,82
2011-08-21 - 2011-08-27,81
2011-08-28 - 2011-09-03,81
2011-09-04 - 2011-09-10,80
2011-09-11 - 2011-09-17,82
2011-09-18 - 2011-09-24,82
2011-09-25 - 2011-10-01,83
2011-10-02 - 2011-10-08,82
2011-10-09 - 2011-10-15,84
2011-10-16 - 2011-10-22,83
2011-10-23 - 2011-10-29,83
2011-10-30 - 2011-11-05,84
2011-11-06 - 2011-11-12,85
2011-11-13 - 2011-11-19,86
2011-11-20 - 2011-11-26,81
2011-11-27 - 2011-12-03,85
2011-12-04 - 2011-12-10,85
2011-12-11 - 2011-12-17,83
2011-12-18 - 2011-12-24,82
2011-12-25 - 2011-12-31,84
2012-01-01 - 2012-01-07,85
2012-01-08 - 2012-01-14,84
2012-01-15 - 2012-01-21,86
2012-01-22 - 2012-01-28,85
2012-01-29 - 2012-02-04,83
2012-02-05 - 2012-02-11,85
2012-02-12 - 2012-02-18,85
2012-02-19 - 2012-02-25,87
2012-02-26 - 2012-03-03,87
2012-03-04 - 2012-03-10,85
2012-03-11 - 2012-03-17,82
2012-03-18 - 2012-03-24,85
2012-03-25 - 2012-03-31,84
2012-04-01 - 2012-04-07,84
2012-04-08 - 2012-04-14,84
2012-04-15 - 2012-04-21,85
2012-04-22 - 2012-04-28,86
2012-04-29 - 2012-05-05,87
2012-05-06 - 2012-05-12,86
2012-05-13 - 2012-05-19,85
2012-05-20 - 2012-05-26,85
2012-05-27 - 2012-06-02,83
2012-06-03 - 2012-06-09,84
2012-06-10 - 2012-06-16,83
2012-06-17 - 2012-06-23,82
2012-06-24 - 2012-06-30,84
2012-07-01 - 2012-07-07,83
2012-07-08 - 2012-07-14,84
2012-07-15 - 2012-07-21,87
2012-07-22 - 2012-07-28,87
2012-07-29 - 2012-08-04,85
2012-08-05 - 2012-08-11,85
2012-08-12 - 2012-08-18,87
2012-08-19 - 2012-08-25,86
2012-08-26 - 2012-09-01,86
2012-09-02 - 2012-09-08,86
2012-09-09 - 2012-09-15,88
2012-09-16 - 2012-09-22,89
2012-09-23 - 2012-09-29,88
2012-09-30 - 2012-10-06,87
2012-10-07 - 2012-10-13,84
2012-10-14 - 2012-10-20,86
2012-10-21 - 2012-10-27,87
2012-10-28 - 2012-11-03,85
2012-11-04 - 2012-11-10,86
2012-11-11 - 2012-11-17,85
2012-11-18 - 2012-11-24,83
2012-11-25 - 2012-12-01,87
2012-12-02 - 2012-12-08,87
2012-12-09 - 2012-12-15,87
2012-12-16 - 2012-12-22,85
2012-12-23 - 2012-12-29,84
2012-12-30 - 2013-01-05,87
2013-01-06 - 2013-01-12,85
2013-01-13 - 2013-01-19,84
2013-01-20 - 2013-01-26,85
2013-01-27 - 2013-02-02,86
2013-02-03 - 2013-02-09,87
2013-02-10 - 2013-02-16,88
2013-02-17 - 2013-02-23,86
2013-02-24 - 2013-03-02,88
2013-03-03 - 2013-03-09,87
2013-03-10 - 2013-03-16,86
2013-03-17 - 2013-03-23,87
2013-03-24 - 2013-03-30,89
2013-03-31 - 2013-04-06,85
2013-04-07 - 2013-04-13,87
2013-04-14 - 2013-04-20,88
2013-04-21 - 2013-04-27,86
2013-04-28 - 2013-05-04,87
2013-05-05 - 2013-05-11,87
2013-05-12 - 2013-05-18,85
2013-05-19 - 2013-05-25,84
2013-05-26 - 2013-06-01,85
2013-06-02 - 2013-06-08,85
2013-06-09 - 2013-06-15,85
2013-06-16 - 2013-06-22,86
2013-06-23 - 2013-06-29,86
2013-06-30 - 2013-07-06,85
2013-07-07 - 2013-07-13,86
2013-07-14 - 2013-07-20,87
2013-07-21 - 2013-07-27,88
2013-07-28 - 2013-08-03,87
2013-08-04 - 2013-08-10,87
2013-08-11 - 2013-08-17,85
2013-08-18 - 2013-08-24,86
2013-08-25 - 2013-08-31,85
2013-09-01 - 2013-09-07,85
2013-09-08 - 2013-09-14,87
2013-09-15 - 2013-09-21,89
2013-09-22 - 2013-09-28,88
2013-09-29 - 2013-10-05,89
2013-10-06 - 2013-10-12,88
2013-10-13 - 2013-10-19,90
2013-10-20 - 2013-10-26,89
2013-10-27 - 2013-11-02,90
2013-11-03 - 2013-11-09,89
2013-11-10 - 2013-11-16,89
2013-11-17 - 2013-11-23,89
2013-11-24 - 2013-11-30,87
2013-12-01 - 2013-12-07,89
2013-12-08 - 2013-12-14,88
2013-12-15 - 2013-12-21,86
2013-12-22 - 2013-12-28,88
2013-12-29 - 2014-01-04,91
2014-01-05 - 2014-01-11,90
2014-01-12 - 2014-01-18,90
2014-01-19 - 2014-01-25,89
2014-01-26 - 2014-02-01,90
2014-02-02 - 2014-02-08,92
2014-02-09 - 2014-02-15,89
2014-02-16 - 2014-02-22,89
2014-02-23 - 2014-03-01,91
2014-03-02 - 2014-03-08,91
2014-03-09 - 2014-03-15,89
2014-03-16 - 2014-03-22,89
2014-03-23 - 2014-03-29,89
2014-03-30 - 2014-04-05,88
2014-04-06 - 2014-04-12,90
2014-04-13 - 2014-04-19,92
2014-04-20 - 2014-04-26,90
2014-04-27 - 2014-05-03,90
2014-05-04 - 2014-05-10,90
2014-05-11 - 2014-05-17,87
2014-05-18 - 2014-05-24,89
2014-05-25 - 2014-05-31,86
2014-06-01 - 2014-06-07,89
2014-06-08 - 2014-06-14,87
2014-06-15 - 2014-06-21,86
2014-06-22 - 2014-06-28,86
2014-06-29 - 2014-07-05,87
2014-07-06 - 2014-07-12,88
2014-07-13 - 2014-07-19,88
2014-07-20 - 2014-07-26,91
2014-07-27 - 2014-08-02,90
2014-08-03 - 2014-08-09,90
2014-08-10 - 2014-08-16,89
2014-08-17 - 2014-08-23,89
2014-08-24 - 2014-08-30,88
2014-08-31 - 2014-09-06,89
2014-09-07 - 2014-09-13,90
2014-09-14 - 2014-09-20,91
2014-09-21 - 2014-09-27,91
2014-09-28 - 2014-10-04,92
2014-10-05 - 2014-10-11,90
2014-10-12 - 2014-10-18,91
2014-10-19 - 2014-10-25,90
2014-10-26 - 2014-11-01,91
2014-11-02 - 2014-11-08,93
2014-11-09 - 2014-11-15,91
2014-11-16 - 2014-11-22,92
2014-11-23 - 2014-11-29,88
2014-11-30 - 2014-12-06,92
2014-12-07 - 2014-12-13,94
2014-12-14 - 2014-12-20,90
2014-12-21 - 2014-12-27,92
2014-12-28 - 2015-01-03,95
2015-01-04 - 2015-01-10,91
2015-01-11 - 2015-01-17,92
2015-01-18 - 2015-01-24,91
2015-01-25 - 2015-01-31,92
2015-02-01 - 2015-02-07,91
2015-02-08 - 2015-02-14,92
2015-02-15 - 2015-02-21,93
2015-02-22 - 2015-02-28,92
2015-03-01 - 2015-03-07,92
2015-03-08 - 2015-03-14,93
2015-03-15 - 2015-03-21,90
2015-03-22 - 2015-03-28,91
2015-03-29 - 2015-04-04,92
2015-04-05 - 2015-04-11,93
2015-04-12 - 2015-04-18,91
2015-04-19 - 2015-04-25,92
2015-04-26 - 2015-05-02,93
2015-05-03 - 2015-05-09,91
2015-05-10 - 2015-05-16,92
2015-05-17 - 2015-05-23,92
2015-05-24 - 2015-05-30,91
2015-05-31 - 2015-06-06,92
2015-06-07 - 2015-06-13,90
2015-06-14 - 2015-06-20,91
2015-06-21 - 2015-06-27,90
2015-06-28 - 2015-07-04,90
2015-07-05 - 2015-07-11,92
2015-07-12 - 2015-07-18,91
2015-07-19 - 2015-07-25,90
2015-07-26 - 2015-08-01,94
2015-08-02 - 2015-08-08,92
2015-08-09 - 2015-08-15,91
2015-08-16 - 2015-08-22,92
2015-08-23 - 2015-08-29,92
2015-08-30 - 2015-09-05,92
2015-09-06 - 2015-09-12,94
2015-09-13 - 2015-09-19,95
2015-09-20 - 2015-09-26,95
2015-09-27 - 2015-10-03,94
2015-10-04 - 2015-10-10,95
2015-10-11 - 2015-10-17,94
2015-10-18 - 2015-10-24,94
2015-10-25 - 2015-10-31,94
2015-11-01 - 2015-11-07,94
2015-11-08 - 2015-11-14,94
2015-11-15 - 2015-11-21,95
2015-11-22 - 2015-11-28,90
2015-11-29 - 2015-12-05,94
2015-12-06 - 2015-12-12,95
2015-12-13 - 2015-12-19,95
2015-12-20 - 2015-12-26,95
2015-12-27 - 2016-01-02,99
2016-01-03 - 2016-01-09,99
2016-01-10 - 2016-01-16,100
2016-01-17 - 2016-01-23,99
2016-01-24 - 2016-01-30,99
2016-01-31 - 2016-02-06,97
2016-02-07 - 2016-02-13,96
2016-02-14 - 2016-02-20,96
2016-02-21 - 2016-02-27,96
2016-02-28 - 2016-03-05,95
2016-03-06 - 2016-03-12,96
2016-03-13 - 2016-03-19,94
2016-03-20 - 2016-03-26,94
2016-03-27 - 2016-04-02,96
2016-04-03 - 2016-04-09,98
2016-04-10 - 2016-04-16,96
2016-04-17 - 2016-04-23,97
2016-04-24 - 2016-04-30,97
2016-05-01 - 2016-05-07,96
2016-05-08 - 2016-05-14,95
2016-05-15 - 2016-05-21,95
2016-05-22 - 2016-05-28,95
2016-05-29 - 2016-06-04,93
2016-06-05 - 2016-06-11,93
2016-06-12 - 2016-06-18,94
2016-06-19 - 2016-06-25,96
2016-06-26 - 2016-07-02,96


Top regions for down+to+the+countryside+movement
Region,down+to+the+countryside+movement
Philippines,100
Nigeria,100
Ghana,96
South Africa,86
Australia,85
United States,83
New Zealand,82
Singapore,81
Kenya,80
United Kingdom,78
Ireland,77
Canada,74
United Arab Emirates,58
India,55
Sri Lanka,52
Pakistan,48
Malaysia,47
Bangladesh,43
Hong Kong,36
Norway,31
Vietnam,27
Greece,26
Sweden,23
Denmark,23
Bolivia,23
Croatia,21
Czech Republic,21
Netherlands,21
Israel,21
Serbia,20
Indonesia,19
Romania,18
Belgium,18
Portugal,18
Slovakia,17
Bulgaria,17
Finland,17
Poland,17
Saudi Arabia,16
Egypt,16
South Korea,16
Switzerland,15
Thailand,15
Hungary,14
Austria,13
Morocco,12
Mexico,12
Chile,12
Italy,12
Germany,12
Spain,10
Iran,10
Argentina,10
France,10
Brazil,9
Taiwan,9
Colombia,8
Peru,8
China,6
Russia,6
Ukraine,6
Turkey,6
Japan,4


Top cities for down+to+the+countryside+movement
City,down+to+the+countryside+movement
Melbourne (Australia),100
Sydney (Australia),99
Houston (United States),88
Los Angeles (United States),87
Singapore (Singapore),86
Chicago (United States),85
Atlanta (United States),85
New York (United States),85
Dallas (United States),83
Washington (United States),83
Toronto (Canada),83
San Francisco (United States),81
Dublin (Ireland),81
Manchester (United Kingdom),81
London (United Kingdom),76



Top searches for down+to+the+countryside+movement
how to,100
youtube,10
google,5
facebook,5
youtube to mp3,5
weather,5
the sun,5
the walking dead,0
the voice,0
yahoo,0
translate,0
the bay,0
amazon,0
you to be,0
the rock,0
the west,0
gmail,0
the age,0
ebay,0
maps,0
bbc,0
the mail,0
itunes,0
twitter,0
hotmail,0
wikipedia,0
you tube,0
craigslist,0
spanish to english,0
the pirate bay,0
walmart,0
the vampire diaries,0
pdf to word,0
the flash,0
google maps,0
google translate,0
the guardian,0
fb,0
the sims 3,0
the beatles,0
yahoo mail,0
the thao,0
myspace,0
facebook login,0
the range,0
translator,0
the simpsons,0
the hobbit,0
daily mail,0
the weather channel,0



Rising searches for down+to+the+countryside+movement
facebook,Breakout
the walking dead,Breakout
youtube,Breakout
youtube to mp3,Breakout
google,+800%
gmail,+650%
the voice,+350%
translate,+250%
amazon,+120%
you to be,+90%



