Web Search interest: big data
Worldwide 2004 - present

Interest over time
Week,big data
2006-10-08 - 2006-10-14,5
2006-10-15 - 2006-10-21,4
2006-10-22 - 2006-10-28,5
2006-10-29 - 2006-11-04,6
2006-11-05 - 2006-11-11,3
2006-11-12 - 2006-11-18,3
2006-11-19 - 2006-11-25,4
2006-11-26 - 2006-12-02,4
2006-12-03 - 2006-12-09,3
2006-12-10 - 2006-12-16,3
2006-12-17 - 2006-12-23,4
2006-12-24 - 2006-12-30,3
2006-12-31 - 2007-01-06,3
2007-01-07 - 2007-01-13,4
2007-01-14 - 2007-01-20,5
2007-01-21 - 2007-01-27,4
2007-01-28 - 2007-02-03,4
2007-02-04 - 2007-02-10,4
2007-02-11 - 2007-02-17,5
2007-02-18 - 2007-02-24,4
2007-02-25 - 2007-03-03,4
2007-03-04 - 2007-03-10,4
2007-03-11 - 2007-03-17,5
2007-03-18 - 2007-03-24,4
2007-03-25 - 2007-03-31,3
2007-04-01 - 2007-04-07,4
2007-04-08 - 2007-04-14,4
2007-04-15 - 2007-04-21,4
2007-04-22 - 2007-04-28,5
2007-04-29 - 2007-05-05,4
2007-05-06 - 2007-05-12,4
2007-05-13 - 2007-05-19,4
2007-05-20 - 2007-05-26,3
2007-05-27 - 2007-06-02,4
2007-06-03 - 2007-06-09,4
2007-06-10 - 2007-06-16,5
2007-06-17 - 2007-06-23,4
2007-06-24 - 2007-06-30,6
2007-07-01 - 2007-07-07,4
2007-07-08 - 2007-07-14,4
2007-07-15 - 2007-07-21,4
2007-07-22 - 2007-07-28,5
2007-07-29 - 2007-08-04,5
2007-08-05 - 2007-08-11,5
2007-08-12 - 2007-08-18,4
2007-08-19 - 2007-08-25,4
2007-08-26 - 2007-09-01,5
2007-09-02 - 2007-09-08,5
2007-09-09 - 2007-09-15,5
2007-09-16 - 2007-09-22,6
2007-09-23 - 2007-09-29,4
2007-09-30 - 2007-10-06,5
2007-10-07 - 2007-10-13,6
2007-10-14 - 2007-10-20,5
2007-10-21 - 2007-10-27,5
2007-10-28 - 2007-11-03,5
2007-11-04 - 2007-11-10,5
2007-11-11 - 2007-11-17,4
2007-11-18 - 2007-11-24,5
2007-11-25 - 2007-12-01,5
2007-12-02 - 2007-12-08,5
2007-12-09 - 2007-12-15,4
2007-12-16 - 2007-12-22,4
2007-12-23 - 2007-12-29,3
2007-12-30 - 2008-01-05,4
2008-01-06 - 2008-01-12,5
2008-01-13 - 2008-01-19,5
2008-01-20 - 2008-01-26,5
2008-01-27 - 2008-02-02,4
2008-02-03 - 2008-02-09,4
2008-02-10 - 2008-02-16,4
2008-02-17 - 2008-02-23,5
2008-02-24 - 2008-03-01,5
2008-03-02 - 2008-03-08,5
2008-03-09 - 2008-03-15,4
2008-03-16 - 2008-03-22,5
2008-03-23 - 2008-03-29,5
2008-03-30 - 2008-04-05,5
2008-04-06 - 2008-04-12,5
2008-04-13 - 2008-04-19,5
2008-04-20 - 2008-04-26,5
2008-04-27 - 2008-05-03,4
2008-05-04 - 2008-05-10,5
2008-05-11 - 2008-05-17,5
2008-05-18 - 2008-05-24,5
2008-05-25 - 2008-05-31,3
2008-06-01 - 2008-06-07,5
2008-06-08 - 2008-06-14,5
2008-06-15 - 2008-06-21,5
2008-06-22 - 2008-06-28,4
2008-06-29 - 2008-07-05,4
2008-07-06 - 2008-07-12,5
2008-07-13 - 2008-07-19,5
2008-07-20 - 2008-07-26,5
2008-07-27 - 2008-08-02,4
2008-08-03 - 2008-08-09,5
2008-08-10 - 2008-08-16,4
2008-08-17 - 2008-08-23,5
2008-08-24 - 2008-08-30,5
2008-08-31 - 2008-09-06,5
2008-09-07 - 2008-09-13,6
2008-09-14 - 2008-09-20,5
2008-09-21 - 2008-09-27,5
2008-09-28 - 2008-10-04,5
2008-10-05 - 2008-10-11,5
2008-10-12 - 2008-10-18,6
2008-10-19 - 2008-10-25,6
2008-10-26 - 2008-11-01,5
2008-11-02 - 2008-11-08,5
2008-11-09 - 2008-11-15,5
2008-11-16 - 2008-11-22,5
2008-11-23 - 2008-11-29,5
2008-11-30 - 2008-12-06,5
2008-12-07 - 2008-12-13,5
2008-12-14 - 2008-12-20,6
2008-12-21 - 2008-12-27,3
2008-12-28 - 2009-01-03,4
2009-01-04 - 2009-01-10,4
2009-01-11 - 2009-01-17,5
2009-01-18 - 2009-01-24,5
2009-01-25 - 2009-01-31,6
2009-02-01 - 2009-02-07,6
2009-02-08 - 2009-02-14,5
2009-02-15 - 2009-02-21,4
2009-02-22 - 2009-02-28,5
2009-03-01 - 2009-03-07,5
2009-03-08 - 2009-03-14,5
2009-03-15 - 2009-03-21,6
2009-03-22 - 2009-03-28,5
2009-03-29 - 2009-04-04,4
2009-04-05 - 2009-04-11,5
2009-04-12 - 2009-04-18,5
2009-04-19 - 2009-04-25,5
2009-04-26 - 2009-05-02,5
2009-05-03 - 2009-05-09,5
2009-05-10 - 2009-05-16,5
2009-05-17 - 2009-05-23,5
2009-05-24 - 2009-05-30,5
2009-05-31 - 2009-06-06,5
2009-06-07 - 2009-06-13,5
2009-06-14 - 2009-06-20,5
2009-06-21 - 2009-06-27,4
2009-06-28 - 2009-07-04,4
2009-07-05 - 2009-07-11,5
2009-07-12 - 2009-07-18,5
2009-07-19 - 2009-07-25,4
2009-07-26 - 2009-08-01,5
2009-08-02 - 2009-08-08,5
2009-08-09 - 2009-08-15,6
2009-08-16 - 2009-08-22,6
2009-08-23 - 2009-08-29,5
2009-08-30 - 2009-09-05,5
2009-09-06 - 2009-09-12,6
2009-09-13 - 2009-09-19,6
2009-09-20 - 2009-09-26,6
2009-09-27 - 2009-10-03,5
2009-10-04 - 2009-10-10,5
2009-10-11 - 2009-10-17,5
2009-10-18 - 2009-10-24,6
2009-10-25 - 2009-10-31,5
2009-11-01 - 2009-11-07,5
2009-11-08 - 2009-11-14,5
2009-11-15 - 2009-11-21,5
2009-11-22 - 2009-11-28,6
2009-11-29 - 2009-12-05,5
2009-12-06 - 2009-12-12,6
2009-12-13 - 2009-12-19,5
2009-12-20 - 2009-12-26,4
2009-12-27 - 2010-01-02,5
2010-01-03 - 2010-01-09,6
2010-01-10 - 2010-01-16,5
2010-01-17 - 2010-01-23,5
2010-01-24 - 2010-01-30,6
2010-01-31 - 2010-02-06,5
2010-02-07 - 2010-02-13,6
2010-02-14 - 2010-02-20,6
2010-02-21 - 2010-02-27,6
2010-02-28 - 2010-03-06,5
2010-03-07 - 2010-03-13,6
2010-03-14 - 2010-03-20,5
2010-03-21 - 2010-03-27,6
2010-03-28 - 2010-04-03,6
2010-04-04 - 2010-04-10,6
2010-04-11 - 2010-04-17,6
2010-04-18 - 2010-04-24,6
2010-04-25 - 2010-05-01,7
2010-05-02 - 2010-05-08,6
2010-05-09 - 2010-05-15,5
2010-05-16 - 2010-05-22,5
2010-05-23 - 2010-05-29,5
2010-05-30 - 2010-06-05,6
2010-06-06 - 2010-06-12,5
2010-06-13 - 2010-06-19,6
2010-06-20 - 2010-06-26,5
2010-06-27 - 2010-07-03,5
2010-07-04 - 2010-07-10,5
2010-07-11 - 2010-07-17,6
2010-07-18 - 2010-07-24,5
2010-07-25 - 2010-07-31,6
2010-08-01 - 2010-08-07,6
2010-08-08 - 2010-08-14,6
2010-08-15 - 2010-08-21,5
2010-08-22 - 2010-08-28,6
2010-08-29 - 2010-09-04,6
2010-09-05 - 2010-09-11,6
2010-09-12 - 2010-09-18,6
2010-09-19 - 2010-09-25,6
2010-09-26 - 2010-10-02,6
2010-10-03 - 2010-10-09,6
2010-10-10 - 2010-10-16,6
2010-10-17 - 2010-10-23,6
2010-10-24 - 2010-10-30,6
2010-10-31 - 2010-11-06,6
2010-11-07 - 2010-11-13,6
2010-11-14 - 2010-11-20,7
2010-11-21 - 2010-11-27,6
2010-11-28 - 2010-12-04,6
2010-12-05 - 2010-12-11,6
2010-12-12 - 2010-12-18,7
2010-12-19 - 2010-12-25,5
2010-12-26 - 2011-01-01,5
2011-01-02 - 2011-01-08,6
2011-01-09 - 2011-01-15,7
2011-01-16 - 2011-01-22,8
2011-01-23 - 2011-01-29,7
2011-01-30 - 2011-02-05,7
2011-02-06 - 2011-02-12,8
2011-02-13 - 2011-02-19,7
2011-02-20 - 2011-02-26,6
2011-02-27 - 2011-03-05,7
2011-03-06 - 2011-03-12,7
2011-03-13 - 2011-03-19,7
2011-03-20 - 2011-03-26,8
2011-03-27 - 2011-04-02,7
2011-04-03 - 2011-04-09,7
2011-04-10 - 2011-04-16,7
2011-04-17 - 2011-04-23,6
2011-04-24 - 2011-04-30,6
2011-05-01 - 2011-05-07,7
2011-05-08 - 2011-05-14,8
2011-05-15 - 2011-05-21,9
2011-05-22 - 2011-05-28,9
2011-05-29 - 2011-06-04,7
2011-06-05 - 2011-06-11,9
2011-06-12 - 2011-06-18,8
2011-06-19 - 2011-06-25,8
2011-06-26 - 2011-07-02,8
2011-07-03 - 2011-07-09,8
2011-07-10 - 2011-07-16,10
2011-07-17 - 2011-07-23,9
2011-07-24 - 2011-07-30,8
2011-07-31 - 2011-08-06,8
2011-08-07 - 2011-08-13,8
2011-08-14 - 2011-08-20,9
2011-08-21 - 2011-08-27,9
2011-08-28 - 2011-09-03,9
2011-09-04 - 2011-09-10,10
2011-09-11 - 2011-09-17,10
2011-09-18 - 2011-09-24,10
2011-09-25 - 2011-10-01,11
2011-10-02 - 2011-10-08,13
2011-10-09 - 2011-10-15,14
2011-10-16 - 2011-10-22,12
2011-10-23 - 2011-10-29,12
2011-10-30 - 2011-11-05,13
2011-11-06 - 2011-11-12,14
2011-11-13 - 2011-11-19,13
2011-11-20 - 2011-11-26,12
2011-11-27 - 2011-12-03,16
2011-12-04 - 2011-12-10,14
2011-12-11 - 2011-12-17,13
2011-12-18 - 2011-12-24,12
2011-12-25 - 2011-12-31,11
2012-01-01 - 2012-01-07,14
2012-01-08 - 2012-01-14,17
2012-01-15 - 2012-01-21,16
2012-01-22 - 2012-01-28,16
2012-01-29 - 2012-02-04,19
2012-02-05 - 2012-02-11,18
2012-02-12 - 2012-02-18,23
2012-02-19 - 2012-02-25,20
2012-02-26 - 2012-03-03,20
2012-03-04 - 2012-03-10,22
2012-03-11 - 2012-03-17,22
2012-03-18 - 2012-03-24,23
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,24
2012-04-15 - 2012-04-21,25
2012-04-22 - 2012-04-28,25
2012-04-29 - 2012-05-05,25
2012-05-06 - 2012-05-12,26
2012-05-13 - 2012-05-19,25
2012-05-20 - 2012-05-26,26
2012-05-27 - 2012-06-02,25
2012-06-03 - 2012-06-09,27
2012-06-10 - 2012-06-16,27
2012-06-17 - 2012-06-23,26
2012-06-24 - 2012-06-30,26
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,27
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,27
2012-07-29 - 2012-08-04,27
2012-08-05 - 2012-08-11,26
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,30
2012-09-09 - 2012-09-15,33
2012-09-16 - 2012-09-22,35
2012-09-23 - 2012-09-29,37
2012-09-30 - 2012-10-06,37
2012-10-07 - 2012-10-13,38
2012-10-14 - 2012-10-20,37
2012-10-21 - 2012-10-27,40
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,39
2012-11-18 - 2012-11-24,36
2012-11-25 - 2012-12-01,39
2012-12-02 - 2012-12-08,42
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,31
2013-01-06 - 2013-01-12,41
2013-01-13 - 2013-01-19,42
2013-01-20 - 2013-01-26,42
2013-01-27 - 2013-02-02,43
2013-02-03 - 2013-02-09,45
2013-02-10 - 2013-02-16,44
2013-02-17 - 2013-02-23,47
2013-02-24 - 2013-03-02,48
2013-03-03 - 2013-03-09,53
2013-03-10 - 2013-03-16,53
2013-03-17 - 2013-03-23,53
2013-03-24 - 2013-03-30,51
2013-03-31 - 2013-04-06,54
2013-04-07 - 2013-04-13,53
2013-04-14 - 2013-04-20,52
2013-04-21 - 2013-04-27,58
2013-04-28 - 2013-05-04,53
2013-05-05 - 2013-05-11,53
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,55
2013-06-02 - 2013-06-08,60
2013-06-09 - 2013-06-15,56
2013-06-16 - 2013-06-22,56
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,50
2013-07-07 - 2013-07-13,55
2013-07-14 - 2013-07-20,55
2013-07-21 - 2013-07-27,52
2013-07-28 - 2013-08-03,53
2013-08-04 - 2013-08-10,54
2013-08-11 - 2013-08-17,51
2013-08-18 - 2013-08-24,56
2013-08-25 - 2013-08-31,54
2013-09-01 - 2013-09-07,57
2013-09-08 - 2013-09-14,60
2013-09-15 - 2013-09-21,62
2013-09-22 - 2013-09-28,65
2013-09-29 - 2013-10-05,65
2013-10-06 - 2013-10-12,65
2013-10-13 - 2013-10-19,64
2013-10-20 - 2013-10-26,66
2013-10-27 - 2013-11-02,63
2013-11-03 - 2013-11-09,64
2013-11-10 - 2013-11-16,68
2013-11-17 - 2013-11-23,68
2013-11-24 - 2013-11-30,61
2013-12-01 - 2013-12-07,64
2013-12-08 - 2013-12-14,62
2013-12-15 - 2013-12-21,58
2013-12-22 - 2013-12-28,44
2013-12-29 - 2014-01-04,49
2014-01-05 - 2014-01-11,64
2014-01-12 - 2014-01-18,67
2014-01-19 - 2014-01-25,69
2014-01-26 - 2014-02-01,71
2014-02-02 - 2014-02-08,69
2014-02-09 - 2014-02-15,72
2014-02-16 - 2014-02-22,73
2014-02-23 - 2014-03-01,75
2014-03-02 - 2014-03-08,74
2014-03-09 - 2014-03-15,79
2014-03-16 - 2014-03-22,76
2014-03-23 - 2014-03-29,76
2014-03-30 - 2014-04-05,76
2014-04-06 - 2014-04-12,76
2014-04-13 - 2014-04-19,69
2014-04-20 - 2014-04-26,72
2014-04-27 - 2014-05-03,73
2014-05-04 - 2014-05-10,79
2014-05-11 - 2014-05-17,72
2014-05-18 - 2014-05-24,78
2014-05-25 - 2014-05-31,70
2014-06-01 - 2014-06-07,73
2014-06-08 - 2014-06-14,72
2014-06-15 - 2014-06-21,75
2014-06-22 - 2014-06-28,74
2014-06-29 - 2014-07-05,71
2014-07-06 - 2014-07-12,76
2014-07-13 - 2014-07-19,77
2014-07-20 - 2014-07-26,76
2014-07-27 - 2014-08-02,74
2014-08-03 - 2014-08-09,75
2014-08-10 - 2014-08-16,73
2014-08-17 - 2014-08-23,78
2014-08-24 - 2014-08-30,75
2014-08-31 - 2014-09-06,76
2014-09-07 - 2014-09-13,81
2014-09-14 - 2014-09-20,91
2014-09-21 - 2014-09-27,88
2014-09-28 - 2014-10-04,86
2014-10-05 - 2014-10-11,85
2014-10-12 - 2014-10-18,86
2014-10-19 - 2014-10-25,83
2014-10-26 - 2014-11-01,89
2014-11-02 - 2014-11-08,88
2014-11-09 - 2014-11-15,89
2014-11-16 - 2014-11-22,90
2014-11-23 - 2014-11-29,81
2014-11-30 - 2014-12-06,85
2014-12-07 - 2014-12-13,83
2014-12-14 - 2014-12-20,78
2014-12-21 - 2014-12-27,57
2014-12-28 - 2015-01-03,57
2015-01-04 - 2015-01-10,76
2015-01-11 - 2015-01-17,81
2015-01-18 - 2015-01-24,85
2015-01-25 - 2015-01-31,87
2015-02-01 - 2015-02-07,87
2015-02-08 - 2015-02-14,85
2015-02-15 - 2015-02-21,86
2015-02-22 - 2015-02-28,90
2015-03-01 - 2015-03-07,87
2015-03-08 - 2015-03-14,93
2015-03-15 - 2015-03-21,89
2015-03-22 - 2015-03-28,98
2015-03-29 - 2015-04-04,87
2015-04-05 - 2015-04-11,86
2015-04-12 - 2015-04-18,90
2015-04-19 - 2015-04-25,89
2015-04-26 - 2015-05-02,84
2015-05-03 - 2015-05-09,86
2015-05-10 - 2015-05-16,85
2015-05-17 - 2015-05-23,86
2015-05-24 - 2015-05-30,83
2015-05-31 - 2015-06-06,85
2015-06-07 - 2015-06-13,86
2015-06-14 - 2015-06-20,86
2015-06-21 - 2015-06-27,82
2015-06-28 - 2015-07-04,79
2015-07-05 - 2015-07-11,78
2015-07-12 - 2015-07-18,77
2015-07-19 - 2015-07-25,77
2015-07-26 - 2015-08-01,76
2015-08-02 - 2015-08-08,74
2015-08-09 - 2015-08-15,77
2015-08-16 - 2015-08-22,81
2015-08-23 - 2015-08-29,81
2015-08-30 - 2015-09-05,81
2015-09-06 - 2015-09-12,88
2015-09-13 - 2015-09-19,88
2015-09-20 - 2015-09-26,90
2015-09-27 - 2015-10-03,91
2015-10-04 - 2015-10-10,93
2015-10-11 - 2015-10-17,90
2015-10-18 - 2015-10-24,84
2015-10-25 - 2015-10-31,89
2015-11-01 - 2015-11-07,92
2015-11-08 - 2015-11-14,84
2015-11-15 - 2015-11-21,90
2015-11-22 - 2015-11-28,85
2015-11-29 - 2015-12-05,85
2015-12-06 - 2015-12-12,87
2015-12-13 - 2015-12-19,83
2015-12-20 - 2015-12-26,62
2015-12-27 - 2016-01-02,58
2016-01-03 - 2016-01-09,83
2016-01-10 - 2016-01-16,86
2016-01-17 - 2016-01-23,93
2016-01-24 - 2016-01-30,91
2016-01-31 - 2016-02-06,91
2016-02-07 - 2016-02-13,93
2016-02-14 - 2016-02-20,95
2016-02-21 - 2016-02-27,100
2016-02-28 - 2016-03-05,92
2016-03-06 - 2016-03-12,94
2016-03-13 - 2016-03-19,92
2016-03-20 - 2016-03-26,83
2016-03-27 - 2016-04-02,85
2016-04-03 - 2016-04-09,89
2016-04-10 - 2016-04-16,92
2016-04-17 - 2016-04-23,91
2016-04-24 - 2016-04-30,91
2016-05-01 - 2016-05-07,87
2016-05-08 - 2016-05-14,92
2016-05-15 - 2016-05-21,87
2016-05-22 - 2016-05-28,88
2016-05-29 - 2016-06-04,89
2016-06-05 - 2016-06-11,87
2016-06-12 - 2016-06-18,85
2016-06-19 - 2016-06-25,84
2016-06-26 - 2016-07-02,58


Top regions for big data
Region,big data
India,100
Singapore,73
Hong Kong,59
South Korea,52
Taiwan,43
Sri Lanka,34
Kenya,31
United States,31
Ireland,28
South Africa,27
United Arab Emirates,26
Netherlands,26
Nigeria,26
Tunisia,26
Israel,25
Australia,25
Malaysia,25
Bangladesh,24
Switzerland,23
United Kingdom,23
Pakistan,23
Canada,22
Spain,21
Denmark,21
France,21
New Zealand,20
Finland,18
Norway,18
Morocco,18
Germany,17
Belgium,16
Philippines,16
Sweden,15
Austria,14
Iran,13
Czech Republic,13
Colombia,13
Brazil,13
Indonesia,12
Bulgaria,11
Portugal,11
Italy,11
Greece,11
Ecuador,11
Hungary,10
Peru,10
China,10
Egypt,9
Romania,9
Russia,9
Chile,8
Mexico,8
Poland,8
Thailand,8
Saudi Arabia,7
Argentina,7
Ukraine,7
Vietnam,7
Turkey,4
Venezuela,4
Japan,4


Top cities for big data
City,big data
Chinchwad (India),100
Gurgaon (India),53
New Okhla Industrial Development Area (India),50
Bangalore (India),40
Chennai (India),33
Hyderabad (India),33
San Jose (United States),18
Singapore (Singapore),15
Seoul (South Korea),14
Mumbai (India),14
Pune (India),12
Howrah (India),12
San Francisco (United States),11
Sydney (Australia),10
Melbourne (Australia),8



Top searches for big data
data analytics,100
big data analytics,100
hadoop big data,75
hadoop,75
google big data,35
cloud big data,30
big data pdf,30
big data analysis,25
data analysis,25
big data jobs,25
dangerous big data,25
big data university,20
big data training,20
ibm big data,20
big data science,20
data science,20
oracle big data,20
big data management,20
big data software,20
big data tutorial,15
big data database,15
data mining,15
big data companies,15
big data technology,15
wiki big data,15
bigdata,15
definition big data,15
big data conference,15
big data tools,15
big data marketing,10
r big data,10
big data course,10
big data ppt,10
big bang data,10
big data certification,10
big data technologies,10
why big data,10
big data security,10
amazon big data,10
big data architecture,10
big data courses,10
microsoft big data,10
big data book,10
apache big data,10
sap big data,10
big data solutions,10
big data news,10
big data meaning,10
python big data,10
master big data,10



Rising searches for big data
big data analytics,Breakout
big data jobs,Breakout
cloud big data,Breakout
dangerous big data,Breakout
data analytics,Breakout
hadoop,Breakout
hadoop big data,Breakout
google big data,+800%
big data pdf,+400%
big data university,+300%



