Web Search interest: apartment
Worldwide 2004 - present

Interest over time
Week,apartment
2005-03-06 - 2005-03-12,79
2005-03-13 - 2005-03-19,79
2005-03-20 - 2005-03-26,81
2005-03-27 - 2005-04-02,84
2005-04-03 - 2005-04-09,81
2005-04-10 - 2005-04-16,80
2005-04-17 - 2005-04-23,83
2005-04-24 - 2005-04-30,84
2005-05-01 - 2005-05-07,86
2005-05-08 - 2005-05-14,83
2005-05-15 - 2005-05-21,82
2005-05-22 - 2005-05-28,80
2005-05-29 - 2005-06-04,83
2005-06-05 - 2005-06-11,85
2005-06-12 - 2005-06-18,83
2005-06-19 - 2005-06-25,83
2005-06-26 - 2005-07-02,83
2005-07-03 - 2005-07-09,82
2005-07-10 - 2005-07-16,88
2005-07-17 - 2005-07-23,91
2005-07-24 - 2005-07-30,89
2005-07-31 - 2005-08-06,89
2005-08-07 - 2005-08-13,84
2005-08-14 - 2005-08-20,84
2005-08-21 - 2005-08-27,79
2005-08-28 - 2005-09-03,74
2005-09-04 - 2005-09-10,71
2005-09-11 - 2005-09-17,69
2005-09-18 - 2005-09-24,68
2005-09-25 - 2005-10-01,70
2005-10-02 - 2005-10-08,69
2005-10-09 - 2005-10-15,66
2005-10-16 - 2005-10-22,65
2005-10-23 - 2005-10-29,65
2005-10-30 - 2005-11-05,65
2005-11-06 - 2005-11-12,64
2005-11-13 - 2005-11-19,64
2005-11-20 - 2005-11-26,56
2005-11-27 - 2005-12-03,64
2005-12-04 - 2005-12-10,61
2005-12-11 - 2005-12-17,60
2005-12-18 - 2005-12-24,55
2005-12-25 - 2005-12-31,69
2006-01-01 - 2006-01-07,77
2006-01-08 - 2006-01-14,75
2006-01-15 - 2006-01-21,73
2006-01-22 - 2006-01-28,74
2006-01-29 - 2006-02-04,75
2006-02-05 - 2006-02-11,70
2006-02-12 - 2006-02-18,68
2006-02-19 - 2006-02-25,71
2006-02-26 - 2006-03-04,74
2006-03-05 - 2006-03-11,71
2006-03-12 - 2006-03-18,71
2006-03-19 - 2006-03-25,74
2006-03-26 - 2006-04-01,73
2006-04-02 - 2006-04-08,75
2006-04-09 - 2006-04-15,77
2006-04-16 - 2006-04-22,79
2006-04-23 - 2006-04-29,77
2006-04-30 - 2006-05-06,81
2006-05-07 - 2006-05-13,75
2006-05-14 - 2006-05-20,75
2006-05-21 - 2006-05-27,74
2006-05-28 - 2006-06-03,74
2006-06-04 - 2006-06-10,80
2006-06-11 - 2006-06-17,76
2006-06-18 - 2006-06-24,76
2006-06-25 - 2006-07-01,77
2006-07-02 - 2006-07-08,77
2006-07-09 - 2006-07-15,84
2006-07-16 - 2006-07-22,84
2006-07-23 - 2006-07-29,86
2006-07-30 - 2006-08-05,84
2006-08-06 - 2006-08-12,80
2006-08-13 - 2006-08-19,78
2006-08-20 - 2006-08-26,73
2006-08-27 - 2006-09-02,69
2006-09-03 - 2006-09-09,65
2006-09-10 - 2006-09-16,64
2006-09-17 - 2006-09-23,63
2006-09-24 - 2006-09-30,62
2006-10-01 - 2006-10-07,62
2006-10-08 - 2006-10-14,62
2006-10-15 - 2006-10-21,60
2006-10-22 - 2006-10-28,59
2006-10-29 - 2006-11-04,60
2006-11-05 - 2006-11-11,58
2006-11-12 - 2006-11-18,59
2006-11-19 - 2006-11-25,51
2006-11-26 - 2006-12-02,57
2006-12-03 - 2006-12-09,55
2006-12-10 - 2006-12-16,54
2006-12-17 - 2006-12-23,49
2006-12-24 - 2006-12-30,55
2006-12-31 - 2007-01-06,66
2007-01-07 - 2007-01-13,67
2007-01-14 - 2007-01-20,66
2007-01-21 - 2007-01-27,65
2007-01-28 - 2007-02-03,65
2007-02-04 - 2007-02-10,64
2007-02-11 - 2007-02-17,61
2007-02-18 - 2007-02-24,65
2007-02-25 - 2007-03-03,64
2007-03-04 - 2007-03-10,65
2007-03-11 - 2007-03-17,65
2007-03-18 - 2007-03-24,64
2007-03-25 - 2007-03-31,67
2007-04-01 - 2007-04-07,70
2007-04-08 - 2007-04-14,69
2007-04-15 - 2007-04-21,67
2007-04-22 - 2007-04-28,67
2007-04-29 - 2007-05-05,70
2007-05-06 - 2007-05-12,68
2007-05-13 - 2007-05-19,69
2007-05-20 - 2007-05-26,66
2007-05-27 - 2007-06-02,67
2007-06-03 - 2007-06-09,69
2007-06-10 - 2007-06-16,66
2007-06-17 - 2007-06-23,66
2007-06-24 - 2007-06-30,68
2007-07-01 - 2007-07-07,67
2007-07-08 - 2007-07-14,73
2007-07-15 - 2007-07-21,73
2007-07-22 - 2007-07-28,71
2007-07-29 - 2007-08-04,71
2007-08-05 - 2007-08-11,70
2007-08-12 - 2007-08-18,70
2007-08-19 - 2007-08-25,66
2007-08-26 - 2007-09-01,61
2007-09-02 - 2007-09-08,58
2007-09-09 - 2007-09-15,56
2007-09-16 - 2007-09-22,56
2007-09-23 - 2007-09-29,55
2007-09-30 - 2007-10-06,56
2007-10-07 - 2007-10-13,55
2007-10-14 - 2007-10-20,54
2007-10-21 - 2007-10-27,54
2007-10-28 - 2007-11-03,53
2007-11-04 - 2007-11-10,52
2007-11-11 - 2007-11-17,51
2007-11-18 - 2007-11-24,46
2007-11-25 - 2007-12-01,51
2007-12-02 - 2007-12-08,51
2007-12-09 - 2007-12-15,48
2007-12-16 - 2007-12-22,46
2007-12-23 - 2007-12-29,49
2007-12-30 - 2008-01-05,63
2008-01-06 - 2008-01-12,64
2008-01-13 - 2008-01-19,62
2008-01-20 - 2008-01-26,63
2008-01-27 - 2008-02-02,63
2008-02-03 - 2008-02-09,60
2008-02-10 - 2008-02-16,59
2008-02-17 - 2008-02-23,60
2008-02-24 - 2008-03-01,61
2008-03-02 - 2008-03-08,60
2008-03-09 - 2008-03-15,60
2008-03-16 - 2008-03-22,60
2008-03-23 - 2008-03-29,64
2008-03-30 - 2008-04-05,65
2008-04-06 - 2008-04-12,66
2008-04-13 - 2008-04-19,65
2008-04-20 - 2008-04-26,64
2008-04-27 - 2008-05-03,66
2008-05-04 - 2008-05-10,64
2008-05-11 - 2008-05-17,65
2008-05-18 - 2008-05-24,63
2008-05-25 - 2008-05-31,62
2008-06-01 - 2008-06-07,65
2008-06-08 - 2008-06-14,64
2008-06-15 - 2008-06-21,65
2008-06-22 - 2008-06-28,67
2008-06-29 - 2008-07-05,65
2008-07-06 - 2008-07-12,68
2008-07-13 - 2008-07-19,69
2008-07-20 - 2008-07-26,69
2008-07-27 - 2008-08-02,70
2008-08-03 - 2008-08-09,69
2008-08-10 - 2008-08-16,68
2008-08-17 - 2008-08-23,66
2008-08-24 - 2008-08-30,67
2008-08-31 - 2008-09-06,61
2008-09-07 - 2008-09-13,59
2008-09-14 - 2008-09-20,56
2008-09-21 - 2008-09-27,55
2008-09-28 - 2008-10-04,54
2008-10-05 - 2008-10-11,51
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,51
2008-10-26 - 2008-11-01,49
2008-11-02 - 2008-11-08,49
2008-11-09 - 2008-11-15,50
2008-11-16 - 2008-11-22,47
2008-11-23 - 2008-11-29,42
2008-11-30 - 2008-12-06,46
2008-12-07 - 2008-12-13,46
2008-12-14 - 2008-12-20,43
2008-12-21 - 2008-12-27,41
2008-12-28 - 2009-01-03,52
2009-01-04 - 2009-01-10,57
2009-01-11 - 2009-01-17,56
2009-01-18 - 2009-01-24,53
2009-01-25 - 2009-01-31,53
2009-02-01 - 2009-02-07,53
2009-02-08 - 2009-02-14,50
2009-02-15 - 2009-02-21,52
2009-02-22 - 2009-02-28,52
2009-03-01 - 2009-03-07,53
2009-03-08 - 2009-03-14,52
2009-03-15 - 2009-03-21,52
2009-03-22 - 2009-03-28,53
2009-03-29 - 2009-04-04,54
2009-04-05 - 2009-04-11,55
2009-04-12 - 2009-04-18,55
2009-04-19 - 2009-04-25,55
2009-04-26 - 2009-05-02,55
2009-05-03 - 2009-05-09,53
2009-05-10 - 2009-05-16,53
2009-05-17 - 2009-05-23,54
2009-05-24 - 2009-05-30,52
2009-05-31 - 2009-06-06,54
2009-06-07 - 2009-06-13,55
2009-06-14 - 2009-06-20,53
2009-06-21 - 2009-06-27,53
2009-06-28 - 2009-07-04,52
2009-07-05 - 2009-07-11,56
2009-07-12 - 2009-07-18,57
2009-07-19 - 2009-07-25,57
2009-07-26 - 2009-08-01,57
2009-08-02 - 2009-08-08,57
2009-08-09 - 2009-08-15,56
2009-08-16 - 2009-08-22,54
2009-08-23 - 2009-08-29,51
2009-08-30 - 2009-09-05,49
2009-09-06 - 2009-09-12,46
2009-09-13 - 2009-09-19,45
2009-09-20 - 2009-09-26,45
2009-09-27 - 2009-10-03,45
2009-10-04 - 2009-10-10,44
2009-10-11 - 2009-10-17,45
2009-10-18 - 2009-10-24,42
2009-10-25 - 2009-10-31,42
2009-11-01 - 2009-11-07,43
2009-11-08 - 2009-11-14,42
2009-11-15 - 2009-11-21,42
2009-11-22 - 2009-11-28,37
2009-11-29 - 2009-12-05,41
2009-12-06 - 2009-12-12,41
2009-12-13 - 2009-12-19,39
2009-12-20 - 2009-12-26,36
2009-12-27 - 2010-01-02,45
2010-01-03 - 2010-01-09,50
2010-01-10 - 2010-01-16,49
2010-01-17 - 2010-01-23,48
2010-01-24 - 2010-01-30,48
2010-01-31 - 2010-02-06,47
2010-02-07 - 2010-02-13,46
2010-02-14 - 2010-02-20,46
2010-02-21 - 2010-02-27,47
2010-02-28 - 2010-03-06,49
2010-03-07 - 2010-03-13,48
2010-03-14 - 2010-03-20,47
2010-03-21 - 2010-03-27,49
2010-03-28 - 2010-04-03,49
2010-04-04 - 2010-04-10,50
2010-04-11 - 2010-04-17,49
2010-04-18 - 2010-04-24,50
2010-04-25 - 2010-05-01,51
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,50
2010-05-16 - 2010-05-22,51
2010-05-23 - 2010-05-29,50
2010-05-30 - 2010-06-05,49
2010-06-06 - 2010-06-12,51
2010-06-13 - 2010-06-19,49
2010-06-20 - 2010-06-26,52
2010-06-27 - 2010-07-03,50
2010-07-04 - 2010-07-10,53
2010-07-11 - 2010-07-17,55
2010-07-18 - 2010-07-24,56
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,55
2010-08-08 - 2010-08-14,54
2010-08-15 - 2010-08-21,53
2010-08-22 - 2010-08-28,51
2010-08-29 - 2010-09-04,49
2010-09-05 - 2010-09-11,46
2010-09-12 - 2010-09-18,45
2010-09-19 - 2010-09-25,45
2010-09-26 - 2010-10-02,44
2010-10-03 - 2010-10-09,43
2010-10-10 - 2010-10-16,43
2010-10-17 - 2010-10-23,42
2010-10-24 - 2010-10-30,42
2010-10-31 - 2010-11-06,42
2010-11-07 - 2010-11-13,41
2010-11-14 - 2010-11-20,41
2010-11-21 - 2010-11-27,37
2010-11-28 - 2010-12-04,41
2010-12-05 - 2010-12-11,40
2010-12-12 - 2010-12-18,38
2010-12-19 - 2010-12-25,35
2010-12-26 - 2011-01-01,42
2011-01-02 - 2011-01-08,50
2011-01-09 - 2011-01-15,49
2011-01-16 - 2011-01-22,48
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,47
2011-02-06 - 2011-02-12,46
2011-02-13 - 2011-02-19,45
2011-02-20 - 2011-02-26,47
2011-02-27 - 2011-03-05,47
2011-03-06 - 2011-03-12,46
2011-03-13 - 2011-03-19,45
2011-03-20 - 2011-03-26,49
2011-03-27 - 2011-04-02,50
2011-04-03 - 2011-04-09,51
2011-04-10 - 2011-04-16,50
2011-04-17 - 2011-04-23,51
2011-04-24 - 2011-04-30,50
2011-05-01 - 2011-05-07,48
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,50
2011-05-29 - 2011-06-04,52
2011-06-05 - 2011-06-11,51
2011-06-12 - 2011-06-18,50
2011-06-19 - 2011-06-25,52
2011-06-26 - 2011-07-02,51
2011-07-03 - 2011-07-09,52
2011-07-10 - 2011-07-16,54
2011-07-17 - 2011-07-23,55
2011-07-24 - 2011-07-30,53
2011-07-31 - 2011-08-06,54
2011-08-07 - 2011-08-13,51
2011-08-14 - 2011-08-20,51
2011-08-21 - 2011-08-27,48
2011-08-28 - 2011-09-03,46
2011-09-04 - 2011-09-10,44
2011-09-11 - 2011-09-17,44
2011-09-18 - 2011-09-24,43
2011-09-25 - 2011-10-01,44
2011-10-02 - 2011-10-08,42
2011-10-09 - 2011-10-15,42
2011-10-16 - 2011-10-22,41
2011-10-23 - 2011-10-29,42
2011-10-30 - 2011-11-05,43
2011-11-06 - 2011-11-12,41
2011-11-13 - 2011-11-19,41
2011-11-20 - 2011-11-26,36
2011-11-27 - 2011-12-03,40
2011-12-04 - 2011-12-10,40
2011-12-11 - 2011-12-17,39
2011-12-18 - 2011-12-24,37
2011-12-25 - 2011-12-31,42
2012-01-01 - 2012-01-07,49
2012-01-08 - 2012-01-14,48
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,48
2012-02-05 - 2012-02-11,46
2012-02-12 - 2012-02-18,45
2012-02-19 - 2012-02-25,48
2012-02-26 - 2012-03-03,47
2012-03-04 - 2012-03-10,47
2012-03-11 - 2012-03-17,45
2012-03-18 - 2012-03-24,47
2012-03-25 - 2012-03-31,48
2012-04-01 - 2012-04-07,51
2012-04-08 - 2012-04-14,51
2012-04-15 - 2012-04-21,52
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,53
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,50
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,52
2012-06-03 - 2012-06-09,51
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,52
2012-06-24 - 2012-06-30,54
2012-07-01 - 2012-07-07,53
2012-07-08 - 2012-07-14,56
2012-07-15 - 2012-07-21,57
2012-07-22 - 2012-07-28,60
2012-07-29 - 2012-08-04,55
2012-08-05 - 2012-08-11,54
2012-08-12 - 2012-08-18,55
2012-08-19 - 2012-08-25,53
2012-08-26 - 2012-09-01,51
2012-09-02 - 2012-09-08,49
2012-09-09 - 2012-09-15,48
2012-09-16 - 2012-09-22,47
2012-09-23 - 2012-09-29,46
2012-09-30 - 2012-10-06,46
2012-10-07 - 2012-10-13,44
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,44
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,41
2012-11-11 - 2012-11-17,41
2012-11-18 - 2012-11-24,38
2012-11-25 - 2012-12-01,41
2012-12-02 - 2012-12-08,41
2012-12-09 - 2012-12-15,39
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,39
2012-12-30 - 2013-01-05,47
2013-01-06 - 2013-01-12,49
2013-01-13 - 2013-01-19,48
2013-01-20 - 2013-01-26,49
2013-01-27 - 2013-02-02,48
2013-02-03 - 2013-02-09,46
2013-02-10 - 2013-02-16,44
2013-02-17 - 2013-02-23,47
2013-02-24 - 2013-03-02,48
2013-03-03 - 2013-03-09,48
2013-03-10 - 2013-03-16,47
2013-03-17 - 2013-03-23,47
2013-03-24 - 2013-03-30,48
2013-03-31 - 2013-04-06,48
2013-04-07 - 2013-04-13,48
2013-04-14 - 2013-04-20,48
2013-04-21 - 2013-04-27,48
2013-04-28 - 2013-05-04,49
2013-05-05 - 2013-05-11,48
2013-05-12 - 2013-05-18,49
2013-05-19 - 2013-05-25,49
2013-05-26 - 2013-06-01,50
2013-06-02 - 2013-06-08,51
2013-06-09 - 2013-06-15,49
2013-06-16 - 2013-06-22,49
2013-06-23 - 2013-06-29,49
2013-06-30 - 2013-07-06,49
2013-07-07 - 2013-07-13,52
2013-07-14 - 2013-07-20,52
2013-07-21 - 2013-07-27,54
2013-07-28 - 2013-08-03,55
2013-08-04 - 2013-08-10,53
2013-08-11 - 2013-08-17,52
2013-08-18 - 2013-08-24,51
2013-08-25 - 2013-08-31,48
2013-09-01 - 2013-09-07,47
2013-09-08 - 2013-09-14,46
2013-09-15 - 2013-09-21,45
2013-09-22 - 2013-09-28,45
2013-09-29 - 2013-10-05,46
2013-10-06 - 2013-10-12,46
2013-10-13 - 2013-10-19,46
2013-10-20 - 2013-10-26,44
2013-10-27 - 2013-11-02,44
2013-11-03 - 2013-11-09,46
2013-11-10 - 2013-11-16,44
2013-11-17 - 2013-11-23,44
2013-11-24 - 2013-11-30,39
2013-12-01 - 2013-12-07,43
2013-12-08 - 2013-12-14,41
2013-12-15 - 2013-12-21,39
2013-12-22 - 2013-12-28,40
2013-12-29 - 2014-01-04,49
2014-01-05 - 2014-01-11,52
2014-01-12 - 2014-01-18,51
2014-01-19 - 2014-01-25,50
2014-01-26 - 2014-02-01,49
2014-02-02 - 2014-02-08,49
2014-02-09 - 2014-02-15,47
2014-02-16 - 2014-02-22,49
2014-02-23 - 2014-03-01,50
2014-03-02 - 2014-03-08,50
2014-03-09 - 2014-03-15,49
2014-03-16 - 2014-03-22,49
2014-03-23 - 2014-03-29,52
2014-03-30 - 2014-04-05,50
2014-04-06 - 2014-04-12,50
2014-04-13 - 2014-04-19,51
2014-04-20 - 2014-04-26,51
2014-04-27 - 2014-05-03,53
2014-05-04 - 2014-05-10,52
2014-05-11 - 2014-05-17,52
2014-05-18 - 2014-05-24,50
2014-05-25 - 2014-05-31,50
2014-06-01 - 2014-06-07,53
2014-06-08 - 2014-06-14,50
2014-06-15 - 2014-06-21,50
2014-06-22 - 2014-06-28,51
2014-06-29 - 2014-07-05,51
2014-07-06 - 2014-07-12,54
2014-07-13 - 2014-07-19,54
2014-07-20 - 2014-07-26,54
2014-07-27 - 2014-08-02,54
2014-08-03 - 2014-08-09,55
2014-08-10 - 2014-08-16,53
2014-08-17 - 2014-08-23,53
2014-08-24 - 2014-08-30,51
2014-08-31 - 2014-09-06,49
2014-09-07 - 2014-09-13,48
2014-09-14 - 2014-09-20,47
2014-09-21 - 2014-09-27,45
2014-09-28 - 2014-10-04,48
2014-10-05 - 2014-10-11,45
2014-10-12 - 2014-10-18,45
2014-10-19 - 2014-10-25,44
2014-10-26 - 2014-11-01,44
2014-11-02 - 2014-11-08,44
2014-11-09 - 2014-11-15,44
2014-11-16 - 2014-11-22,43
2014-11-23 - 2014-11-29,39
2014-11-30 - 2014-12-06,42
2014-12-07 - 2014-12-13,42
2014-12-14 - 2014-12-20,40
2014-12-21 - 2014-12-27,38
2014-12-28 - 2015-01-03,48
2015-01-04 - 2015-01-10,51
2015-01-11 - 2015-01-17,51
2015-01-18 - 2015-01-24,50
2015-01-25 - 2015-01-31,49
2015-02-01 - 2015-02-07,49
2015-02-08 - 2015-02-14,48
2015-02-15 - 2015-02-21,49
2015-02-22 - 2015-02-28,50
2015-03-01 - 2015-03-07,50
2015-03-08 - 2015-03-14,51
2015-03-15 - 2015-03-21,50
2015-03-22 - 2015-03-28,51
2015-03-29 - 2015-04-04,52
2015-04-05 - 2015-04-11,52
2015-04-12 - 2015-04-18,51
2015-04-19 - 2015-04-25,51
2015-04-26 - 2015-05-02,52
2015-05-03 - 2015-05-09,52
2015-05-10 - 2015-05-16,53
2015-05-17 - 2015-05-23,51
2015-05-24 - 2015-05-30,52
2015-05-31 - 2015-06-06,54
2015-06-07 - 2015-06-13,53
2015-06-14 - 2015-06-20,51
2015-06-21 - 2015-06-27,52
2015-06-28 - 2015-07-04,54
2015-07-05 - 2015-07-11,55
2015-07-12 - 2015-07-18,55
2015-07-19 - 2015-07-25,56
2015-07-26 - 2015-08-01,57
2015-08-02 - 2015-08-08,57
2015-08-09 - 2015-08-15,55
2015-08-16 - 2015-08-22,55
2015-08-23 - 2015-08-29,53
2015-08-30 - 2015-09-05,52
2015-09-06 - 2015-09-12,49
2015-09-13 - 2015-09-19,48
2015-09-20 - 2015-09-26,48
2015-09-27 - 2015-10-03,47
2015-10-04 - 2015-10-10,47
2015-10-11 - 2015-10-17,46
2015-10-18 - 2015-10-24,45
2015-10-25 - 2015-10-31,45
2015-11-01 - 2015-11-07,47
2015-11-08 - 2015-11-14,45
2015-11-15 - 2015-11-21,44
2015-11-22 - 2015-11-28,39
2015-11-29 - 2015-12-05,44
2015-12-06 - 2015-12-12,43
2015-12-13 - 2015-12-19,43
2015-12-20 - 2015-12-26,40
2015-12-27 - 2016-01-02,49
2016-01-03 - 2016-01-09,54
2016-01-10 - 2016-01-16,54
2016-01-17 - 2016-01-23,53
2016-01-24 - 2016-01-30,53
2016-01-31 - 2016-02-06,51
2016-02-07 - 2016-02-13,49
2016-02-14 - 2016-02-20,49
2016-02-21 - 2016-02-27,51
2016-02-28 - 2016-03-05,51
2016-03-06 - 2016-03-12,50
2016-03-13 - 2016-03-19,50
2016-03-20 - 2016-03-26,50
2016-03-27 - 2016-04-02,52
2016-04-03 - 2016-04-09,53
2016-04-10 - 2016-04-16,52
2016-04-17 - 2016-04-23,51
2016-04-24 - 2016-04-30,51
2016-05-01 - 2016-05-07,52
2016-05-08 - 2016-05-14,51
2016-05-15 - 2016-05-21,53
2016-05-22 - 2016-05-28,52
2016-05-29 - 2016-06-04,55
2016-06-05 - 2016-06-11,53
2016-06-12 - 2016-06-18,52
2016-06-19 - 2016-06-25,53
2016-06-26 - 2016-07-02,53


Top regions for apartment
Region,apartment
Malaysia,100
United States,57
Singapore,56
United Arab Emirates,49
Australia,47
Canada,46
Ireland,46
Philippines,46
New Zealand,36
Qatar,35
Hong Kong,34
Kuwait,25
United Kingdom,22
South Africa,21
Nigeria,19
Austria,18
Norway,18
India,18
Denmark,15
Indonesia,14
Sweden,14
Switzerland,13
Croatia,13
Germany,12
Thailand,12
Finland,10
Israel,10
South Korea,9
Saudi Arabia,9
Pakistan,9
Netherlands,8
Hungary,8
Greece,8
Czech Republic,7
Romania,6
Portugal,6
Belgium,6
Italy,5
Spain,5
Egypt,4
China,4
Taiwan,4
Vietnam,4
France,3
Russia,3
Ukraine,3
Poland,3
Argentina,2
Mexico,2
Japan,2
Turkey,2
Brazil,1


Top cities for apartment
City,apartment
Kuala Lumpur (Malaysia),100
New York (United States),82
Austin (United States),76
Houston (United States),76
Chicago (United States),68
San Antonio (United States),68
Washington (United States),68
Dallas (United States),66
Boston (United States),65
Atlanta (United States),63
Los Angeles (United States),61
Philadelphia (United States),60
Phoenix (United States),59
Seattle (United States),58
Miami (United States),56



Top searches for apartment
rent,100
apartment rent,100
apartments,100
apartment for rent,65
the apartment,50
apartment rentals,30
apartment rental,25
apartments for rent,20
apartment finder,20
apartment for sale,20
studio apartment,15
apartment guide,15
apartment therapy,10
new york apartment,10
my apartment,10
service apartment,10
apartment reviews,10
apartment complex,10
mikes apartment,5
small apartment,5
apartment lease,5
chicago apartment,5
paris apartment,5
apartment search,5
apartment design,5
apartment jobs,5
rent an apartment,5
apartment ratings,5
apartment list,5
houses for rent,5
apartment furniture,5
apartment 23,5
apartment people,5
apartment plans,5
apartment listings,5
apartment decorating,5
loft apartment,5
apartment dogs,0
garage apartment,0
apartment barcelona,0
apartment finders,0
adina apartment hotel,0
apartment locator,0
find an apartment,0
penang apartment,0
apartment 1303,0
efficiency apartment,0
apartment checklist,0



Rising searches for apartment
apartment therapy,Breakout
apartments for rent,+150%
apartment for rent,+130%
my apartment,+120%
studio apartment,+110%
apartment reviews,+80%
apartment for sale,+70%
apartment rent,+60%
rent,+60%
the apartment,+60%



