Web Search interest: prostaglandin
Worldwide 2004 - present

Interest over time
Week,prostaglandin
2010-06-13 - 2010-06-19,37
2010-06-20 - 2010-06-26,30
2010-06-27 - 2010-07-03,35
2010-07-04 - 2010-07-10,31
2010-07-11 - 2010-07-17,33
2010-07-18 - 2010-07-24,34
2010-07-25 - 2010-07-31,35
2010-08-01 - 2010-08-07,33
2010-08-08 - 2010-08-14,36
2010-08-15 - 2010-08-21,33
2010-08-22 - 2010-08-28,41
2010-08-29 - 2010-09-04,33
2010-09-05 - 2010-09-11,38
2010-09-12 - 2010-09-18,42
2010-09-19 - 2010-09-25,44
2010-09-26 - 2010-10-02,40
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,47
2010-10-17 - 2010-10-23,43
2010-10-24 - 2010-10-30,43
2010-10-31 - 2010-11-06,51
2010-11-07 - 2010-11-13,45
2010-11-14 - 2010-11-20,44
2010-11-21 - 2010-11-27,38
2010-11-28 - 2010-12-04,41
2010-12-05 - 2010-12-11,42
2010-12-12 - 2010-12-18,41
2010-12-19 - 2010-12-25,27
2010-12-26 - 2011-01-01,32
2011-01-02 - 2011-01-08,38
2011-01-09 - 2011-01-15,43
2011-01-16 - 2011-01-22,36
2011-01-23 - 2011-01-29,41
2011-01-30 - 2011-02-05,40
2011-02-06 - 2011-02-12,41
2011-02-13 - 2011-02-19,44
2011-02-20 - 2011-02-26,49
2011-02-27 - 2011-03-05,46
2011-03-06 - 2011-03-12,52
2011-03-13 - 2011-03-19,46
2011-03-20 - 2011-03-26,48
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,50
2011-04-10 - 2011-04-16,42
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,49
2011-05-01 - 2011-05-07,47
2011-05-08 - 2011-05-14,43
2011-05-15 - 2011-05-21,42
2011-05-22 - 2011-05-28,43
2011-05-29 - 2011-06-04,37
2011-06-05 - 2011-06-11,43
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,35
2011-06-26 - 2011-07-02,37
2011-07-03 - 2011-07-09,32
2011-07-10 - 2011-07-16,34
2011-07-17 - 2011-07-23,38
2011-07-24 - 2011-07-30,32
2011-07-31 - 2011-08-06,36
2011-08-07 - 2011-08-13,37
2011-08-14 - 2011-08-20,38
2011-08-21 - 2011-08-27,34
2011-08-28 - 2011-09-03,34
2011-09-04 - 2011-09-10,36
2011-09-11 - 2011-09-17,38
2011-09-18 - 2011-09-24,39
2011-09-25 - 2011-10-01,38
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,42
2011-10-23 - 2011-10-29,47
2011-10-30 - 2011-11-05,43
2011-11-06 - 2011-11-12,41
2011-11-13 - 2011-11-19,48
2011-11-20 - 2011-11-26,40
2011-11-27 - 2011-12-03,43
2011-12-04 - 2011-12-10,45
2011-12-11 - 2011-12-17,39
2011-12-18 - 2011-12-24,27
2011-12-25 - 2011-12-31,27
2012-01-01 - 2012-01-07,30
2012-01-08 - 2012-01-14,39
2012-01-15 - 2012-01-21,37
2012-01-22 - 2012-01-28,38
2012-01-29 - 2012-02-04,47
2012-02-05 - 2012-02-11,42
2012-02-12 - 2012-02-18,37
2012-02-19 - 2012-02-25,40
2012-02-26 - 2012-03-03,44
2012-03-04 - 2012-03-10,44
2012-03-11 - 2012-03-17,40
2012-03-18 - 2012-03-24,100
2012-03-25 - 2012-03-31,67
2012-04-01 - 2012-04-07,46
2012-04-08 - 2012-04-14,48
2012-04-15 - 2012-04-21,46
2012-04-22 - 2012-04-28,44
2012-04-29 - 2012-05-05,49
2012-05-06 - 2012-05-12,48
2012-05-13 - 2012-05-19,44
2012-05-20 - 2012-05-26,43
2012-05-27 - 2012-06-02,39
2012-06-03 - 2012-06-09,37
2012-06-10 - 2012-06-16,40
2012-06-17 - 2012-06-23,36
2012-06-24 - 2012-06-30,37
2012-07-01 - 2012-07-07,33
2012-07-08 - 2012-07-14,42
2012-07-15 - 2012-07-21,36
2012-07-22 - 2012-07-28,36
2012-07-29 - 2012-08-04,32
2012-08-05 - 2012-08-11,36
2012-08-12 - 2012-08-18,34
2012-08-19 - 2012-08-25,46
2012-08-26 - 2012-09-01,38
2012-09-02 - 2012-09-08,44
2012-09-09 - 2012-09-15,46
2012-09-16 - 2012-09-22,47
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,42
2012-10-07 - 2012-10-13,44
2012-10-14 - 2012-10-20,46
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,48
2012-11-04 - 2012-11-10,42
2012-11-11 - 2012-11-17,46
2012-11-18 - 2012-11-24,40
2012-11-25 - 2012-12-01,42
2012-12-02 - 2012-12-08,44
2012-12-09 - 2012-12-15,45
2012-12-16 - 2012-12-22,31
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,39
2013-01-13 - 2013-01-19,43
2013-01-20 - 2013-01-26,37
2013-01-27 - 2013-02-02,41
2013-02-03 - 2013-02-09,37
2013-02-10 - 2013-02-16,41
2013-02-17 - 2013-02-23,45
2013-02-24 - 2013-03-02,45
2013-03-03 - 2013-03-09,44
2013-03-10 - 2013-03-16,45
2013-03-17 - 2013-03-23,45
2013-03-24 - 2013-03-30,37
2013-03-31 - 2013-04-06,40
2013-04-07 - 2013-04-13,42
2013-04-14 - 2013-04-20,45
2013-04-21 - 2013-04-27,44
2013-04-28 - 2013-05-04,40
2013-05-05 - 2013-05-11,40
2013-05-12 - 2013-05-18,40
2013-05-19 - 2013-05-25,42
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,36
2013-06-16 - 2013-06-22,37
2013-06-23 - 2013-06-29,36
2013-06-30 - 2013-07-06,29
2013-07-07 - 2013-07-13,32
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,28
2013-07-28 - 2013-08-03,28
2013-08-04 - 2013-08-10,30
2013-08-11 - 2013-08-17,29
2013-08-18 - 2013-08-24,30
2013-08-25 - 2013-08-31,32
2013-09-01 - 2013-09-07,35
2013-09-08 - 2013-09-14,37
2013-09-15 - 2013-09-21,37
2013-09-22 - 2013-09-28,40
2013-09-29 - 2013-10-05,42
2013-10-06 - 2013-10-12,38
2013-10-13 - 2013-10-19,41
2013-10-20 - 2013-10-26,44
2013-10-27 - 2013-11-02,40
2013-11-03 - 2013-11-09,43
2013-11-10 - 2013-11-16,40
2013-11-17 - 2013-11-23,37
2013-11-24 - 2013-11-30,37
2013-12-01 - 2013-12-07,45
2013-12-08 - 2013-12-14,41
2013-12-15 - 2013-12-21,35
2013-12-22 - 2013-12-28,25
2013-12-29 - 2014-01-04,29
2014-01-05 - 2014-01-11,36
2014-01-12 - 2014-01-18,36
2014-01-19 - 2014-01-25,37
2014-01-26 - 2014-02-01,37
2014-02-02 - 2014-02-08,39
2014-02-09 - 2014-02-15,42
2014-02-16 - 2014-02-22,41
2014-02-23 - 2014-03-01,38
2014-03-02 - 2014-03-08,39
2014-03-09 - 2014-03-15,42
2014-03-16 - 2014-03-22,42
2014-03-23 - 2014-03-29,41
2014-03-30 - 2014-04-05,39
2014-04-06 - 2014-04-12,43
2014-04-13 - 2014-04-19,43
2014-04-20 - 2014-04-26,46
2014-04-27 - 2014-05-03,44
2014-05-04 - 2014-05-10,45
2014-05-11 - 2014-05-17,42
2014-05-18 - 2014-05-24,38
2014-05-25 - 2014-05-31,37
2014-06-01 - 2014-06-07,39
2014-06-08 - 2014-06-14,35
2014-06-15 - 2014-06-21,34
2014-06-22 - 2014-06-28,36
2014-06-29 - 2014-07-05,30
2014-07-06 - 2014-07-12,31
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,33
2014-07-27 - 2014-08-02,29
2014-08-03 - 2014-08-09,29
2014-08-10 - 2014-08-16,32
2014-08-17 - 2014-08-23,33
2014-08-24 - 2014-08-30,31
2014-08-31 - 2014-09-06,32
2014-09-07 - 2014-09-13,35
2014-09-14 - 2014-09-20,40
2014-09-21 - 2014-09-27,37
2014-09-28 - 2014-10-04,36
2014-10-05 - 2014-10-11,42
2014-10-12 - 2014-10-18,43
2014-10-19 - 2014-10-25,44
2014-10-26 - 2014-11-01,39
2014-11-02 - 2014-11-08,39
2014-11-09 - 2014-11-15,44
2014-11-16 - 2014-11-22,47
2014-11-23 - 2014-11-29,37
2014-11-30 - 2014-12-06,44
2014-12-07 - 2014-12-13,45
2014-12-14 - 2014-12-20,37
2014-12-21 - 2014-12-27,25
2014-12-28 - 2015-01-03,27
2015-01-04 - 2015-01-10,37
2015-01-11 - 2015-01-17,41
2015-01-18 - 2015-01-24,37
2015-01-25 - 2015-01-31,35
2015-02-01 - 2015-02-07,40
2015-02-08 - 2015-02-14,40
2015-02-15 - 2015-02-21,38
2015-02-22 - 2015-02-28,39
2015-03-01 - 2015-03-07,41
2015-03-08 - 2015-03-14,40
2015-03-15 - 2015-03-21,39
2015-03-22 - 2015-03-28,40
2015-03-29 - 2015-04-04,41
2015-04-05 - 2015-04-11,40
2015-04-12 - 2015-04-18,40
2015-04-19 - 2015-04-25,42
2015-04-26 - 2015-05-02,42
2015-05-03 - 2015-05-09,43
2015-05-10 - 2015-05-16,41
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,37
2015-05-31 - 2015-06-06,35
2015-06-07 - 2015-06-13,35
2015-06-14 - 2015-06-20,34
2015-06-21 - 2015-06-27,34
2015-06-28 - 2015-07-04,31
2015-07-05 - 2015-07-11,32
2015-07-12 - 2015-07-18,30
2015-07-19 - 2015-07-25,30
2015-07-26 - 2015-08-01,31
2015-08-02 - 2015-08-08,34
2015-08-09 - 2015-08-15,35
2015-08-16 - 2015-08-22,30
2015-08-23 - 2015-08-29,32
2015-08-30 - 2015-09-05,35
2015-09-06 - 2015-09-12,36
2015-09-13 - 2015-09-19,42
2015-09-20 - 2015-09-26,36
2015-09-27 - 2015-10-03,37
2015-10-04 - 2015-10-10,39
2015-10-11 - 2015-10-17,39
2015-10-18 - 2015-10-24,39
2015-10-25 - 2015-10-31,40
2015-11-01 - 2015-11-07,41
2015-11-08 - 2015-11-14,38
2015-11-15 - 2015-11-21,40
2015-11-22 - 2015-11-28,39
2015-11-29 - 2015-12-05,42
2015-12-06 - 2015-12-12,40
2015-12-13 - 2015-12-19,37
2015-12-20 - 2015-12-26,29
2015-12-27 - 2016-01-02,26
2016-01-03 - 2016-01-09,34
2016-01-10 - 2016-01-16,36
2016-01-17 - 2016-01-23,38
2016-01-24 - 2016-01-30,39
2016-01-31 - 2016-02-06,37
2016-02-07 - 2016-02-13,38
2016-02-14 - 2016-02-20,41
2016-02-21 - 2016-02-27,41
2016-02-28 - 2016-03-05,41
2016-03-06 - 2016-03-12,42
2016-03-13 - 2016-03-19,39
2016-03-20 - 2016-03-26,41
2016-03-27 - 2016-04-02,40
2016-04-03 - 2016-04-09,43
2016-04-10 - 2016-04-16,46
2016-04-17 - 2016-04-23,44
2016-04-24 - 2016-04-30,39
2016-05-01 - 2016-05-07,42
2016-05-08 - 2016-05-14,40
2016-05-15 - 2016-05-21,39
2016-05-22 - 2016-05-28,38
2016-05-29 - 2016-06-04,38
2016-06-05 - 2016-06-11,36
2016-06-12 - 2016-06-18,34
2016-06-19 - 2016-06-25,32
2016-06-26 - 2016-07-02,31
2016-07-03 - 2016-07-09,28


Top regions for prostaglandin
Region,prostaglandin
South Korea,100
Malaysia,92
Philippines,85
Indonesia,81
Australia,73
Sweden,68
Taiwan,60
Austria,56
United States,55
Canada,53
Switzerland,51
Germany,46
United Kingdom,42
Thailand,37
India,36
Turkey,23
Vietnam,23
Japan,9


Top cities for prostaglandin
City,prostaglandin
Boston (United States),100
Seoul (South Korea),96
Surabaya (Indonesia),88
Philadelphia (United States),87
Kuala Lumpur (Malaysia),83
Auckland (New Zealand),73
San Diego (United States),66
Stockholm (Sweden),66
Melbourne (Australia),63
Dublin (Ireland),62
Jakarta (Indonesia),59
Singapore (Singapore),57
Sydney (Australia),56
Toronto (Canada),53
Munich (Germany),51



Top searches for prostaglandin
prostaglandin e2,100
prostaglandins,75
prostaglandin e1,60
what is prostaglandin,45
prostaglandin synthesis,40
prostaglandin gel,40
prostaglandin e,35
prostaglandin d2,30
prostaglandin induction,25
prostaglandin inhibitors,25
prostaglandin f2,25
prostaglandin receptor,25
prostaglandin function,25
prostaglandin inhibitor,20
prostaglandin side effects,20
prostaglandin definition,15
prostaglandine,15
prostaglandin abortion,15
prostaglandin f2 alpha,15
pge2,15
prostaglandin pathway,15
prostaglandin analogs,10
arachidonic acid,10
prostaglandin injection,10
prostacyclin,10
hormon prostaglandin,10
thromboxane,10
function of prostaglandin,10
prostaglandin d,10
prostaglandin adalah,10
define prostaglandin,10
prostaglandin analogue,10
cyclooxygenase,10
prostaglandin analogues,10
leukotriene,10
prostoglandin,10



Rising searches for prostaglandin
prostaglandin d2,+450%
prostaglandins,+200%
prostaglandin inhibitors,+190%
what is prostaglandin,+170%
prostaglandin function,+130%
prostaglandin f2,+120%
prostaglandin e2,+110%
prostaglandin synthesis,+100%
prostaglandin e1,+80%
prostaglandin gel,+80%



