Web Search interest: corporate governance
Worldwide 2004 - present

Interest over time
Week,corporate governance
2006-01-22 - 2006-01-28,52
2006-01-29 - 2006-02-04,52
2006-02-05 - 2006-02-11,53
2006-02-12 - 2006-02-18,58
2006-02-19 - 2006-02-25,60
2006-02-26 - 2006-03-04,59
2006-03-05 - 2006-03-11,53
2006-03-12 - 2006-03-18,55
2006-03-19 - 2006-03-25,50
2006-03-26 - 2006-04-01,54
2006-04-02 - 2006-04-08,54
2006-04-09 - 2006-04-15,45
2006-04-16 - 2006-04-22,52
2006-04-23 - 2006-04-29,57
2006-04-30 - 2006-05-06,52
2006-05-07 - 2006-05-13,51
2006-05-14 - 2006-05-20,51
2006-05-21 - 2006-05-27,51
2006-05-28 - 2006-06-03,49
2006-06-04 - 2006-06-10,44
2006-06-11 - 2006-06-17,48
2006-06-18 - 2006-06-24,38
2006-06-25 - 2006-07-01,38
2006-07-02 - 2006-07-08,41
2006-07-09 - 2006-07-15,43
2006-07-16 - 2006-07-22,40
2006-07-23 - 2006-07-29,34
2006-07-30 - 2006-08-05,41
2006-08-06 - 2006-08-12,40
2006-08-13 - 2006-08-19,38
2006-08-20 - 2006-08-26,43
2006-08-27 - 2006-09-02,40
2006-09-03 - 2006-09-09,45
2006-09-10 - 2006-09-16,45
2006-09-17 - 2006-09-23,51
2006-09-24 - 2006-09-30,46
2006-10-01 - 2006-10-07,45
2006-10-08 - 2006-10-14,48
2006-10-15 - 2006-10-21,44
2006-10-22 - 2006-10-28,42
2006-10-29 - 2006-11-04,48
2006-11-05 - 2006-11-11,49
2006-11-12 - 2006-11-18,47
2006-11-19 - 2006-11-25,44
2006-11-26 - 2006-12-02,50
2006-12-03 - 2006-12-09,48
2006-12-10 - 2006-12-16,38
2006-12-17 - 2006-12-23,34
2006-12-24 - 2006-12-30,22
2006-12-31 - 2007-01-06,33
2007-01-07 - 2007-01-13,43
2007-01-14 - 2007-01-20,39
2007-01-21 - 2007-01-27,38
2007-01-28 - 2007-02-03,42
2007-02-04 - 2007-02-10,39
2007-02-11 - 2007-02-17,43
2007-02-18 - 2007-02-24,46
2007-02-25 - 2007-03-03,42
2007-03-04 - 2007-03-10,44
2007-03-11 - 2007-03-17,47
2007-03-18 - 2007-03-24,45
2007-03-25 - 2007-03-31,48
2007-04-01 - 2007-04-07,43
2007-04-08 - 2007-04-14,42
2007-04-15 - 2007-04-21,48
2007-04-22 - 2007-04-28,41
2007-04-29 - 2007-05-05,46
2007-05-06 - 2007-05-12,49
2007-05-13 - 2007-05-19,39
2007-05-20 - 2007-05-26,42
2007-05-27 - 2007-06-02,38
2007-06-03 - 2007-06-09,39
2007-06-10 - 2007-06-16,39
2007-06-17 - 2007-06-23,40
2007-06-24 - 2007-06-30,34
2007-07-01 - 2007-07-07,37
2007-07-08 - 2007-07-14,36
2007-07-15 - 2007-07-21,36
2007-07-22 - 2007-07-28,36
2007-07-29 - 2007-08-04,37
2007-08-05 - 2007-08-11,37
2007-08-12 - 2007-08-18,34
2007-08-19 - 2007-08-25,36
2007-08-26 - 2007-09-01,34
2007-09-02 - 2007-09-08,39
2007-09-09 - 2007-09-15,38
2007-09-16 - 2007-09-22,39
2007-09-23 - 2007-09-29,39
2007-09-30 - 2007-10-06,40
2007-10-07 - 2007-10-13,40
2007-10-14 - 2007-10-20,41
2007-10-21 - 2007-10-27,39
2007-10-28 - 2007-11-03,38
2007-11-04 - 2007-11-10,40
2007-11-11 - 2007-11-17,40
2007-11-18 - 2007-11-24,42
2007-11-25 - 2007-12-01,44
2007-12-02 - 2007-12-08,46
2007-12-09 - 2007-12-15,39
2007-12-16 - 2007-12-22,30
2007-12-23 - 2007-12-29,20
2007-12-30 - 2008-01-05,27
2008-01-06 - 2008-01-12,35
2008-01-13 - 2008-01-19,38
2008-01-20 - 2008-01-26,36
2008-01-27 - 2008-02-02,38
2008-02-03 - 2008-02-09,38
2008-02-10 - 2008-02-16,38
2008-02-17 - 2008-02-23,39
2008-02-24 - 2008-03-01,40
2008-03-02 - 2008-03-08,40
2008-03-09 - 2008-03-15,41
2008-03-16 - 2008-03-22,33
2008-03-23 - 2008-03-29,37
2008-03-30 - 2008-04-05,42
2008-04-06 - 2008-04-12,41
2008-04-13 - 2008-04-19,45
2008-04-20 - 2008-04-26,41
2008-04-27 - 2008-05-03,40
2008-05-04 - 2008-05-10,40
2008-05-11 - 2008-05-17,39
2008-05-18 - 2008-05-24,38
2008-05-25 - 2008-05-31,34
2008-06-01 - 2008-06-07,35
2008-06-08 - 2008-06-14,33
2008-06-15 - 2008-06-21,35
2008-06-22 - 2008-06-28,31
2008-06-29 - 2008-07-05,29
2008-07-06 - 2008-07-12,27
2008-07-13 - 2008-07-19,31
2008-07-20 - 2008-07-26,29
2008-07-27 - 2008-08-02,28
2008-08-03 - 2008-08-09,27
2008-08-10 - 2008-08-16,30
2008-08-17 - 2008-08-23,31
2008-08-24 - 2008-08-30,33
2008-08-31 - 2008-09-06,29
2008-09-07 - 2008-09-13,35
2008-09-14 - 2008-09-20,32
2008-09-21 - 2008-09-27,35
2008-09-28 - 2008-10-04,32
2008-10-05 - 2008-10-11,34
2008-10-12 - 2008-10-18,37
2008-10-19 - 2008-10-25,36
2008-10-26 - 2008-11-01,36
2008-11-02 - 2008-11-08,34
2008-11-09 - 2008-11-15,38
2008-11-16 - 2008-11-22,36
2008-11-23 - 2008-11-29,35
2008-11-30 - 2008-12-06,37
2008-12-07 - 2008-12-13,38
2008-12-14 - 2008-12-20,30
2008-12-21 - 2008-12-27,22
2008-12-28 - 2009-01-03,20
2009-01-04 - 2009-01-10,39
2009-01-11 - 2009-01-17,39
2009-01-18 - 2009-01-24,39
2009-01-25 - 2009-01-31,35
2009-02-01 - 2009-02-07,37
2009-02-08 - 2009-02-14,33
2009-02-15 - 2009-02-21,40
2009-02-22 - 2009-02-28,38
2009-03-01 - 2009-03-07,37
2009-03-08 - 2009-03-14,40
2009-03-15 - 2009-03-21,40
2009-03-22 - 2009-03-28,40
2009-03-29 - 2009-04-04,40
2009-04-05 - 2009-04-11,38
2009-04-12 - 2009-04-18,39
2009-04-19 - 2009-04-25,40
2009-04-26 - 2009-05-02,42
2009-05-03 - 2009-05-09,40
2009-05-10 - 2009-05-16,38
2009-05-17 - 2009-05-23,38
2009-05-24 - 2009-05-30,35
2009-05-31 - 2009-06-06,32
2009-06-07 - 2009-06-13,32
2009-06-14 - 2009-06-20,31
2009-06-21 - 2009-06-27,28
2009-06-28 - 2009-07-04,27
2009-07-05 - 2009-07-11,27
2009-07-12 - 2009-07-18,31
2009-07-19 - 2009-07-25,27
2009-07-26 - 2009-08-01,30
2009-08-02 - 2009-08-08,27
2009-08-09 - 2009-08-15,28
2009-08-16 - 2009-08-22,28
2009-08-23 - 2009-08-29,33
2009-08-30 - 2009-09-05,33
2009-09-06 - 2009-09-12,34
2009-09-13 - 2009-09-19,36
2009-09-20 - 2009-09-26,30
2009-09-27 - 2009-10-03,32
2009-10-04 - 2009-10-10,39
2009-10-11 - 2009-10-17,38
2009-10-18 - 2009-10-24,35
2009-10-25 - 2009-10-31,37
2009-11-01 - 2009-11-07,37
2009-11-08 - 2009-11-14,36
2009-11-15 - 2009-11-21,38
2009-11-22 - 2009-11-28,34
2009-11-29 - 2009-12-05,37
2009-12-06 - 2009-12-12,36
2009-12-13 - 2009-12-19,30
2009-12-20 - 2009-12-26,21
2009-12-27 - 2010-01-02,20
2010-01-03 - 2010-01-09,31
2010-01-10 - 2010-01-16,31
2010-01-17 - 2010-01-23,34
2010-01-24 - 2010-01-30,33
2010-01-31 - 2010-02-06,34
2010-02-07 - 2010-02-13,32
2010-02-14 - 2010-02-20,34
2010-02-21 - 2010-02-27,36
2010-02-28 - 2010-03-06,38
2010-03-07 - 2010-03-13,38
2010-03-14 - 2010-03-20,38
2010-03-21 - 2010-03-27,38
2010-03-28 - 2010-04-03,32
2010-04-04 - 2010-04-10,36
2010-04-11 - 2010-04-17,38
2010-04-18 - 2010-04-24,40
2010-04-25 - 2010-05-01,40
2010-05-02 - 2010-05-08,37
2010-05-09 - 2010-05-15,36
2010-05-16 - 2010-05-22,33
2010-05-23 - 2010-05-29,31
2010-05-30 - 2010-06-05,30
2010-06-06 - 2010-06-12,32
2010-06-13 - 2010-06-19,30
2010-06-20 - 2010-06-26,30
2010-06-27 - 2010-07-03,25
2010-07-04 - 2010-07-10,25
2010-07-11 - 2010-07-17,25
2010-07-18 - 2010-07-24,27
2010-07-25 - 2010-07-31,26
2010-08-01 - 2010-08-07,26
2010-08-08 - 2010-08-14,28
2010-08-15 - 2010-08-21,27
2010-08-22 - 2010-08-28,26
2010-08-29 - 2010-09-04,28
2010-09-05 - 2010-09-11,25
2010-09-12 - 2010-09-18,27
2010-09-19 - 2010-09-25,32
2010-09-26 - 2010-10-02,31
2010-10-03 - 2010-10-09,35
2010-10-10 - 2010-10-16,33
2010-10-17 - 2010-10-23,33
2010-10-24 - 2010-10-30,34
2010-10-31 - 2010-11-06,31
2010-11-07 - 2010-11-13,33
2010-11-14 - 2010-11-20,34
2010-11-21 - 2010-11-27,33
2010-11-28 - 2010-12-04,32
2010-12-05 - 2010-12-11,33
2010-12-12 - 2010-12-18,30
2010-12-19 - 2010-12-25,22
2010-12-26 - 2011-01-01,18
2011-01-02 - 2011-01-08,27
2011-01-09 - 2011-01-15,30
2011-01-16 - 2011-01-22,29
2011-01-23 - 2011-01-29,28
2011-01-30 - 2011-02-05,28
2011-02-06 - 2011-02-12,32
2011-02-13 - 2011-02-19,32
2011-02-20 - 2011-02-26,33
2011-02-27 - 2011-03-05,33
2011-03-06 - 2011-03-12,34
2011-03-13 - 2011-03-19,32
2011-03-20 - 2011-03-26,34
2011-03-27 - 2011-04-02,33
2011-04-03 - 2011-04-09,36
2011-04-10 - 2011-04-16,32
2011-04-17 - 2011-04-23,31
2011-04-24 - 2011-04-30,31
2011-05-01 - 2011-05-07,33
2011-05-08 - 2011-05-14,32
2011-05-15 - 2011-05-21,32
2011-05-22 - 2011-05-28,29
2011-05-29 - 2011-06-04,27
2011-06-05 - 2011-06-11,28
2011-06-12 - 2011-06-18,28
2011-06-19 - 2011-06-25,26
2011-06-26 - 2011-07-02,23
2011-07-03 - 2011-07-09,23
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,24
2011-07-24 - 2011-07-30,24
2011-07-31 - 2011-08-06,24
2011-08-07 - 2011-08-13,22
2011-08-14 - 2011-08-20,24
2011-08-21 - 2011-08-27,23
2011-08-28 - 2011-09-03,24
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,27
2011-09-18 - 2011-09-24,28
2011-09-25 - 2011-10-01,32
2011-10-02 - 2011-10-08,31
2011-10-09 - 2011-10-15,34
2011-10-16 - 2011-10-22,33
2011-10-23 - 2011-10-29,31
2011-10-30 - 2011-11-05,32
2011-11-06 - 2011-11-12,32
2011-11-13 - 2011-11-19,32
2011-11-20 - 2011-11-26,33
2011-11-27 - 2011-12-03,33
2011-12-04 - 2011-12-10,31
2011-12-11 - 2011-12-17,29
2011-12-18 - 2011-12-24,20
2011-12-25 - 2011-12-31,15
2012-01-01 - 2012-01-07,23
2012-01-08 - 2012-01-14,28
2012-01-15 - 2012-01-21,26
2012-01-22 - 2012-01-28,27
2012-01-29 - 2012-02-04,28
2012-02-05 - 2012-02-11,30
2012-02-12 - 2012-02-18,28
2012-02-19 - 2012-02-25,29
2012-02-26 - 2012-03-03,33
2012-03-04 - 2012-03-10,33
2012-03-11 - 2012-03-17,31
2012-03-18 - 2012-03-24,32
2012-03-25 - 2012-03-31,33
2012-04-01 - 2012-04-07,29
2012-04-08 - 2012-04-14,30
2012-04-15 - 2012-04-21,34
2012-04-22 - 2012-04-28,33
2012-04-29 - 2012-05-05,31
2012-05-06 - 2012-05-12,31
2012-05-13 - 2012-05-19,30
2012-05-20 - 2012-05-26,30
2012-05-27 - 2012-06-02,28
2012-06-03 - 2012-06-09,25
2012-06-10 - 2012-06-16,26
2012-06-17 - 2012-06-23,25
2012-06-24 - 2012-06-30,25
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,23
2012-07-15 - 2012-07-21,22
2012-07-22 - 2012-07-28,22
2012-07-29 - 2012-08-04,21
2012-08-05 - 2012-08-11,21
2012-08-12 - 2012-08-18,22
2012-08-19 - 2012-08-25,22
2012-08-26 - 2012-09-01,23
2012-09-02 - 2012-09-08,24
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,26
2012-09-23 - 2012-09-29,28
2012-09-30 - 2012-10-06,29
2012-10-07 - 2012-10-13,30
2012-10-14 - 2012-10-20,29
2012-10-21 - 2012-10-27,27
2012-10-28 - 2012-11-03,27
2012-11-04 - 2012-11-10,28
2012-11-11 - 2012-11-17,28
2012-11-18 - 2012-11-24,29
2012-11-25 - 2012-12-01,28
2012-12-02 - 2012-12-08,28
2012-12-09 - 2012-12-15,27
2012-12-16 - 2012-12-22,21
2012-12-23 - 2012-12-29,13
2012-12-30 - 2013-01-05,19
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,25
2013-01-20 - 2013-01-26,23
2013-01-27 - 2013-02-02,25
2013-02-03 - 2013-02-09,25
2013-02-10 - 2013-02-16,25
2013-02-17 - 2013-02-23,28
2013-02-24 - 2013-03-02,30
2013-03-03 - 2013-03-09,29
2013-03-10 - 2013-03-16,29
2013-03-17 - 2013-03-23,30
2013-03-24 - 2013-03-30,26
2013-03-31 - 2013-04-06,26
2013-04-07 - 2013-04-13,30
2013-04-14 - 2013-04-20,30
2013-04-21 - 2013-04-27,31
2013-04-28 - 2013-05-04,29
2013-05-05 - 2013-05-11,29
2013-05-12 - 2013-05-18,29
2013-05-19 - 2013-05-25,25
2013-05-26 - 2013-06-01,24
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,23
2013-06-16 - 2013-06-22,22
2013-06-23 - 2013-06-29,22
2013-06-30 - 2013-07-06,20
2013-07-07 - 2013-07-13,20
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,20
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,18
2013-08-11 - 2013-08-17,19
2013-08-18 - 2013-08-24,20
2013-08-25 - 2013-08-31,21
2013-09-01 - 2013-09-07,23
2013-09-08 - 2013-09-14,24
2013-09-15 - 2013-09-21,25
2013-09-22 - 2013-09-28,26
2013-09-29 - 2013-10-05,26
2013-10-06 - 2013-10-12,28
2013-10-13 - 2013-10-19,26
2013-10-20 - 2013-10-26,28
2013-10-27 - 2013-11-02,26
2013-11-03 - 2013-11-09,27
2013-11-10 - 2013-11-16,28
2013-11-17 - 2013-11-23,29
2013-11-24 - 2013-11-30,25
2013-12-01 - 2013-12-07,26
2013-12-08 - 2013-12-14,26
2013-12-15 - 2013-12-21,20
2013-12-22 - 2013-12-28,12
2013-12-29 - 2014-01-04,15
2014-01-05 - 2014-01-11,22
2014-01-12 - 2014-01-18,24
2014-01-19 - 2014-01-25,24
2014-01-26 - 2014-02-01,22
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,27
2014-02-16 - 2014-02-22,26
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,29
2014-03-09 - 2014-03-15,29
2014-03-16 - 2014-03-22,28
2014-03-23 - 2014-03-29,29
2014-03-30 - 2014-04-05,28
2014-04-06 - 2014-04-12,29
2014-04-13 - 2014-04-19,26
2014-04-20 - 2014-04-26,28
2014-04-27 - 2014-05-03,25
2014-05-04 - 2014-05-10,28
2014-05-11 - 2014-05-17,26
2014-05-18 - 2014-05-24,27
2014-05-25 - 2014-05-31,24
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,22
2014-06-15 - 2014-06-21,20
2014-06-22 - 2014-06-28,20
2014-06-29 - 2014-07-05,19
2014-07-06 - 2014-07-12,20
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,20
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,20
2014-08-10 - 2014-08-16,19
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,21
2014-09-07 - 2014-09-13,24
2014-09-14 - 2014-09-20,26
2014-09-21 - 2014-09-27,25
2014-09-28 - 2014-10-04,24
2014-10-05 - 2014-10-11,26
2014-10-12 - 2014-10-18,27
2014-10-19 - 2014-10-25,25
2014-10-26 - 2014-11-01,26
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,28
2014-11-16 - 2014-11-22,27
2014-11-23 - 2014-11-29,26
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,26
2014-12-14 - 2014-12-20,22
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,13
2015-01-04 - 2015-01-10,21
2015-01-11 - 2015-01-17,24
2015-01-18 - 2015-01-24,23
2015-01-25 - 2015-01-31,25
2015-02-01 - 2015-02-07,23
2015-02-08 - 2015-02-14,24
2015-02-15 - 2015-02-21,24
2015-02-22 - 2015-02-28,25
2015-03-01 - 2015-03-07,26
2015-03-08 - 2015-03-14,30
2015-03-15 - 2015-03-21,30
2015-03-22 - 2015-03-28,28
2015-03-29 - 2015-04-04,25
2015-04-05 - 2015-04-11,27
2015-04-12 - 2015-04-18,29
2015-04-19 - 2015-04-25,27
2015-04-26 - 2015-05-02,26
2015-05-03 - 2015-05-09,27
2015-05-10 - 2015-05-16,26
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,22
2015-05-31 - 2015-06-06,22
2015-06-07 - 2015-06-13,23
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,20
2015-06-28 - 2015-07-04,19
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,18
2015-07-19 - 2015-07-25,19
2015-07-26 - 2015-08-01,19
2015-08-02 - 2015-08-08,18
2015-08-09 - 2015-08-15,19
2015-08-16 - 2015-08-22,20
2015-08-23 - 2015-08-29,20
2015-08-30 - 2015-09-05,19
2015-09-06 - 2015-09-12,23
2015-09-13 - 2015-09-19,23
2015-09-20 - 2015-09-26,23
2015-09-27 - 2015-10-03,23
2015-10-04 - 2015-10-10,25
2015-10-11 - 2015-10-17,25
2015-10-18 - 2015-10-24,25
2015-10-25 - 2015-10-31,24
2015-11-01 - 2015-11-07,26
2015-11-08 - 2015-11-14,24
2015-11-15 - 2015-11-21,26
2015-11-22 - 2015-11-28,25
2015-11-29 - 2015-12-05,25
2015-12-06 - 2015-12-12,23
2015-12-13 - 2015-12-19,21
2015-12-20 - 2015-12-26,14
2015-12-27 - 2016-01-02,12
2016-01-03 - 2016-01-09,20
2016-01-10 - 2016-01-16,22
2016-01-17 - 2016-01-23,22
2016-01-24 - 2016-01-30,21
2016-01-31 - 2016-02-06,21
2016-02-07 - 2016-02-13,22
2016-02-14 - 2016-02-20,24
2016-02-21 - 2016-02-27,24
2016-02-28 - 2016-03-05,25
2016-03-06 - 2016-03-12,26
2016-03-13 - 2016-03-19,25
2016-03-20 - 2016-03-26,23
2016-03-27 - 2016-04-02,24
2016-04-03 - 2016-04-09,26
2016-04-10 - 2016-04-16,27
2016-04-17 - 2016-04-23,28
2016-04-24 - 2016-04-30,25
2016-05-01 - 2016-05-07,23
2016-05-08 - 2016-05-14,25
2016-05-15 - 2016-05-21,24
2016-05-22 - 2016-05-28,23
2016-05-29 - 2016-06-04,20
2016-06-05 - 2016-06-11,21
2016-06-12 - 2016-06-18,20
2016-06-19 - 2016-06-25,19
2016-06-26 - 2016-07-02,16
2016-07-03 - 2016-07-09, 


Top regions for corporate governance
Region,corporate governance
Zimbabwe,100
Mauritius,35
Uganda,30
Kenya,27
Ghana,27
Nigeria,19
Tanzania,17
South Africa,16
Trinidad & Tobago,16
Jamaica,14
Hong Kong,13
Singapore,12
Malaysia,11
Sri Lanka,9
Pakistan,9
Ireland,8
Bangladesh,7
India,7
Australia,6
Philippines,6
Indonesia,5
United Arab Emirates,5
Switzerland,5
United Kingdom,4
Netherlands,4
Austria,3
New Zealand,3
Germany,3
Belgium,3
Denmark,2
Finland,2
Canada,2
Portugal,2
South Korea,2
Norway,2
Italy,2
Czech Republic,1
Egypt,1
United States,1
China,1
Thailand,1
Sweden,1
Taiwan,1
Saudi Arabia,1
Vietnam,1


Top cities for corporate governance
City,corporate governance
Harare (Zimbabwe),100
Accra (Ghana),27
Nairobi (Kenya),26
Sandton (South Africa),18
Johannesburg (South Africa),17
Lagos (Nigeria),15
Cape Town (South Africa),13
Singapore (Singapore),12
Kuala Lumpur (Malaysia),11
Karachi (Pakistan),10
Mumbai (India),9
Lahore (Pakistan),9
Dublin (Ireland),8
Makati City (Philippines),8
New Delhi (India),7



Top searches for corporate governance
good corporate governance,100
good governance,100
what is governance,95
governance definition,80
corporate governance definition,80
corporate governance report,70
corporate governance principles,65
corporate governance uk,55
corporate governance india,50
corporate governance pdf,50
corporate governance audit,45
corporate social responsibility,40
international corporate governance,40
corporate governance kodex,35
corporate governance issues,35
corporate governance structure,30
oecd corporate governance,30
corporate finance,30
corporate governance practices,25
corporate governance meaning,25
corporate governance ppt,25
corporate governance guidelines,25
corporate governance policy,25
corporate governance system,20
corporate governance journal,20
corporate governance framework,20
corporate government,20
asx corporate governance,15
define corporate governance,15
corporate governance statement,15
corporate governance australia,15
enron corporate governance,15
corporate governance examples,15
corporate governance singapore,15
china corporate governance,10
audit committee,10
corporate governance jobs,10
corporate governance wiki,10
corporate governance news,10
corporate governance articles,10
agency theory,10
effective corporate governance,10



Rising searches for corporate governance
corporate governance pdf,+350%
corporate social responsibility,+250%
good corporate governance,+150%
good governance,+150%
what is governance,+120%
corporate governance principles,+110%
corporate governance uk,+100%
corporate governance audit,+80%
corporate governance definition,+80%
corporate governance india,+80%



