Web Search interest: halide
Worldwide 2004 - present

Interest over time
Week,halide
2005-09-25 - 2005-10-01,40
2005-10-02 - 2005-10-08,62
2005-10-09 - 2005-10-15,62
2005-10-16 - 2005-10-22,60
2005-10-23 - 2005-10-29,56
2005-10-30 - 2005-11-05,59
2005-11-06 - 2005-11-12,55
2005-11-13 - 2005-11-19,67
2005-11-20 - 2005-11-26,55
2005-11-27 - 2005-12-03,68
2005-12-04 - 2005-12-10,62
2005-12-11 - 2005-12-17,58
2005-12-18 - 2005-12-24,56
2005-12-25 - 2005-12-31,51
2006-01-01 - 2006-01-07,56
2006-01-08 - 2006-01-14,47
2006-01-15 - 2006-01-21,55
2006-01-22 - 2006-01-28,59
2006-01-29 - 2006-02-04,51
2006-02-05 - 2006-02-11,59
2006-02-12 - 2006-02-18,57
2006-02-19 - 2006-02-25,70
2006-02-26 - 2006-03-04,67
2006-03-05 - 2006-03-11,64
2006-03-12 - 2006-03-18,62
2006-03-19 - 2006-03-25,52
2006-03-26 - 2006-04-01,59
2006-04-02 - 2006-04-08,68
2006-04-09 - 2006-04-15,56
2006-04-16 - 2006-04-22,59
2006-04-23 - 2006-04-29,61
2006-04-30 - 2006-05-06,59
2006-05-07 - 2006-05-13,55
2006-05-14 - 2006-05-20,39
2006-05-21 - 2006-05-27,50
2006-05-28 - 2006-06-03,43
2006-06-04 - 2006-06-10,42
2006-06-11 - 2006-06-17,37
2006-06-18 - 2006-06-24,40
2006-06-25 - 2006-07-01,36
2006-07-02 - 2006-07-08,40
2006-07-09 - 2006-07-15,36
2006-07-16 - 2006-07-22,37
2006-07-23 - 2006-07-29,34
2006-07-30 - 2006-08-05,43
2006-08-06 - 2006-08-12,38
2006-08-13 - 2006-08-19,40
2006-08-20 - 2006-08-26,39
2006-08-27 - 2006-09-02,38
2006-09-03 - 2006-09-09,45
2006-09-10 - 2006-09-16,44
2006-09-17 - 2006-09-23,48
2006-09-24 - 2006-09-30,50
2006-10-01 - 2006-10-07,55
2006-10-08 - 2006-10-14,64
2006-10-15 - 2006-10-21,56
2006-10-22 - 2006-10-28,50
2006-10-29 - 2006-11-04,61
2006-11-05 - 2006-11-11,53
2006-11-12 - 2006-11-18,57
2006-11-19 - 2006-11-25,49
2006-11-26 - 2006-12-02,55
2006-12-03 - 2006-12-09,56
2006-12-10 - 2006-12-16,56
2006-12-17 - 2006-12-23,51
2006-12-24 - 2006-12-30,47
2006-12-31 - 2007-01-06,41
2007-01-07 - 2007-01-13,53
2007-01-14 - 2007-01-20,60
2007-01-21 - 2007-01-27,46
2007-01-28 - 2007-02-03,46
2007-02-04 - 2007-02-10,47
2007-02-11 - 2007-02-17,49
2007-02-18 - 2007-02-24,60
2007-02-25 - 2007-03-03,57
2007-03-04 - 2007-03-10,59
2007-03-11 - 2007-03-17,57
2007-03-18 - 2007-03-24,62
2007-03-25 - 2007-03-31,57
2007-04-01 - 2007-04-07,56
2007-04-08 - 2007-04-14,59
2007-04-15 - 2007-04-21,55
2007-04-22 - 2007-04-28,48
2007-04-29 - 2007-05-05,57
2007-05-06 - 2007-05-12,46
2007-05-13 - 2007-05-19,47
2007-05-20 - 2007-05-26,49
2007-05-27 - 2007-06-02,48
2007-06-03 - 2007-06-09,50
2007-06-10 - 2007-06-16,40
2007-06-17 - 2007-06-23,37
2007-06-24 - 2007-06-30,33
2007-07-01 - 2007-07-07,36
2007-07-08 - 2007-07-14,38
2007-07-15 - 2007-07-21,40
2007-07-22 - 2007-07-28,36
2007-07-29 - 2007-08-04,37
2007-08-05 - 2007-08-11,41
2007-08-12 - 2007-08-18,40
2007-08-19 - 2007-08-25,40
2007-08-26 - 2007-09-01,40
2007-09-02 - 2007-09-08,44
2007-09-09 - 2007-09-15,41
2007-09-16 - 2007-09-22,48
2007-09-23 - 2007-09-29,53
2007-09-30 - 2007-10-06,68
2007-10-07 - 2007-10-13,75
2007-10-14 - 2007-10-20,81
2007-10-21 - 2007-10-27,65
2007-10-28 - 2007-11-03,67
2007-11-04 - 2007-11-10,64
2007-11-11 - 2007-11-17,65
2007-11-18 - 2007-11-24,63
2007-11-25 - 2007-12-01,68
2007-12-02 - 2007-12-08,65
2007-12-09 - 2007-12-15,61
2007-12-16 - 2007-12-22,47
2007-12-23 - 2007-12-29,61
2007-12-30 - 2008-01-05,55
2008-01-06 - 2008-01-12,58
2008-01-13 - 2008-01-19,58
2008-01-20 - 2008-01-26,51
2008-01-27 - 2008-02-02,43
2008-02-03 - 2008-02-09,54
2008-02-10 - 2008-02-16,50
2008-02-17 - 2008-02-23,47
2008-02-24 - 2008-03-01,56
2008-03-02 - 2008-03-08,56
2008-03-09 - 2008-03-15,56
2008-03-16 - 2008-03-22,53
2008-03-23 - 2008-03-29,58
2008-03-30 - 2008-04-05,60
2008-04-06 - 2008-04-12,58
2008-04-13 - 2008-04-19,52
2008-04-20 - 2008-04-26,58
2008-04-27 - 2008-05-03,55
2008-05-04 - 2008-05-10,52
2008-05-11 - 2008-05-17,53
2008-05-18 - 2008-05-24,47
2008-05-25 - 2008-05-31,50
2008-06-01 - 2008-06-07,45
2008-06-08 - 2008-06-14,44
2008-06-15 - 2008-06-21,37
2008-06-22 - 2008-06-28,32
2008-06-29 - 2008-07-05,33
2008-07-06 - 2008-07-12,34
2008-07-13 - 2008-07-19,35
2008-07-20 - 2008-07-26,34
2008-07-27 - 2008-08-02,30
2008-08-03 - 2008-08-09,39
2008-08-10 - 2008-08-16,40
2008-08-17 - 2008-08-23,38
2008-08-24 - 2008-08-30,41
2008-08-31 - 2008-09-06,41
2008-09-07 - 2008-09-13,47
2008-09-14 - 2008-09-20,48
2008-09-21 - 2008-09-27,49
2008-09-28 - 2008-10-04,44
2008-10-05 - 2008-10-11,55
2008-10-12 - 2008-10-18,60
2008-10-19 - 2008-10-25,60
2008-10-26 - 2008-11-01,59
2008-11-02 - 2008-11-08,58
2008-11-09 - 2008-11-15,59
2008-11-16 - 2008-11-22,62
2008-11-23 - 2008-11-29,53
2008-11-30 - 2008-12-06,57
2008-12-07 - 2008-12-13,45
2008-12-14 - 2008-12-20,56
2008-12-21 - 2008-12-27,50
2008-12-28 - 2009-01-03,45
2009-01-04 - 2009-01-10,53
2009-01-11 - 2009-01-17,58
2009-01-18 - 2009-01-24,45
2009-01-25 - 2009-01-31,44
2009-02-01 - 2009-02-07,48
2009-02-08 - 2009-02-14,49
2009-02-15 - 2009-02-21,53
2009-02-22 - 2009-02-28,55
2009-03-01 - 2009-03-07,53
2009-03-08 - 2009-03-14,49
2009-03-15 - 2009-03-21,47
2009-03-22 - 2009-03-28,53
2009-03-29 - 2009-04-04,53
2009-04-05 - 2009-04-11,55
2009-04-12 - 2009-04-18,58
2009-04-19 - 2009-04-25,55
2009-04-26 - 2009-05-02,50
2009-05-03 - 2009-05-09,51
2009-05-10 - 2009-05-16,48
2009-05-17 - 2009-05-23,44
2009-05-24 - 2009-05-30,45
2009-05-31 - 2009-06-06,45
2009-06-07 - 2009-06-13,40
2009-06-14 - 2009-06-20,39
2009-06-21 - 2009-06-27,34
2009-06-28 - 2009-07-04,28
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,38
2009-07-19 - 2009-07-25,33
2009-07-26 - 2009-08-01,36
2009-08-02 - 2009-08-08,38
2009-08-09 - 2009-08-15,37
2009-08-16 - 2009-08-22,38
2009-08-23 - 2009-08-29,38
2009-08-30 - 2009-09-05,36
2009-09-06 - 2009-09-12,37
2009-09-13 - 2009-09-19,38
2009-09-20 - 2009-09-26,42
2009-09-27 - 2009-10-03,47
2009-10-04 - 2009-10-10,49
2009-10-11 - 2009-10-17,52
2009-10-18 - 2009-10-24,53
2009-10-25 - 2009-10-31,50
2009-11-01 - 2009-11-07,57
2009-11-08 - 2009-11-14,53
2009-11-15 - 2009-11-21,55
2009-11-22 - 2009-11-28,43
2009-11-29 - 2009-12-05,54
2009-12-06 - 2009-12-12,56
2009-12-13 - 2009-12-19,50
2009-12-20 - 2009-12-26,44
2009-12-27 - 2010-01-02,42
2010-01-03 - 2010-01-09,43
2010-01-10 - 2010-01-16,46
2010-01-17 - 2010-01-23,48
2010-01-24 - 2010-01-30,40
2010-01-31 - 2010-02-06,50
2010-02-07 - 2010-02-13,58
2010-02-14 - 2010-02-20,53
2010-02-21 - 2010-02-27,53
2010-02-28 - 2010-03-06,54
2010-03-07 - 2010-03-13,57
2010-03-14 - 2010-03-20,52
2010-03-21 - 2010-03-27,54
2010-03-28 - 2010-04-03,56
2010-04-04 - 2010-04-10,56
2010-04-11 - 2010-04-17,52
2010-04-18 - 2010-04-24,54
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,53
2010-05-09 - 2010-05-15,47
2010-05-16 - 2010-05-22,44
2010-05-23 - 2010-05-29,47
2010-05-30 - 2010-06-05,43
2010-06-06 - 2010-06-12,38
2010-06-13 - 2010-06-19,33
2010-06-20 - 2010-06-26,33
2010-06-27 - 2010-07-03,35
2010-07-04 - 2010-07-10,37
2010-07-11 - 2010-07-17,38
2010-07-18 - 2010-07-24,33
2010-07-25 - 2010-07-31,36
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,35
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,34
2010-08-29 - 2010-09-04,34
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,41
2010-09-19 - 2010-09-25,70
2010-09-26 - 2010-10-02,80
2010-10-03 - 2010-10-09,56
2010-10-10 - 2010-10-16,50
2010-10-17 - 2010-10-23,49
2010-10-24 - 2010-10-30,46
2010-10-31 - 2010-11-06,46
2010-11-07 - 2010-11-13,48
2010-11-14 - 2010-11-20,46
2010-11-21 - 2010-11-27,100
2010-11-28 - 2010-12-04,50
2010-12-05 - 2010-12-11,49
2010-12-12 - 2010-12-18,46
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,41
2011-01-02 - 2011-01-08,43
2011-01-09 - 2011-01-15,46
2011-01-16 - 2011-01-22,44
2011-01-23 - 2011-01-29,41
2011-01-30 - 2011-02-05,36
2011-02-06 - 2011-02-12,40
2011-02-13 - 2011-02-19,45
2011-02-20 - 2011-02-26,47
2011-02-27 - 2011-03-05,47
2011-03-06 - 2011-03-12,45
2011-03-13 - 2011-03-19,40
2011-03-20 - 2011-03-26,44
2011-03-27 - 2011-04-02,47
2011-04-03 - 2011-04-09,46
2011-04-10 - 2011-04-16,47
2011-04-17 - 2011-04-23,49
2011-04-24 - 2011-04-30,43
2011-05-01 - 2011-05-07,46
2011-05-08 - 2011-05-14,41
2011-05-15 - 2011-05-21,41
2011-05-22 - 2011-05-28,40
2011-05-29 - 2011-06-04,36
2011-06-05 - 2011-06-11,34
2011-06-12 - 2011-06-18,31
2011-06-19 - 2011-06-25,30
2011-06-26 - 2011-07-02,28
2011-07-03 - 2011-07-09,30
2011-07-10 - 2011-07-16,29
2011-07-17 - 2011-07-23,31
2011-07-24 - 2011-07-30,27
2011-07-31 - 2011-08-06,28
2011-08-07 - 2011-08-13,32
2011-08-14 - 2011-08-20,29
2011-08-21 - 2011-08-27,28
2011-08-28 - 2011-09-03,24
2011-09-04 - 2011-09-10,35
2011-09-11 - 2011-09-17,35
2011-09-18 - 2011-09-24,38
2011-09-25 - 2011-10-01,39
2011-10-02 - 2011-10-08,39
2011-10-09 - 2011-10-15,40
2011-10-16 - 2011-10-22,41
2011-10-23 - 2011-10-29,38
2011-10-30 - 2011-11-05,44
2011-11-06 - 2011-11-12,39
2011-11-13 - 2011-11-19,45
2011-11-20 - 2011-11-26,41
2011-11-27 - 2011-12-03,43
2011-12-04 - 2011-12-10,44
2011-12-11 - 2011-12-17,40
2011-12-18 - 2011-12-24,35
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,35
2012-01-08 - 2012-01-14,39
2012-01-15 - 2012-01-21,38
2012-01-22 - 2012-01-28,34
2012-01-29 - 2012-02-04,37
2012-02-05 - 2012-02-11,41
2012-02-12 - 2012-02-18,47
2012-02-19 - 2012-02-25,44
2012-02-26 - 2012-03-03,41
2012-03-04 - 2012-03-10,40
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,40
2012-03-25 - 2012-03-31,43
2012-04-01 - 2012-04-07,44
2012-04-08 - 2012-04-14,49
2012-04-15 - 2012-04-21,55
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,66
2012-05-06 - 2012-05-12,55
2012-05-13 - 2012-05-19,41
2012-05-20 - 2012-05-26,38
2012-05-27 - 2012-06-02,32
2012-06-03 - 2012-06-09,31
2012-06-10 - 2012-06-16,29
2012-06-17 - 2012-06-23,27
2012-06-24 - 2012-06-30,25
2012-07-01 - 2012-07-07,25
2012-07-08 - 2012-07-14,27
2012-07-15 - 2012-07-21,29
2012-07-22 - 2012-07-28,31
2012-07-29 - 2012-08-04,34
2012-08-05 - 2012-08-11,29
2012-08-12 - 2012-08-18,28
2012-08-19 - 2012-08-25,29
2012-08-26 - 2012-09-01,30
2012-09-02 - 2012-09-08,33
2012-09-09 - 2012-09-15,35
2012-09-16 - 2012-09-22,36
2012-09-23 - 2012-09-29,38
2012-09-30 - 2012-10-06,40
2012-10-07 - 2012-10-13,35
2012-10-14 - 2012-10-20,38
2012-10-21 - 2012-10-27,37
2012-10-28 - 2012-11-03,38
2012-11-04 - 2012-11-10,39
2012-11-11 - 2012-11-17,42
2012-11-18 - 2012-11-24,38
2012-11-25 - 2012-12-01,41
2012-12-02 - 2012-12-08,41
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,32
2012-12-23 - 2012-12-29,29
2012-12-30 - 2013-01-05,31
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,37
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,31
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,36
2013-02-17 - 2013-02-23,43
2013-02-24 - 2013-03-02,41
2013-03-03 - 2013-03-09,36
2013-03-10 - 2013-03-16,37
2013-03-17 - 2013-03-23,37
2013-03-24 - 2013-03-30,34
2013-03-31 - 2013-04-06,38
2013-04-07 - 2013-04-13,42
2013-04-14 - 2013-04-20,45
2013-04-21 - 2013-04-27,45
2013-04-28 - 2013-05-04,56
2013-05-05 - 2013-05-11,59
2013-05-12 - 2013-05-18,47
2013-05-19 - 2013-05-25,33
2013-05-26 - 2013-06-01,29
2013-06-02 - 2013-06-08,28
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,25
2013-06-23 - 2013-06-29,24
2013-06-30 - 2013-07-06,22
2013-07-07 - 2013-07-13,23
2013-07-14 - 2013-07-20,30
2013-07-21 - 2013-07-27,26
2013-07-28 - 2013-08-03,26
2013-08-04 - 2013-08-10,22
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,27
2013-09-08 - 2013-09-14,31
2013-09-15 - 2013-09-21,31
2013-09-22 - 2013-09-28,31
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,31
2013-10-20 - 2013-10-26,37
2013-10-27 - 2013-11-02,38
2013-11-03 - 2013-11-09,38
2013-11-10 - 2013-11-16,39
2013-11-17 - 2013-11-23,44
2013-11-24 - 2013-11-30,36
2013-12-01 - 2013-12-07,42
2013-12-08 - 2013-12-14,39
2013-12-15 - 2013-12-21,34
2013-12-22 - 2013-12-28,27
2013-12-29 - 2014-01-04,30
2014-01-05 - 2014-01-11,37
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,35
2014-01-26 - 2014-02-01,32
2014-02-02 - 2014-02-08,32
2014-02-09 - 2014-02-15,36
2014-02-16 - 2014-02-22,44
2014-02-23 - 2014-03-01,38
2014-03-02 - 2014-03-08,36
2014-03-09 - 2014-03-15,35
2014-03-16 - 2014-03-22,34
2014-03-23 - 2014-03-29,34
2014-03-30 - 2014-04-05,39
2014-04-06 - 2014-04-12,42
2014-04-13 - 2014-04-19,48
2014-04-20 - 2014-04-26,43
2014-04-27 - 2014-05-03,53
2014-05-04 - 2014-05-10,67
2014-05-11 - 2014-05-17,50
2014-05-18 - 2014-05-24,41
2014-05-25 - 2014-05-31,36
2014-06-01 - 2014-06-07,36
2014-06-08 - 2014-06-14,28
2014-06-15 - 2014-06-21,28
2014-06-22 - 2014-06-28,25
2014-06-29 - 2014-07-05,24
2014-07-06 - 2014-07-12,25
2014-07-13 - 2014-07-19,24
2014-07-20 - 2014-07-26,23
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,27
2014-08-10 - 2014-08-16,21
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,30
2014-08-31 - 2014-09-06,28
2014-09-07 - 2014-09-13,32
2014-09-14 - 2014-09-20,34
2014-09-21 - 2014-09-27,37
2014-09-28 - 2014-10-04,33
2014-10-05 - 2014-10-11,32
2014-10-12 - 2014-10-18,33
2014-10-19 - 2014-10-25,36
2014-10-26 - 2014-11-01,37
2014-11-02 - 2014-11-08,39
2014-11-09 - 2014-11-15,40
2014-11-16 - 2014-11-22,40
2014-11-23 - 2014-11-29,35
2014-11-30 - 2014-12-06,41
2014-12-07 - 2014-12-13,39
2014-12-14 - 2014-12-20,33
2014-12-21 - 2014-12-27,26
2014-12-28 - 2015-01-03,26
2015-01-04 - 2015-01-10,31
2015-01-11 - 2015-01-17,30
2015-01-18 - 2015-01-24,33
2015-01-25 - 2015-01-31,29
2015-02-01 - 2015-02-07,31
2015-02-08 - 2015-02-14,33
2015-02-15 - 2015-02-21,30
2015-02-22 - 2015-02-28,33
2015-03-01 - 2015-03-07,34
2015-03-08 - 2015-03-14,35
2015-03-15 - 2015-03-21,31
2015-03-22 - 2015-03-28,35
2015-03-29 - 2015-04-04,31
2015-04-05 - 2015-04-11,36
2015-04-12 - 2015-04-18,37
2015-04-19 - 2015-04-25,39
2015-04-26 - 2015-05-02,37
2015-05-03 - 2015-05-09,40
2015-05-10 - 2015-05-16,35
2015-05-17 - 2015-05-23,32
2015-05-24 - 2015-05-30,30
2015-05-31 - 2015-06-06,28
2015-06-07 - 2015-06-13,28
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,23
2015-06-28 - 2015-07-04,23
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,20
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,22
2015-08-02 - 2015-08-08,24
2015-08-09 - 2015-08-15,23
2015-08-16 - 2015-08-22,26
2015-08-23 - 2015-08-29,25
2015-08-30 - 2015-09-05,25
2015-09-06 - 2015-09-12,26
2015-09-13 - 2015-09-19,29
2015-09-20 - 2015-09-26,29
2015-09-27 - 2015-10-03,32
2015-10-04 - 2015-10-10,34
2015-10-11 - 2015-10-17,33
2015-10-18 - 2015-10-24,34
2015-10-25 - 2015-10-31,36
2015-11-01 - 2015-11-07,39
2015-11-08 - 2015-11-14,40
2015-11-15 - 2015-11-21,41
2015-11-22 - 2015-11-28,39
2015-11-29 - 2015-12-05,39
2015-12-06 - 2015-12-12,43
2015-12-13 - 2015-12-19,40
2015-12-20 - 2015-12-26,35
2015-12-27 - 2016-01-02,31
2016-01-03 - 2016-01-09,35
2016-01-10 - 2016-01-16,34
2016-01-17 - 2016-01-23,33
2016-01-24 - 2016-01-30,31
2016-01-31 - 2016-02-06,31
2016-02-07 - 2016-02-13,36
2016-02-14 - 2016-02-20,34
2016-02-21 - 2016-02-27,36
2016-02-28 - 2016-03-05,37
2016-03-06 - 2016-03-12,37
2016-03-13 - 2016-03-19,39
2016-03-20 - 2016-03-26,33
2016-03-27 - 2016-04-02,34
2016-04-03 - 2016-04-09,36
2016-04-10 - 2016-04-16,40
2016-04-17 - 2016-04-23,37
2016-04-24 - 2016-04-30,39
2016-05-01 - 2016-05-07,39
2016-05-08 - 2016-05-14,36
2016-05-15 - 2016-05-21,35
2016-05-22 - 2016-05-28,33
2016-05-29 - 2016-06-04,31
2016-06-05 - 2016-06-11,27
2016-06-12 - 2016-06-18,27
2016-06-19 - 2016-06-25,25
2016-06-26 - 2016-07-02,25
2016-07-03 - 2016-07-09,16


Top regions for halide
Region,halide
Turkey,100
Singapore,18
United States,17
United Arab Emirates,13
Canada,13
Malaysia,13
New Zealand,12
Australia,11
United Kingdom,10
Philippines,10
Hong Kong,10
Venezuela,9
South Korea,9
South Africa,9
Ireland,8
India,7
Pakistan,7
Taiwan,4
Colombia,3
Thailand,3
China,2
Netherlands,2
Indonesia,2
Vietnam,2
Germany,2
France,1
Japan,1
Italy,1


Top cities for halide
City,halide
Istanbul (Turkey),100
Ankara (Turkey),98
Kayseri (Turkey),92
Erzurum (Turkey),77
Izmir (Turkey),73
Diyarbakır (Turkey),72
Samsun (Turkey),69
Antalya (Turkey),64
Adana (Turkey),64
Konya (Turkey),64
Bursa (Turkey),59
Seattle (United States),17
Singapore (Singapore),15
Houston (United States),14
Atlanta (United States),12



Top searches for halide
metal halide,100
halide edip,60
halide adıvar,45
halide edip adıvar,45
halide light,20
alkyl halide,15
alkyl,15
metal halide light,15
halide lamp,15
metal halide lamp,15
metal halide lighting,10
halide lights,10
metal halide lights,10
metal halide bulb,10
ballast,10
metal halide ballast,10
halide edip lisesi,10
metal halide lamps,5
metal halide bulbs,5
metal halide 400w,5
silver halide,5
acid halide,5
metal halide fixture,5
halide edip adivar,5
halides,5
metal halide fixtures,5
high pressure sodium,5
halide nusret zorlutuna,5
halide ions,5
ateşten gömlek,5
150w metal halide,5
aryl halide,5
halide test,5
halide ion,0
ceramic metal halide,0
1000w metal halide,0
primary halide,0
hydrogen halide,0
acyl halide,0
70w metal halide,0
metal halide floodlight,0
halide definition,0
sinekli bakkal,0
alkyl halides,0
primary alkyl halide,0
halide family,0
aquarium lighting,0
alkyl halide reactions,0



Rising searches for halide
alkyl,+300%
alkyl halide,+300%
halide edip adıvar,+300%
halide adıvar,+250%
halide edip,+250%
halide edip lisesi,+250%
halide nusret zorlutuna,+250%
metal halide 400w,+200%
acid halide,+150%
high pressure sodium,+120%



