Web Search interest: Dipole
Worldwide 2004 - present

Interest over time
Week,Dipole
2010-03-21 - 2010-03-27,54
2010-03-28 - 2010-04-03,50
2010-04-04 - 2010-04-10,55
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,62
2010-04-25 - 2010-05-01,59
2010-05-02 - 2010-05-08,62
2010-05-09 - 2010-05-15,55
2010-05-16 - 2010-05-22,54
2010-05-23 - 2010-05-29,57
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,50
2010-06-13 - 2010-06-19,50
2010-06-20 - 2010-06-26,44
2010-06-27 - 2010-07-03,40
2010-07-04 - 2010-07-10,39
2010-07-11 - 2010-07-17,38
2010-07-18 - 2010-07-24,36
2010-07-25 - 2010-07-31,34
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,38
2010-08-15 - 2010-08-21,38
2010-08-22 - 2010-08-28,43
2010-08-29 - 2010-09-04,53
2010-09-05 - 2010-09-11,59
2010-09-12 - 2010-09-18,59
2010-09-19 - 2010-09-25,65
2010-09-26 - 2010-10-02,62
2010-10-03 - 2010-10-09,60
2010-10-10 - 2010-10-16,57
2010-10-17 - 2010-10-23,62
2010-10-24 - 2010-10-30,60
2010-10-31 - 2010-11-06,62
2010-11-07 - 2010-11-13,65
2010-11-14 - 2010-11-20,68
2010-11-21 - 2010-11-27,62
2010-11-28 - 2010-12-04,66
2010-12-05 - 2010-12-11,67
2010-12-12 - 2010-12-18,60
2010-12-19 - 2010-12-25,40
2010-12-26 - 2011-01-01,37
2011-01-02 - 2011-01-08,49
2011-01-09 - 2011-01-15,59
2011-01-16 - 2011-01-22,63
2011-01-23 - 2011-01-29,64
2011-01-30 - 2011-02-05,62
2011-02-06 - 2011-02-12,62
2011-02-13 - 2011-02-19,61
2011-02-20 - 2011-02-26,58
2011-02-27 - 2011-03-05,58
2011-03-06 - 2011-03-12,53
2011-03-13 - 2011-03-19,53
2011-03-20 - 2011-03-26,54
2011-03-27 - 2011-04-02,55
2011-04-03 - 2011-04-09,56
2011-04-10 - 2011-04-16,56
2011-04-17 - 2011-04-23,51
2011-04-24 - 2011-04-30,51
2011-05-01 - 2011-05-07,54
2011-05-08 - 2011-05-14,53
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,57
2011-05-29 - 2011-06-04,48
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,46
2011-06-19 - 2011-06-25,47
2011-06-26 - 2011-07-02,38
2011-07-03 - 2011-07-09,37
2011-07-10 - 2011-07-16,39
2011-07-17 - 2011-07-23,36
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,37
2011-08-07 - 2011-08-13,36
2011-08-14 - 2011-08-20,37
2011-08-21 - 2011-08-27,42
2011-08-28 - 2011-09-03,46
2011-09-04 - 2011-09-10,54
2011-09-11 - 2011-09-17,60
2011-09-18 - 2011-09-24,64
2011-09-25 - 2011-10-01,62
2011-10-02 - 2011-10-08,59
2011-10-09 - 2011-10-15,62
2011-10-16 - 2011-10-22,62
2011-10-23 - 2011-10-29,62
2011-10-30 - 2011-11-05,62
2011-11-06 - 2011-11-12,62
2011-11-13 - 2011-11-19,67
2011-11-20 - 2011-11-26,61
2011-11-27 - 2011-12-03,68
2011-12-04 - 2011-12-10,73
2011-12-11 - 2011-12-17,61
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,35
2012-01-01 - 2012-01-07,46
2012-01-08 - 2012-01-14,58
2012-01-15 - 2012-01-21,60
2012-01-22 - 2012-01-28,62
2012-01-29 - 2012-02-04,63
2012-02-05 - 2012-02-11,61
2012-02-12 - 2012-02-18,57
2012-02-19 - 2012-02-25,59
2012-02-26 - 2012-03-03,58
2012-03-04 - 2012-03-10,54
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,56
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,49
2012-04-08 - 2012-04-14,48
2012-04-15 - 2012-04-21,57
2012-04-22 - 2012-04-28,54
2012-04-29 - 2012-05-05,53
2012-05-06 - 2012-05-12,54
2012-05-13 - 2012-05-19,52
2012-05-20 - 2012-05-26,50
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,51
2012-06-10 - 2012-06-16,47
2012-06-17 - 2012-06-23,43
2012-06-24 - 2012-06-30,44
2012-07-01 - 2012-07-07,34
2012-07-08 - 2012-07-14,36
2012-07-15 - 2012-07-21,34
2012-07-22 - 2012-07-28,35
2012-07-29 - 2012-08-04,32
2012-08-05 - 2012-08-11,33
2012-08-12 - 2012-08-18,31
2012-08-19 - 2012-08-25,37
2012-08-26 - 2012-09-01,45
2012-09-02 - 2012-09-08,52
2012-09-09 - 2012-09-15,59
2012-09-16 - 2012-09-22,60
2012-09-23 - 2012-09-29,57
2012-09-30 - 2012-10-06,57
2012-10-07 - 2012-10-13,56
2012-10-14 - 2012-10-20,56
2012-10-21 - 2012-10-27,59
2012-10-28 - 2012-11-03,55
2012-11-04 - 2012-11-10,60
2012-11-11 - 2012-11-17,60
2012-11-18 - 2012-11-24,56
2012-11-25 - 2012-12-01,62
2012-12-02 - 2012-12-08,64
2012-12-09 - 2012-12-15,60
2012-12-16 - 2012-12-22,47
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,33
2013-01-06 - 2013-01-12,47
2013-01-13 - 2013-01-19,55
2013-01-20 - 2013-01-26,54
2013-01-27 - 2013-02-02,56
2013-02-03 - 2013-02-09,56
2013-02-10 - 2013-02-16,49
2013-02-17 - 2013-02-23,51
2013-02-24 - 2013-03-02,51
2013-03-03 - 2013-03-09,51
2013-03-10 - 2013-03-16,49
2013-03-17 - 2013-03-23,52
2013-03-24 - 2013-03-30,42
2013-03-31 - 2013-04-06,44
2013-04-07 - 2013-04-13,51
2013-04-14 - 2013-04-20,51
2013-04-21 - 2013-04-27,54
2013-04-28 - 2013-05-04,51
2013-05-05 - 2013-05-11,51
2013-05-12 - 2013-05-18,48
2013-05-19 - 2013-05-25,48
2013-05-26 - 2013-06-01,44
2013-06-02 - 2013-06-08,44
2013-06-09 - 2013-06-15,42
2013-06-16 - 2013-06-22,39
2013-06-23 - 2013-06-29,37
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,31
2013-07-21 - 2013-07-27,31
2013-07-28 - 2013-08-03,28
2013-08-04 - 2013-08-10,30
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,33
2013-08-25 - 2013-08-31,40
2013-09-01 - 2013-09-07,47
2013-09-08 - 2013-09-14,54
2013-09-15 - 2013-09-21,54
2013-09-22 - 2013-09-28,55
2013-09-29 - 2013-10-05,55
2013-10-06 - 2013-10-12,55
2013-10-13 - 2013-10-19,53
2013-10-20 - 2013-10-26,56
2013-10-27 - 2013-11-02,53
2013-11-03 - 2013-11-09,59
2013-11-10 - 2013-11-16,61
2013-11-17 - 2013-11-23,63
2013-11-24 - 2013-11-30,54
2013-12-01 - 2013-12-07,62
2013-12-08 - 2013-12-14,61
2013-12-15 - 2013-12-21,45
2013-12-22 - 2013-12-28,28
2013-12-29 - 2014-01-04,31
2014-01-05 - 2014-01-11,43
2014-01-12 - 2014-01-18,50
2014-01-19 - 2014-01-25,51
2014-01-26 - 2014-02-01,53
2014-02-02 - 2014-02-08,55
2014-02-09 - 2014-02-15,54
2014-02-16 - 2014-02-22,52
2014-02-23 - 2014-03-01,51
2014-03-02 - 2014-03-08,50
2014-03-09 - 2014-03-15,47
2014-03-16 - 2014-03-22,50
2014-03-23 - 2014-03-29,49
2014-03-30 - 2014-04-05,50
2014-04-06 - 2014-04-12,50
2014-04-13 - 2014-04-19,47
2014-04-20 - 2014-04-26,49
2014-04-27 - 2014-05-03,48
2014-05-04 - 2014-05-10,49
2014-05-11 - 2014-05-17,48
2014-05-18 - 2014-05-24,48
2014-05-25 - 2014-05-31,44
2014-06-01 - 2014-06-07,45
2014-06-08 - 2014-06-14,40
2014-06-15 - 2014-06-21,37
2014-06-22 - 2014-06-28,37
2014-06-29 - 2014-07-05,31
2014-07-06 - 2014-07-12,30
2014-07-13 - 2014-07-19,30
2014-07-20 - 2014-07-26,32
2014-07-27 - 2014-08-02,29
2014-08-03 - 2014-08-09,28
2014-08-10 - 2014-08-16,27
2014-08-17 - 2014-08-23,32
2014-08-24 - 2014-08-30,38
2014-08-31 - 2014-09-06,46
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,53
2014-09-21 - 2014-09-27,54
2014-09-28 - 2014-10-04,53
2014-10-05 - 2014-10-11,53
2014-10-12 - 2014-10-18,56
2014-10-19 - 2014-10-25,56
2014-10-26 - 2014-11-01,55
2014-11-02 - 2014-11-08,58
2014-11-09 - 2014-11-15,61
2014-11-16 - 2014-11-22,64
2014-11-23 - 2014-11-29,54
2014-11-30 - 2014-12-06,58
2014-12-07 - 2014-12-13,62
2014-12-14 - 2014-12-20,48
2014-12-21 - 2014-12-27,28
2014-12-28 - 2015-01-03,28
2015-01-04 - 2015-01-10,41
2015-01-11 - 2015-01-17,52
2015-01-18 - 2015-01-24,52
2015-01-25 - 2015-01-31,54
2015-02-01 - 2015-02-07,55
2015-02-08 - 2015-02-14,53
2015-02-15 - 2015-02-21,50
2015-02-22 - 2015-02-28,51
2015-03-01 - 2015-03-07,51
2015-03-08 - 2015-03-14,49
2015-03-15 - 2015-03-21,45
2015-03-22 - 2015-03-28,46
2015-03-29 - 2015-04-04,43
2015-04-05 - 2015-04-11,48
2015-04-12 - 2015-04-18,52
2015-04-19 - 2015-04-25,53
2015-04-26 - 2015-05-02,50
2015-05-03 - 2015-05-09,51
2015-05-10 - 2015-05-16,49
2015-05-17 - 2015-05-23,47
2015-05-24 - 2015-05-30,43
2015-05-31 - 2015-06-06,39
2015-06-07 - 2015-06-13,40
2015-06-14 - 2015-06-20,36
2015-06-21 - 2015-06-27,35
2015-06-28 - 2015-07-04,32
2015-07-05 - 2015-07-11,30
2015-07-12 - 2015-07-18,31
2015-07-19 - 2015-07-25,28
2015-07-26 - 2015-08-01,27
2015-08-02 - 2015-08-08,29
2015-08-09 - 2015-08-15,29
2015-08-16 - 2015-08-22,30
2015-08-23 - 2015-08-29,36
2015-08-30 - 2015-09-05,42
2015-09-06 - 2015-09-12,50
2015-09-13 - 2015-09-19,50
2015-09-20 - 2015-09-26,51
2015-09-27 - 2015-10-03,54
2015-10-04 - 2015-10-10,56
2015-10-11 - 2015-10-17,52
2015-10-18 - 2015-10-24,55
2015-10-25 - 2015-10-31,53
2015-11-01 - 2015-11-07,56
2015-11-08 - 2015-11-14,60
2015-11-15 - 2015-11-21,63
2015-11-22 - 2015-11-28,50
2015-11-29 - 2015-12-05,64
2015-12-06 - 2015-12-12,61
2015-12-13 - 2015-12-19,53
2015-12-20 - 2015-12-26,30
2015-12-27 - 2016-01-02,30
2016-01-03 - 2016-01-09,41
2016-01-10 - 2016-01-16,47
2016-01-17 - 2016-01-23,51
2016-01-24 - 2016-01-30,55
2016-01-31 - 2016-02-06,53
2016-02-07 - 2016-02-13,52
2016-02-14 - 2016-02-20,50
2016-02-21 - 2016-02-27,52
2016-02-28 - 2016-03-05,52
2016-03-06 - 2016-03-12,51
2016-03-13 - 2016-03-19,47
2016-03-20 - 2016-03-26,40
2016-03-27 - 2016-04-02,48
2016-04-03 - 2016-04-09,51
2016-04-10 - 2016-04-16,53
2016-04-17 - 2016-04-23,50
2016-04-24 - 2016-04-30,50
2016-05-01 - 2016-05-07,47
2016-05-08 - 2016-05-14,48
2016-05-15 - 2016-05-21,46
2016-05-22 - 2016-05-28,46
2016-05-29 - 2016-06-04,42
2016-06-05 - 2016-06-11,42
2016-06-12 - 2016-06-18,38
2016-06-19 - 2016-06-25,35
2016-06-26 - 2016-07-02,29
2016-07-03 - 2016-07-09,29


Top regions for Dipole
Region,Dipole
Poland,100
Tunisia,94
Singapore,38
Germany,32
Morocco,31
Colombia,30
Russia,27
Pakistan,26
Italy,25
Nigeria,25
South Korea,24
United States,24
Czech Republic,23
Taiwan,23
Austria,23
Switzerland,23
India,23
Sweden,23
Bolivia,22
Israel,22
Venezuela,21
Mexico,21
Slovakia,21
Norway,20
Ecuador,20
Spain,20
Hungary,19
Bulgaria,19
Canada,19
France,19
Croatia,18
Chile,17
Portugal,17
Argentina,17
South Africa,16
Hong Kong,16
New Zealand,16
Australia,15
Philippines,15
Peru,15
Algeria,15
Denmark,14
Ukraine,14
China,14
Malaysia,13
Netherlands,13
Belgium,12
United Kingdom,12
Ireland,11
Indonesia,11
Japan,10
Romania,9
Greece,9
Brazil,9
Finland,9
Turkey,7
Thailand,4


Top cities for Dipole
City,Dipole
Krakow (Poland),100
Lodz (Poland),80
Wroclaw (Poland),64
Warsaw (Poland),64
Katowice (Poland),62
Tunis (Tunisia),53
Poznan (Poland),48
Singapore (Singapore),24
Bogotá (Colombia),22
Frankfurt (Germany),18
Berlin (Germany),17
Moscow (Russia),16
Rome (Italy),16
Mexico City (Mexico),14
New Delhi (India),14



Top searches for Dipole
dipole,100
dipole dipole,100
dipol,45
dipole moment,30
dipolo,25
dipolo dipolo,25
what is dipole,10
dipoles,10
dipole field,5
dipolar,5
electric dipole,5
dipole forces,5
диполь,5
dipole antenna,5
dipole electric field,5
molecular dipole,5
dipole definition,5
dipole induced dipole,5
ion dipole,5
dipole force,5
dipolos,5
双極子,5
dipolo electrico,5
intermolecular forces,0
dipole potential,0
electronegativity,0
dipole interaction,0
dipole moments,0
net dipole,0
permanent dipole,0
momento dipolo,0
van der waals,0
dispersion forces,0
hydrogen bonding,0
molecular dipole moment,0
water dipole moment,0
双極子モーメント,0
hydrogen bond,0
que es dipolo,0
dipole rc,0
define dipole,0
dipole radiation,0
dipool,0
dipôle,0
dipole interactions,0
dipolo elettrico,0
net dipole moment,0
ion-dipole,0
ion dipole forces,0
dipole moment definition,0



Rising searches for Dipole
диполь,+850%
dipole forces,+400%
what is dipole,+350%
dipole electric field,+170%
dipole moment,+90%
electric dipole,+80%
dipol,+70%
dipole field,+70%
dipolo,+60%
dipolo dipolo,+60%



