Web Search interest: 3g
Worldwide 2004 - present

Interest over time
Week,3g
2005-02-06 - 2005-02-12,9
2005-02-13 - 2005-02-19,11
2005-02-20 - 2005-02-26,11
2005-02-27 - 2005-03-05,11
2005-03-06 - 2005-03-12,11
2005-03-13 - 2005-03-19,11
2005-03-20 - 2005-03-26,11
2005-03-27 - 2005-04-02,11
2005-04-03 - 2005-04-09,10
2005-04-10 - 2005-04-16,10
2005-04-17 - 2005-04-23,10
2005-04-24 - 2005-04-30,10
2005-05-01 - 2005-05-07,9
2005-05-08 - 2005-05-14,10
2005-05-15 - 2005-05-21,10
2005-05-22 - 2005-05-28,10
2005-05-29 - 2005-06-04,10
2005-06-05 - 2005-06-11,10
2005-06-12 - 2005-06-18,11
2005-06-19 - 2005-06-25,12
2005-06-26 - 2005-07-02,11
2005-07-03 - 2005-07-09,11
2005-07-10 - 2005-07-16,11
2005-07-17 - 2005-07-23,11
2005-07-24 - 2005-07-30,11
2005-07-31 - 2005-08-06,11
2005-08-07 - 2005-08-13,10
2005-08-14 - 2005-08-20,10
2005-08-21 - 2005-08-27,10
2005-08-28 - 2005-09-03,10
2005-09-04 - 2005-09-10,11
2005-09-11 - 2005-09-17,11
2005-09-18 - 2005-09-24,10
2005-09-25 - 2005-10-01,10
2005-10-02 - 2005-10-08,10
2005-10-09 - 2005-10-15,10
2005-10-16 - 2005-10-22,10
2005-10-23 - 2005-10-29,10
2005-10-30 - 2005-11-05,10
2005-11-06 - 2005-11-12,10
2005-11-13 - 2005-11-19,10
2005-11-20 - 2005-11-26,11
2005-11-27 - 2005-12-03,10
2005-12-04 - 2005-12-10,10
2005-12-11 - 2005-12-17,11
2005-12-18 - 2005-12-24,11
2005-12-25 - 2005-12-31,12
2006-01-01 - 2006-01-07,10
2006-01-08 - 2006-01-14,10
2006-01-15 - 2006-01-21,10
2006-01-22 - 2006-01-28,10
2006-01-29 - 2006-02-04,9
2006-02-05 - 2006-02-11,11
2006-02-12 - 2006-02-18,11
2006-02-19 - 2006-02-25,10
2006-02-26 - 2006-03-04,10
2006-03-05 - 2006-03-11,10
2006-03-12 - 2006-03-18,10
2006-03-19 - 2006-03-25,9
2006-03-26 - 2006-04-01,10
2006-04-02 - 2006-04-08,10
2006-04-09 - 2006-04-15,10
2006-04-16 - 2006-04-22,10
2006-04-23 - 2006-04-29,10
2006-04-30 - 2006-05-06,9
2006-05-07 - 2006-05-13,10
2006-05-14 - 2006-05-20,10
2006-05-21 - 2006-05-27,10
2006-05-28 - 2006-06-03,9
2006-06-04 - 2006-06-10,9
2006-06-11 - 2006-06-17,10
2006-06-18 - 2006-06-24,10
2006-06-25 - 2006-07-01,10
2006-07-02 - 2006-07-08,10
2006-07-09 - 2006-07-15,10
2006-07-16 - 2006-07-22,10
2006-07-23 - 2006-07-29,10
2006-07-30 - 2006-08-05,10
2006-08-06 - 2006-08-12,10
2006-08-13 - 2006-08-19,9
2006-08-20 - 2006-08-26,10
2006-08-27 - 2006-09-02,10
2006-09-03 - 2006-09-09,10
2006-09-10 - 2006-09-16,10
2006-09-17 - 2006-09-23,10
2006-09-24 - 2006-09-30,10
2006-10-01 - 2006-10-07,9
2006-10-08 - 2006-10-14,10
2006-10-15 - 2006-10-21,10
2006-10-22 - 2006-10-28,9
2006-10-29 - 2006-11-04,10
2006-11-05 - 2006-11-11,10
2006-11-12 - 2006-11-18,10
2006-11-19 - 2006-11-25,10
2006-11-26 - 2006-12-02,10
2006-12-03 - 2006-12-09,10
2006-12-10 - 2006-12-16,11
2006-12-17 - 2006-12-23,10
2006-12-24 - 2006-12-30,10
2006-12-31 - 2007-01-06,10
2007-01-07 - 2007-01-13,11
2007-01-14 - 2007-01-20,10
2007-01-21 - 2007-01-27,9
2007-01-28 - 2007-02-03,9
2007-02-04 - 2007-02-10,9
2007-02-11 - 2007-02-17,9
2007-02-18 - 2007-02-24,9
2007-02-25 - 2007-03-03,10
2007-03-04 - 2007-03-10,9
2007-03-11 - 2007-03-17,9
2007-03-18 - 2007-03-24,9
2007-03-25 - 2007-03-31,10
2007-04-01 - 2007-04-07,9
2007-04-08 - 2007-04-14,9
2007-04-15 - 2007-04-21,9
2007-04-22 - 2007-04-28,9
2007-04-29 - 2007-05-05,9
2007-05-06 - 2007-05-12,9
2007-05-13 - 2007-05-19,10
2007-05-20 - 2007-05-26,10
2007-05-27 - 2007-06-02,10
2007-06-03 - 2007-06-09,10
2007-06-10 - 2007-06-16,10
2007-06-17 - 2007-06-23,10
2007-06-24 - 2007-06-30,11
2007-07-01 - 2007-07-07,11
2007-07-08 - 2007-07-14,11
2007-07-15 - 2007-07-21,11
2007-07-22 - 2007-07-28,10
2007-07-29 - 2007-08-04,10
2007-08-05 - 2007-08-11,10
2007-08-12 - 2007-08-18,10
2007-08-19 - 2007-08-25,10
2007-08-26 - 2007-09-01,10
2007-09-02 - 2007-09-08,11
2007-09-09 - 2007-09-15,11
2007-09-16 - 2007-09-22,11
2007-09-23 - 2007-09-29,10
2007-09-30 - 2007-10-06,10
2007-10-07 - 2007-10-13,11
2007-10-14 - 2007-10-20,10
2007-10-21 - 2007-10-27,11
2007-10-28 - 2007-11-03,11
2007-11-04 - 2007-11-10,10
2007-11-11 - 2007-11-17,11
2007-11-18 - 2007-11-24,13
2007-11-25 - 2007-12-01,13
2007-12-02 - 2007-12-08,13
2007-12-09 - 2007-12-15,12
2007-12-16 - 2007-12-22,13
2007-12-23 - 2007-12-29,13
2007-12-30 - 2008-01-05,12
2008-01-06 - 2008-01-12,11
2008-01-13 - 2008-01-19,11
2008-01-20 - 2008-01-26,11
2008-01-27 - 2008-02-02,11
2008-02-03 - 2008-02-09,12
2008-02-10 - 2008-02-16,12
2008-02-17 - 2008-02-23,12
2008-02-24 - 2008-03-01,12
2008-03-02 - 2008-03-08,12
2008-03-09 - 2008-03-15,13
2008-03-16 - 2008-03-22,13
2008-03-23 - 2008-03-29,15
2008-03-30 - 2008-04-05,18
2008-04-06 - 2008-04-12,16
2008-04-13 - 2008-04-19,15
2008-04-20 - 2008-04-26,15
2008-04-27 - 2008-05-03,16
2008-05-04 - 2008-05-10,17
2008-05-11 - 2008-05-17,18
2008-05-18 - 2008-05-24,19
2008-05-25 - 2008-05-31,20
2008-06-01 - 2008-06-07,22
2008-06-08 - 2008-06-14,75
2008-06-15 - 2008-06-21,41
2008-06-22 - 2008-06-28,36
2008-06-29 - 2008-07-05,41
2008-07-06 - 2008-07-12,89
2008-07-13 - 2008-07-19,100
2008-07-20 - 2008-07-26,74
2008-07-27 - 2008-08-02,64
2008-08-03 - 2008-08-09,58
2008-08-10 - 2008-08-16,55
2008-08-17 - 2008-08-23,57
2008-08-24 - 2008-08-30,57
2008-08-31 - 2008-09-06,52
2008-09-07 - 2008-09-13,49
2008-09-14 - 2008-09-20,47
2008-09-21 - 2008-09-27,48
2008-09-28 - 2008-10-04,48
2008-10-05 - 2008-10-11,43
2008-10-12 - 2008-10-18,39
2008-10-19 - 2008-10-25,39
2008-10-26 - 2008-11-01,37
2008-11-02 - 2008-11-08,37
2008-11-09 - 2008-11-15,38
2008-11-16 - 2008-11-22,38
2008-11-23 - 2008-11-29,42
2008-11-30 - 2008-12-06,41
2008-12-07 - 2008-12-13,43
2008-12-14 - 2008-12-20,43
2008-12-21 - 2008-12-27,48
2008-12-28 - 2009-01-03,46
2009-01-04 - 2009-01-10,46
2009-01-11 - 2009-01-17,39
2009-01-18 - 2009-01-24,38
2009-01-25 - 2009-01-31,37
2009-02-01 - 2009-02-07,39
2009-02-08 - 2009-02-14,36
2009-02-15 - 2009-02-21,38
2009-02-22 - 2009-02-28,38
2009-03-01 - 2009-03-07,37
2009-03-08 - 2009-03-14,37
2009-03-15 - 2009-03-21,39
2009-03-22 - 2009-03-28,39
2009-03-29 - 2009-04-04,39
2009-04-05 - 2009-04-11,40
2009-04-12 - 2009-04-18,41
2009-04-19 - 2009-04-25,40
2009-04-26 - 2009-05-02,39
2009-05-03 - 2009-05-09,39
2009-05-10 - 2009-05-16,40
2009-05-17 - 2009-05-23,41
2009-05-24 - 2009-05-30,39
2009-05-31 - 2009-06-06,39
2009-06-07 - 2009-06-13,71
2009-06-14 - 2009-06-20,76
2009-06-21 - 2009-06-27,73
2009-06-28 - 2009-07-04,58
2009-07-05 - 2009-07-11,53
2009-07-12 - 2009-07-18,52
2009-07-19 - 2009-07-25,53
2009-07-26 - 2009-08-01,65
2009-08-02 - 2009-08-08,58
2009-08-09 - 2009-08-15,54
2009-08-16 - 2009-08-22,51
2009-08-23 - 2009-08-29,53
2009-08-30 - 2009-09-05,51
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,49
2009-09-20 - 2009-09-26,48
2009-09-27 - 2009-10-03,47
2009-10-04 - 2009-10-10,45
2009-10-11 - 2009-10-17,48
2009-10-18 - 2009-10-24,45
2009-10-25 - 2009-10-31,43
2009-11-01 - 2009-11-07,43
2009-11-08 - 2009-11-14,42
2009-11-15 - 2009-11-21,41
2009-11-22 - 2009-11-28,42
2009-11-29 - 2009-12-05,44
2009-12-06 - 2009-12-12,44
2009-12-13 - 2009-12-19,46
2009-12-20 - 2009-12-26,50
2009-12-27 - 2010-01-02,49
2010-01-03 - 2010-01-09,45
2010-01-10 - 2010-01-16,41
2010-01-17 - 2010-01-23,41
2010-01-24 - 2010-01-30,44
2010-01-31 - 2010-02-06,44
2010-02-07 - 2010-02-13,42
2010-02-14 - 2010-02-20,39
2010-02-21 - 2010-02-27,41
2010-02-28 - 2010-03-06,41
2010-03-07 - 2010-03-13,40
2010-03-14 - 2010-03-20,40
2010-03-21 - 2010-03-27,40
2010-03-28 - 2010-04-03,41
2010-04-04 - 2010-04-10,43
2010-04-11 - 2010-04-17,41
2010-04-18 - 2010-04-24,40
2010-04-25 - 2010-05-01,43
2010-05-02 - 2010-05-08,44
2010-05-09 - 2010-05-15,42
2010-05-16 - 2010-05-22,41
2010-05-23 - 2010-05-29,41
2010-05-30 - 2010-06-05,43
2010-06-06 - 2010-06-12,47
2010-06-13 - 2010-06-19,44
2010-06-20 - 2010-06-26,62
2010-06-27 - 2010-07-03,56
2010-07-04 - 2010-07-10,53
2010-07-11 - 2010-07-17,53
2010-07-18 - 2010-07-24,54
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,57
2010-08-08 - 2010-08-14,53
2010-08-15 - 2010-08-21,54
2010-08-22 - 2010-08-28,51
2010-08-29 - 2010-09-04,53
2010-09-05 - 2010-09-11,53
2010-09-12 - 2010-09-18,52
2010-09-19 - 2010-09-25,51
2010-09-26 - 2010-10-02,50
2010-10-03 - 2010-10-09,49
2010-10-10 - 2010-10-16,52
2010-10-17 - 2010-10-23,50
2010-10-24 - 2010-10-30,49
2010-10-31 - 2010-11-06,50
2010-11-07 - 2010-11-13,51
2010-11-14 - 2010-11-20,51
2010-11-21 - 2010-11-27,56
2010-11-28 - 2010-12-04,56
2010-12-05 - 2010-12-11,53
2010-12-12 - 2010-12-18,53
2010-12-19 - 2010-12-25,57
2010-12-26 - 2011-01-01,60
2011-01-02 - 2011-01-08,52
2011-01-09 - 2011-01-15,51
2011-01-16 - 2011-01-22,49
2011-01-23 - 2011-01-29,50
2011-01-30 - 2011-02-05,47
2011-02-06 - 2011-02-12,47
2011-02-13 - 2011-02-19,46
2011-02-20 - 2011-02-26,47
2011-02-27 - 2011-03-05,51
2011-03-06 - 2011-03-12,50
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,49
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,48
2011-04-10 - 2011-04-16,48
2011-04-17 - 2011-04-23,48
2011-04-24 - 2011-04-30,48
2011-05-01 - 2011-05-07,47
2011-05-08 - 2011-05-14,48
2011-05-15 - 2011-05-21,47
2011-05-22 - 2011-05-28,47
2011-05-29 - 2011-06-04,48
2011-06-05 - 2011-06-11,48
2011-06-12 - 2011-06-18,48
2011-06-19 - 2011-06-25,49
2011-06-26 - 2011-07-02,47
2011-07-03 - 2011-07-09,49
2011-07-10 - 2011-07-16,49
2011-07-17 - 2011-07-23,49
2011-07-24 - 2011-07-30,50
2011-07-31 - 2011-08-06,51
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,53
2011-08-21 - 2011-08-27,50
2011-08-28 - 2011-09-03,52
2011-09-04 - 2011-09-10,50
2011-09-11 - 2011-09-17,49
2011-09-18 - 2011-09-24,47
2011-09-25 - 2011-10-01,47
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,53
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,48
2011-11-13 - 2011-11-19,48
2011-11-20 - 2011-11-26,50
2011-11-27 - 2011-12-03,49
2011-12-04 - 2011-12-10,51
2011-12-11 - 2011-12-17,54
2011-12-18 - 2011-12-24,56
2011-12-25 - 2011-12-31,64
2012-01-01 - 2012-01-07,56
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,53
2012-01-22 - 2012-01-28,50
2012-01-29 - 2012-02-04,51
2012-02-05 - 2012-02-11,50
2012-02-12 - 2012-02-18,48
2012-02-19 - 2012-02-25,48
2012-02-26 - 2012-03-03,47
2012-03-04 - 2012-03-10,49
2012-03-11 - 2012-03-17,48
2012-03-18 - 2012-03-24,48
2012-03-25 - 2012-03-31,47
2012-04-01 - 2012-04-07,47
2012-04-08 - 2012-04-14,46
2012-04-15 - 2012-04-21,45
2012-04-22 - 2012-04-28,45
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,44
2012-05-13 - 2012-05-19,45
2012-05-20 - 2012-05-26,44
2012-05-27 - 2012-06-02,45
2012-06-03 - 2012-06-09,45
2012-06-10 - 2012-06-16,44
2012-06-17 - 2012-06-23,45
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,47
2012-07-08 - 2012-07-14,47
2012-07-15 - 2012-07-21,47
2012-07-22 - 2012-07-28,46
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,46
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,46
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,43
2012-09-09 - 2012-09-15,45
2012-09-16 - 2012-09-22,47
2012-09-23 - 2012-09-29,47
2012-09-30 - 2012-10-06,47
2012-10-07 - 2012-10-13,45
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,44
2012-10-28 - 2012-11-03,44
2012-11-04 - 2012-11-10,42
2012-11-11 - 2012-11-17,44
2012-11-18 - 2012-11-24,46
2012-11-25 - 2012-12-01,45
2012-12-02 - 2012-12-08,45
2012-12-09 - 2012-12-15,47
2012-12-16 - 2012-12-22,46
2012-12-23 - 2012-12-29,55
2012-12-30 - 2013-01-05,53
2013-01-06 - 2013-01-12,45
2013-01-13 - 2013-01-19,43
2013-01-20 - 2013-01-26,43
2013-01-27 - 2013-02-02,43
2013-02-03 - 2013-02-09,44
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,45
2013-02-24 - 2013-03-02,44
2013-03-03 - 2013-03-09,44
2013-03-10 - 2013-03-16,46
2013-03-17 - 2013-03-23,46
2013-03-24 - 2013-03-30,45
2013-03-31 - 2013-04-06,43
2013-04-07 - 2013-04-13,40
2013-04-14 - 2013-04-20,39
2013-04-21 - 2013-04-27,39
2013-04-28 - 2013-05-04,41
2013-05-05 - 2013-05-11,42
2013-05-12 - 2013-05-18,41
2013-05-19 - 2013-05-25,39
2013-05-26 - 2013-06-01,40
2013-06-02 - 2013-06-08,39
2013-06-09 - 2013-06-15,38
2013-06-16 - 2013-06-22,39
2013-06-23 - 2013-06-29,40
2013-06-30 - 2013-07-06,41
2013-07-07 - 2013-07-13,40
2013-07-14 - 2013-07-20,41
2013-07-21 - 2013-07-27,42
2013-07-28 - 2013-08-03,42
2013-08-04 - 2013-08-10,41
2013-08-11 - 2013-08-17,42
2013-08-18 - 2013-08-24,42
2013-08-25 - 2013-08-31,40
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,38
2013-09-15 - 2013-09-21,39
2013-09-22 - 2013-09-28,38
2013-09-29 - 2013-10-05,39
2013-10-06 - 2013-10-12,36
2013-10-13 - 2013-10-19,37
2013-10-20 - 2013-10-26,36
2013-10-27 - 2013-11-02,37
2013-11-03 - 2013-11-09,35
2013-11-10 - 2013-11-16,35
2013-11-17 - 2013-11-23,34
2013-11-24 - 2013-11-30,36
2013-12-01 - 2013-12-07,36
2013-12-08 - 2013-12-14,35
2013-12-15 - 2013-12-21,37
2013-12-22 - 2013-12-28,40
2013-12-29 - 2014-01-04,39
2014-01-05 - 2014-01-11,36
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,35
2014-01-26 - 2014-02-01,35
2014-02-02 - 2014-02-08,33
2014-02-09 - 2014-02-15,33
2014-02-16 - 2014-02-22,32
2014-02-23 - 2014-03-01,33
2014-03-02 - 2014-03-08,33
2014-03-09 - 2014-03-15,32
2014-03-16 - 2014-03-22,32
2014-03-23 - 2014-03-29,31
2014-03-30 - 2014-04-05,32
2014-04-06 - 2014-04-12,30
2014-04-13 - 2014-04-19,32
2014-04-20 - 2014-04-26,34
2014-04-27 - 2014-05-03,35
2014-05-04 - 2014-05-10,34
2014-05-11 - 2014-05-17,32
2014-05-18 - 2014-05-24,33
2014-05-25 - 2014-05-31,32
2014-06-01 - 2014-06-07,33
2014-06-08 - 2014-06-14,32
2014-06-15 - 2014-06-21,33
2014-06-22 - 2014-06-28,32
2014-06-29 - 2014-07-05,33
2014-07-06 - 2014-07-12,33
2014-07-13 - 2014-07-19,33
2014-07-20 - 2014-07-26,33
2014-07-27 - 2014-08-02,36
2014-08-03 - 2014-08-09,36
2014-08-10 - 2014-08-16,34
2014-08-17 - 2014-08-23,34
2014-08-24 - 2014-08-30,33
2014-08-31 - 2014-09-06,33
2014-09-07 - 2014-09-13,32
2014-09-14 - 2014-09-20,34
2014-09-21 - 2014-09-27,32
2014-09-28 - 2014-10-04,32
2014-10-05 - 2014-10-11,31
2014-10-12 - 2014-10-18,31
2014-10-19 - 2014-10-25,30
2014-10-26 - 2014-11-01,31
2014-11-02 - 2014-11-08,30
2014-11-09 - 2014-11-15,31
2014-11-16 - 2014-11-22,29
2014-11-23 - 2014-11-29,31
2014-11-30 - 2014-12-06,30
2014-12-07 - 2014-12-13,31
2014-12-14 - 2014-12-20,30
2014-12-21 - 2014-12-27,34
2014-12-28 - 2015-01-03,33
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,29
2015-01-18 - 2015-01-24,28
2015-01-25 - 2015-01-31,28
2015-02-01 - 2015-02-07,28
2015-02-08 - 2015-02-14,28
2015-02-15 - 2015-02-21,29
2015-02-22 - 2015-02-28,29
2015-03-01 - 2015-03-07,28
2015-03-08 - 2015-03-14,28
2015-03-15 - 2015-03-21,28
2015-03-22 - 2015-03-28,28
2015-03-29 - 2015-04-04,29
2015-04-05 - 2015-04-11,28
2015-04-12 - 2015-04-18,26
2015-04-19 - 2015-04-25,26
2015-04-26 - 2015-05-02,27
2015-05-03 - 2015-05-09,26
2015-05-10 - 2015-05-16,26
2015-05-17 - 2015-05-23,25
2015-05-24 - 2015-05-30,25
2015-05-31 - 2015-06-06,27
2015-06-07 - 2015-06-13,26
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,27
2015-06-28 - 2015-07-04,28
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,28
2015-07-19 - 2015-07-25,28
2015-07-26 - 2015-08-01,28
2015-08-02 - 2015-08-08,28
2015-08-09 - 2015-08-15,28
2015-08-16 - 2015-08-22,27
2015-08-23 - 2015-08-29,26
2015-08-30 - 2015-09-05,26
2015-09-06 - 2015-09-12,26
2015-09-13 - 2015-09-19,25
2015-09-20 - 2015-09-26,25
2015-09-27 - 2015-10-03,25
2015-10-04 - 2015-10-10,24
2015-10-11 - 2015-10-17,24
2015-10-18 - 2015-10-24,24
2015-10-25 - 2015-10-31,24
2015-11-01 - 2015-11-07,24
2015-11-08 - 2015-11-14,23
2015-11-15 - 2015-11-21,23
2015-11-22 - 2015-11-28,23
2015-11-29 - 2015-12-05,23
2015-12-06 - 2015-12-12,23
2015-12-13 - 2015-12-19,24
2015-12-20 - 2015-12-26,25
2015-12-27 - 2016-01-02,25
2016-01-03 - 2016-01-09,23
2016-01-10 - 2016-01-16,22
2016-01-17 - 2016-01-23,22
2016-01-24 - 2016-01-30,22
2016-01-31 - 2016-02-06,23
2016-02-07 - 2016-02-13,22
2016-02-14 - 2016-02-20,21
2016-02-21 - 2016-02-27,21
2016-02-28 - 2016-03-05,21
2016-03-06 - 2016-03-12,20
2016-03-13 - 2016-03-19,21
2016-03-20 - 2016-03-26,21
2016-03-27 - 2016-04-02,21
2016-04-03 - 2016-04-09,20
2016-04-10 - 2016-04-16,19
2016-04-17 - 2016-04-23,20
2016-04-24 - 2016-04-30,20
2016-05-01 - 2016-05-07,20
2016-05-08 - 2016-05-14,19
2016-05-15 - 2016-05-21,19
2016-05-22 - 2016-05-28,19
2016-05-29 - 2016-06-04,20
2016-06-05 - 2016-06-11,19
2016-06-12 - 2016-06-18,19
2016-06-19 - 2016-06-25,19
2016-06-26 - 2016-07-02,20
2016-07-03 - 2016-07-09,26


Top regions for 3g
Region,3g
Bangladesh,100
Vietnam,98
Pakistan,84
India,73
China,42
Morocco,40
Bolivia,39
Thailand,39
Tunisia,38
Ukraine,32
Algeria,27
Sri Lanka,27
Hong Kong,26
Indonesia,24
Singapore,22
Belarus,22
Dominican Republic,21
Philippines,21
Costa Rica,21
Taiwan,20
Russia,20
South Africa,19
Brazil,19
Guatemala,17
United Arab Emirates,17
Venezuela,15
Malaysia,15
United Kingdom,15
France,15
Ireland,14
Nigeria,14
Japan,14
Kazakhstan,13
Romania,13
Italy,13
Mexico,13
Australia,12
Sweden,12
Chile,12
Argentina,12
Finland,12
Turkey,12
Spain,12
Czech Republic,11
Belgium,11
Iran,11
Germany,11
Netherlands,10
Hungary,10
Poland,10
Ecuador,10
Slovakia,10
Norway,10
Greece,10
United States,10
Bulgaria,10
Austria,9
Denmark,9
New Zealand,9
Portugal,9
Switzerland,9
South Korea,9
Serbia,9
Saudi Arabia,8
Canada,8
Peru,8
Croatia,7
Egypt,7
Colombia,7
Israel,6


Top cities for 3g
City,3g
Ho Chi Minh City (Vietnam),100
Kolkata (India),99
Dhaka (Bangladesh),93
Hanoi (Vietnam),92
Lahore (Pakistan),82
Howrah (India),79
Karachi (Pakistan),76
Bangalore (India),71
Ahmedabad (India),71
Chennai (India),70
Pune (India),68
New Delhi (India),62
Mumbai (India),59
Hyderabad (India),58
Beijing (China),40



Top searches for 3g
iphone 3g,100
iphone,100
internet 3g,20
3g mobile,20
ipad 3g,15
ipad,15
airtel,15
airtel 3g,15
modem 3g,10
vodafone 3g,10
vodafone,10
nokia 3g,10
tablet 3g,10
iphone 3gs,10
jailbreak,10
ipod 3g,10
viettel,10
3g viettel,10
iphone 3g jailbreak,10
bsnl 3g,5
bsnl,5
idea,5
idea 3g,5
usb 3g,5
iphone 4,5
ipod touch 3g,5
ipod touch,5
3g network,5
reliance 3g,5
reliance,5
apple iphone,5
claro,5
claro 3g,5
iphone 3g unlock,5
what is 3g,5
3g router,5
vivo 3g,5
3g phones,5
docomo,5
aircel 3g,5
aircel,5
ipad 2,5
ipad 2 3g,5
3g ais,5
airtel 3g plans,5
3g dongle,5
3g 手机,5
モンハン 3g,5
3g mobifone,5
airtel recharge,5



Rising searches for 3g
3g viettel,Breakout
airtel,Breakout
airtel 3g,Breakout
ipad,Breakout
ipad 3g,Breakout
iphone,Breakout
iphone 3g,Breakout
iphone 3gs,Breakout
jailbreak,Breakout
tablet 3g,Breakout



