Web Search interest: antibiotics
Worldwide 2004 - present

Interest over time
Week,antibiotics
2007-11-25 - 2007-12-01,54
2007-12-02 - 2007-12-08,55
2007-12-09 - 2007-12-15,48
2007-12-16 - 2007-12-22,46
2007-12-23 - 2007-12-29,45
2007-12-30 - 2008-01-05,51
2008-01-06 - 2008-01-12,53
2008-01-13 - 2008-01-19,52
2008-01-20 - 2008-01-26,53
2008-01-27 - 2008-02-02,54
2008-02-03 - 2008-02-09,59
2008-02-10 - 2008-02-16,57
2008-02-17 - 2008-02-23,58
2008-02-24 - 2008-03-01,57
2008-03-02 - 2008-03-08,54
2008-03-09 - 2008-03-15,55
2008-03-16 - 2008-03-22,52
2008-03-23 - 2008-03-29,50
2008-03-30 - 2008-04-05,51
2008-04-06 - 2008-04-12,53
2008-04-13 - 2008-04-19,51
2008-04-20 - 2008-04-26,51
2008-04-27 - 2008-05-03,51
2008-05-04 - 2008-05-10,52
2008-05-11 - 2008-05-17,47
2008-05-18 - 2008-05-24,48
2008-05-25 - 2008-05-31,46
2008-06-01 - 2008-06-07,46
2008-06-08 - 2008-06-14,43
2008-06-15 - 2008-06-21,45
2008-06-22 - 2008-06-28,45
2008-06-29 - 2008-07-05,42
2008-07-06 - 2008-07-12,46
2008-07-13 - 2008-07-19,47
2008-07-20 - 2008-07-26,46
2008-07-27 - 2008-08-02,46
2008-08-03 - 2008-08-09,45
2008-08-10 - 2008-08-16,46
2008-08-17 - 2008-08-23,44
2008-08-24 - 2008-08-30,47
2008-08-31 - 2008-09-06,44
2008-09-07 - 2008-09-13,47
2008-09-14 - 2008-09-20,49
2008-09-21 - 2008-09-27,50
2008-09-28 - 2008-10-04,50
2008-10-05 - 2008-10-11,50
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,52
2008-10-26 - 2008-11-01,50
2008-11-02 - 2008-11-08,52
2008-11-09 - 2008-11-15,54
2008-11-16 - 2008-11-22,56
2008-11-23 - 2008-11-29,51
2008-11-30 - 2008-12-06,55
2008-12-07 - 2008-12-13,54
2008-12-14 - 2008-12-20,50
2008-12-21 - 2008-12-27,46
2008-12-28 - 2009-01-03,51
2009-01-04 - 2009-01-10,57
2009-01-11 - 2009-01-17,54
2009-01-18 - 2009-01-24,55
2009-01-25 - 2009-01-31,54
2009-02-01 - 2009-02-07,56
2009-02-08 - 2009-02-14,57
2009-02-15 - 2009-02-21,57
2009-02-22 - 2009-02-28,59
2009-03-01 - 2009-03-07,56
2009-03-08 - 2009-03-14,57
2009-03-15 - 2009-03-21,57
2009-03-22 - 2009-03-28,57
2009-03-29 - 2009-04-04,57
2009-04-05 - 2009-04-11,58
2009-04-12 - 2009-04-18,55
2009-04-19 - 2009-04-25,55
2009-04-26 - 2009-05-02,59
2009-05-03 - 2009-05-09,55
2009-05-10 - 2009-05-16,53
2009-05-17 - 2009-05-23,53
2009-05-24 - 2009-05-30,51
2009-05-31 - 2009-06-06,53
2009-06-07 - 2009-06-13,53
2009-06-14 - 2009-06-20,51
2009-06-21 - 2009-06-27,50
2009-06-28 - 2009-07-04,49
2009-07-05 - 2009-07-11,51
2009-07-12 - 2009-07-18,53
2009-07-19 - 2009-07-25,55
2009-07-26 - 2009-08-01,53
2009-08-02 - 2009-08-08,55
2009-08-09 - 2009-08-15,56
2009-08-16 - 2009-08-22,52
2009-08-23 - 2009-08-29,51
2009-08-30 - 2009-09-05,51
2009-09-06 - 2009-09-12,52
2009-09-13 - 2009-09-19,58
2009-09-20 - 2009-09-26,59
2009-09-27 - 2009-10-03,59
2009-10-04 - 2009-10-10,60
2009-10-11 - 2009-10-17,60
2009-10-18 - 2009-10-24,63
2009-10-25 - 2009-10-31,63
2009-11-01 - 2009-11-07,63
2009-11-08 - 2009-11-14,63
2009-11-15 - 2009-11-21,65
2009-11-22 - 2009-11-28,56
2009-11-29 - 2009-12-05,62
2009-12-06 - 2009-12-12,59
2009-12-13 - 2009-12-19,57
2009-12-20 - 2009-12-26,52
2009-12-27 - 2010-01-02,60
2010-01-03 - 2010-01-09,61
2010-01-10 - 2010-01-16,59
2010-01-17 - 2010-01-23,59
2010-01-24 - 2010-01-30,60
2010-01-31 - 2010-02-06,63
2010-02-07 - 2010-02-13,63
2010-02-14 - 2010-02-20,64
2010-02-21 - 2010-02-27,65
2010-02-28 - 2010-03-06,65
2010-03-07 - 2010-03-13,64
2010-03-14 - 2010-03-20,63
2010-03-21 - 2010-03-27,66
2010-03-28 - 2010-04-03,62
2010-04-04 - 2010-04-10,62
2010-04-11 - 2010-04-17,61
2010-04-18 - 2010-04-24,63
2010-04-25 - 2010-05-01,62
2010-05-02 - 2010-05-08,61
2010-05-09 - 2010-05-15,60
2010-05-16 - 2010-05-22,59
2010-05-23 - 2010-05-29,59
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,56
2010-06-13 - 2010-06-19,54
2010-06-20 - 2010-06-26,55
2010-06-27 - 2010-07-03,57
2010-07-04 - 2010-07-10,59
2010-07-11 - 2010-07-17,61
2010-07-18 - 2010-07-24,58
2010-07-25 - 2010-07-31,57
2010-08-01 - 2010-08-07,58
2010-08-08 - 2010-08-14,60
2010-08-15 - 2010-08-21,61
2010-08-22 - 2010-08-28,57
2010-08-29 - 2010-09-04,58
2010-09-05 - 2010-09-11,59
2010-09-12 - 2010-09-18,64
2010-09-19 - 2010-09-25,65
2010-09-26 - 2010-10-02,63
2010-10-03 - 2010-10-09,64
2010-10-10 - 2010-10-16,65
2010-10-17 - 2010-10-23,64
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,63
2010-11-07 - 2010-11-13,65
2010-11-14 - 2010-11-20,69
2010-11-21 - 2010-11-27,62
2010-11-28 - 2010-12-04,65
2010-12-05 - 2010-12-11,69
2010-12-12 - 2010-12-18,68
2010-12-19 - 2010-12-25,67
2010-12-26 - 2011-01-01,73
2011-01-02 - 2011-01-08,74
2011-01-09 - 2011-01-15,71
2011-01-16 - 2011-01-22,69
2011-01-23 - 2011-01-29,71
2011-01-30 - 2011-02-05,72
2011-02-06 - 2011-02-12,74
2011-02-13 - 2011-02-19,73
2011-02-20 - 2011-02-26,72
2011-02-27 - 2011-03-05,73
2011-03-06 - 2011-03-12,70
2011-03-13 - 2011-03-19,69
2011-03-20 - 2011-03-26,72
2011-03-27 - 2011-04-02,73
2011-04-03 - 2011-04-09,72
2011-04-10 - 2011-04-16,69
2011-04-17 - 2011-04-23,68
2011-04-24 - 2011-04-30,66
2011-05-01 - 2011-05-07,65
2011-05-08 - 2011-05-14,65
2011-05-15 - 2011-05-21,67
2011-05-22 - 2011-05-28,67
2011-05-29 - 2011-06-04,65
2011-06-05 - 2011-06-11,66
2011-06-12 - 2011-06-18,66
2011-06-19 - 2011-06-25,65
2011-06-26 - 2011-07-02,64
2011-07-03 - 2011-07-09,64
2011-07-10 - 2011-07-16,65
2011-07-17 - 2011-07-23,65
2011-07-24 - 2011-07-30,64
2011-07-31 - 2011-08-06,65
2011-08-07 - 2011-08-13,63
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,65
2011-08-28 - 2011-09-03,64
2011-09-04 - 2011-09-10,65
2011-09-11 - 2011-09-17,66
2011-09-18 - 2011-09-24,68
2011-09-25 - 2011-10-01,69
2011-10-02 - 2011-10-08,70
2011-10-09 - 2011-10-15,70
2011-10-16 - 2011-10-22,69
2011-10-23 - 2011-10-29,70
2011-10-30 - 2011-11-05,72
2011-11-06 - 2011-11-12,72
2011-11-13 - 2011-11-19,77
2011-11-20 - 2011-11-26,69
2011-11-27 - 2011-12-03,73
2011-12-04 - 2011-12-10,73
2011-12-11 - 2011-12-17,71
2011-12-18 - 2011-12-24,71
2011-12-25 - 2011-12-31,69
2012-01-01 - 2012-01-07,72
2012-01-08 - 2012-01-14,73
2012-01-15 - 2012-01-21,72
2012-01-22 - 2012-01-28,74
2012-01-29 - 2012-02-04,74
2012-02-05 - 2012-02-11,76
2012-02-12 - 2012-02-18,79
2012-02-19 - 2012-02-25,80
2012-02-26 - 2012-03-03,79
2012-03-04 - 2012-03-10,77
2012-03-11 - 2012-03-17,76
2012-03-18 - 2012-03-24,78
2012-03-25 - 2012-03-31,78
2012-04-01 - 2012-04-07,75
2012-04-08 - 2012-04-14,74
2012-04-15 - 2012-04-21,75
2012-04-22 - 2012-04-28,75
2012-04-29 - 2012-05-05,77
2012-05-06 - 2012-05-12,72
2012-05-13 - 2012-05-19,75
2012-05-20 - 2012-05-26,73
2012-05-27 - 2012-06-02,70
2012-06-03 - 2012-06-09,70
2012-06-10 - 2012-06-16,70
2012-06-17 - 2012-06-23,69
2012-06-24 - 2012-06-30,70
2012-07-01 - 2012-07-07,68
2012-07-08 - 2012-07-14,73
2012-07-15 - 2012-07-21,73
2012-07-22 - 2012-07-28,72
2012-07-29 - 2012-08-04,70
2012-08-05 - 2012-08-11,71
2012-08-12 - 2012-08-18,74
2012-08-19 - 2012-08-25,74
2012-08-26 - 2012-09-01,73
2012-09-02 - 2012-09-08,73
2012-09-09 - 2012-09-15,77
2012-09-16 - 2012-09-22,78
2012-09-23 - 2012-09-29,78
2012-09-30 - 2012-10-06,79
2012-10-07 - 2012-10-13,76
2012-10-14 - 2012-10-20,76
2012-10-21 - 2012-10-27,76
2012-10-28 - 2012-11-03,72
2012-11-04 - 2012-11-10,74
2012-11-11 - 2012-11-17,77
2012-11-18 - 2012-11-24,73
2012-11-25 - 2012-12-01,80
2012-12-02 - 2012-12-08,78
2012-12-09 - 2012-12-15,78
2012-12-16 - 2012-12-22,78
2012-12-23 - 2012-12-29,80
2012-12-30 - 2013-01-05,88
2013-01-06 - 2013-01-12,88
2013-01-13 - 2013-01-19,82
2013-01-20 - 2013-01-26,83
2013-01-27 - 2013-02-02,83
2013-02-03 - 2013-02-09,82
2013-02-10 - 2013-02-16,80
2013-02-17 - 2013-02-23,81
2013-02-24 - 2013-03-02,83
2013-03-03 - 2013-03-09,83
2013-03-10 - 2013-03-16,87
2013-03-17 - 2013-03-23,83
2013-03-24 - 2013-03-30,81
2013-03-31 - 2013-04-06,77
2013-04-07 - 2013-04-13,80
2013-04-14 - 2013-04-20,79
2013-04-21 - 2013-04-27,79
2013-04-28 - 2013-05-04,79
2013-05-05 - 2013-05-11,80
2013-05-12 - 2013-05-18,76
2013-05-19 - 2013-05-25,74
2013-05-26 - 2013-06-01,70
2013-06-02 - 2013-06-08,72
2013-06-09 - 2013-06-15,72
2013-06-16 - 2013-06-22,72
2013-06-23 - 2013-06-29,71
2013-06-30 - 2013-07-06,72
2013-07-07 - 2013-07-13,74
2013-07-14 - 2013-07-20,73
2013-07-21 - 2013-07-27,73
2013-07-28 - 2013-08-03,73
2013-08-04 - 2013-08-10,72
2013-08-11 - 2013-08-17,73
2013-08-18 - 2013-08-24,74
2013-08-25 - 2013-08-31,71
2013-09-01 - 2013-09-07,73
2013-09-08 - 2013-09-14,76
2013-09-15 - 2013-09-21,80
2013-09-22 - 2013-09-28,77
2013-09-29 - 2013-10-05,80
2013-10-06 - 2013-10-12,78
2013-10-13 - 2013-10-19,77
2013-10-20 - 2013-10-26,80
2013-10-27 - 2013-11-02,80
2013-11-03 - 2013-11-09,81
2013-11-10 - 2013-11-16,81
2013-11-17 - 2013-11-23,83
2013-11-24 - 2013-11-30,75
2013-12-01 - 2013-12-07,79
2013-12-08 - 2013-12-14,80
2013-12-15 - 2013-12-21,78
2013-12-22 - 2013-12-28,76
2013-12-29 - 2014-01-04,85
2014-01-05 - 2014-01-11,87
2014-01-12 - 2014-01-18,84
2014-01-19 - 2014-01-25,82
2014-01-26 - 2014-02-01,83
2014-02-02 - 2014-02-08,83
2014-02-09 - 2014-02-15,82
2014-02-16 - 2014-02-22,82
2014-02-23 - 2014-03-01,85
2014-03-02 - 2014-03-08,84
2014-03-09 - 2014-03-15,84
2014-03-16 - 2014-03-22,84
2014-03-23 - 2014-03-29,84
2014-03-30 - 2014-04-05,80
2014-04-06 - 2014-04-12,84
2014-04-13 - 2014-04-19,82
2014-04-20 - 2014-04-26,82
2014-04-27 - 2014-05-03,84
2014-05-04 - 2014-05-10,84
2014-05-11 - 2014-05-17,79
2014-05-18 - 2014-05-24,79
2014-05-25 - 2014-05-31,74
2014-06-01 - 2014-06-07,76
2014-06-08 - 2014-06-14,75
2014-06-15 - 2014-06-21,74
2014-06-22 - 2014-06-28,75
2014-06-29 - 2014-07-05,73
2014-07-06 - 2014-07-12,76
2014-07-13 - 2014-07-19,77
2014-07-20 - 2014-07-26,78
2014-07-27 - 2014-08-02,76
2014-08-03 - 2014-08-09,77
2014-08-10 - 2014-08-16,75
2014-08-17 - 2014-08-23,74
2014-08-24 - 2014-08-30,75
2014-08-31 - 2014-09-06,75
2014-09-07 - 2014-09-13,77
2014-09-14 - 2014-09-20,81
2014-09-21 - 2014-09-27,80
2014-09-28 - 2014-10-04,85
2014-10-05 - 2014-10-11,82
2014-10-12 - 2014-10-18,83
2014-10-19 - 2014-10-25,80
2014-10-26 - 2014-11-01,81
2014-11-02 - 2014-11-08,83
2014-11-09 - 2014-11-15,83
2014-11-16 - 2014-11-22,84
2014-11-23 - 2014-11-29,76
2014-11-30 - 2014-12-06,83
2014-12-07 - 2014-12-13,89
2014-12-14 - 2014-12-20,86
2014-12-21 - 2014-12-27,83
2014-12-28 - 2015-01-03,90
2015-01-04 - 2015-01-10,91
2015-01-11 - 2015-01-17,88
2015-01-18 - 2015-01-24,84
2015-01-25 - 2015-01-31,87
2015-02-01 - 2015-02-07,87
2015-02-08 - 2015-02-14,88
2015-02-15 - 2015-02-21,88
2015-02-22 - 2015-02-28,89
2015-03-01 - 2015-03-07,89
2015-03-08 - 2015-03-14,87
2015-03-15 - 2015-03-21,88
2015-03-22 - 2015-03-28,88
2015-03-29 - 2015-04-04,85
2015-04-05 - 2015-04-11,86
2015-04-12 - 2015-04-18,85
2015-04-19 - 2015-04-25,85
2015-04-26 - 2015-05-02,86
2015-05-03 - 2015-05-09,83
2015-05-10 - 2015-05-16,81
2015-05-17 - 2015-05-23,81
2015-05-24 - 2015-05-30,78
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,79
2015-06-14 - 2015-06-20,78
2015-06-21 - 2015-06-27,78
2015-06-28 - 2015-07-04,79
2015-07-05 - 2015-07-11,78
2015-07-12 - 2015-07-18,79
2015-07-19 - 2015-07-25,80
2015-07-26 - 2015-08-01,79
2015-08-02 - 2015-08-08,80
2015-08-09 - 2015-08-15,80
2015-08-16 - 2015-08-22,80
2015-08-23 - 2015-08-29,78
2015-08-30 - 2015-09-05,79
2015-09-06 - 2015-09-12,81
2015-09-13 - 2015-09-19,86
2015-09-20 - 2015-09-26,85
2015-09-27 - 2015-10-03,85
2015-10-04 - 2015-10-10,86
2015-10-11 - 2015-10-17,88
2015-10-18 - 2015-10-24,87
2015-10-25 - 2015-10-31,88
2015-11-01 - 2015-11-07,89
2015-11-08 - 2015-11-14,87
2015-11-15 - 2015-11-21,95
2015-11-22 - 2015-11-28,83
2015-11-29 - 2015-12-05,88
2015-12-06 - 2015-12-12,92
2015-12-13 - 2015-12-19,91
2015-12-20 - 2015-12-26,91
2015-12-27 - 2016-01-02,91
2016-01-03 - 2016-01-09,98
2016-01-10 - 2016-01-16,93
2016-01-17 - 2016-01-23,96
2016-01-24 - 2016-01-30,99
2016-01-31 - 2016-02-06,96
2016-02-07 - 2016-02-13,96
2016-02-14 - 2016-02-20,96
2016-02-21 - 2016-02-27,100
2016-02-28 - 2016-03-05,99
2016-03-06 - 2016-03-12,97
2016-03-13 - 2016-03-19,96
2016-03-20 - 2016-03-26,95
2016-03-27 - 2016-04-02,92
2016-04-03 - 2016-04-09,94
2016-04-10 - 2016-04-16,94
2016-04-17 - 2016-04-23,92
2016-04-24 - 2016-04-30,91
2016-05-01 - 2016-05-07,90
2016-05-08 - 2016-05-14,89
2016-05-15 - 2016-05-21,90
2016-05-22 - 2016-05-28,93
2016-05-29 - 2016-06-04,87
2016-06-05 - 2016-06-11,86
2016-06-12 - 2016-06-18,84
2016-06-19 - 2016-06-25,81
2016-06-26 - 2016-07-02,81


Top regions for antibiotics
Region,antibiotics
Trinidad & Tobago,100
Kenya,80
United States,79
Nigeria,78
Ireland,77
Ghana,76
United Kingdom,72
Australia,70
South Africa,68
New Zealand,64
Canada,55
Singapore,51
Philippines,49
United Arab Emirates,37
Pakistan,31
India,30
Hong Kong,26
Malaysia,22
South Korea,18
Egypt,15
Saudi Arabia,13
Israel,10
Taiwan,8
Greece,7
Thailand,6
Switzerland,6
Netherlands,5
Sweden,5
Belgium,4
Indonesia,4
China,3
Spain,3
Mexico,2
Germany,2
Italy,2
France,1
Japan,1
Turkey,1
Brazil,1


Top cities for antibiotics
City,antibiotics
Philadelphia (United States),100
Atlanta (United States),95
Brisbane (Australia),94
Boston (United States),93
Dallas (United States),92
New York (United States),88
Austin (United States),88
Sydney (Australia),88
Washington (United States),87
Dublin (Ireland),86
Melbourne (Australia),86
Chicago (United States),85
Houston (United States),84
San Antonio (United States),83
Denver (United States),83



Top searches for antibiotics
antibiotic,100
taking antibiotics,85
antibiotics alcohol,80
uti antibiotics,75
uti,75
antibiotics side effects,50
what are antibiotics,45
amoxicillin,45
antibiotics and alcohol,40
antibiotics for uti,40
how antibiotics work,35
strep throat antibiotics,35
strep throat,35
sinus infection antibiotics,35
sinus infection,35
antibiotics birth control,30
natural antibiotics,30
penicillin,30
antibiotics list,25
pneumonia,25
ear infection antibiotics,25
ear infection,25
yeast infection,25
acne antibiotics,20
dog antibiotics,20
chlamydia antibiotics,20
chlamydia,20
antibiotics resistance,20
probiotics,20
bronchitis antibiotics,20
bronchitis,20
doxycycline,15
common antibiotics,15
iv antibiotics,15
list of antibiotics,15
azithromycin,15
antibiotics online,15
urinary tract infection,15
types of antibiotics,15
antibiotics for dogs,15
augmentin,10
mrsa,10
mrsa antibiotics,10
antibiotics for acne,10
cephalexin,10
ciprofloxacin,10
antibiotics thrush,10
alcohol with antibiotics,10
bladder infection,10
clindamycin,10



Rising searches for antibiotics
antibiotics for uti,+900%
uti,+400%
uti antibiotics,+400%
taking antibiotics,+300%
how antibiotics work,+160%
sinus infection,+140%
sinus infection antibiotics,+130%
strep throat,+130%
strep throat antibiotics,+130%
what are antibiotics,+120%



