Web Search interest: debt
Worldwide 2004 - present

Interest over time
Week,debt
2007-06-10 - 2007-06-16,29
2007-06-17 - 2007-06-23,27
2007-06-24 - 2007-06-30,28
2007-07-01 - 2007-07-07,27
2007-07-08 - 2007-07-14,30
2007-07-15 - 2007-07-21,30
2007-07-22 - 2007-07-28,30
2007-07-29 - 2007-08-04,29
2007-08-05 - 2007-08-11,31
2007-08-12 - 2007-08-18,32
2007-08-19 - 2007-08-25,29
2007-08-26 - 2007-09-01,28
2007-09-02 - 2007-09-08,27
2007-09-09 - 2007-09-15,29
2007-09-16 - 2007-09-22,31
2007-09-23 - 2007-09-29,32
2007-09-30 - 2007-10-06,32
2007-10-07 - 2007-10-13,32
2007-10-14 - 2007-10-20,32
2007-10-21 - 2007-10-27,31
2007-10-28 - 2007-11-03,31
2007-11-04 - 2007-11-10,31
2007-11-11 - 2007-11-17,30
2007-11-18 - 2007-11-24,27
2007-11-25 - 2007-12-01,33
2007-12-02 - 2007-12-08,33
2007-12-09 - 2007-12-15,28
2007-12-16 - 2007-12-22,25
2007-12-23 - 2007-12-29,21
2007-12-30 - 2008-01-05,29
2008-01-06 - 2008-01-12,34
2008-01-13 - 2008-01-19,33
2008-01-20 - 2008-01-26,34
2008-01-27 - 2008-02-02,34
2008-02-03 - 2008-02-09,35
2008-02-10 - 2008-02-16,31
2008-02-17 - 2008-02-23,31
2008-02-24 - 2008-03-01,34
2008-03-02 - 2008-03-08,32
2008-03-09 - 2008-03-15,32
2008-03-16 - 2008-03-22,32
2008-03-23 - 2008-03-29,30
2008-03-30 - 2008-04-05,31
2008-04-06 - 2008-04-12,31
2008-04-13 - 2008-04-19,31
2008-04-20 - 2008-04-26,31
2008-04-27 - 2008-05-03,30
2008-05-04 - 2008-05-10,30
2008-05-11 - 2008-05-17,29
2008-05-18 - 2008-05-24,29
2008-05-25 - 2008-05-31,26
2008-06-01 - 2008-06-07,28
2008-06-08 - 2008-06-14,28
2008-06-15 - 2008-06-21,28
2008-06-22 - 2008-06-28,28
2008-06-29 - 2008-07-05,26
2008-07-06 - 2008-07-12,31
2008-07-13 - 2008-07-19,31
2008-07-20 - 2008-07-26,31
2008-07-27 - 2008-08-02,31
2008-08-03 - 2008-08-09,30
2008-08-10 - 2008-08-16,29
2008-08-17 - 2008-08-23,29
2008-08-24 - 2008-08-30,29
2008-08-31 - 2008-09-06,29
2008-09-07 - 2008-09-13,33
2008-09-14 - 2008-09-20,38
2008-09-21 - 2008-09-27,42
2008-09-28 - 2008-10-04,41
2008-10-05 - 2008-10-11,47
2008-10-12 - 2008-10-18,40
2008-10-19 - 2008-10-25,37
2008-10-26 - 2008-11-01,36
2008-11-02 - 2008-11-08,35
2008-11-09 - 2008-11-15,38
2008-11-16 - 2008-11-22,36
2008-11-23 - 2008-11-29,33
2008-11-30 - 2008-12-06,36
2008-12-07 - 2008-12-13,36
2008-12-14 - 2008-12-20,31
2008-12-21 - 2008-12-27,23
2008-12-28 - 2009-01-03,29
2009-01-04 - 2009-01-10,36
2009-01-11 - 2009-01-17,35
2009-01-18 - 2009-01-24,35
2009-01-25 - 2009-01-31,36
2009-02-01 - 2009-02-07,35
2009-02-08 - 2009-02-14,35
2009-02-15 - 2009-02-21,38
2009-02-22 - 2009-02-28,39
2009-03-01 - 2009-03-07,37
2009-03-08 - 2009-03-14,35
2009-03-15 - 2009-03-21,35
2009-03-22 - 2009-03-28,35
2009-03-29 - 2009-04-04,36
2009-04-05 - 2009-04-11,34
2009-04-12 - 2009-04-18,33
2009-04-19 - 2009-04-25,34
2009-04-26 - 2009-05-02,33
2009-05-03 - 2009-05-09,31
2009-05-10 - 2009-05-16,31
2009-05-17 - 2009-05-23,31
2009-05-24 - 2009-05-30,28
2009-05-31 - 2009-06-06,31
2009-06-07 - 2009-06-13,31
2009-06-14 - 2009-06-20,30
2009-06-21 - 2009-06-27,32
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,34
2009-07-12 - 2009-07-18,32
2009-07-19 - 2009-07-25,32
2009-07-26 - 2009-08-01,32
2009-08-02 - 2009-08-08,32
2009-08-09 - 2009-08-15,33
2009-08-16 - 2009-08-22,30
2009-08-23 - 2009-08-29,33
2009-08-30 - 2009-09-05,29
2009-09-06 - 2009-09-12,30
2009-09-13 - 2009-09-19,31
2009-09-20 - 2009-09-26,31
2009-09-27 - 2009-10-03,30
2009-10-04 - 2009-10-10,31
2009-10-11 - 2009-10-17,32
2009-10-18 - 2009-10-24,32
2009-10-25 - 2009-10-31,30
2009-11-01 - 2009-11-07,30
2009-11-08 - 2009-11-14,31
2009-11-15 - 2009-11-21,32
2009-11-22 - 2009-11-28,32
2009-11-29 - 2009-12-05,35
2009-12-06 - 2009-12-12,32
2009-12-13 - 2009-12-19,29
2009-12-20 - 2009-12-26,20
2009-12-27 - 2010-01-02,24
2010-01-03 - 2010-01-09,31
2010-01-10 - 2010-01-16,32
2010-01-17 - 2010-01-23,32
2010-01-24 - 2010-01-30,36
2010-01-31 - 2010-02-06,38
2010-02-07 - 2010-02-13,36
2010-02-14 - 2010-02-20,35
2010-02-21 - 2010-02-27,35
2010-02-28 - 2010-03-06,34
2010-03-07 - 2010-03-13,33
2010-03-14 - 2010-03-20,31
2010-03-21 - 2010-03-27,35
2010-03-28 - 2010-04-03,31
2010-04-04 - 2010-04-10,31
2010-04-11 - 2010-04-17,33
2010-04-18 - 2010-04-24,32
2010-04-25 - 2010-05-01,37
2010-05-02 - 2010-05-08,36
2010-05-09 - 2010-05-15,34
2010-05-16 - 2010-05-22,31
2010-05-23 - 2010-05-29,31
2010-05-30 - 2010-06-05,28
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,28
2010-06-20 - 2010-06-26,28
2010-06-27 - 2010-07-03,29
2010-07-04 - 2010-07-10,27
2010-07-11 - 2010-07-17,29
2010-07-18 - 2010-07-24,29
2010-07-25 - 2010-07-31,28
2010-08-01 - 2010-08-07,28
2010-08-08 - 2010-08-14,28
2010-08-15 - 2010-08-21,29
2010-08-22 - 2010-08-28,27
2010-08-29 - 2010-09-04,25
2010-09-05 - 2010-09-11,26
2010-09-12 - 2010-09-18,28
2010-09-19 - 2010-09-25,28
2010-09-26 - 2010-10-02,28
2010-10-03 - 2010-10-09,29
2010-10-10 - 2010-10-16,29
2010-10-17 - 2010-10-23,30
2010-10-24 - 2010-10-30,28
2010-10-31 - 2010-11-06,31
2010-11-07 - 2010-11-13,30
2010-11-14 - 2010-11-20,31
2010-11-21 - 2010-11-27,25
2010-11-28 - 2010-12-04,30
2010-12-05 - 2010-12-11,28
2010-12-12 - 2010-12-18,25
2010-12-19 - 2010-12-25,19
2010-12-26 - 2011-01-01,20
2011-01-02 - 2011-01-08,28
2011-01-09 - 2011-01-15,27
2011-01-16 - 2011-01-22,29
2011-01-23 - 2011-01-29,30
2011-01-30 - 2011-02-05,29
2011-02-06 - 2011-02-12,28
2011-02-13 - 2011-02-19,30
2011-02-20 - 2011-02-26,28
2011-02-27 - 2011-03-05,28
2011-03-06 - 2011-03-12,27
2011-03-13 - 2011-03-19,27
2011-03-20 - 2011-03-26,28
2011-03-27 - 2011-04-02,27
2011-04-03 - 2011-04-09,30
2011-04-10 - 2011-04-16,34
2011-04-17 - 2011-04-23,31
2011-04-24 - 2011-04-30,28
2011-05-01 - 2011-05-07,27
2011-05-08 - 2011-05-14,27
2011-05-15 - 2011-05-21,31
2011-05-22 - 2011-05-28,26
2011-05-29 - 2011-06-04,27
2011-06-05 - 2011-06-11,26
2011-06-12 - 2011-06-18,27
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,30
2011-07-03 - 2011-07-09,30
2011-07-10 - 2011-07-16,50
2011-07-17 - 2011-07-23,51
2011-07-24 - 2011-07-30,98
2011-07-31 - 2011-08-06,100
2011-08-07 - 2011-08-13,47
2011-08-14 - 2011-08-20,33
2011-08-21 - 2011-08-27,31
2011-08-28 - 2011-09-03,36
2011-09-04 - 2011-09-10,39
2011-09-11 - 2011-09-17,38
2011-09-18 - 2011-09-24,37
2011-09-25 - 2011-10-01,37
2011-10-02 - 2011-10-08,35
2011-10-09 - 2011-10-15,33
2011-10-16 - 2011-10-22,33
2011-10-23 - 2011-10-29,35
2011-10-30 - 2011-11-05,34
2011-11-06 - 2011-11-12,35
2011-11-13 - 2011-11-19,34
2011-11-20 - 2011-11-26,36
2011-11-27 - 2011-12-03,36
2011-12-04 - 2011-12-10,34
2011-12-11 - 2011-12-17,31
2011-12-18 - 2011-12-24,24
2011-12-25 - 2011-12-31,24
2012-01-01 - 2012-01-07,29
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,32
2012-01-22 - 2012-01-28,37
2012-01-29 - 2012-02-04,32
2012-02-05 - 2012-02-11,31
2012-02-12 - 2012-02-18,31
2012-02-19 - 2012-02-25,31
2012-02-26 - 2012-03-03,29
2012-03-04 - 2012-03-10,28
2012-03-11 - 2012-03-17,26
2012-03-18 - 2012-03-24,27
2012-03-25 - 2012-03-31,26
2012-04-01 - 2012-04-07,25
2012-04-08 - 2012-04-14,26
2012-04-15 - 2012-04-21,28
2012-04-22 - 2012-04-28,29
2012-04-29 - 2012-05-05,27
2012-05-06 - 2012-05-12,27
2012-05-13 - 2012-05-19,29
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,24
2012-06-03 - 2012-06-09,24
2012-06-10 - 2012-06-16,25
2012-06-17 - 2012-06-23,25
2012-06-24 - 2012-06-30,25
2012-07-01 - 2012-07-07,23
2012-07-08 - 2012-07-14,24
2012-07-15 - 2012-07-21,25
2012-07-22 - 2012-07-28,25
2012-07-29 - 2012-08-04,24
2012-08-05 - 2012-08-11,24
2012-08-12 - 2012-08-18,26
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,34
2012-09-09 - 2012-09-15,29
2012-09-16 - 2012-09-22,29
2012-09-23 - 2012-09-29,28
2012-09-30 - 2012-10-06,31
2012-10-07 - 2012-10-13,28
2012-10-14 - 2012-10-20,30
2012-10-21 - 2012-10-27,30
2012-10-28 - 2012-11-03,27
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,29
2012-11-18 - 2012-11-24,23
2012-11-25 - 2012-12-01,28
2012-12-02 - 2012-12-08,28
2012-12-09 - 2012-12-15,25
2012-12-16 - 2012-12-22,20
2012-12-23 - 2012-12-29,18
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,28
2013-01-13 - 2013-01-19,30
2013-01-20 - 2013-01-26,28
2013-01-27 - 2013-02-02,27
2013-02-03 - 2013-02-09,26
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,25
2013-02-24 - 2013-03-02,27
2013-03-03 - 2013-03-09,26
2013-03-10 - 2013-03-16,25
2013-03-17 - 2013-03-23,26
2013-03-24 - 2013-03-30,24
2013-03-31 - 2013-04-06,24
2013-04-07 - 2013-04-13,25
2013-04-14 - 2013-04-20,25
2013-04-21 - 2013-04-27,25
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,23
2013-05-12 - 2013-05-18,23
2013-05-19 - 2013-05-25,22
2013-05-26 - 2013-06-01,20
2013-06-02 - 2013-06-08,21
2013-06-09 - 2013-06-15,20
2013-06-16 - 2013-06-22,20
2013-06-23 - 2013-06-29,20
2013-06-30 - 2013-07-06,19
2013-07-07 - 2013-07-13,21
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,22
2013-07-28 - 2013-08-03,22
2013-08-04 - 2013-08-10,21
2013-08-11 - 2013-08-17,21
2013-08-18 - 2013-08-24,21
2013-08-25 - 2013-08-31,22
2013-09-01 - 2013-09-07,21
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,26
2013-09-29 - 2013-10-05,38
2013-10-06 - 2013-10-12,45
2013-10-13 - 2013-10-19,56
2013-10-20 - 2013-10-26,27
2013-10-27 - 2013-11-02,24
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,24
2013-11-17 - 2013-11-23,24
2013-11-24 - 2013-11-30,20
2013-12-01 - 2013-12-07,24
2013-12-08 - 2013-12-14,22
2013-12-15 - 2013-12-21,19
2013-12-22 - 2013-12-28,14
2013-12-29 - 2014-01-04,19
2014-01-05 - 2014-01-11,23
2014-01-12 - 2014-01-18,23
2014-01-19 - 2014-01-25,24
2014-01-26 - 2014-02-01,25
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,26
2014-02-16 - 2014-02-22,25
2014-02-23 - 2014-03-01,25
2014-03-02 - 2014-03-08,25
2014-03-09 - 2014-03-15,23
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,24
2014-03-30 - 2014-04-05,24
2014-04-06 - 2014-04-12,24
2014-04-13 - 2014-04-19,23
2014-04-20 - 2014-04-26,23
2014-04-27 - 2014-05-03,24
2014-05-04 - 2014-05-10,23
2014-05-11 - 2014-05-17,23
2014-05-18 - 2014-05-24,22
2014-05-25 - 2014-05-31,20
2014-06-01 - 2014-06-07,21
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,21
2014-06-22 - 2014-06-28,20
2014-06-29 - 2014-07-05,19
2014-07-06 - 2014-07-12,21
2014-07-13 - 2014-07-19,21
2014-07-20 - 2014-07-26,21
2014-07-27 - 2014-08-02,22
2014-08-03 - 2014-08-09,22
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,20
2014-08-31 - 2014-09-06,20
2014-09-07 - 2014-09-13,22
2014-09-14 - 2014-09-20,23
2014-09-21 - 2014-09-27,22
2014-09-28 - 2014-10-04,23
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,22
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,23
2014-11-02 - 2014-11-08,24
2014-11-09 - 2014-11-15,23
2014-11-16 - 2014-11-22,23
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,25
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,21
2014-12-21 - 2014-12-27,14
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,22
2015-01-18 - 2015-01-24,23
2015-01-25 - 2015-01-31,25
2015-02-01 - 2015-02-07,25
2015-02-08 - 2015-02-14,25
2015-02-15 - 2015-02-21,24
2015-02-22 - 2015-02-28,24
2015-03-01 - 2015-03-07,23
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,23
2015-03-22 - 2015-03-28,23
2015-03-29 - 2015-04-04,22
2015-04-05 - 2015-04-11,23
2015-04-12 - 2015-04-18,24
2015-04-19 - 2015-04-25,24
2015-04-26 - 2015-05-02,24
2015-05-03 - 2015-05-09,24
2015-05-10 - 2015-05-16,23
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,22
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,23
2015-06-21 - 2015-06-27,23
2015-06-28 - 2015-07-04,34
2015-07-05 - 2015-07-11,34
2015-07-12 - 2015-07-18,28
2015-07-19 - 2015-07-25,24
2015-07-26 - 2015-08-01,22
2015-08-02 - 2015-08-08,23
2015-08-09 - 2015-08-15,22
2015-08-16 - 2015-08-22,22
2015-08-23 - 2015-08-29,22
2015-08-30 - 2015-09-05,22
2015-09-06 - 2015-09-12,22
2015-09-13 - 2015-09-19,23
2015-09-20 - 2015-09-26,23
2015-09-27 - 2015-10-03,23
2015-10-04 - 2015-10-10,24
2015-10-11 - 2015-10-17,24
2015-10-18 - 2015-10-24,24
2015-10-25 - 2015-10-31,25
2015-11-01 - 2015-11-07,25
2015-11-08 - 2015-11-14,24
2015-11-15 - 2015-11-21,24
2015-11-22 - 2015-11-28,19
2015-11-29 - 2015-12-05,24
2015-12-06 - 2015-12-12,23
2015-12-13 - 2015-12-19,22
2015-12-20 - 2015-12-26,15
2015-12-27 - 2016-01-02,17
2016-01-03 - 2016-01-09,24
2016-01-10 - 2016-01-16,26
2016-01-17 - 2016-01-23,25
2016-01-24 - 2016-01-30,26
2016-01-31 - 2016-02-06,27
2016-02-07 - 2016-02-13,26
2016-02-14 - 2016-02-20,48
2016-02-21 - 2016-02-27,32
2016-02-28 - 2016-03-05,28
2016-03-06 - 2016-03-12,27
2016-03-13 - 2016-03-19,26
2016-03-20 - 2016-03-26,24
2016-03-27 - 2016-04-02,24
2016-04-03 - 2016-04-09,25
2016-04-10 - 2016-04-16,26
2016-04-17 - 2016-04-23,25
2016-04-24 - 2016-04-30,25
2016-05-01 - 2016-05-07,26
2016-05-08 - 2016-05-14,25
2016-05-15 - 2016-05-21,24
2016-05-22 - 2016-05-28,23
2016-05-29 - 2016-06-04,21
2016-06-05 - 2016-06-11,27
2016-06-12 - 2016-06-18,21
2016-06-19 - 2016-06-25,22
2016-06-26 - 2016-07-02,22
2016-07-03 - 2016-07-09, 


Top regions for debt
Region,debt
South Africa,100
United States,65
Australia,62
United Kingdom,57
Singapore,52
Canada,47
New Zealand,42
Kenya,41
Nigeria,37
Ireland,35
Hong Kong,35
Malaysia,23
United Arab Emirates,23
Philippines,22
India,20
Pakistan,17
Greece,11
South Korea,10
Switzerland,9
Netherlands,9
Norway,9
Denmark,7
Sweden,7
Belgium,6
Finland,6
Indonesia,6
Portugal,6
Israel,5
Taiwan,5
Austria,5
China,5
Germany,4
Romania,4
Thailand,4
Italy,3
Poland,3
Spain,3
France,3
Vietnam,3
Russia,2
Japan,2
Mexico,2
Turkey,1
Brazil,1


Top cities for debt
City,debt
Johannesburg (South Africa),100
Washington (United States),92
New York (United States),79
Minneapolis (United States),78
San Diego (United States),78
Phoenix (United States),77
Sydney (Australia),76
Boston (United States),75
Denver (United States),71
Manchester (United Kingdom),71
Philadelphia (United States),69
Chicago (United States),68
London (United Kingdom),66
Atlanta (United States),66
San Francisco (United States),66



Top searches for debt
in debt,100
the debt,95
national debt,45
us debt,45
debt consolidation,45
debt ratio,40
debt collection,35
what is debt,35
credit card debt,35
debt relief,20
debt clock,20
bad debt,20
debt free,20
debt management,20
student debt,20
debt calculator,15
debt ceiling,15
government debt,15
debt recovery,15
debt to equity,15
debt help,10
debt equity ratio,10
debt crisis,10
uk debt,10
debt collectors,10
debt collector,10
student loan debt,10
public debt,10
debt service,10
debt consolidation loans,10
bankruptcy,10
debt settlement,10
net debt,10
debt solutions,10
american debt,10
cost of debt,10
debt consolidation loan,10
us national debt,10
us debt clock,10
consumer debt,5
national debt clock,5
usa debt,5
debt forgiveness,5
debt advice,5
statute of limitations,5
greece debt,5
debt counseling,5
debt collection agency,5
united states debt,5
debt financing,5



Rising searches for debt
debt ceiling,+1,450%
student loan debt,+170%
what is debt,+160%
debt clock,+150%
debt crisis,+130%
debt collector,+120%
student debt,+120%
the debt,+90%
us debt,+90%
in debt,+80%



