Web Search interest: b n pair
Worldwide 2004 - present

Interest over time
Week,b,n pair
2005-03-20 - 2005-03-26,72,0
2005-03-27 - 2005-04-02,71,0
2005-04-03 - 2005-04-09,72,0
2005-04-10 - 2005-04-16,73,0
2005-04-17 - 2005-04-23,73,0
2005-04-24 - 2005-04-30,73,0
2005-05-01 - 2005-05-07,74,0
2005-05-08 - 2005-05-14,74,0
2005-05-15 - 2005-05-21,74,0
2005-05-22 - 2005-05-28,76,0
2005-05-29 - 2005-06-04,74,0
2005-06-05 - 2005-06-11,73,0
2005-06-12 - 2005-06-18,74,0
2005-06-19 - 2005-06-25,74,0
2005-06-26 - 2005-07-02,72,0
2005-07-03 - 2005-07-09,70,0
2005-07-10 - 2005-07-16,72,0
2005-07-17 - 2005-07-23,71,0
2005-07-24 - 2005-07-30,70,0
2005-07-31 - 2005-08-06,69,0
2005-08-07 - 2005-08-13,70,0
2005-08-14 - 2005-08-20,71,0
2005-08-21 - 2005-08-27,72,0
2005-08-28 - 2005-09-03,69,0
2005-09-04 - 2005-09-10,69,0
2005-09-11 - 2005-09-17,69,0
2005-09-18 - 2005-09-24,70,0
2005-09-25 - 2005-10-01,71,0
2005-10-02 - 2005-10-08,68,0
2005-10-09 - 2005-10-15,69,0
2005-10-16 - 2005-10-22,69,0
2005-10-23 - 2005-10-29,70,0
2005-10-30 - 2005-11-05,69,0
2005-11-06 - 2005-11-12,70,0
2005-11-13 - 2005-11-19,69,0
2005-11-20 - 2005-11-26,69,0
2005-11-27 - 2005-12-03,70,0
2005-12-04 - 2005-12-10,70,0
2005-12-11 - 2005-12-17,69,0
2005-12-18 - 2005-12-24,67,0
2005-12-25 - 2005-12-31,66,0
2006-01-01 - 2006-01-07,68,0
2006-01-08 - 2006-01-14,68,0
2006-01-15 - 2006-01-21,71,0
2006-01-22 - 2006-01-28,71,0
2006-01-29 - 2006-02-04,71,0
2006-02-05 - 2006-02-11,72,0
2006-02-12 - 2006-02-18,69,0
2006-02-19 - 2006-02-25,71,0
2006-02-26 - 2006-03-04,71,0
2006-03-05 - 2006-03-11,70,0
2006-03-12 - 2006-03-18,71,0
2006-03-19 - 2006-03-25,72,0
2006-03-26 - 2006-04-01,71,0
2006-04-02 - 2006-04-08,72,0
2006-04-09 - 2006-04-15,72,0
2006-04-16 - 2006-04-22,70,0
2006-04-23 - 2006-04-29,72,0
2006-04-30 - 2006-05-06,74,0
2006-05-07 - 2006-05-13,72,0
2006-05-14 - 2006-05-20,73,0
2006-05-21 - 2006-05-27,72,0
2006-05-28 - 2006-06-03,73,0
2006-06-04 - 2006-06-10,71,0
2006-06-11 - 2006-06-17,70,0
2006-06-18 - 2006-06-24,71,0
2006-06-25 - 2006-07-01,68,0
2006-07-02 - 2006-07-08,69,0
2006-07-09 - 2006-07-15,73,0
2006-07-16 - 2006-07-22,72,0
2006-07-23 - 2006-07-29,72,0
2006-07-30 - 2006-08-05,73,0
2006-08-06 - 2006-08-12,71,0
2006-08-13 - 2006-08-19,70,0
2006-08-20 - 2006-08-26,73,0
2006-08-27 - 2006-09-02,73,0
2006-09-03 - 2006-09-09,74,0
2006-09-10 - 2006-09-16,74,0
2006-09-17 - 2006-09-23,75,0
2006-09-24 - 2006-09-30,74,0
2006-10-01 - 2006-10-07,74,0
2006-10-08 - 2006-10-14,73,0
2006-10-15 - 2006-10-21,75,0
2006-10-22 - 2006-10-28,75,0
2006-10-29 - 2006-11-04,74,0
2006-11-05 - 2006-11-11,74,0
2006-11-12 - 2006-11-18,72,0
2006-11-19 - 2006-11-25,71,0
2006-11-26 - 2006-12-02,71,0
2006-12-03 - 2006-12-09,73,0
2006-12-10 - 2006-12-16,71,0
2006-12-17 - 2006-12-23,69,0
2006-12-24 - 2006-12-30,68,0
2006-12-31 - 2007-01-06,69,0
2007-01-07 - 2007-01-13,70,0
2007-01-14 - 2007-01-20,72,0
2007-01-21 - 2007-01-27,70,0
2007-01-28 - 2007-02-03,71,0
2007-02-04 - 2007-02-10,68,0
2007-02-11 - 2007-02-17,70,0
2007-02-18 - 2007-02-24,72,0
2007-02-25 - 2007-03-03,72,0
2007-03-04 - 2007-03-10,71,0
2007-03-11 - 2007-03-17,74,0
2007-03-18 - 2007-03-24,72,0
2007-03-25 - 2007-03-31,72,0
2007-04-01 - 2007-04-07,74,0
2007-04-08 - 2007-04-14,76,0
2007-04-15 - 2007-04-21,74,0
2007-04-22 - 2007-04-28,74,0
2007-04-29 - 2007-05-05,76,0
2007-05-06 - 2007-05-12,77,0
2007-05-13 - 2007-05-19,77,0
2007-05-20 - 2007-05-26,77,0
2007-05-27 - 2007-06-02,74,0
2007-06-03 - 2007-06-09,77,0
2007-06-10 - 2007-06-16,75,0
2007-06-17 - 2007-06-23,73,0
2007-06-24 - 2007-06-30,73,0
2007-07-01 - 2007-07-07,72,0
2007-07-08 - 2007-07-14,72,0
2007-07-15 - 2007-07-21,73,0
2007-07-22 - 2007-07-28,72,0
2007-07-29 - 2007-08-04,72,0
2007-08-05 - 2007-08-11,71,0
2007-08-12 - 2007-08-18,72,0
2007-08-19 - 2007-08-25,72,0
2007-08-26 - 2007-09-01,73,0
2007-09-02 - 2007-09-08,71,0
2007-09-09 - 2007-09-15,72,0
2007-09-16 - 2007-09-22,72,0
2007-09-23 - 2007-09-29,73,0
2007-09-30 - 2007-10-06,73,0
2007-10-07 - 2007-10-13,73,0
2007-10-14 - 2007-10-20,74,0
2007-10-21 - 2007-10-27,71,0
2007-10-28 - 2007-11-03,73,0
2007-11-04 - 2007-11-10,72,0
2007-11-11 - 2007-11-17,74,0
2007-11-18 - 2007-11-24,80,0
2007-11-25 - 2007-12-01,83,0
2007-12-02 - 2007-12-08,83,0
2007-12-09 - 2007-12-15,72,0
2007-12-16 - 2007-12-22,71,0
2007-12-23 - 2007-12-29,71,0
2007-12-30 - 2008-01-05,73,0
2008-01-06 - 2008-01-12,74,0
2008-01-13 - 2008-01-19,74,0
2008-01-20 - 2008-01-26,74,0
2008-01-27 - 2008-02-02,76,0
2008-02-03 - 2008-02-09,74,0
2008-02-10 - 2008-02-16,75,0
2008-02-17 - 2008-02-23,76,0
2008-02-24 - 2008-03-01,76,0
2008-03-02 - 2008-03-08,75,0
2008-03-09 - 2008-03-15,75,0
2008-03-16 - 2008-03-22,77,0
2008-03-23 - 2008-03-29,78,0
2008-03-30 - 2008-04-05,76,0
2008-04-06 - 2008-04-12,76,0
2008-04-13 - 2008-04-19,78,0
2008-04-20 - 2008-04-26,77,0
2008-04-27 - 2008-05-03,76,0
2008-05-04 - 2008-05-10,80,0
2008-05-11 - 2008-05-17,78,0
2008-05-18 - 2008-05-24,78,0
2008-05-25 - 2008-05-31,78,0
2008-06-01 - 2008-06-07,76,0
2008-06-08 - 2008-06-14,77,0
2008-06-15 - 2008-06-21,78,0
2008-06-22 - 2008-06-28,77,0
2008-06-29 - 2008-07-05,75,0
2008-07-06 - 2008-07-12,77,0
2008-07-13 - 2008-07-19,82,0
2008-07-20 - 2008-07-26,80,0
2008-07-27 - 2008-08-02,78,0
2008-08-03 - 2008-08-09,78,0
2008-08-10 - 2008-08-16,77,0
2008-08-17 - 2008-08-23,78,0
2008-08-24 - 2008-08-30,78,0
2008-08-31 - 2008-09-06,76,0
2008-09-07 - 2008-09-13,79,0
2008-09-14 - 2008-09-20,80,0
2008-09-21 - 2008-09-27,78,0
2008-09-28 - 2008-10-04,78,0
2008-10-05 - 2008-10-11,76,0
2008-10-12 - 2008-10-18,77,0
2008-10-19 - 2008-10-25,78,0
2008-10-26 - 2008-11-01,76,0
2008-11-02 - 2008-11-08,74,0
2008-11-09 - 2008-11-15,76,0
2008-11-16 - 2008-11-22,74,0
2008-11-23 - 2008-11-29,73,0
2008-11-30 - 2008-12-06,75,0
2008-12-07 - 2008-12-13,76,0
2008-12-14 - 2008-12-20,73,0
2008-12-21 - 2008-12-27,70,0
2008-12-28 - 2009-01-03,71,0
2009-01-04 - 2009-01-10,75,0
2009-01-11 - 2009-01-17,75,0
2009-01-18 - 2009-01-24,74,0
2009-01-25 - 2009-01-31,74,0
2009-02-01 - 2009-02-07,75,0
2009-02-08 - 2009-02-14,75,0
2009-02-15 - 2009-02-21,79,0
2009-02-22 - 2009-02-28,77,0
2009-03-01 - 2009-03-07,77,0
2009-03-08 - 2009-03-14,77,0
2009-03-15 - 2009-03-21,78,0
2009-03-22 - 2009-03-28,78,0
2009-03-29 - 2009-04-04,79,0
2009-04-05 - 2009-04-11,77,0
2009-04-12 - 2009-04-18,77,0
2009-04-19 - 2009-04-25,79,0
2009-04-26 - 2009-05-02,77,0
2009-05-03 - 2009-05-09,78,0
2009-05-10 - 2009-05-16,77,0
2009-05-17 - 2009-05-23,79,0
2009-05-24 - 2009-05-30,76,0
2009-05-31 - 2009-06-06,75,0
2009-06-07 - 2009-06-13,77,0
2009-06-14 - 2009-06-20,76,0
2009-06-21 - 2009-06-27,75,0
2009-06-28 - 2009-07-04,74,0
2009-07-05 - 2009-07-11,76,0
2009-07-12 - 2009-07-18,75,0
2009-07-19 - 2009-07-25,77,0
2009-07-26 - 2009-08-01,75,0
2009-08-02 - 2009-08-08,77,0
2009-08-09 - 2009-08-15,74,0
2009-08-16 - 2009-08-22,76,0
2009-08-23 - 2009-08-29,76,0
2009-08-30 - 2009-09-05,76,0
2009-09-06 - 2009-09-12,76,0
2009-09-13 - 2009-09-19,78,0
2009-09-20 - 2009-09-26,77,0
2009-09-27 - 2009-10-03,74,0
2009-10-04 - 2009-10-10,79,0
2009-10-11 - 2009-10-17,78,0
2009-10-18 - 2009-10-24,77,0
2009-10-25 - 2009-10-31,76,0
2009-11-01 - 2009-11-07,76,0
2009-11-08 - 2009-11-14,78,0
2009-11-15 - 2009-11-21,78,0
2009-11-22 - 2009-11-28,77,0
2009-11-29 - 2009-12-05,76,0
2009-12-06 - 2009-12-12,74,0
2009-12-13 - 2009-12-19,73,0
2009-12-20 - 2009-12-26,67,0
2009-12-27 - 2010-01-02,71,0
2010-01-03 - 2010-01-09,76,0
2010-01-10 - 2010-01-16,76,0
2010-01-17 - 2010-01-23,75,0
2010-01-24 - 2010-01-30,78,0
2010-01-31 - 2010-02-06,76,0
2010-02-07 - 2010-02-13,76,0
2010-02-14 - 2010-02-20,76,0
2010-02-21 - 2010-02-27,76,0
2010-02-28 - 2010-03-06,77,0
2010-03-07 - 2010-03-13,79,0
2010-03-14 - 2010-03-20,80,0
2010-03-21 - 2010-03-27,80,0
2010-03-28 - 2010-04-03,80,0
2010-04-04 - 2010-04-10,81,0
2010-04-11 - 2010-04-17,82,0
2010-04-18 - 2010-04-24,83,0
2010-04-25 - 2010-05-01,83,0
2010-05-02 - 2010-05-08,86,0
2010-05-09 - 2010-05-15,84,0
2010-05-16 - 2010-05-22,85,0
2010-05-23 - 2010-05-29,85,0
2010-05-30 - 2010-06-05,85,0
2010-06-06 - 2010-06-12,84,0
2010-06-13 - 2010-06-19,83,0
2010-06-20 - 2010-06-26,83,0
2010-06-27 - 2010-07-03,79,0
2010-07-04 - 2010-07-10,81,0
2010-07-11 - 2010-07-17,81,0
2010-07-18 - 2010-07-24,81,0
2010-07-25 - 2010-07-31,82,0
2010-08-01 - 2010-08-07,82,0
2010-08-08 - 2010-08-14,82,0
2010-08-15 - 2010-08-21,83,0
2010-08-22 - 2010-08-28,83,0
2010-08-29 - 2010-09-04,82,0
2010-09-05 - 2010-09-11,87,0
2010-09-12 - 2010-09-18,87,0
2010-09-19 - 2010-09-25,87,0
2010-09-26 - 2010-10-02,87,0
2010-10-03 - 2010-10-09,88,0
2010-10-10 - 2010-10-16,91,0
2010-10-17 - 2010-10-23,91,0
2010-10-24 - 2010-10-30,87,0
2010-10-31 - 2010-11-06,88,0
2010-11-07 - 2010-11-13,88,0
2010-11-14 - 2010-11-20,89,0
2010-11-21 - 2010-11-27,87,0
2010-11-28 - 2010-12-04,87,0
2010-12-05 - 2010-12-11,87,0
2010-12-12 - 2010-12-18,85,0
2010-12-19 - 2010-12-25,81,0
2010-12-26 - 2011-01-01,85,0
2011-01-02 - 2011-01-08,87,0
2011-01-09 - 2011-01-15,89,0
2011-01-16 - 2011-01-22,90,0
2011-01-23 - 2011-01-29,88,0
2011-01-30 - 2011-02-05,89,0
2011-02-06 - 2011-02-12,91,0
2011-02-13 - 2011-02-19,92,0
2011-02-20 - 2011-02-26,91,0
2011-02-27 - 2011-03-05,90,0
2011-03-06 - 2011-03-12,87,0
2011-03-13 - 2011-03-19,88,0
2011-03-20 - 2011-03-26,92,0
2011-03-27 - 2011-04-02,91,0
2011-04-03 - 2011-04-09,92,0
2011-04-10 - 2011-04-16,91,0
2011-04-17 - 2011-04-23,90,0
2011-04-24 - 2011-04-30,90,0
2011-05-01 - 2011-05-07,88,0
2011-05-08 - 2011-05-14,90,0
2011-05-15 - 2011-05-21,91,0
2011-05-22 - 2011-05-28,92,0
2011-05-29 - 2011-06-04,92,0
2011-06-05 - 2011-06-11,91,0
2011-06-12 - 2011-06-18,91,0
2011-06-19 - 2011-06-25,91,0
2011-06-26 - 2011-07-02,94,0
2011-07-03 - 2011-07-09,92,0
2011-07-10 - 2011-07-16,94,0
2011-07-17 - 2011-07-23,90,0
2011-07-24 - 2011-07-30,90,0
2011-07-31 - 2011-08-06,90,0
2011-08-07 - 2011-08-13,88,0
2011-08-14 - 2011-08-20,90,0
2011-08-21 - 2011-08-27,90,0
2011-08-28 - 2011-09-03,95,0
2011-09-04 - 2011-09-10,94,0
2011-09-11 - 2011-09-17,95,0
2011-09-18 - 2011-09-24,94,0
2011-09-25 - 2011-10-01,94,0
2011-10-02 - 2011-10-08,95,0
2011-10-09 - 2011-10-15,95,0
2011-10-16 - 2011-10-22,94,0
2011-10-23 - 2011-10-29,94,0
2011-10-30 - 2011-11-05,95,0
2011-11-06 - 2011-11-12,95,0
2011-11-13 - 2011-11-19,100,0
2011-11-20 - 2011-11-26,97,0
2011-11-27 - 2011-12-03,95,0
2011-12-04 - 2011-12-10,95,0
2011-12-11 - 2011-12-17,92,0
2011-12-18 - 2011-12-24,87,0
2011-12-25 - 2011-12-31,89,0
2012-01-01 - 2012-01-07,91,0
2012-01-08 - 2012-01-14,93,0
2012-01-15 - 2012-01-21,95,0
2012-01-22 - 2012-01-28,94,0
2012-01-29 - 2012-02-04,94,0
2012-02-05 - 2012-02-11,96,0
2012-02-12 - 2012-02-18,95,0
2012-02-19 - 2012-02-25,99,0
2012-02-26 - 2012-03-03,96,0
2012-03-04 - 2012-03-10,95,0
2012-03-11 - 2012-03-17,98,0
2012-03-18 - 2012-03-24,98,0
2012-03-25 - 2012-03-31,95,0
2012-04-01 - 2012-04-07,94,0
2012-04-08 - 2012-04-14,95,0
2012-04-15 - 2012-04-21,97,0
2012-04-22 - 2012-04-28,95,0
2012-04-29 - 2012-05-05,95,0
2012-05-06 - 2012-05-12,95,0
2012-05-13 - 2012-05-19,95,0
2012-05-20 - 2012-05-26,98,0
2012-05-27 - 2012-06-02,96,0
2012-06-03 - 2012-06-09,94,0
2012-06-10 - 2012-06-16,94,0
2012-06-17 - 2012-06-23,93,0
2012-06-24 - 2012-06-30,90,0
2012-07-01 - 2012-07-07,90,0
2012-07-08 - 2012-07-14,94,0
2012-07-15 - 2012-07-21,91,0
2012-07-22 - 2012-07-28,89,0
2012-07-29 - 2012-08-04,88,0
2012-08-05 - 2012-08-11,87,0
2012-08-12 - 2012-08-18,91,0
2012-08-19 - 2012-08-25,91,0
2012-08-26 - 2012-09-01,91,0
2012-09-02 - 2012-09-08,90,0
2012-09-09 - 2012-09-15,91,0
2012-09-16 - 2012-09-22,91,0
2012-09-23 - 2012-09-29,92,0
2012-09-30 - 2012-10-06,89,0
2012-10-07 - 2012-10-13,89,0
2012-10-14 - 2012-10-20,91,0
2012-10-21 - 2012-10-27,98,0
2012-10-28 - 2012-11-03,88,0
2012-11-04 - 2012-11-10,92,0
2012-11-11 - 2012-11-17,89,0
2012-11-18 - 2012-11-24,87,0
2012-11-25 - 2012-12-01,87,0
2012-12-02 - 2012-12-08,86,0
2012-12-09 - 2012-12-15,85,0
2012-12-16 - 2012-12-22,81,0
2012-12-23 - 2012-12-29,83,0
2012-12-30 - 2013-01-05,84,0
2013-01-06 - 2013-01-12,86,0
2013-01-13 - 2013-01-19,86,0
2013-01-20 - 2013-01-26,87,0
2013-01-27 - 2013-02-02,88,0
2013-02-03 - 2013-02-09,86,0
2013-02-10 - 2013-02-16,86,0
2013-02-17 - 2013-02-23,88,0
2013-02-24 - 2013-03-02,89,0
2013-03-03 - 2013-03-09,88,0
2013-03-10 - 2013-03-16,87,0
2013-03-17 - 2013-03-23,91,0
2013-03-24 - 2013-03-30,91,0
2013-03-31 - 2013-04-06,91,0
2013-04-07 - 2013-04-13,91,0
2013-04-14 - 2013-04-20,90,0
2013-04-21 - 2013-04-27,90,0
2013-04-28 - 2013-05-04,90,0
2013-05-05 - 2013-05-11,90,0
2013-05-12 - 2013-05-18,91,0
2013-05-19 - 2013-05-25,90,0
2013-05-26 - 2013-06-01,91,0
2013-06-02 - 2013-06-08,94,0
2013-06-09 - 2013-06-15,92,0
2013-06-16 - 2013-06-22,89,0
2013-06-23 - 2013-06-29,88,0
2013-06-30 - 2013-07-06,86,0
2013-07-07 - 2013-07-13,93,0
2013-07-14 - 2013-07-20,89,0
2013-07-21 - 2013-07-27,88,0
2013-07-28 - 2013-08-03,92,0
2013-08-04 - 2013-08-10,88,0
2013-08-11 - 2013-08-17,88,0
2013-08-18 - 2013-08-24,91,0
2013-08-25 - 2013-08-31,88,0
2013-09-01 - 2013-09-07,86,0
2013-09-08 - 2013-09-14,89,0
2013-09-15 - 2013-09-21,90,0
2013-09-22 - 2013-09-28,90,0
2013-09-29 - 2013-10-05,91,0
2013-10-06 - 2013-10-12,89,0
2013-10-13 - 2013-10-19,90,0
2013-10-20 - 2013-10-26,88,0
2013-10-27 - 2013-11-02,89,0
2013-11-03 - 2013-11-09,90,0
2013-11-10 - 2013-11-16,90,0
2013-11-17 - 2013-11-23,92,0
2013-11-24 - 2013-11-30,86,0
2013-12-01 - 2013-12-07,86,0
2013-12-08 - 2013-12-14,87,0
2013-12-15 - 2013-12-21,83,0
2013-12-22 - 2013-12-28,83,0
2013-12-29 - 2014-01-04,87,0
2014-01-05 - 2014-01-11,88,0
2014-01-12 - 2014-01-18,89,0
2014-01-19 - 2014-01-25,87,0
2014-01-26 - 2014-02-01,89,0
2014-02-02 - 2014-02-08,89,0
2014-02-09 - 2014-02-15,89,0
2014-02-16 - 2014-02-22,90,0
2014-02-23 - 2014-03-01,91,0
2014-03-02 - 2014-03-08,92,0
2014-03-09 - 2014-03-15,92,0
2014-03-16 - 2014-03-22,90,0
2014-03-23 - 2014-03-29,91,0
2014-03-30 - 2014-04-05,90,0
2014-04-06 - 2014-04-12,93,0
2014-04-13 - 2014-04-19,93,0
2014-04-20 - 2014-04-26,93,0
2014-04-27 - 2014-05-03,94,0
2014-05-04 - 2014-05-10,95,0
2014-05-11 - 2014-05-17,96,0
2014-05-18 - 2014-05-24,96,0
2014-05-25 - 2014-05-31,96,0
2014-06-01 - 2014-06-07,97,0
2014-06-08 - 2014-06-14,90,0
2014-06-15 - 2014-06-21,88,0
2014-06-22 - 2014-06-28,89,0
2014-06-29 - 2014-07-05,87,0
2014-07-06 - 2014-07-12,90,0
2014-07-13 - 2014-07-19,86,0
2014-07-20 - 2014-07-26,89,0
2014-07-27 - 2014-08-02,90,0
2014-08-03 - 2014-08-09,90,0
2014-08-10 - 2014-08-16,89,0
2014-08-17 - 2014-08-23,90,0
2014-08-24 - 2014-08-30,92,0
2014-08-31 - 2014-09-06,94,0
2014-09-07 - 2014-09-13,92,0
2014-09-14 - 2014-09-20,94,0
2014-09-21 - 2014-09-27,95,0
2014-09-28 - 2014-10-04,93,0
2014-10-05 - 2014-10-11,92,0
2014-10-12 - 2014-10-18,90,0
2014-10-19 - 2014-10-25,91,0
2014-10-26 - 2014-11-01,93,0
2014-11-02 - 2014-11-08,93,0
2014-11-09 - 2014-11-15,91,0
2014-11-16 - 2014-11-22,93,0
2014-11-23 - 2014-11-29,91,0
2014-11-30 - 2014-12-06,91,0
2014-12-07 - 2014-12-13,93,0
2014-12-14 - 2014-12-20,91,0
2014-12-21 - 2014-12-27,83,0
2014-12-28 - 2015-01-03,84,0
2015-01-04 - 2015-01-10,86,0
2015-01-11 - 2015-01-17,88,0
2015-01-18 - 2015-01-24,89,0
2015-01-25 - 2015-01-31,87,0
2015-02-01 - 2015-02-07,89,0
2015-02-08 - 2015-02-14,90,0
2015-02-15 - 2015-02-21,91,0
2015-02-22 - 2015-02-28,91,0
2015-03-01 - 2015-03-07,94,0
2015-03-08 - 2015-03-14,93,0
2015-03-15 - 2015-03-21,93,0
2015-03-22 - 2015-03-28,92,0
2015-03-29 - 2015-04-04,93,0
2015-04-05 - 2015-04-11,94,0
2015-04-12 - 2015-04-18,93,0
2015-04-19 - 2015-04-25,93,0
2015-04-26 - 2015-05-02,95,0
2015-05-03 - 2015-05-09,93,0
2015-05-10 - 2015-05-16,97,0
2015-05-17 - 2015-05-23,96,0
2015-05-24 - 2015-05-30,97,0
2015-05-31 - 2015-06-06,96,0
2015-06-07 - 2015-06-13,96,0
2015-06-14 - 2015-06-20,93,0
2015-06-21 - 2015-06-27,92,0
2015-06-28 - 2015-07-04,92,0
2015-07-05 - 2015-07-11,93,0
2015-07-12 - 2015-07-18,91,0
2015-07-19 - 2015-07-25,92,0
2015-07-26 - 2015-08-01,93,0
2015-08-02 - 2015-08-08,93,0
2015-08-09 - 2015-08-15,94,0
2015-08-16 - 2015-08-22,93,0
2015-08-23 - 2015-08-29,94,0
2015-08-30 - 2015-09-05,94,0
2015-09-06 - 2015-09-12,96,0
2015-09-13 - 2015-09-19,94,0
2015-09-20 - 2015-09-26,94,0
2015-09-27 - 2015-10-03,94,0
2015-10-04 - 2015-10-10,93,0
2015-10-11 - 2015-10-17,94,0
2015-10-18 - 2015-10-24,93,0
2015-10-25 - 2015-10-31,94,0
2015-11-01 - 2015-11-07,94,0
2015-11-08 - 2015-11-14,96,0
2015-11-15 - 2015-11-21,97,0
2015-11-22 - 2015-11-28,94,0
2015-11-29 - 2015-12-05,91,0
2015-12-06 - 2015-12-12,91,0
2015-12-13 - 2015-12-19,89,0
2015-12-20 - 2015-12-26,84,0
2015-12-27 - 2016-01-02,84,0
2016-01-03 - 2016-01-09,89,0
2016-01-10 - 2016-01-16,91,0
2016-01-17 - 2016-01-23,91,0
2016-01-24 - 2016-01-30,93,0
2016-01-31 - 2016-02-06,92,0
2016-02-07 - 2016-02-13,91,0
2016-02-14 - 2016-02-20,94,0
2016-02-21 - 2016-02-27,94,0
2016-02-28 - 2016-03-05,94,0
2016-03-06 - 2016-03-12,93,0
2016-03-13 - 2016-03-19,94,0
2016-03-20 - 2016-03-26,92,0
2016-03-27 - 2016-04-02,94,0
2016-04-03 - 2016-04-09,92,0
2016-04-10 - 2016-04-16,95,0
2016-04-17 - 2016-04-23,94,0
2016-04-24 - 2016-04-30,92,0
2016-05-01 - 2016-05-07,93,0
2016-05-08 - 2016-05-14,94,0
2016-05-15 - 2016-05-21,97,0
2016-05-22 - 2016-05-28,96,0
2016-05-29 - 2016-06-04,100,0
2016-06-05 - 2016-06-11,99,0
2016-06-12 - 2016-06-18,98,0
2016-06-19 - 2016-06-25,95,0
2016-06-26 - 2016-07-02,90,0
2016-07-03 - 2016-07-09, , 


Top regions for b
Region,b,n pair
United Kingdom,100,0
Nigeria,97,0
India,90,0
Pakistan,87,0
Bolivia,84,0
Serbia,81,0
Italy,80,0
Ireland,66,0
Argentina,65,0
Bangladesh,65,0
Hong Kong,63,0
Denmark,62,0
Romania,61,0
Poland,61,0
United States,60,100
Kenya,60,0
Ecuador,60,0
Germany,59,0
France,58,0
China,58,0
Belgium,58,0
Brazil,58,0
Netherlands,57,0
Vietnam,53,0
Guatemala,53,0
Chile,52,0
Dominican Republic,52,0
Canada,51,0
South Africa,51,0
Japan,49,0
Indonesia,49,0
Peru,49,0
Switzerland,48,0
Colombia,48,0
Australia,48,0
Austria,48,0
Norway,48,0
Singapore,47,0
Portugal,47,0
Taiwan,47,0
Spain,46,0
Sweden,46,0
Croatia,46,0
Philippines,45,0
New Zealand,44,0
Czech Republic,43,0
Hungary,42,0
Venezuela,42,0
Slovakia,41,0
Malaysia,41,0
Slovenia,41,0
United Arab Emirates,40,0
Mexico,40,0
Finland,39,0
Algeria,38,0
Turkey,35,0
Morocco,35,0
Lithuania,34,0
Greece,34,0
Bulgaria,34,0
South Korea,31,0
Russia,28,0
Thailand,27,0
Ukraine,25,0
Israel,24,0
Iran,20,0
Egypt,18,0
Saudi Arabia,17,0

Top regions for n pair
Region,b,n pair
United States,60,100
United Arab Emirates,40,0
Argentina,65,0
Austria,48,0
Australia,48,0
Bangladesh,65,0
Belgium,58,0
Bulgaria,34,0
Bolivia,84,0
Brazil,58,0
Canada,51,0
Switzerland,48,0
Chile,52,0
China,58,0
Colombia,48,0
Czech Republic,43,0
Germany,59,0
Denmark,62,0
Dominican Republic,52,0
Algeria,38,0
Ecuador,60,0
Egypt,18,0
